var,b_final_value
SUSYc1XM1,3.37996149587664537139551556346330e+00
SUSYc1XM2,3.03622868245903005031138261184470e-01
SUSYc1XM3,-5.84056623581794332480184818349510e+01
SUSYc1XM4,-3.04801571266409164364348808262800e+02
SUSYc1XM6,-4.16076189628519326927678929387680e+03
SUSYc1XM7,1.13418182488622243105421325607200e+03
SUSYc1XM8,-1.86260110013305657319470709900150e+03
SUSYc1XM9,-1.41112163234734803666908654538290e+04
SUSYc1XM10,1.59529489755909843494870103906350e+04
SUSYc1XM11,-8.99844968576987128200083175700640e+03
SUSYc2XM1,-2.25330766391776358093034370897500e+00
SUSYc2XM2,4.59565672961303691495910319641820e+00
SUSYc2XM3,1.88531907180701021679074266024240e+00
SUSYc2XM4,-1.19207478517854305135315592513430e+01
SUSYc2XM5,1.84034689708736671014930179678230e+01
SUSYc2XM6,-9.19567630591318340627873397193410e+00
