"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM1","1.8791528433611636986395624836862971067080835663595524883752654769315776719344298787961326775353299055010438435891009","-1/24576*SUSYc1XM1 + SUSYc1XM3/6144 - SUSYc1XM5/1536 + SUSYc1XM7/384 - SUSYc1XM9/96 + SUSYc2XM1/24576 - (SUSYc1XM10*SUSYc2XM1)/24 - (SUSYc1XM2*SUSYc2XM1)/6144 + (SUSYc1XM4*SUSYc2XM1)/1536 + (SUSYc1XM8*SUSYc2XM1)/96 + (SUSYc1XM1*SUSYc2XM2)/6144 - (SUSYc1XM3*SUSYc2XM2)/1536 + (SUSYc1XM5*SUSYc2XM2)/384 - (SUSYc1XM7*SUSYc2XM2)/96 + (SUSYc1XM9*SUSYc2XM2)/24 - SUSYc2XM3/6144 + (SUSYc1XM10*SUSYc2XM3)/6 + (SUSYc1XM2*SUSYc2XM3)/1536 - (SUSYc1XM4*SUSYc2XM3)/384 - (SUSYc1XM8*SUSYc2XM3)/24 - (SUSYc1XM1*SUSYc2XM4)/1536 + (SUSYc1XM3*SUSYc2XM4)/384 - (SUSYc1XM5*SUSYc2XM4)/96 + (SUSYc1XM7*SUSYc2XM4)/24 - (SUSYc1XM9*SUSYc2XM4)/6","{-1/24576 + SUSYc2XM2/6144 - SUSYc2XM4/1536, -1/6144*SUSYc2XM1 + SUSYc2XM3/1536, 1/6144 - SUSYc2XM2/1536 + SUSYc2XM4/384, SUSYc2XM1/1536 - SUSYc2XM3/384, -1/1536 + SUSYc2XM2/384 - SUSYc2XM4/96, 1/384 - SUSYc2XM2/96 + SUSYc2XM4/24, SUSYc2XM1/96 - SUSYc2XM3/24, -1/96 + SUSYc2XM2/24 - SUSYc2XM4/6, -1/24*SUSYc2XM1 + SUSYc2XM3/6, 1/24576 - SUSYc1XM10/24 - SUSYc1XM2/6144 + SUSYc1XM4/1536 + SUSYc1XM8/96, SUSYc1XM1/6144 - SUSYc1XM3/1536 + SUSYc1XM5/384 - SUSYc1XM7/96 + SUSYc1XM9/24, -1/6144 + SUSYc1XM10/6 + SUSYc1XM2/1536 - SUSYc1XM4/384 - SUSYc1XM8/24, -1/1536*SUSYc1XM1 + SUSYc1XM3/384 - SUSYc1XM5/96 + SUSYc1XM7/24 - SUSYc1XM9/6}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM2","8.0474649850100228070925063063157968554627640771315826132795255626621423281468545002343967598000895207665380474058163","-1/4096 - SUSYc1XM10/6 + SUSYc1XM2/1536 - SUSYc1XM4/768 + SUSYc1XM8/48 - (SUSYc1XM1*SUSYc2XM1)/1024 + (SUSYc1XM3*SUSYc2XM1)/384 - (SUSYc1XM5*SUSYc2XM1)/192 + (SUSYc1XM9*SUSYc2XM1)/12 + SUSYc2XM2/768 + (SUSYc1XM10*SUSYc2XM2)/3 - (SUSYc1XM2*SUSYc2XM2)/256 + (SUSYc1XM4*SUSYc2XM2)/96 + (SUSYc1XM1*SUSYc2XM3)/192 - (SUSYc1XM3*SUSYc2XM3)/64 + (SUSYc1XM5*SUSYc2XM3)/24 - (SUSYc1XM7*SUSYc2XM3)/12 - (5*SUSYc2XM4)/768 + (SUSYc1XM2*SUSYc2XM4)/48 - (SUSYc1XM4*SUSYc2XM4)/16 - (SUSYc1XM8*SUSYc2XM4)/3","{-1/1024*SUSYc2XM1 + SUSYc2XM3/192, 1/1536 - SUSYc2XM2/256 + SUSYc2XM4/48, SUSYc2XM1/384 - SUSYc2XM3/64, -1/768 + SUSYc2XM2/96 - SUSYc2XM4/16, -1/192*SUSYc2XM1 + SUSYc2XM3/24, -1/12*SUSYc2XM3, 1/48 - SUSYc2XM4/3, SUSYc2XM1/12, -1/6 + SUSYc2XM2/3, -1/1024*SUSYc1XM1 + SUSYc1XM3/384 - SUSYc1XM5/192 + SUSYc1XM9/12, 1/768 + SUSYc1XM10/3 - SUSYc1XM2/256 + SUSYc1XM4/96, SUSYc1XM1/192 - SUSYc1XM3/64 + SUSYc1XM5/24 - SUSYc1XM7/12, -5/768 + SUSYc1XM2/48 - SUSYc1XM4/16 - SUSYc1XM8/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM3","11.5786963069730505587567882765447875535806532919738802302059507340955911031259156932907727563589469206272366419782815","SUSYc1XM1/1024 + SUSYc1XM3/1536 - SUSYc1XM5/96 + SUSYc1XM7/32 + SUSYc1XM9/12 - (3*SUSYc2XM1)/1024 + (SUSYc1XM10*SUSYc2XM1)/2 + (7*SUSYc1XM2*SUSYc2XM1)/1536 + (SUSYc1XM8*SUSYc2XM1)/12 - (19*SUSYc1XM1*SUSYc2XM2)/1536 + (SUSYc1XM3*SUSYc2XM2)/48 - (SUSYc1XM5*SUSYc2XM2)/96 - (SUSYc1XM7*SUSYc2XM2)/12 + (SUSYc1XM9*SUSYc2XM2)/6 + (35*SUSYc2XM3)/1536 - (5*SUSYc1XM2*SUSYc2XM3)/96 + (3*SUSYc1XM4*SUSYc2XM3)/32 - (SUSYc1XM8*SUSYc2XM3)/6 + (3*SUSYc1XM1*SUSYc2XM4)/32 - (7*SUSYc1XM3*SUSYc2XM4)/32 + (5*SUSYc1XM5*SUSYc2XM4)/12 - (SUSYc1XM7*SUSYc2XM4)/2","{1/1024 - (19*SUSYc2XM2)/1536 + (3*SUSYc2XM4)/32, (7*SUSYc2XM1)/1536 - (5*SUSYc2XM3)/96, 1/1536 + SUSYc2XM2/48 - (7*SUSYc2XM4)/32, (3*SUSYc2XM3)/32, -1/96 - SUSYc2XM2/96 + (5*SUSYc2XM4)/12, 1/32 - SUSYc2XM2/12 - SUSYc2XM4/2, SUSYc2XM1/12 - SUSYc2XM3/6, 1/12 + SUSYc2XM2/6, SUSYc2XM1/2, -3/1024 + SUSYc1XM10/2 + (7*SUSYc1XM2)/1536 + SUSYc1XM8/12, (-19*SUSYc1XM1)/1536 + SUSYc1XM3/48 - SUSYc1XM5/96 - SUSYc1XM7/12 + SUSYc1XM9/6, 35/1536 - (5*SUSYc1XM2)/96 + (3*SUSYc1XM4)/32 - SUSYc1XM8/6, (3*SUSYc1XM1)/32 - (7*SUSYc1XM3)/32 + (5*SUSYc1XM5)/12 - SUSYc1XM7/2}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM4","23.900230773544020177713360197693967542776337318980113805856489631344691022257088964284709148000549537840363075682277","-1/1536 + (2*SUSYc1XM10)/3 + SUSYc1XM2/128 - SUSYc1XM4/48 + SUSYc1XM8/6 + (SUSYc1XM1*SUSYc2XM1)/768 + (SUSYc1XM3*SUSYc2XM1)/48 - (SUSYc1XM5*SUSYc2XM1)/16 + (SUSYc1XM9*SUSYc2XM1)/3 - (5*SUSYc2XM2)/192 + (SUSYc1XM2*SUSYc2XM2)/48 + (SUSYc1XM4*SUSYc2XM2)/24 - (SUSYc1XM1*SUSYc2XM3)/8 + (7*SUSYc1XM3*SUSYc2XM3)/48 - (SUSYc1XM7*SUSYc2XM3)/3 + (5*SUSYc2XM4)/16 - (7*SUSYc1XM2*SUSYc2XM4)/12 + (5*SUSYc1XM4*SUSYc2XM4)/6","{SUSYc2XM1/768 - SUSYc2XM3/8, 1/128 + SUSYc2XM2/48 - (7*SUSYc2XM4)/12, SUSYc2XM1/48 + (7*SUSYc2XM3)/48, -1/48 + SUSYc2XM2/24 + (5*SUSYc2XM4)/6, -1/16*SUSYc2XM1, -1/3*SUSYc2XM3, 1/6, SUSYc2XM1/3, 2/3, SUSYc1XM1/768 + SUSYc1XM3/48 - SUSYc1XM5/16 + SUSYc1XM9/3, -5/192 + SUSYc1XM2/48 + SUSYc1XM4/24, -1/8*SUSYc1XM1 + (7*SUSYc1XM3)/48 - SUSYc1XM7/3, 5/16 - (7*SUSYc1XM2)/12 + (5*SUSYc1XM4)/6}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM5","24.9188757991790220733075998884819019023029466048116869856593801097695905190154798300130275941824208097604050145570095","(29*SUSYc1XM1)/1536 - SUSYc1XM3/64 - SUSYc1XM5/16 + SUSYc1XM7/8 + SUSYc1XM9/2 - (25*SUSYc2XM1)/1536 + (11*SUSYc1XM2*SUSYc2XM1)/192 - (SUSYc1XM4*SUSYc2XM1)/16 + (SUSYc1XM8*SUSYc2XM1)/6 - (SUSYc1XM1*SUSYc2XM2)/64 + (7*SUSYc1XM3*SUSYc2XM2)/48 - (5*SUSYc1XM5*SUSYc2XM2)/24 - (SUSYc1XM7*SUSYc2XM2)/6 - (15*SUSYc2XM3)/64 + (7*SUSYc1XM2*SUSYc2XM3)/48 + (5*SUSYc1XM4*SUSYc2XM3)/24 - (21*SUSYc1XM1*SUSYc2XM4)/16 + (35*SUSYc1XM3*SUSYc2XM4)/24 - (5*SUSYc1XM5*SUSYc2XM4)/6","{29/1536 - SUSYc2XM2/64 - (21*SUSYc2XM4)/16, (11*SUSYc2XM1)/192 + (7*SUSYc2XM3)/48, -1/64 + (7*SUSYc2XM2)/48 + (35*SUSYc2XM4)/24, -1/16*SUSYc2XM1 + (5*SUSYc2XM3)/24, -1/16 - (5*SUSYc2XM2)/24 - (5*SUSYc2XM4)/6, 1/8 - SUSYc2XM2/6, SUSYc2XM1/6, 1/2, 0, -25/1536 + (11*SUSYc1XM2)/192 - SUSYc1XM4/16 + SUSYc1XM8/6, -1/64*SUSYc1XM1 + (7*SUSYc1XM3)/48 - (5*SUSYc1XM5)/24 - SUSYc1XM7/6, -15/64 + (7*SUSYc1XM2)/48 + (5*SUSYc1XM4)/24, (-21*SUSYc1XM1)/16 + (35*SUSYc1XM3)/24 - (5*SUSYc1XM5)/6}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM7","12647.4515150313492346143479474401090910166728300326034138962851779729971666504572760554145940343271777549189456809746637","19/768 + SUSYc1XM2/48 - SUSYc1XM4/8 + SUSYc1XM8/3 + (3*SUSYc1XM1*SUSYc2XM1)/32 - (SUSYc1XM5*SUSYc2XM1)/4 - SUSYc2XM2/8 + (7*SUSYc1XM2*SUSYc2XM2)/24 - (SUSYc1XM4*SUSYc2XM2)/6 + (7*SUSYc1XM3*SUSYc2XM3)/12 - (2*SUSYc1XM5*SUSYc2XM3)/3 - (21*SUSYc2XM4)/8 + (7*SUSYc1XM2*SUSYc2XM4)/3 - SUSYc1XM4*SUSYc2XM4","{(3*SUSYc2XM1)/32, 1/48 + (7*SUSYc2XM2)/24 + (7*SUSYc2XM4)/3, (7*SUSYc2XM3)/12, -1/8 - SUSYc2XM2/6 - SUSYc2XM4, -1/4*SUSYc2XM1 - (2*SUSYc2XM3)/3, 0, 1/3, 0, 0, (3*SUSYc1XM1)/32 - SUSYc1XM5/4, -1/8 + (7*SUSYc1XM2)/24 - SUSYc1XM4/6, (7*SUSYc1XM3)/12 - (2*SUSYc1XM5)/3, -21/8 + (7*SUSYc1XM2)/3 - SUSYc1XM4}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM8","-17662.8377983748604197087763092255825171529453504812589543523000621992865838890375084939634588611541676605811944907679412","(3*SUSYc1XM1)/32 - (7*SUSYc1XM3)/48 - SUSYc1XM5/6 + SUSYc1XM7/6 + (3*SUSYc2XM1)/32 + (7*SUSYc1XM2*SUSYc2XM1)/48 - (SUSYc1XM4*SUSYc2XM1)/3 + (7*SUSYc1XM1*SUSYc2XM2)/16 - (SUSYc1XM5*SUSYc2XM2)/2 - (7*SUSYc2XM3)/16 + (7*SUSYc1XM2*SUSYc2XM3)/6 - (5*SUSYc1XM4*SUSYc2XM3)/6 + (7*SUSYc1XM1*SUSYc2XM4)/2 - (7*SUSYc1XM3*SUSYc2XM4)/6","{3/32 + (7*SUSYc2XM2)/16 + (7*SUSYc2XM4)/2, (7*SUSYc2XM1)/48 + (7*SUSYc2XM3)/6, -7/48 - (7*SUSYc2XM4)/6, -1/3*SUSYc2XM1 - (5*SUSYc2XM3)/6, -1/6 - SUSYc2XM2/2, 1/6, 0, 0, 0, 3/32 + (7*SUSYc1XM2)/48 - SUSYc1XM4/3, (7*SUSYc1XM1)/16 - SUSYc1XM5/2, -7/16 + (7*SUSYc1XM2)/6 - (5*SUSYc1XM4)/6, (7*SUSYc1XM1)/2 - (7*SUSYc1XM3)/6}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM9","-25579.1035617052893261907075546621175978676905858924709245924615852024617006393152274000446075171103729624081150710772564","3/16 - SUSYc1XM2/12 - SUSYc1XM4/3 + (3*SUSYc1XM1*SUSYc2XM1)/8 - (SUSYc1XM3*SUSYc2XM1)/3 - (SUSYc1XM5*SUSYc2XM1)/3 + SUSYc2XM2/2 + (SUSYc1XM2*SUSYc2XM2)/3 - (2*SUSYc1XM4*SUSYc2XM2)/3 + 2*SUSYc1XM1*SUSYc2XM3 - SUSYc1XM3*SUSYc2XM3 + 5*SUSYc2XM4 - (4*SUSYc1XM2*SUSYc2XM4)/3","{(3*SUSYc2XM1)/8 + 2*SUSYc2XM3, -1/12 + SUSYc2XM2/3 - (4*SUSYc2XM4)/3, -1/3*SUSYc2XM1 - SUSYc2XM3, -1/3 - (2*SUSYc2XM2)/3, -1/3*SUSYc2XM1, 0, 0, 0, 0, (3*SUSYc1XM1)/8 - SUSYc1XM3/3 - SUSYc1XM5/3, 1/2 + SUSYc1XM2/3 - (2*SUSYc1XM4)/3, 2*SUSYc1XM1 - SUSYc1XM3, 5 - (4*SUSYc1XM2)/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM10","49035.2840121733934428904936048795279989408656112428125599654302557128573061246972428287623419055212977748827992518462498","(3*SUSYc1XM1)/32 - (11*SUSYc1XM3)/24 - SUSYc1XM5/6 + (21*SUSYc2XM1)/32 - (5*SUSYc1XM2*SUSYc2XM1)/24 - (SUSYc1XM4*SUSYc2XM1)/2 + (7*SUSYc1XM1*SUSYc2XM2)/8 - (5*SUSYc1XM3*SUSYc2XM2)/6 + (25*SUSYc2XM3)/8 - (7*SUSYc1XM2*SUSYc2XM3)/6 - (3*SUSYc1XM1*SUSYc2XM4)/2","{3/32 + (7*SUSYc2XM2)/8 - (3*SUSYc2XM4)/2, (-5*SUSYc2XM1)/24 - (7*SUSYc2XM3)/6, -11/24 - (5*SUSYc2XM2)/6, -1/2*SUSYc2XM1, -1/6, 0, 0, 0, 0, 21/32 - (5*SUSYc1XM2)/24 - SUSYc1XM4/2, (7*SUSYc1XM1)/8 - (5*SUSYc1XM3)/6, 25/8 - (7*SUSYc1XM2)/6, (-3*SUSYc1XM1)/2}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc2XM1","-429.9136806024008312133139732026330693619343454045425374916966181978082697656674499134258090553823785039293170311350721","19/48 - SUSYc1XM2/2 - SUSYc1XM4/3 + (SUSYc1XM1*SUSYc2XM1)/12 - (2*SUSYc1XM3*SUSYc2XM1)/3 + (5*SUSYc2XM2)/3 - SUSYc1XM2*SUSYc2XM2 - (4*SUSYc1XM1*SUSYc2XM3)/3 - (5*SUSYc2XM4)/3","{SUSYc2XM1/12 - (4*SUSYc2XM3)/3, -1/2 - SUSYc2XM2, (-2*SUSYc2XM1)/3, -1/3, 0, 0, 0, 0, 0, SUSYc1XM1/12 - (2*SUSYc1XM3)/3, 5/3 - SUSYc1XM2, (-4*SUSYc1XM1)/3, -5/3}"
