"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12}}",500,"SUSYc1XM1","0.0026364806903386484118364994378013322580878519176486101145877745902648516481297856960679263467690830060154639419227","1/28672 - SUSYc1XM10/28 - SUSYc1XM2/7168 + SUSYc1XM4/1792 - SUSYc1XM6/448 + SUSYc1XM8/112 + (SUSYc1XM1*SUSYc2XM1)/7168 - (SUSYc1XM3*SUSYc2XM1)/1792 + (SUSYc1XM5*SUSYc2XM1)/448 + (SUSYc1XM9*SUSYc2XM1)/28 - SUSYc2XM2/7168 + (SUSYc1XM10*SUSYc2XM2)/7 + (SUSYc1XM2*SUSYc2XM2)/1792 - (SUSYc1XM4*SUSYc2XM2)/448 + (SUSYc1XM6*SUSYc2XM2)/112 - (SUSYc1XM8*SUSYc2XM2)/28 - (SUSYc1XM1*SUSYc2XM3)/1792 + (SUSYc1XM3*SUSYc2XM3)/448 - (SUSYc1XM5*SUSYc2XM3)/112 - (SUSYc1XM9*SUSYc2XM3)/7","{SUSYc2XM1/7168 - SUSYc2XM3/1792, -1/7168 + SUSYc2XM2/1792, -1/1792*SUSYc2XM1 + SUSYc2XM3/448, 1/1792 - SUSYc2XM2/448, SUSYc2XM1/448 - SUSYc2XM3/112, -1/448 + SUSYc2XM2/112, 1/112 - SUSYc2XM2/28, SUSYc2XM1/28 - SUSYc2XM3/7, -1/28 + SUSYc2XM2/7, SUSYc1XM1/7168 - SUSYc1XM3/1792 + SUSYc1XM5/448 + SUSYc1XM9/28, -1/7168 + SUSYc1XM10/7 + SUSYc1XM2/1792 - SUSYc1XM4/448 + SUSYc1XM6/112 - SUSYc1XM8/28, -1/1792*SUSYc1XM1 + SUSYc1XM3/448 - SUSYc1XM5/112 - SUSYc1XM9/7}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12}}",500,"SUSYc1XM2","5.6134007962080253088390079316607761130695526052494746767669135968014245370964233211846115688940650050742056293452902","(-3*SUSYc1XM1)/3584 + SUSYc1XM3/448 - SUSYc1XM5/224 + SUSYc1XM9/14 + SUSYc2XM1/896 + (2*SUSYc1XM10*SUSYc2XM1)/7 - (3*SUSYc1XM2*SUSYc2XM1)/896 + (SUSYc1XM4*SUSYc2XM1)/112 - (SUSYc1XM6*SUSYc2XM1)/56 + (SUSYc1XM1*SUSYc2XM2)/224 - (3*SUSYc1XM3*SUSYc2XM2)/224 + (SUSYc1XM5*SUSYc2XM2)/28 - (5*SUSYc2XM3)/896 + (SUSYc1XM2*SUSYc2XM3)/56 - (3*SUSYc1XM4*SUSYc2XM3)/56 + (SUSYc1XM6*SUSYc2XM3)/7 - (2*SUSYc1XM8*SUSYc2XM3)/7","{-3/3584 + SUSYc2XM2/224, (-3*SUSYc2XM1)/896 + SUSYc2XM3/56, 1/448 - (3*SUSYc2XM2)/224, SUSYc2XM1/112 - (3*SUSYc2XM3)/56, -1/224 + SUSYc2XM2/28, -1/56*SUSYc2XM1 + SUSYc2XM3/7, (-2*SUSYc2XM3)/7, 1/14, (2*SUSYc2XM1)/7, 1/896 + (2*SUSYc1XM10)/7 - (3*SUSYc1XM2)/896 + SUSYc1XM4/112 - SUSYc1XM6/56, SUSYc1XM1/224 - (3*SUSYc1XM3)/224 + SUSYc1XM5/28, -5/896 + SUSYc1XM2/56 - (3*SUSYc1XM4)/56 + SUSYc1XM6/7 - (2*SUSYc1XM8)/7}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12}}",500,"SUSYc1XM3","0.0151846398411747470657482920266884387048514018807040100647913631963357197903787085444476752608089860375376711984825","-9/3584 + (3*SUSYc1XM10)/7 + SUSYc1XM2/256 - (3*SUSYc1XM6)/112 + SUSYc1XM8/14 - (19*SUSYc1XM1*SUSYc2XM1)/1792 + (SUSYc1XM3*SUSYc2XM1)/56 - (SUSYc1XM5*SUSYc2XM1)/112 + (SUSYc1XM9*SUSYc2XM1)/7 + (5*SUSYc2XM2)/256 - (5*SUSYc1XM2*SUSYc2XM2)/112 + (9*SUSYc1XM4*SUSYc2XM2)/112 - (SUSYc1XM6*SUSYc2XM2)/14 - (SUSYc1XM8*SUSYc2XM2)/7 + (9*SUSYc1XM1*SUSYc2XM3)/112 - (3*SUSYc1XM3*SUSYc2XM3)/16 + (5*SUSYc1XM5*SUSYc2XM3)/14","{(-19*SUSYc2XM1)/1792 + (9*SUSYc2XM3)/112, 1/256 - (5*SUSYc2XM2)/112, SUSYc2XM1/56 - (3*SUSYc2XM3)/16, (9*SUSYc2XM2)/112, -1/112*SUSYc2XM1 + (5*SUSYc2XM3)/14, -3/112 - SUSYc2XM2/14, 1/14 - SUSYc2XM2/7, SUSYc2XM1/7, 3/7, (-19*SUSYc1XM1)/1792 + SUSYc1XM3/56 - SUSYc1XM5/112 + SUSYc1XM9/7, 5/256 - (5*SUSYc1XM2)/112 + (9*SUSYc1XM4)/112 - SUSYc1XM6/14 - SUSYc1XM8/7, (9*SUSYc1XM1)/112 - (3*SUSYc1XM3)/16 + (5*SUSYc1XM5)/14}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12}}",500,"SUSYc1XM4","12.3818868856213841195007956011190550478670522928080047596650588151738220838162612846143756583491441591520937049556323","SUSYc1XM1/896 + SUSYc1XM3/56 - (3*SUSYc1XM5)/56 + (2*SUSYc1XM9)/7 - (5*SUSYc2XM1)/224 + (SUSYc1XM2*SUSYc2XM1)/56 + (SUSYc1XM4*SUSYc2XM1)/28 - (SUSYc1XM6*SUSYc2XM1)/7 - (3*SUSYc1XM1*SUSYc2XM2)/28 + (SUSYc1XM3*SUSYc2XM2)/8 + (15*SUSYc2XM3)/56 - (SUSYc1XM2*SUSYc2XM3)/2 + (5*SUSYc1XM4*SUSYc2XM3)/7 - (4*SUSYc1XM6*SUSYc2XM3)/7","{1/896 - (3*SUSYc2XM2)/28, SUSYc2XM1/56 - SUSYc2XM3/2, 1/56 + SUSYc2XM2/8, SUSYc2XM1/28 + (5*SUSYc2XM3)/7, -3/56, -1/7*SUSYc2XM1 - (4*SUSYc2XM3)/7, 0, 2/7, 0, -5/224 + SUSYc1XM2/56 + SUSYc1XM4/28 - SUSYc1XM6/7, (-3*SUSYc1XM1)/28 + SUSYc1XM3/8, 15/56 - SUSYc1XM2/2 + (5*SUSYc1XM4)/7 - (4*SUSYc1XM6)/7}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12}}",500,"SUSYc1XM5","0.0310330832462421007313943380727344011510649696253225570591824813260764530541711047244675482060079059660790545500113","-25/1792 + (11*SUSYc1XM2)/224 - (3*SUSYc1XM4)/56 - (3*SUSYc1XM6)/28 + SUSYc1XM8/7 - (3*SUSYc1XM1*SUSYc2XM1)/224 + (SUSYc1XM3*SUSYc2XM1)/8 - (5*SUSYc1XM5*SUSYc2XM1)/28 - (45*SUSYc2XM2)/224 + (SUSYc1XM2*SUSYc2XM2)/8 + (5*SUSYc1XM4*SUSYc2XM2)/28 - (3*SUSYc1XM6*SUSYc2XM2)/7 - (9*SUSYc1XM1*SUSYc2XM3)/8 + (5*SUSYc1XM3*SUSYc2XM3)/4 - (5*SUSYc1XM5*SUSYc2XM3)/7","{(-3*SUSYc2XM1)/224 - (9*SUSYc2XM3)/8, 11/224 + SUSYc2XM2/8, SUSYc2XM1/8 + (5*SUSYc2XM3)/4, -3/56 + (5*SUSYc2XM2)/28, (-5*SUSYc2XM1)/28 - (5*SUSYc2XM3)/7, -3/28 - (3*SUSYc2XM2)/7, 1/7, 0, 0, (-3*SUSYc1XM1)/224 + SUSYc1XM3/8 - (5*SUSYc1XM5)/28, -45/224 + SUSYc1XM2/8 + (5*SUSYc1XM4)/28 - (3*SUSYc1XM6)/7, (-9*SUSYc1XM1)/8 + (5*SUSYc1XM3)/4 - (5*SUSYc1XM5)/7}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12}}",500,"SUSYc1XM6","11.9070825528808881870620049403736279814700940774330767007331943230892584232176780283005414888241032709662850623878358","(9*SUSYc1XM1)/112 - (3*SUSYc1XM5)/14 - (3*SUSYc2XM1)/28 + (SUSYc1XM2*SUSYc2XM1)/4 - (SUSYc1XM4*SUSYc2XM1)/7 - (2*SUSYc1XM6*SUSYc2XM1)/7 + (SUSYc1XM3*SUSYc2XM2)/2 - (4*SUSYc1XM5*SUSYc2XM2)/7 - (9*SUSYc2XM3)/4 + 2*SUSYc1XM2*SUSYc2XM3 - (6*SUSYc1XM4*SUSYc2XM3)/7","{9/112, SUSYc2XM1/4 + 2*SUSYc2XM3, SUSYc2XM2/2, -1/7*SUSYc2XM1 - (6*SUSYc2XM3)/7, -3/14 - (4*SUSYc2XM2)/7, (-2*SUSYc2XM1)/7, 0, 0, 0, -3/28 + SUSYc1XM2/4 - SUSYc1XM4/7 - (2*SUSYc1XM6)/7, SUSYc1XM3/2 - (4*SUSYc1XM5)/7, -9/4 + 2*SUSYc1XM2 - (6*SUSYc1XM4)/7}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12}}",500,"SUSYc1XM8","14.4146486684899767578925506972150408773229250603267120406180123488585774162362970188497201590469976513051969178727239","9/112 + SUSYc1XM2/8 - (2*SUSYc1XM4)/7 - SUSYc1XM6/7 + (3*SUSYc1XM1*SUSYc2XM1)/8 - (3*SUSYc1XM5*SUSYc2XM1)/7 - (3*SUSYc2XM2)/8 + SUSYc1XM2*SUSYc2XM2 - (5*SUSYc1XM4*SUSYc2XM2)/7 + 3*SUSYc1XM1*SUSYc2XM3 - SUSYc1XM3*SUSYc2XM3","{(3*SUSYc2XM1)/8 + 3*SUSYc2XM3, 1/8 + SUSYc2XM2, -SUSYc2XM3, -2/7 - (5*SUSYc2XM2)/7, (-3*SUSYc2XM1)/7, -1/7, 0, 0, 0, (3*SUSYc1XM1)/8 - (3*SUSYc1XM5)/7, -3/8 + SUSYc1XM2 - (5*SUSYc1XM4)/7, 3*SUSYc1XM1 - SUSYc1XM3}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12}}",500,"SUSYc1XM9","0.0480364833205425224444457924721267187139277625604644756765616009691176870910363917321354230991050243478444964827271","(9*SUSYc1XM1)/28 - (2*SUSYc1XM3)/7 - (2*SUSYc1XM5)/7 + (3*SUSYc2XM1)/7 + (2*SUSYc1XM2*SUSYc2XM1)/7 - (4*SUSYc1XM4*SUSYc2XM1)/7 + (12*SUSYc1XM1*SUSYc2XM2)/7 - (6*SUSYc1XM3*SUSYc2XM2)/7 + (30*SUSYc2XM3)/7 - (8*SUSYc1XM2*SUSYc2XM3)/7","{9/28 + (12*SUSYc2XM2)/7, (2*SUSYc2XM1)/7 - (8*SUSYc2XM3)/7, -2/7 - (6*SUSYc2XM2)/7, (-4*SUSYc2XM1)/7, -2/7, 0, 0, 0, 0, 3/7 + (2*SUSYc1XM2)/7 - (4*SUSYc1XM4)/7, (12*SUSYc1XM1)/7 - (6*SUSYc1XM3)/7, 30/7 - (8*SUSYc1XM2)/7}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12}}",500,"SUSYc1XM10","-24.3301525582547174616090480839742788065381311755651196467547237030559103651511274166773612306308055268198145073200989","9/16 - (5*SUSYc1XM2)/28 - (3*SUSYc1XM4)/7 + (3*SUSYc1XM1*SUSYc2XM1)/4 - (5*SUSYc1XM3*SUSYc2XM1)/7 + (75*SUSYc2XM2)/28 - SUSYc1XM2*SUSYc2XM2 - (9*SUSYc1XM1*SUSYc2XM3)/7","{(3*SUSYc2XM1)/4 - (9*SUSYc2XM3)/7, -5/28 - SUSYc2XM2, (-5*SUSYc2XM1)/7, -3/7, 0, 0, 0, 0, 0, (3*SUSYc1XM1)/4 - (5*SUSYc1XM3)/7, 75/28 - SUSYc1XM2, (-9*SUSYc1XM1)/7}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12}}",500,"SUSYc2XM1","-437.501977360517753986308877374578350999193565888938236457585940830942698638736097339272050944760076812254511597956442","SUSYc1XM1/14 - (4*SUSYc1XM3)/7 + (10*SUSYc2XM1)/7 - (6*SUSYc1XM2*SUSYc2XM1)/7 - (8*SUSYc1XM1*SUSYc2XM2)/7 - (10*SUSYc2XM3)/7","{1/14 - (8*SUSYc2XM2)/7, (-6*SUSYc2XM1)/7, -4/7, 0, 0, 0, 0, 0, 0, 10/7 - (6*SUSYc1XM2)/7, (-8*SUSYc1XM1)/7, -10/7}"
