"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM1","-1.9212655743236226746072358968668463178921118374408349773694144398538299454529855509348934076122742028691081638419401","SUSYc1XM1/8192 - SUSYc1XM3/2048 + SUSYc1XM5/512 - SUSYc1XM7/128 + SUSYc1XM9/32 - SUSYc2XM1/8192 + (SUSYc1XM10*SUSYc2XM1)/8 + (SUSYc1XM2*SUSYc2XM1)/2048 - (SUSYc1XM4*SUSYc2XM1)/512 + (SUSYc1XM6*SUSYc2XM1)/128 - (SUSYc1XM1*SUSYc2XM2)/2048 + (SUSYc1XM3*SUSYc2XM2)/512 - (SUSYc1XM5*SUSYc2XM2)/128 + (SUSYc1XM7*SUSYc2XM2)/32 - (SUSYc1XM9*SUSYc2XM2)/8","{1/8192 - SUSYc2XM2/2048, SUSYc2XM1/2048, -1/2048 + SUSYc2XM2/512, -1/512*SUSYc2XM1, 1/512 - SUSYc2XM2/128, SUSYc2XM1/128, -1/128 + SUSYc2XM2/32, 1/32 - SUSYc2XM2/8, SUSYc2XM1/8, -1/8192 + SUSYc1XM10/8 + SUSYc1XM2/2048 - SUSYc1XM4/512 + SUSYc1XM6/128, -1/2048*SUSYc1XM1 + SUSYc1XM3/512 - SUSYc1XM5/128 + SUSYc1XM7/32 - SUSYc1XM9/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM2","6.4794298461726140908394315251592968505860854465581447912587325267096643319333266785645679429004279007338979182862001","1/1024 + SUSYc1XM10/4 - (3*SUSYc1XM2)/1024 + SUSYc1XM4/128 - SUSYc1XM6/64 + (SUSYc1XM1*SUSYc2XM1)/256 - (3*SUSYc1XM3*SUSYc2XM1)/256 + (SUSYc1XM5*SUSYc2XM1)/32 - (SUSYc1XM7*SUSYc2XM1)/16 - (5*SUSYc2XM2)/1024 + (SUSYc1XM2*SUSYc2XM2)/64 - (3*SUSYc1XM4*SUSYc2XM2)/64 + (SUSYc1XM6*SUSYc2XM2)/8","{SUSYc2XM1/256, -3/1024 + SUSYc2XM2/64, (-3*SUSYc2XM1)/256, 1/128 - (3*SUSYc2XM2)/64, SUSYc2XM1/32, -1/64 + SUSYc2XM2/8, -1/16*SUSYc2XM1, 0, 1/4, SUSYc1XM1/256 - (3*SUSYc1XM3)/256 + SUSYc1XM5/32 - SUSYc1XM7/16, -5/1024 + SUSYc1XM2/64 - (3*SUSYc1XM4)/64 + SUSYc1XM6/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM3","-9.4410275077169259214359381241975723110821572783478472419965086353877743627451115892357252349380159636850231220835868","(-19*SUSYc1XM1)/2048 + SUSYc1XM3/64 - SUSYc1XM5/128 - SUSYc1XM7/16 + SUSYc1XM9/8 + (35*SUSYc2XM1)/2048 - (5*SUSYc1XM2*SUSYc2XM1)/128 + (9*SUSYc1XM4*SUSYc2XM1)/128 - (SUSYc1XM6*SUSYc2XM1)/16 + (9*SUSYc1XM1*SUSYc2XM2)/128 - (21*SUSYc1XM3*SUSYc2XM2)/128 + (5*SUSYc1XM5*SUSYc2XM2)/16 - (3*SUSYc1XM7*SUSYc2XM2)/8","{-19/2048 + (9*SUSYc2XM2)/128, (-5*SUSYc2XM1)/128, 1/64 - (21*SUSYc2XM2)/128, (9*SUSYc2XM1)/128, -1/128 + (5*SUSYc2XM2)/16, -1/16*SUSYc2XM1, -1/16 - (3*SUSYc2XM2)/8, 1/8, 0, 35/2048 - (5*SUSYc1XM2)/128 + (9*SUSYc1XM4)/128 - SUSYc1XM6/16, (9*SUSYc1XM1)/128 - (21*SUSYc1XM3)/128 + (5*SUSYc1XM5)/16 - (3*SUSYc1XM7)/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM4","16.471138375132173230918410848179329141744932876046506852379186444391515490682529465055159359755341188405146539261155","-5/256 + SUSYc1XM2/64 + SUSYc1XM4/32 - SUSYc1XM6/8 - (3*SUSYc1XM1*SUSYc2XM1)/32 + (7*SUSYc1XM3*SUSYc2XM1)/64 - (SUSYc1XM7*SUSYc2XM1)/4 + (15*SUSYc2XM2)/64 - (7*SUSYc1XM2*SUSYc2XM2)/16 + (5*SUSYc1XM4*SUSYc2XM2)/8 - (SUSYc1XM6*SUSYc2XM2)/2","{(-3*SUSYc2XM1)/32, 1/64 - (7*SUSYc2XM2)/16, (7*SUSYc2XM1)/64, 1/32 + (5*SUSYc2XM2)/8, 0, -1/8 - SUSYc2XM2/2, -1/4*SUSYc2XM1, 0, 0, (-3*SUSYc1XM1)/32 + (7*SUSYc1XM3)/64 - SUSYc1XM7/4, 15/64 - (7*SUSYc1XM2)/16 + (5*SUSYc1XM4)/8 - SUSYc1XM6/2}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM5","-17.4458034358946449576618434281020365906891373664215232577601634682405757596812459434248421135244476949944343767519952","(-3*SUSYc1XM1)/256 + (7*SUSYc1XM3)/64 - (5*SUSYc1XM5)/32 - SUSYc1XM7/8 - (45*SUSYc2XM1)/256 + (7*SUSYc1XM2*SUSYc2XM1)/64 + (5*SUSYc1XM4*SUSYc2XM1)/32 - (3*SUSYc1XM6*SUSYc2XM1)/8 - (63*SUSYc1XM1*SUSYc2XM2)/64 + (35*SUSYc1XM3*SUSYc2XM2)/32 - (5*SUSYc1XM5*SUSYc2XM2)/8","{-3/256 - (63*SUSYc2XM2)/64, (7*SUSYc2XM1)/64, 7/64 + (35*SUSYc2XM2)/32, (5*SUSYc2XM1)/32, -5/32 - (5*SUSYc2XM2)/8, (-3*SUSYc2XM1)/8, -1/8, 0, 0, -45/256 + (7*SUSYc1XM2)/64 + (5*SUSYc1XM4)/32 - (3*SUSYc1XM6)/8, (-63*SUSYc1XM1)/64 + (35*SUSYc1XM3)/32 - (5*SUSYc1XM5)/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM6","18.425696861382113683481569362850444008663902763232953221506937976614118513853618080922899630215201589909872887395194","-3/32 + (7*SUSYc1XM2)/32 - SUSYc1XM4/8 - SUSYc1XM6/4 + (7*SUSYc1XM3*SUSYc2XM1)/16 - (SUSYc1XM5*SUSYc2XM1)/2 - (63*SUSYc2XM2)/32 + (7*SUSYc1XM2*SUSYc2XM2)/4 - (3*SUSYc1XM4*SUSYc2XM2)/4","{0, 7/32 + (7*SUSYc2XM2)/4, (7*SUSYc2XM1)/16, -1/8 - (3*SUSYc2XM2)/4, -1/2*SUSYc2XM1, -1/4, 0, 0, 0, (7*SUSYc1XM3)/16 - SUSYc1XM5/2, -63/32 + (7*SUSYc1XM2)/4 - (3*SUSYc1XM4)/4}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM7","-12.7715938329596174997453065469872758625946132004550003742579713426429004330395899032047393366041121377487583684201704","(21*SUSYc1XM1)/64 - (3*SUSYc1XM5)/8 - (21*SUSYc2XM1)/64 + (7*SUSYc1XM2*SUSYc2XM1)/8 - (5*SUSYc1XM4*SUSYc2XM1)/8 + (21*SUSYc1XM1*SUSYc2XM2)/8 - (7*SUSYc1XM3*SUSYc2XM2)/8","{21/64 + (21*SUSYc2XM2)/8, (7*SUSYc2XM1)/8, (-7*SUSYc2XM2)/8, (-5*SUSYc2XM1)/8, -3/8, 0, 0, 0, 0, -21/64 + (7*SUSYc1XM2)/8 - (5*SUSYc1XM4)/8, (21*SUSYc1XM1)/8 - (7*SUSYc1XM3)/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM9","3290.0373393514488476785879883659933494394939020503196831730228866538834603139919748419057251870485403143396017215889602","3/8 + SUSYc1XM2/4 - SUSYc1XM4/2 + (3*SUSYc1XM1*SUSYc2XM1)/2 - (3*SUSYc1XM3*SUSYc2XM1)/4 + (15*SUSYc2XM2)/4 - SUSYc1XM2*SUSYc2XM2","{(3*SUSYc2XM1)/2, 1/4 - SUSYc2XM2, (-3*SUSYc2XM1)/4, -1/2, 0, 0, 0, 0, 0, (3*SUSYc1XM1)/2 - (3*SUSYc1XM3)/4, 15/4 - SUSYc1XM2}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM10","5082.6776452130142898002904156988115116677207580130246582078043605547763780224770955834831890802527281732407035132136552","(21*SUSYc1XM1)/32 - (5*SUSYc1XM3)/8 + (75*SUSYc2XM1)/32 - (7*SUSYc1XM2*SUSYc2XM1)/8 - (9*SUSYc1XM1*SUSYc2XM2)/8","{21/32 - (9*SUSYc2XM2)/8, (-7*SUSYc2XM1)/8, -5/8, 0, 0, 0, 0, 0, 0, 75/32 - (7*SUSYc1XM2)/8, (-9*SUSYc1XM1)/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc2XM1","-442.9501267755260712530832609691035639749728019042126839064904554356692433757587890159395273496348978422129158725673799","5/4 - (3*SUSYc1XM2)/4 - SUSYc1XM1*SUSYc2XM1 - (5*SUSYc2XM2)/4","{-SUSYc2XM1, -3/4, 0, 0, 0, 0, 0, 0, 0, -SUSYc1XM1, -5/4}"
