"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM1","-564.2177655951238405584438595256664556263505853804027432897018713234467437639906545860413720422860892039055587837053063","-1/9216 + SUSYc1XM10/9 + SUSYc1XM2/2304 - SUSYc1XM4/576 + SUSYc1XM6/144 - SUSYc1XM8/36 - (SUSYc1XM1*SUSYc2XM1)/2304 + (SUSYc1XM3*SUSYc2XM1)/576 - (SUSYc1XM5*SUSYc2XM1)/144 + (SUSYc1XM7*SUSYc2XM1)/36","{-1/2304*SUSYc2XM1, 1/2304, SUSYc2XM1/576, -1/576, -1/144*SUSYc2XM1, 1/144, SUSYc2XM1/36, -1/36, 1/9, -1/2304*SUSYc1XM1 + SUSYc1XM3/576 - SUSYc1XM5/144 + SUSYc1XM7/36}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM2","999.5636906368643755722588517052941960972909797368556851305816798786753380118565801846746296068192382926611829305931424","SUSYc1XM1/288 - SUSYc1XM3/96 + SUSYc1XM5/36 - SUSYc1XM7/18 - (5*SUSYc2XM1)/1152 + (SUSYc1XM2*SUSYc2XM1)/72 - (SUSYc1XM4*SUSYc2XM1)/24 + (SUSYc1XM6*SUSYc2XM1)/9 - (2*SUSYc1XM8*SUSYc2XM1)/9","{1/288, SUSYc2XM1/72, -1/96, -1/24*SUSYc2XM1, 1/36, SUSYc2XM1/9, -1/18, (-2*SUSYc2XM1)/9, 0, -5/1152 + SUSYc1XM2/72 - SUSYc1XM4/24 + SUSYc1XM6/9 - (2*SUSYc1XM8)/9}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM3","-2953.0483279148358268168287792251918564020734664737802178268214018191145896096127308436867741703782605028495140966182231","35/2304 - (5*SUSYc1XM2)/144 + SUSYc1XM4/16 - SUSYc1XM6/18 - SUSYc1XM8/9 + (SUSYc1XM1*SUSYc2XM1)/16 - (7*SUSYc1XM3*SUSYc2XM1)/48 + (5*SUSYc1XM5*SUSYc2XM1)/18 - (SUSYc1XM7*SUSYc2XM1)/3","{SUSYc2XM1/16, -5/144, (-7*SUSYc2XM1)/48, 1/16, (5*SUSYc2XM1)/18, -1/18, -1/3*SUSYc2XM1, -1/9, 0, SUSYc1XM1/16 - (7*SUSYc1XM3)/48 + (5*SUSYc1XM5)/18 - SUSYc1XM7/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM4","3823.7349741195542203088565491315631509205389394694617890436267394175670319421553045245241555242604185082917674234272649","-1/12*SUSYc1XM1 + (7*SUSYc1XM3)/72 - (2*SUSYc1XM7)/9 + (5*SUSYc2XM1)/24 - (7*SUSYc1XM2*SUSYc2XM1)/18 + (5*SUSYc1XM4*SUSYc2XM1)/9 - (4*SUSYc1XM6*SUSYc2XM1)/9","{-1/12, (-7*SUSYc2XM1)/18, 7/72, (5*SUSYc2XM1)/9, 0, (-4*SUSYc2XM1)/9, -2/9, 0, 0, 5/24 - (7*SUSYc1XM2)/18 + (5*SUSYc1XM4)/9 - (4*SUSYc1XM6)/9}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM5","-5663.6195784964601950016812103078615183462626525590790282518234227604192022631276741311212076059654755223389500476234559","-5/32 + (7*SUSYc1XM2)/72 + (5*SUSYc1XM4)/36 - SUSYc1XM6/3 - (7*SUSYc1XM1*SUSYc2XM1)/8 + (35*SUSYc1XM3*SUSYc2XM1)/36 - (5*SUSYc1XM5*SUSYc2XM1)/9","{(-7*SUSYc2XM1)/8, 7/72, (35*SUSYc2XM1)/36, 5/36, (-5*SUSYc2XM1)/9, -1/3, 0, 0, 0, (-7*SUSYc1XM1)/8 + (35*SUSYc1XM3)/36 - (5*SUSYc1XM5)/9}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM6","5055.1239154469632223845567129706585183528214109660448990015860271382128896287589522374893940148639311146157020795603136","(7*SUSYc1XM3)/18 - (4*SUSYc1XM5)/9 - (7*SUSYc2XM1)/4 + (14*SUSYc1XM2*SUSYc2XM1)/9 - (2*SUSYc1XM4*SUSYc2XM1)/3","{0, (14*SUSYc2XM1)/9, 7/18, (-2*SUSYc2XM1)/3, -4/9, 0, 0, 0, 0, -7/4 + (14*SUSYc1XM2)/9 - (2*SUSYc1XM4)/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM7","-4239.9791610830291388623626011181432459670176165974276564119482360286008761862784396700976286319072390426423595155724948","-7/24 + (7*SUSYc1XM2)/9 - (5*SUSYc1XM4)/9 + (7*SUSYc1XM1*SUSYc2XM1)/3 - (7*SUSYc1XM3*SUSYc2XM1)/9","{(7*SUSYc2XM1)/3, 7/9, (-7*SUSYc2XM1)/9, -5/9, 0, 0, 0, 0, 0, (7*SUSYc1XM1)/3 - (7*SUSYc1XM3)/9}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM8","2223.5569234018324400181754010500857138888308414355491824689612717768054606428125279067801805744438584161053649648605765","(4*SUSYc1XM1)/3 - (2*SUSYc1XM3)/3 + (10*SUSYc2XM1)/3 - (8*SUSYc1XM2*SUSYc2XM1)/9","{4/3, (-8*SUSYc2XM1)/9, -2/3, 0, 0, 0, 0, 0, 0, 10/3 - (8*SUSYc1XM2)/9}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM10","1326.3851280005828541702679117632617594463101036429698516243519253180404178637478450125245263150344697424389029138888638","25/12 - (7*SUSYc1XM2)/9 - SUSYc1XM1*SUSYc2XM1","{-SUSYc2XM1, -7/9, 0, 0, 0, 0, 0, 0, 0, -SUSYc1XM1}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc2XM1","1.3742124760990724467550876205331645010804683043221946317614970587573950111925236688330976338288713631244470269642451","-h - (8*SUSYc1XM1)/9 - (10*SUSYc2XM1)/9","{-8/9, 0, 0, 0, 0, 0, 0, 0, 0, -10/9}"
