var,b_final_value
SUSYc1XM1,-1.261916638205475269217559470750155435363659699826629670169981898823285325024580093420739948706150596946375044086464034069199570149655116475320911631055610488732357114057220402067523524975338178418073306930812733483980894643932631569651002853251640622974586317982942695013723035857834089461216945832319525161197882053002391074366073677930867146044139378337841649713781076016320923869198190393238735834811262060332006976148416928884274154392195961658323445605706692751243195731795790044293641661616338431724202595806071859395902137958024128162354910727143129822961043204895975155125971599015131180873865157582044566145175755450124451613832929653712950984024573365201959797887654882401949280178572942350081529526599443669296263271539408500906409580957365521705918165012410502521464241095867083483067755931373056287142401638065313761967409737881190994068661257009687985945741239001249316960869599463149097669908227561304743526057491758099454412961951185947695225899780525827688126458747395637812691284574600e+00
SUSYc1XM2,-1.915281514037553747662095601600025615847670622290251200804081806175531489704771589814061866298792993296879704005817249078582349909699984818438733754772140841537266648333455516996275274444323969432064253600053710394609320496786919540404572738922940495006437926932444326476701846223966444547773050063729476309591306372331679179574685095935739267371860316958104876309330511714032814825737198141381604129540179457593159857409148346427335899115821884259607662299838876784638118414692851457725396022557130577909029186401695093334846260525372217880955553406116670752657837261492406497535605111780058271374349459775014775529883333270003527285682299932066452590270433127290343497921710564289295181735470805683787576800634563377089015467746659052590981660892293624327263007179629114039664421649803604868511140525630277857684076159037217173488852265959741936528189245642869406553431457094296418086039842013056534037465245524708454128750918283994742840660654951077192065246665897408501017988310585743245790748861780e+01
SUSYc1XM4,-2.387784488960088275373190060116178166921113590254625006371150096293457035559082135903680374604577270253462104573664248524967552665097534022646674701164175997965507602541254837579232194634347031770751567588267937925952073801563957455797657613353154125884287806523540384921316755461536775211339440515589922367207515423305868586258211537531198485340311899261347240289473790385096457905569580167643716182761145885072185664230618679081061954008094582015707133417901065288298800691846229126017578712583157462859762152014024246056735963688535651625063273748591226408111292312556318793175332433211884792785947717923079312026695392481731479015727560129249164981190255898800861164591465157615214805163880879325700675956877324682682175676576871452717413312390465155288544803178698426115952913110138919185585274110985950051450483113446650481667128101202402600687188575110538914265751845251062240908031132121378482135662923034384486621387013950895619568397834816157090906916727797906936587292987009563228357089291320e+02
SUSYc1XM5,-2.958343975316524293035205503175294384236856492765241577317188860197279882382234103953882800354910166587582445475980951115055839248920908066009658160150843033961260408603329638720586789712945515855686244345242504126191504937747887101326506087043088346580320488022420273481965313782581944146353457680405359753859840114685057446553994669517682229077580738638381636586276295427557305226151786225688770057918366902389065320845869957818741893068036428121554354971787883326716063471533750386215858008749636860874372174498136584203257669653090943361607079542722242854002618300909867258937253373883137667485331967607179139528569397548280544311945566010362726954776774167882774512788493952726815097629126451612086218930413323342673017134795330811976206700753348448720502082857039221605762671336995948415621715295166712097074802401161427908489857949251407321163423603622385213437889689886845146813218985679913954481534050438701255780967560169429965103398625865593799485464675197267141010425923563760273727299478850e+02
SUSYc1XM6,-2.274631701508373651581874560037743009017155600662338862220723282960348944117029483202081643867868414572384333063053192329234150034237762202229966016317581335153461805536161697471774168057933888128464374860982747149897621613927378720219610129806314969134812998703977840529054338737512507427819758906465670177195103937684895696066492554508085371768144538406180012156977731031290345053032233176839393110999315366923452255583734976195842289938818537284755559326008789877112928972620969248239826412480236991503364050879768741740273815899921764727217175253434311607576294265055923864139968282622983029497849495348214076543887667256024160606174823093521888722159682292187216178527998598823707000002104703952251955860770076157000858324304049798671404633322985060539225691966912469258016033320452201894403759595341898477778726090307297551202380079944564383247603456375743670201343481866251820911960222288683853990716918975176828397415621209538414599191023680201538250698800874688618054678389273623904802313430560e+02
SUSYc1XM7,-7.743084821015869959191235915938905550204485368124889863090256817330742899756740088960703339516426101345328166933031548441661530626271630112413947532496161438859907266860728461039961988032261494851097316713765731887681889834302747661296181717768570998586816519009921334168327164503940639366760266892291705704532947083651628398008310394774776690880153898179084780413385365540952745271788275818392021141095747818784992337161180583052267739307280498318171799471240348829015237362470247603513565189252857859545431732363254252894755436250877134719580877441084734038457038278244770615831672009564225836361011863500611684989532400619612342606104530464480282452440208821768165385022752912189739892774062412346927085222996492765192416578077328015262023439929831406846021072190746226293362606481480242123826959497893878293097255090174946639716226660079293815560244691232629741783865581623037854846538855478578167896512301941855520280444151006165683821732741724903148156420284912887493413619652351212695255176420290e+02
SUSYc1XM8,-5.908335298942061569303234246288101809847033110951023626375866744936626901613284253838286970606077564459923471053457442717622381359082728510407111934295141204674977498316468761411733652410613517074749328243347608259038546255244140508268741421183533460986340366997682779983971183771818176299443062809040915519234348980851253910519706467511735161195454069516117197387035996149479436887542658237476934660848824649770342528766104353095605505910292707310378391143057007119616806733729776954660005239029306657579285078962780530544696511076405673178975024096949275974331058484882042599545826271643247623583680085916425475095494191265725855746800831755265748945523137617943815625693732995429352361068518639978575759629408802149301333699772467157967408834461734089918573672161459624664644728017363774878569874820037207854197846409803858037962456575102865057388290320362434292259559911094476040786507288523149304992423373367852119220868083930105002301259955396902511415454170284511218973421081081087223918976182960e+02
SUSYc1XM9,5.889280941525514895028555699057317158371118825411301837224774847346868006660515360069545953840367209604157026930090113589835395540473292655288674294502540384697211152297273522042072421979919627834504063810425596020208603704907837233699740081648062034855321876661299720712300263869811942371117655753741387748567612807700411003255196060995934018543485204454076559105561087480121571586823417901435940458242855539794684345676427581283651145774297832701650100834754071472362751359901266632289005645628221035634436180055686262004427434572475531176952688071322240857928583409766229391584166473656867606835376063223217425044054073869882257564682515625751536062916356087473589207776017091050533283861222259090962009319827021677877359752342260040676089434268024410822232810568477631958499861626693575856434918377912200759165734671654294528728842647223120569971580248890266162960885579653996646233188376518747983949910928859268549441084244721274293386214473487397031829553928449737600121463684663162212055506620260e+02
SUSYc1XM10,-5.191523730916582356538947251437789490875206972259649924512163421172358293858679862368694403545516200852597808320419239458669071373827270211913620116456580864959035722896968464160343241606081947248882709132846748147733278225898440262080302744675207195813320848767724700558709615945109516473429173500051728884104156812685090421113927427886459915404870253565758962075923353842799951100742350685359248514517664107834353217372394193267870687417305667909975804825442459213145598070482130874147688015573910681977225040538910894219663893819890032497214204480818662683813374315712981338810833334752736486814808344791799275114829183066989892764851390741395955610790340556507649728119649982481291702948444986156281102173536804978919809515452791406426943232929586532898315052541315259009889762106622601836663925693222983612544801944009565123775944759478640411022727688744424791790489544483436464766395416863757515188577300666087408463467960550736648895232152647180563065815141617645490780373644622078689025467288110e+02
SUSYc2XM1,6.309583191027376346087797353750777176818298499133148350849909494116426625122900467103699743530752984731875220432320170345997850748275582376604558155278052443661785570286102010337617624876690892090366534654063667419904473219663157848255014266258203114872931589914713475068615179289170447306084729161597625805989410265011955371830368389654335730220696891689208248568905380081604619345990951966193679174056310301660034880742084644421370771960979808291617228028533463756215978658978950221468208308081692158621012979030359296979510689790120640811774553635715649114805216024479875775629857995075655904369325787910222830725878777250622258069164648268564754920122866826009798989438274412009746400892864711750407647632997218346481316357697042504532047904786827608529590825062052512607321205479335417415338779656865281435712008190326568809837048689405954970343306285048439929728706195006246584804347997315745488349541137806523717630287458790497272064809755929738476129498902629138440632293736978189063456422872980e-01
