"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12}}",500,"SUSYc1XM1","-1.7120087599557130672786845316954155509377062808416670853125389122595265980002293179462587694851556359537683736768042180790296969237412774627975495419172832712298844042070333683416016756224768489292276096161910260545279704332186440985666784892014033153616469030231772669883114186697135706356866757944458115784902818549330311109484480558211998664047726709306218448400065335706896307592394128295720593932560310956127520344589667436529136086574740374666901145494895093267670248603320584328022298515171887377232765585202079666518701038144775742317088022615067328311091042946054254273641449434516469224058315639199539721977485052354171703745067977993430377673034226807316767087235300417035033405698948121910923322246706217813243281259692837511323629567221674959946845152324725765102687072463625287179210970763419940095545479688553075688316999437755069537881131256268249631030311623573096251708766700615405425619685721412131390933647460816108962679168269732177099663000234840062102070661770556161012798911351376402870418565079563","-1/20480 + SUSYc1XM2/5120 - SUSYc1XM4/1280 + SUSYc1XM6/320 - SUSYc1XM8/80 - (SUSYc1XM1*SUSYc2XM1)/5120 + (SUSYc1XM3*SUSYc2XM1)/1280 + (SUSYc1XM7*SUSYc2XM1)/80 - (SUSYc1XM9*SUSYc2XM1)/20 + SUSYc2XM2/5120 - (SUSYc1XM2*SUSYc2XM2)/1280 + (SUSYc1XM4*SUSYc2XM2)/320 - (SUSYc1XM6*SUSYc2XM2)/80 + (SUSYc1XM8*SUSYc2XM2)/20 + (SUSYc1XM1*SUSYc2XM3)/1280 - (SUSYc1XM3*SUSYc2XM3)/320 - (SUSYc1XM7*SUSYc2XM3)/20 + (SUSYc1XM9*SUSYc2XM3)/5 - SUSYc2XM4/1280 + (SUSYc1XM2*SUSYc2XM4)/320 - (SUSYc1XM4*SUSYc2XM4)/80 + (SUSYc1XM6*SUSYc2XM4)/20 - (SUSYc1XM8*SUSYc2XM4)/5","{-1/5120*SUSYc2XM1 + SUSYc2XM3/1280, 1/5120 - SUSYc2XM2/1280 + SUSYc2XM4/320, SUSYc2XM1/1280 - SUSYc2XM3/320, -1/1280 + SUSYc2XM2/320 - SUSYc2XM4/80, 1/320 - SUSYc2XM2/80 + SUSYc2XM4/20, SUSYc2XM1/80 - SUSYc2XM3/20, -1/80 + SUSYc2XM2/20 - SUSYc2XM4/5, -1/20*SUSYc2XM1 + SUSYc2XM3/5, -1/5120*SUSYc1XM1 + SUSYc1XM3/1280 + SUSYc1XM7/80 - SUSYc1XM9/20, 1/5120 - SUSYc1XM2/1280 + SUSYc1XM4/320 - SUSYc1XM6/80 + SUSYc1XM8/20, SUSYc1XM1/1280 - SUSYc1XM3/320 - SUSYc1XM7/20 + SUSYc1XM9/5, -1/1280 + SUSYc1XM2/320 - SUSYc1XM4/80 + SUSYc1XM6/20 - SUSYc1XM8/5}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12}}",500,"SUSYc1XM2","6.3973506837832652760035641191328809924243269841467626405232277714627724433770008979114673888923760978223383071834402935103660553822454919907674562383025715795992707109713301288504631381879295399113788561916502421314672981102837865878627327071104535521767482803203829530795887009108946851527963366973533259427450843554026991494326569687699329587552877999492987124286494153511951244787638520604842418734268475297038914202380515209620450054319622515485089968382718828438401584937211100807800588208331813279078355137390469724879214317509241535769067488969180530692688092534974534036959846387075975656779706783650823624001846719023711614194354341417371852096120124772474003200350488624533131984576586458346625212947960762977797431569273766522719431055175790834171520615514877856379333633192561862023805967329627429203565749953902989745593322713687748113987421890031365874685446788951257748187132110245470190323385641200560999368275896833777959663301936577807260546187301401909050425245870105769896065254855410673132423927029574","SUSYc1XM1/1280 - SUSYc1XM3/640 + SUSYc1XM7/40 - SUSYc1XM9/5 - (3*SUSYc2XM1)/2560 + (SUSYc1XM2*SUSYc2XM1)/320 - (SUSYc1XM4*SUSYc2XM1)/160 + (SUSYc1XM8*SUSYc2XM1)/10 - (3*SUSYc1XM1*SUSYc2XM2)/640 + (SUSYc1XM3*SUSYc2XM2)/80 + (2*SUSYc1XM9*SUSYc2XM2)/5 + SUSYc2XM3/160 - (3*SUSYc1XM2*SUSYc2XM3)/160 + (SUSYc1XM4*SUSYc2XM3)/20 - (SUSYc1XM6*SUSYc2XM3)/10 + (SUSYc1XM1*SUSYc2XM4)/40 - (3*SUSYc1XM3*SUSYc2XM4)/40 - (2*SUSYc1XM7*SUSYc2XM4)/5","{1/1280 - (3*SUSYc2XM2)/640 + SUSYc2XM4/40, SUSYc2XM1/320 - (3*SUSYc2XM3)/160, -1/640 + SUSYc2XM2/80 - (3*SUSYc2XM4)/40, -1/160*SUSYc2XM1 + SUSYc2XM3/20, -1/10*SUSYc2XM3, 1/40 - (2*SUSYc2XM4)/5, SUSYc2XM1/10, -1/5 + (2*SUSYc2XM2)/5, -3/2560 + SUSYc1XM2/320 - SUSYc1XM4/160 + SUSYc1XM8/10, (-3*SUSYc1XM1)/640 + SUSYc1XM3/80 + (2*SUSYc1XM9)/5, 1/160 - (3*SUSYc1XM2)/160 + SUSYc1XM4/20 - SUSYc1XM6/10, SUSYc1XM1/40 - (3*SUSYc1XM3)/40 - (2*SUSYc1XM7)/5}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12}}",500,"SUSYc1XM3","-8.1038146518438701079553684574078691903858112094494152027503820246072308279345914855788025309496373391670819849259201502890709229066720238192946516521353701375405796097541153003842137832470687018185781839824001920765198735069337809016480078150688924905554816313998266111659893554603998993251968743898763650994707627038077329621435899108244667698022784487788576123036247359430089905278386360067678000190573137141765981008135647854046680746844994651006518772994690968739917514884618282624389493618908035656884351022015142246751520438129198926209002017821274384475700392745091758043413792373944036029260369238342148989610677162041609167722995936908388120578968641159325251690125212234355304271140685713685799623981927889132127156418710704169777405289044700790485513390770598087570557171451069429083499871416221472187074555259846365917602745203276241361017147595323552909300964471070069311373976473320659256734054988067166028229531508970832248773857193330057770653272719621692555876089997321001537606251813587078486282790613065","3/2560 + SUSYc1XM2/1280 - SUSYc1XM4/80 + (3*SUSYc1XM6)/80 + SUSYc1XM8/10 + (7*SUSYc1XM1*SUSYc2XM1)/1280 + (SUSYc1XM7*SUSYc2XM1)/10 + (3*SUSYc1XM9*SUSYc2XM1)/5 - (19*SUSYc2XM2)/1280 + (SUSYc1XM2*SUSYc2XM2)/40 - (SUSYc1XM4*SUSYc2XM2)/80 - (SUSYc1XM6*SUSYc2XM2)/10 + (SUSYc1XM8*SUSYc2XM2)/5 - (SUSYc1XM1*SUSYc2XM3)/16 + (9*SUSYc1XM3*SUSYc2XM3)/80 - (SUSYc1XM7*SUSYc2XM3)/5 + (9*SUSYc2XM4)/80 - (21*SUSYc1XM2*SUSYc2XM4)/80 + (SUSYc1XM4*SUSYc2XM4)/2 - (3*SUSYc1XM6*SUSYc2XM4)/5","{(7*SUSYc2XM1)/1280 - SUSYc2XM3/16, 1/1280 + SUSYc2XM2/40 - (21*SUSYc2XM4)/80, (9*SUSYc2XM3)/80, -1/80 - SUSYc2XM2/80 + SUSYc2XM4/2, 3/80 - SUSYc2XM2/10 - (3*SUSYc2XM4)/5, SUSYc2XM1/10 - SUSYc2XM3/5, 1/10 + SUSYc2XM2/5, (3*SUSYc2XM1)/5, (7*SUSYc1XM1)/1280 + SUSYc1XM7/10 + (3*SUSYc1XM9)/5, -19/1280 + SUSYc1XM2/40 - SUSYc1XM4/80 - SUSYc1XM6/10 + SUSYc1XM8/5, -1/16*SUSYc1XM1 + (9*SUSYc1XM3)/80 - SUSYc1XM7/5, 9/80 - (21*SUSYc1XM2)/80 + SUSYc1XM4/2 - (3*SUSYc1XM6)/5}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12}}",500,"SUSYc1XM4","14.0618702451009154540496370027778021915965953639408224214697830090909155721975892179237751906478890558681806564315985826006784362167917589268036996883150769441107759141972207714834196483461846676296472789751334678651515306053476699412104169447784692969808023610023294343494458326749008218804773174193808899521045299266871270483918139301915663247238092586204298806299379588945590978623573869683878681026875651788022842682293113622939904098884416941535694339751023928362328738599043364240642472290635977378155376177617945543679798881231768139370381953463888352783394777679201212781058730807921959404537406336471768363885081073170875210307564633113194157008293422650276238925836749749387770487455001269470002210760219238250337015415219372343650895800236880560812051574820163284232045470569544666485805895316723780940459240042553223707028154385240750255972791152743353841678070480251990152586228586845447808452394889547073949855680294497092042793777728322073861779898176969480846803259117704950631209696328541796745571391104594","(3*SUSYc1XM1)/320 - SUSYc1XM3/40 + SUSYc1XM7/5 + (4*SUSYc1XM9)/5 + SUSYc2XM1/640 + (SUSYc1XM2*SUSYc2XM1)/40 - (3*SUSYc1XM4*SUSYc2XM1)/40 + (2*SUSYc1XM8*SUSYc2XM1)/5 + (SUSYc1XM1*SUSYc2XM2)/40 + (SUSYc1XM3*SUSYc2XM2)/20 - (3*SUSYc2XM3)/20 + (7*SUSYc1XM2*SUSYc2XM3)/40 - (2*SUSYc1XM6*SUSYc2XM3)/5 - (7*SUSYc1XM1*SUSYc2XM4)/10 + SUSYc1XM3*SUSYc2XM4","{3/320 + SUSYc2XM2/40 - (7*SUSYc2XM4)/10, SUSYc2XM1/40 + (7*SUSYc2XM3)/40, -1/40 + SUSYc2XM2/20 + SUSYc2XM4, (-3*SUSYc2XM1)/40, (-2*SUSYc2XM3)/5, 1/5, (2*SUSYc2XM1)/5, 4/5, 1/640 + SUSYc1XM2/40 - (3*SUSYc1XM4)/40 + (2*SUSYc1XM8)/5, SUSYc1XM1/40 + SUSYc1XM3/20, -3/20 + (7*SUSYc1XM2)/40 - (2*SUSYc1XM6)/5, (-7*SUSYc1XM1)/10 + SUSYc1XM3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12}}",500,"SUSYc1XM6","-5067.1544585616068835456531602427133941960248149572156016375364430611445022871321119327201657996629294000934273210310648625088401871131285181442250159215623318205290938522139587454103553976808110820016101484529257725537048807747882389238251523099123629004246023976911423482867673102980145449752130932686136920861112798638915083279392714290640521001747782644919500429047898219115503504184124820124011640141252916092683135538827365084148949092152830341874235772880050304451595334482368322735391390539517228250167480686612583050839551840785116729461541633783168327918659510215946907685097013955169771958972048611617777130315081131554185596858948490626454647464769465759239090294240194650285122058165973209592604419987482381749976311424973933724885728041918049399914517668926201393747090305600015169985645917901869835079552172752830499755778675195102471564184446674731460018978987565603488806664347916357470190736203889222028379470067181362173233397651143971168286914941469713014175179949345304002216859371716499728097473163347039","29/1280 - (3*SUSYc1XM2)/160 - (3*SUSYc1XM4)/40 + (3*SUSYc1XM6)/20 + (3*SUSYc1XM8)/5 + (11*SUSYc1XM1*SUSYc2XM1)/160 - (3*SUSYc1XM3*SUSYc2XM1)/40 + (SUSYc1XM7*SUSYc2XM1)/5 - (3*SUSYc2XM2)/160 + (7*SUSYc1XM2*SUSYc2XM2)/40 - (SUSYc1XM4*SUSYc2XM2)/4 - (SUSYc1XM6*SUSYc2XM2)/5 + (7*SUSYc1XM1*SUSYc2XM3)/40 + (SUSYc1XM3*SUSYc2XM3)/4 - (63*SUSYc2XM4)/40 + (7*SUSYc1XM2*SUSYc2XM4)/4 - SUSYc1XM4*SUSYc2XM4","{(11*SUSYc2XM1)/160 + (7*SUSYc2XM3)/40, -3/160 + (7*SUSYc2XM2)/40 + (7*SUSYc2XM4)/4, (-3*SUSYc2XM1)/40 + SUSYc2XM3/4, -3/40 - SUSYc2XM2/4 - SUSYc2XM4, 3/20 - SUSYc2XM2/5, SUSYc2XM1/5, 3/5, 0, (11*SUSYc1XM1)/160 - (3*SUSYc1XM3)/40 + SUSYc1XM7/5, -3/160 + (7*SUSYc1XM2)/40 - SUSYc1XM4/4 - SUSYc1XM6/5, (7*SUSYc1XM1)/40 + SUSYc1XM3/4, -63/40 + (7*SUSYc1XM2)/4 - SUSYc1XM4}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12}}",500,"SUSYc1XM7","-6253.7660173963686390815641602426004307478170687663265299817565691385200299520613893040719255206090481167584976651627554785008850314577740619290187498630133442118117697830059129900056315172501705926767353867639519825802388268847657433446678076969466457486833034213150141305404432137367881116597900145545598710016693098168510299083867948748093752265663832764200833500201738369532530517854312291857602647041389312586752381278699125629624835261923126953977739412717493624293334152384747313655316277714479036462429006104207598067750111693131218109922280376517485843891443133482274575924526852014221432932357339172195610812277017276528886389679478058776166891652912586473692819583213687915061550765291948856617766637959400532684767170687375008260444561538502843113319755402131840771086958059612741937596272481573419654555893550778714313662012219832803890298364835657221884536007611163517125434198191299430720051771002120001986933046807575724679031128788495764394913625008135509033810660093575625490270806700340245640897372863849289","SUSYc1XM1/40 - (3*SUSYc1XM3)/20 + (2*SUSYc1XM7)/5 + (9*SUSYc2XM1)/80 - (3*SUSYc1XM4*SUSYc2XM1)/10 + (7*SUSYc1XM1*SUSYc2XM2)/20 - (SUSYc1XM3*SUSYc2XM2)/5 + (7*SUSYc1XM2*SUSYc2XM3)/10 - (4*SUSYc1XM4*SUSYc2XM3)/5 + (14*SUSYc1XM1*SUSYc2XM4)/5 - (6*SUSYc1XM3*SUSYc2XM4)/5","{1/40 + (7*SUSYc2XM2)/20 + (14*SUSYc2XM4)/5, (7*SUSYc2XM3)/10, -3/20 - SUSYc2XM2/5 - (6*SUSYc2XM4)/5, (-3*SUSYc2XM1)/10 - (4*SUSYc2XM3)/5, 0, 2/5, 0, 0, 9/80 - (3*SUSYc1XM4)/10, (7*SUSYc1XM1)/20 - SUSYc1XM3/5, (7*SUSYc1XM2)/10 - (4*SUSYc1XM4)/5, (14*SUSYc1XM1)/5 - (6*SUSYc1XM3)/5}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12}}",500,"SUSYc1XM8","7939.1263231481763626129974808226965596253593301189397164593323519806881909522926794131012627364214675609382594393224310606289716924694759887771994740741800047416078398016381978685570189747591780605964463077822376251334967264806568058359514323231386019595161757256028900747304187022721988085730956916499330197101367009932350297978059520751736643348838606383360482234951914316728293329142773119167431287873615504592169118598696871935765413382070421778085654992625662517058194806512120098569497249946654949118490350742244096072589237295660236281138276243381498965911558631755380720854974773061105451961466690454717894249642812609753056894078215089150083074325989141619799388711721759747991658871607015009153495302989268479760334781157312002007178249171158676199235959196510938921410836315477442173342070634775970469165245660280571041046645945536906153349468836228577831926647712179599885798324576192779558063048634353889327495775026197194575452345222122423786186691783345838484551110456706517181532111679835012143065722322094547","9/80 - (7*SUSYc1XM2)/40 - SUSYc1XM4/5 + SUSYc1XM6/5 + (7*SUSYc1XM1*SUSYc2XM1)/40 - (2*SUSYc1XM3*SUSYc2XM1)/5 + (21*SUSYc2XM2)/40 - (3*SUSYc1XM4*SUSYc2XM2)/5 + (7*SUSYc1XM1*SUSYc2XM3)/5 - SUSYc1XM3*SUSYc2XM3 + (21*SUSYc2XM4)/5 - (7*SUSYc1XM2*SUSYc2XM4)/5","{(7*SUSYc2XM1)/40 + (7*SUSYc2XM3)/5, -7/40 - (7*SUSYc2XM4)/5, (-2*SUSYc2XM1)/5 - SUSYc2XM3, -1/5 - (3*SUSYc2XM2)/5, 1/5, 0, 0, 0, (7*SUSYc1XM1)/40 - (2*SUSYc1XM3)/5, 21/40 - (3*SUSYc1XM4)/5, (7*SUSYc1XM1)/5 - SUSYc1XM3, 21/5 - (7*SUSYc1XM2)/5}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12}}",500,"SUSYc1XM9","14161.6070823247690208963979888765013091254413193115727730223335919683123195495359568563256821274834528162450471333810986617767599173629137251824928185581826289747518801181990320273021943915725513469177319092045398329598180273879574321843283221034651320056652672967150371181700709815203943902346123887640258323769034358594898242650811514681318032458656845027114536985451590364878140229833553098894656359585614936818166862493153564891831912115459316456766275396847087946286289595738737018255969974284310254143529151820959210650863031034115356152359485119415776708230720791989404300198421382108797874828409967451446627582788826156866786987168382644468562937830537232667830846664947671613041079171112624714311899199599811475854978238138315387573333490686515760807169749424719506293884437167967371112773150868426854606200064895750437563436399959702521660358540453610883048307267678895777773749214333873654395953009895342427019940346470275341091307697467379140924591517017864042184963256858142678861594230154858476267368125671636989","-1/10*SUSYc1XM1 - (2*SUSYc1XM3)/5 + (9*SUSYc2XM1)/20 - (2*SUSYc1XM2*SUSYc2XM1)/5 - (2*SUSYc1XM4*SUSYc2XM1)/5 + (2*SUSYc1XM1*SUSYc2XM2)/5 - (4*SUSYc1XM3*SUSYc2XM2)/5 + (12*SUSYc2XM3)/5 - (6*SUSYc1XM2*SUSYc2XM3)/5 - (8*SUSYc1XM1*SUSYc2XM4)/5","{-1/10 + (2*SUSYc2XM2)/5 - (8*SUSYc2XM4)/5, (-2*SUSYc2XM1)/5 - (6*SUSYc2XM3)/5, -2/5 - (4*SUSYc2XM2)/5, (-2*SUSYc2XM1)/5, 0, 0, 0, 0, 9/20 - (2*SUSYc1XM2)/5 - (2*SUSYc1XM4)/5, (2*SUSYc1XM1)/5 - (4*SUSYc1XM3)/5, 12/5 - (6*SUSYc1XM2)/5, (-8*SUSYc1XM1)/5}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12}}",500,"SUSYc2XM1","-415.5253274933628579551475436455363896327081958127722219431249740584936489346665137880358274870098962426974877508821305212806468687175058150248016336387218111525134103971953110877722655495850154340471815935892059826303146863778542372676222143405323977897589020646512151553411257208868576195762088828037027922810064787633779792593677012961192000890634848860462521034399956442862069128271737247802852937378293126029248319770273555042313909275616839750222065903003403271154886500931119610447985134323218741748511489609865280222320865974570149505121941318256621781125939304702630497150905700376989020517294456240533640185348343298430552197503288014671046414884643848795122155275176466388643311062867367918726051118502195854791171145826871441659117580288518883360035436565116849489931541951690916475213859352824386706602969680207631282874455333708163286974745912495821166912646458917617935832194155532923063049586876185725245739377568359455927358213887820178548600224666510106625265286225486295892658134059099092308303548623128687","9/80 - (11*SUSYc1XM2)/20 - SUSYc1XM4/5 - (SUSYc1XM1*SUSYc2XM1)/4 - (3*SUSYc1XM3*SUSYc2XM1)/5 + (21*SUSYc2XM2)/20 - SUSYc1XM2*SUSYc2XM2 - (7*SUSYc1XM1*SUSYc2XM3)/5 - (9*SUSYc2XM4)/5","{-1/4*SUSYc2XM1 - (7*SUSYc2XM3)/5, -11/20 - SUSYc2XM2, (-3*SUSYc2XM1)/5, -1/5, 0, 0, 0, 0, -1/4*SUSYc1XM1 - (3*SUSYc1XM3)/5, 21/20 - SUSYc1XM2, (-7*SUSYc1XM1)/5, -9/5}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12}}",500,"SUSYc2XM2","-511.2295793302669083005352019644601675030695992853213741649271047972491039846009342020893251948415951250568165194635367488150348278840111553141931521713800818264868426413399598145752943005085942356361769186374751397646657057594618031788297035878960826903711719088972422049428509259963041149853862484697283447238041172948666298827666399847238719810966922911547092330151872573728115140600078144522932992958426928170059136535634896873506764922953305960037326875592569910259296773334867085522191790631317518688987080819732050982234843196457100128170703730160808365415447017042744854533354474114386371475487086021583011652961545117930132916091700404714143886897860170440760140100716005166803859224822041643954060854673682033281237475597154627179646924502315855627021848746711128474749960822182780186400391188442203149116078305155000205759203314282863781539903329526444323569470908805336965341672459539501913129777907749341586881267244435551412983711153974706824152903204177184482911109576110912385859483393722542671306203954636358","(-3*SUSYc1XM1)/5 - (2*SUSYc1XM3)/5 + SUSYc2XM1/10 - (4*SUSYc1XM2*SUSYc2XM1)/5 - (6*SUSYc1XM1*SUSYc2XM2)/5 - (8*SUSYc2XM3)/5","{-3/5 - (6*SUSYc2XM2)/5, (-4*SUSYc2XM1)/5, -2/5, 0, 0, 0, 0, 0, 1/10 - (4*SUSYc1XM2)/5, (-6*SUSYc1XM1)/5, -8/5, 0}"
