"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",500,"SUSYc1XM1","-3.4878641502349080358226649107749067782215171680530758843036584275940403893140638012333721719604436791188227779632357079544756011537628281872494639478496485201850638952804292211496106194465963279061028201011647975171844948316794661567885113662142504378545605333064586407438457481472845925328734715412094110922507538030920454952507807352209677173006405753496128614133947282727320251876360781276545680517915978457569251443221492779617610507465981704259521836320200135123249341464773717694714976099742098252759977070884837075014003592714490864246936336739726107306184756667618394467162544034426498044180407942286158818664946429996885684026266611130031742169540824613583486135266205434239419941336724175961734642336806416607001288135833650856901829756911889902158839098046263995370019529495642441043922119778426019632465564080098050371044094625889932494659156502727959155679701450381100195556153744702191849381643063600336886310672279725473886681433141605068087021630409781928883867781854635380601262753018892669460723607070332","-1/6144*SUSYc1XM1 + SUSYc1XM3/1536 - SUSYc1XM5/384 + SUSYc1XM7/96 - SUSYc1XM9/24 + SUSYc2XM1/6144 - (SUSYc1XM2*SUSYc2XM1)/1536 + (SUSYc1XM4*SUSYc2XM1)/384 + (SUSYc1XM8*SUSYc2XM1)/24 + (SUSYc1XM1*SUSYc2XM2)/1536 - (SUSYc1XM3*SUSYc2XM2)/384 + (SUSYc1XM5*SUSYc2XM2)/96 - (SUSYc1XM7*SUSYc2XM2)/24 + (SUSYc1XM9*SUSYc2XM2)/6 - SUSYc2XM3/1536 + (SUSYc1XM2*SUSYc2XM3)/384 - (SUSYc1XM4*SUSYc2XM3)/96 - (SUSYc1XM8*SUSYc2XM3)/6","{-1/6144 + SUSYc2XM2/1536, -1/1536*SUSYc2XM1 + SUSYc2XM3/384, 1/1536 - SUSYc2XM2/384, SUSYc2XM1/384 - SUSYc2XM3/96, -1/384 + SUSYc2XM2/96, 1/96 - SUSYc2XM2/24, SUSYc2XM1/24 - SUSYc2XM3/6, -1/24 + SUSYc2XM2/6, 1/6144 - SUSYc1XM2/1536 + SUSYc1XM4/384 + SUSYc1XM8/24, SUSYc1XM1/1536 - SUSYc1XM3/384 + SUSYc1XM5/96 - SUSYc1XM7/24 + SUSYc1XM9/6, -1/1536 + SUSYc1XM2/384 - SUSYc1XM4/96 - SUSYc1XM8/6}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",500,"SUSYc1XM2","10.1395967602319092339626954890961773798317405976062035120686148544577394802057185910034053679480771258278909191459919355049753945964445556833494295343388584373460833170000282841642478490610148408263014264638561412721161849144407897071290615608323199501542351328809422886026565561196589756537581894633669468094497919963628518982849569375004955150443418268084419213554491079778440317148605156036897596078703729041219333526252303718323891514084895556946885184203281161478970038898980615037039177222001977801872369521901217241105312377490026501938666512562401037825221434783970750489172541531066225006774382528816980828574501463953181176695263665231878838930617059967363392339355403735322846288341994561456764332836256655654769730370729229785953155471783588563471237988021476934444023683356673751838968184570617878575565533127590043433146748953376127528351711931757737204282181406731662842411435948593412513549185203499845551279104850815830973280620589745040668609237620372486812519112702578087663061608418650706263372755004608","-1/1024 + SUSYc1XM2/384 - SUSYc1XM4/192 + SUSYc1XM8/12 - (SUSYc1XM1*SUSYc2XM1)/256 + (SUSYc1XM3*SUSYc2XM1)/96 - (SUSYc1XM5*SUSYc2XM1)/48 + (SUSYc1XM9*SUSYc2XM1)/3 + SUSYc2XM2/192 - (SUSYc1XM2*SUSYc2XM2)/64 + (SUSYc1XM4*SUSYc2XM2)/24 + (SUSYc1XM1*SUSYc2XM3)/48 - (SUSYc1XM3*SUSYc2XM3)/16 + (SUSYc1XM5*SUSYc2XM3)/6 - (SUSYc1XM7*SUSYc2XM3)/3","{-1/256*SUSYc2XM1 + SUSYc2XM3/48, 1/384 - SUSYc2XM2/64, SUSYc2XM1/96 - SUSYc2XM3/16, -1/192 + SUSYc2XM2/24, -1/48*SUSYc2XM1 + SUSYc2XM3/6, -1/3*SUSYc2XM3, 1/12, SUSYc2XM1/3, -1/256*SUSYc1XM1 + SUSYc1XM3/96 - SUSYc1XM5/48 + SUSYc1XM9/3, 1/192 - SUSYc1XM2/64 + SUSYc1XM4/24, SUSYc1XM1/48 - SUSYc1XM3/16 + SUSYc1XM5/6 - SUSYc1XM7/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",500,"SUSYc1XM3","-19.3950824555361418104412826899960401000201090919222776431205377431877692020644819806344372374146720351752668813956271177734673067356581726231466247066070211257458004292645191456884957331113834873679159167627768412270664964780979625834270299934175401512352393336607542421620928100025118062323050076081975539320311521583720594191208377104329183676392365019549318153674346996835685217160573123725364926762202755115923068474937604228908494329188800648252197787234771702848579969651402277566713637616292819708937344371476744744245670719411924028512853557022994265220114783324881451521927006505619036386360748345391186343758651732348512152679968714602692455620152607305296508953799668285410527994300680037964746197198359332148262454955039169847297244680817756898689962937488728223570434430049939006850786612912827065817243533554612511679744394234875755651676958394946879730892811327672979755192662924635557162788769123648074448338303632149045885651085710495052277460055130870384436504749511128875326224816219730760968046145489959","(7*SUSYc1XM1)/1536 - SUSYc1XM5/32 + SUSYc1XM7/12 + SUSYc1XM9/2 - (19*SUSYc2XM1)/1536 + (SUSYc1XM2*SUSYc2XM1)/48 - (SUSYc1XM4*SUSYc2XM1)/96 + (SUSYc1XM8*SUSYc2XM1)/6 - (5*SUSYc1XM1*SUSYc2XM2)/96 + (3*SUSYc1XM3*SUSYc2XM2)/32 - (SUSYc1XM5*SUSYc2XM2)/12 - (SUSYc1XM7*SUSYc2XM2)/6 + (3*SUSYc2XM3)/32 - (7*SUSYc1XM2*SUSYc2XM3)/32 + (5*SUSYc1XM4*SUSYc2XM3)/12","{7/1536 - (5*SUSYc2XM2)/96, SUSYc2XM1/48 - (7*SUSYc2XM3)/32, (3*SUSYc2XM2)/32, -1/96*SUSYc2XM1 + (5*SUSYc2XM3)/12, -1/32 - SUSYc2XM2/12, 1/12 - SUSYc2XM2/6, SUSYc2XM1/6, 1/2, -19/1536 + SUSYc1XM2/48 - SUSYc1XM4/96 + SUSYc1XM8/6, (-5*SUSYc1XM1)/96 + (3*SUSYc1XM3)/32 - SUSYc1XM5/12 - SUSYc1XM7/6, 3/32 - (7*SUSYc1XM2)/32 + (5*SUSYc1XM4)/12}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",500,"SUSYc1XM4","30.0205999480656350660628226522523769092250053037466341795349066464194652145623250651848849227115757422185447379836815970344641076486776151448509171544245624616953842581446265753372156059989441888350888546143262621889212043110381448140489795146178173741220555856819661709799611121031648487728174344157167936173860926754753530971039133069335193776041968039577974212471048088401441782581596526452286674963685902473964827276379061768473721831360475703301593867749735186549524792180349618489120244867087554772756205218054692194769736932008429704905126456786386932478173880960535416039985495752715407087625263140750631579527610982426920852189038214928892587666217751893336821730318229443876897873651110449894265253210062491615614333640737663687151622789871179397314252519870908345810968361541567891701207596505474915289298812738939550306942181743444900944703963425975785297105543027822692769821602713183694575574995197227255583792436752705524341475187714716450060666414240782426756710583187559929802003055207785638364450209632137","1/768 + SUSYc1XM2/48 - SUSYc1XM4/16 + SUSYc1XM8/3 + (SUSYc1XM1*SUSYc2XM1)/48 + (SUSYc1XM3*SUSYc2XM1)/24 - (SUSYc1XM5*SUSYc2XM1)/6 - SUSYc2XM2/8 + (7*SUSYc1XM2*SUSYc2XM2)/48 - (7*SUSYc1XM1*SUSYc2XM3)/12 + (5*SUSYc1XM3*SUSYc2XM3)/6 - (2*SUSYc1XM5*SUSYc2XM3)/3","{SUSYc2XM1/48 - (7*SUSYc2XM3)/12, 1/48 + (7*SUSYc2XM2)/48, SUSYc2XM1/24 + (5*SUSYc2XM3)/6, -1/16, -1/6*SUSYc2XM1 - (2*SUSYc2XM3)/3, 0, 1/3, 0, SUSYc1XM1/48 + SUSYc1XM3/24 - SUSYc1XM5/6, -1/8 + (7*SUSYc1XM2)/48, (-7*SUSYc1XM1)/12 + (5*SUSYc1XM3)/6 - (2*SUSYc1XM5)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",500,"SUSYc1XM5","-34.8041073607497677539932649782200235273062203634623599069551389914330565534946878335014054425218630793070044448299024373505621364877369970426710483521909855331921378805208902644804040107983658449805298857368604497578314625985915249597707734909718885999979789023308263715252054369611866165714000121170664948674984907407383404197952129151778840863589817993572134743917675756128224760646252430016015287044538724802133172676004169397654588476334270360532428685020742367027809993043683470080609876902434961815667711001662897984452059033185605332791977823910071243677282309233711747481832347170401075233845139161286483443610532106137601342090335194221832540593832537424460355788258739255477654047661267902027295637337527924988025523015551790815034162472628075115493121444323899098168287820202706020600683262236433076129971481151898372387620288882939341370095233934810691951882809669233138466547343080673663166430659792499485863377212931245408396040592699880621569781568056998271901899002870692381053554187426882980432703019736884","(11*SUSYc1XM1)/192 - SUSYc1XM3/16 - SUSYc1XM5/8 + SUSYc1XM7/6 - SUSYc2XM1/64 + (7*SUSYc1XM2*SUSYc2XM1)/48 - (5*SUSYc1XM4*SUSYc2XM1)/24 + (7*SUSYc1XM1*SUSYc2XM2)/48 + (5*SUSYc1XM3*SUSYc2XM2)/24 - (SUSYc1XM5*SUSYc2XM2)/2 - (21*SUSYc2XM3)/16 + (35*SUSYc1XM2*SUSYc2XM3)/24 - (5*SUSYc1XM4*SUSYc2XM3)/6","{11/192 + (7*SUSYc2XM2)/48, (7*SUSYc2XM1)/48 + (35*SUSYc2XM3)/24, -1/16 + (5*SUSYc2XM2)/24, (-5*SUSYc2XM1)/24 - (5*SUSYc2XM3)/6, -1/8 - SUSYc2XM2/2, 1/6, 0, 0, -1/64 + (7*SUSYc1XM2)/48 - (5*SUSYc1XM4)/24, (7*SUSYc1XM1)/48 + (5*SUSYc1XM3)/24 - SUSYc1XM5/2, -21/16 + (35*SUSYc1XM2)/24 - (5*SUSYc1XM4)/6}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",500,"SUSYc1XM7","13206.167927799883282427429347112956321419575801043175099948100590440995673190650513086713704183664105021108746719406514500681302513075535881831000647483947902723775255144452779249092308549762753744686944204096425794269981138704379734348499985255106763729756750193989429660917282040703567129574577361284893695857113382380644882356479650271801078801516160919536862590554552160820862936038866450634502131307240278535796683989550726341541737120006000183838040436334565302923320776787157799901308802562456190737318428956848214128711136508943741181007393990935081365860593302219141370836252802405280057309890890892406895892146002188767466903701344475691132384815336400693808500970648756181616854843111236229422187131942510881593711603280699784540002597755797701665056081539501589516126426828593945295079650850864307835919423664691582210731137112265510371094453303886862549924964329574308567034678322103591378408132313771945660047464672420813772322995239744715632790518623519144995555182795536983175820155629588811381536301232626954","3/32 - SUSYc1XM4/4 + (7*SUSYc1XM1*SUSYc2XM1)/24 - (SUSYc1XM3*SUSYc2XM1)/6 - (SUSYc1XM5*SUSYc2XM1)/3 + (7*SUSYc1XM2*SUSYc2XM2)/12 - (2*SUSYc1XM4*SUSYc2XM2)/3 + (7*SUSYc1XM1*SUSYc2XM3)/3 - SUSYc1XM3*SUSYc2XM3","{(7*SUSYc2XM1)/24 + (7*SUSYc2XM3)/3, (7*SUSYc2XM2)/12, -1/6*SUSYc2XM1 - SUSYc2XM3, -1/4 - (2*SUSYc2XM2)/3, -1/3*SUSYc2XM1, 0, 0, 0, (7*SUSYc1XM1)/24 - SUSYc1XM3/6 - SUSYc1XM5/3, (7*SUSYc1XM2)/12 - (2*SUSYc1XM4)/3, (7*SUSYc1XM1)/3 - SUSYc1XM3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",500,"SUSYc1XM8","34760.9977846643445708025688969959721450549128596427000566987751477344951462805637840291612397972516326970751662560952468972391586478463463791728392891704964583686677322360788975663808262560965496959867935403395152055642167277243443770507007750785659122005492426509864853469454171363922797046867432700108338448528504286049907377701361619184008675856220086445883250837529822006343409167851610938897819382331305863170507288937864374275525841709049580237215407534939715405799453798846891519292546700129980581859301421481172076961349660973353744320168048312827945139876769775175913189113015684117529185193516987813757227109812532959909661323261619417378467300874058253474071607965851449936419339996189565891835281509904397076151724995851122337605870422666248601689392899669448422612651074213653602688376305090929335029704576297586434426564734525809770522250639006436928006389610259471428396787642090452450990083063395501365043249626225435617107104059312593619264505683509364106650759598884328998324981269065418569814789039656727456","(7*SUSYc1XM1)/48 - SUSYc1XM3/3 - SUSYc1XM5/6 + (7*SUSYc2XM1)/16 - (SUSYc1XM4*SUSYc2XM1)/2 + (7*SUSYc1XM1*SUSYc2XM2)/6 - (5*SUSYc1XM3*SUSYc2XM2)/6 + (7*SUSYc2XM3)/2 - (7*SUSYc1XM2*SUSYc2XM3)/6","{7/48 + (7*SUSYc2XM2)/6, (-7*SUSYc2XM3)/6, -1/3 - (5*SUSYc2XM2)/6, -1/2*SUSYc2XM1, -1/6, 0, 0, 0, 7/16 - SUSYc1XM4/2, (7*SUSYc1XM1)/6 - (5*SUSYc1XM3)/6, 7/2 - (7*SUSYc1XM2)/6}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",500,"SUSYc1XM9","27272.1865050882360651739728926009790985618182773076893964283330007672787390845252695477155282614089138125305956003305389873248691028653075947109685312864781056173035612010524814311477238223206328327060972150173263941961845222849223436149380397515698025439744856535678249706011435723278063672302750033482400119990083831545864938334701947298769199470867376388401677431807780000386027213156062258254302418472422008039763352486011551222187826862771996889066452460771481350201976377304860500999451027764075194739605926846296967299903877151124666729289848151185455361429051466530153050081166299850851851761494474846358861144589158784050982573185938168031854102879536015254667415812379026139677220171442005361764652369304979230119373562875929914340105897156672645018922280766520442102419148402817489925201458657450159456489890428356505795778730079977846974902892688007966390275800037420276838718735546331840615966454519532603087437077725529214775054108255149768549450690285341112427940419819700418777652925603925013627932500939181489","3/8 - SUSYc1XM2/3 - SUSYc1XM4/3 + (SUSYc1XM1*SUSYc2XM1)/3 - (2*SUSYc1XM3*SUSYc2XM1)/3 + 2*SUSYc2XM2 - SUSYc1XM2*SUSYc2XM2 - (4*SUSYc1XM1*SUSYc2XM3)/3","{SUSYc2XM1/3 - (4*SUSYc2XM3)/3, -1/3 - SUSYc2XM2, (-2*SUSYc2XM1)/3, -1/3, 0, 0, 0, 0, SUSYc1XM1/3 - (2*SUSYc1XM3)/3, 2 - SUSYc1XM2, (-4*SUSYc1XM1)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",500,"SUSYc2XM1","-426.0800970355464942601266679208750665869846305942478029397831011231471140076328115705475913057425402292008408728834030657468031420330265512948218114658216796284392400747996934134645638432524311943527836999277394303448682179773718098880082061669898211158181710476382438280401101798947967196193760917562789920769637472835056817891065851891278802019281138747502765275618609083766199820088313727659610228201488586816021963254841790871701706780381441639814627259771285617769107613239447344503775017071612786962314302092225116374989997433775363668395045473757338494781296602380272575380598182832552501397013994326938457986667895407145081654266952420621405898450327982418868938474809853261257557184759482731455903826902281130994999079902975963673641550173634364355600829215681240003307128907503112542111484200158267128833953168514215678306397075267221476789529173926622886317371641821156357003174175896641291536155969240285473652635234085910375795227547755996379937841692564441479368665870103831870999098033557940178381943780566585","(-5*SUSYc1XM1)/24 - SUSYc1XM3/2 + (7*SUSYc2XM1)/8 - (5*SUSYc1XM2*SUSYc2XM1)/6 - (7*SUSYc1XM1*SUSYc2XM2)/6 - (3*SUSYc2XM3)/2","{-5/24 - (7*SUSYc2XM2)/6, (-5*SUSYc2XM1)/6, -1/2, 0, 0, 0, 0, 0, 7/8 - (5*SUSYc1XM2)/6, (-7*SUSYc1XM1)/6, -3/2}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",500,"SUSYc2XM2","-1119.5894200642861033813518052160519346020005283029858623550431319248936931089227167318647846159025682007213046135733403863094912890122719568985188343479674278594453012779387356842959697312547761766403201162341991610019470501165743537494376851840269531832521319686856141031730598989356625517425252007401064897713945930636572011450744951887203138471027765618135851876775175940429524248544165078082487653717273697017625858118510160155322965084477253619620546585654433368223999496515400409897507546212820852488846186528566576361953695264979286686914265527590883749122186193194965853942425084074901804096282467488113142554636452860589762208000015769428875726665503001239168062463409919000300738597053082507827387994702834559135602518141266985584993657963232643908970033506796712657699554358964292952594010390300869700420464000341915662414970098886034008276624287064835036339517261281422859950389712826227381851904108099623808297881873340900708877758352285876682128988347500866524875625681721952708996560116670553829880571867103569","1/12 - (2*SUSYc1XM2)/3 - SUSYc1XM1*SUSYc2XM1 - (4*SUSYc2XM2)/3","{-SUSYc2XM1, -2/3, 0, 0, 0, 0, 0, 0, -SUSYc1XM1, -4/3, 0}"
