"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",500,"SUSYc1XM1","-586.3553067118559960951165946574195741043787843358483626978719214703565031733952579127661291256246343733740361158543492558584209298972704872476189081650248402372669951919629920768208476596117578913027043237434844275435970473235797629445694748770830993572858677500708281917939683366072371114509343005196641488766782437036035226339792762803149374978585371054693643422427704998861749144016526734653450419303942826043655462950661084792354376273276027931300376886587121262926071112353418194467075124998868767328652018215522612155070001079548177909890360266140433931188570491456055133321444015581297908755804527093090739978348689685160155916966359280890923887679467545922454085810860342413747196272400167412333727470313054185075947371274664641416513060604743883313460062576446458588945042124361516494144870278776218508097606475068002611323888385430165553103420855319029013683188678043430567832951404055331195918962033432223775823945882666258286247838853618140634279042758731622539648320406794381562441668386791843500966065554491672","1/7168 - SUSYc1XM2/1792 + SUSYc1XM4/448 - SUSYc1XM6/112 + SUSYc1XM8/28 + (SUSYc1XM1*SUSYc2XM1)/1792 - (SUSYc1XM3*SUSYc2XM1)/448 + (SUSYc1XM5*SUSYc2XM1)/112 + (SUSYc1XM9*SUSYc2XM1)/7 - SUSYc2XM2/1792 + (SUSYc1XM2*SUSYc2XM2)/448 - (SUSYc1XM4*SUSYc2XM2)/112 + (SUSYc1XM6*SUSYc2XM2)/28 - (SUSYc1XM8*SUSYc2XM2)/7","{SUSYc2XM1/1792, -1/1792 + SUSYc2XM2/448, -1/448*SUSYc2XM1, 1/448 - SUSYc2XM2/112, SUSYc2XM1/112, -1/112 + SUSYc2XM2/28, 1/28 - SUSYc2XM2/7, SUSYc2XM1/7, SUSYc1XM1/1792 - SUSYc1XM3/448 + SUSYc1XM5/112 + SUSYc1XM9/7, -1/1792 + SUSYc1XM2/448 - SUSYc1XM4/112 + SUSYc1XM6/28 - SUSYc1XM8/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",500,"SUSYc1XM2","1858.7155615416354090042335427097599352493926316448352933505516583430711830152381353698314383968777662459089347984161911584568384265629529181548953404817691956927281325966266087936657615318011501180008792204367742810568422855833794158962341534279177994640917459347231432467893195381586323575273700138787488788365399010858618559073165938639751776529809903879822984490427356256205181445176345424070843396914321424267256825275184497653226914678348225695353266741607229986393659537116851364015387164051714416107543312144188808331016720707617836468960253775418754789987004542771177554490085183942233705883542203202897421552965956453771104175783480752522303962144766567433283149150777711437422735538042634401913267664083968405889817344340581552292085862521557981435948447739759342039345311635507563186396984717630787580274468876359982519246886160187138161534626657354826127539243776307305883115151748789663235047091936114346832007520970581983106330178794821466365899627985573736350834215479572456804261918808935539459773658341104813","(-3*SUSYc1XM1)/896 + SUSYc1XM3/112 - SUSYc1XM5/56 + (2*SUSYc1XM9)/7 + SUSYc2XM1/224 - (3*SUSYc1XM2*SUSYc2XM1)/224 + (SUSYc1XM4*SUSYc2XM1)/28 - (SUSYc1XM6*SUSYc2XM1)/14 + (SUSYc1XM1*SUSYc2XM2)/56 - (3*SUSYc1XM3*SUSYc2XM2)/56 + (SUSYc1XM5*SUSYc2XM2)/7","{-3/896 + SUSYc2XM2/56, (-3*SUSYc2XM1)/224, 1/112 - (3*SUSYc2XM2)/56, SUSYc2XM1/28, -1/56 + SUSYc2XM2/7, -1/14*SUSYc2XM1, 0, 2/7, 1/224 - (3*SUSYc1XM2)/224 + SUSYc1XM4/28 - SUSYc1XM6/14, SUSYc1XM1/56 - (3*SUSYc1XM3)/56 + SUSYc1XM5/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",500,"SUSYc1XM3","-4727.8038364847812593128383051649771289679505225345917385275341231961276511095530601773647670842788549025519654794944694484571418724727578602662572223970428335902706588400108877888350113033631768571687677209306588685596228284671573975580870188387349801244416269474440050268351100471452772590676502081506118027324636583015449914442037634940511254782290262025366750739367267973112055217571585791549613372257139204634427177114876782897139476646197190242059921614086524000109385278179839590019261376491026236002313169650865614581506288527963577873558667790011076073425756359044519665704326186345260482048420588323831709244910149556647936342832654806597590219556147067570466992475501318760100351839992474981981268739636524916622620038082551967019225372780676809887447101638327882784069611813230230766334093208941046531732259857521382370848084225067788248083449751540313954581142971078049562612567068274093253497717353734073126023980732519134110372121317414004653402791865340000597140144634136354259816427377649979160232887277532626","-19/1792 + SUSYc1XM2/56 - SUSYc1XM4/112 - SUSYc1XM6/14 + SUSYc1XM8/7 - (5*SUSYc1XM1*SUSYc2XM1)/112 + (9*SUSYc1XM3*SUSYc2XM1)/112 - (SUSYc1XM5*SUSYc2XM1)/14 + (9*SUSYc2XM2)/112 - (3*SUSYc1XM2*SUSYc2XM2)/16 + (5*SUSYc1XM4*SUSYc2XM2)/14 - (3*SUSYc1XM6*SUSYc2XM2)/7","{(-5*SUSYc2XM1)/112, 1/56 - (3*SUSYc2XM2)/16, (9*SUSYc2XM1)/112, -1/112 + (5*SUSYc2XM2)/14, -1/14*SUSYc2XM1, -1/14 - (3*SUSYc2XM2)/7, 1/7, 0, (-5*SUSYc1XM1)/112 + (9*SUSYc1XM3)/112 - SUSYc1XM5/14, 9/112 - (3*SUSYc1XM2)/16 + (5*SUSYc1XM4)/14 - (3*SUSYc1XM6)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",500,"SUSYc1XM4","7826.0947236470296609219896340832335330239930377883121727141060432951557612735509039974497193121606260403919581059888464558981065393351928121169480437278659626257784004970518812777961873458888536015085440564095196284703853721899828759033884661352949756193321325674554963331295355228144802490319961329045217086803770827639694192003170517247476523806279747334026890066567835999145496173961454125866705625939051143732339674252647639776943544571318283189668823653912458836989070975524491995871847119164701568006215389755450390377837807307032153790761653691148973029632633913397369478656764615383495404059865644529685981507992879148801921555381747598598352608644392868517521852651725639765598396780099535443539879270609705899726983998980137195658992095207874587837232806942054885349728361732906805756924336667880949741768259911483158165756701325772012145695477829185473771248517849086548232808363632377546224493887530032064051517393406106085188400339150089655992301440226444457074972401637305070865560551047484835895545439143125449","SUSYc1XM1/56 + SUSYc1XM3/28 - SUSYc1XM5/7 - (3*SUSYc2XM1)/28 + (SUSYc1XM2*SUSYc2XM1)/8 - (2*SUSYc1XM6*SUSYc2XM1)/7 - (SUSYc1XM1*SUSYc2XM2)/2 + (5*SUSYc1XM3*SUSYc2XM2)/7 - (4*SUSYc1XM5*SUSYc2XM2)/7","{1/56 - SUSYc2XM2/2, SUSYc2XM1/8, 1/28 + (5*SUSYc2XM2)/7, 0, -1/7 - (4*SUSYc2XM2)/7, (-2*SUSYc2XM1)/7, 0, 0, -3/28 + SUSYc1XM2/8 - (2*SUSYc1XM6)/7, -1/2*SUSYc1XM1 + (5*SUSYc1XM3)/7 - (4*SUSYc1XM5)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",500,"SUSYc1XM5","-10114.3545812564974499969107060052498925055789799939119897146007086701530759829762866908973836033218705931342984164548947430443522859652950699734580039898455756405231563405112980566050692961201978961894737149220812701138001942866285531943176970733441608996108155614200104850743919255033791064830045250095174759657180083329551046138734654861215534079738682802199941811610713475661552756916393704567173125147770316468631422325564159321593486965368846499626957125777386327015396093403160466507713015933221140537302406683948524754682422905192871213901894971230631923293196919033122416718926854375285904487190358479999204459511125330416309330162124499980771396895508539567988816576249499963341452027551236798772750743258268492937943316291260653676742930885433603392510065133672431913639895853712963083191750038173619601587234535783660899048602331113083672699507127077557138770899058427853647277245969575311179003723974554323908006435861809994706685891347562551694037516133707610695577605362242818081519531848369090208739544539699772","-3/224 + SUSYc1XM2/8 - (5*SUSYc1XM4)/28 - SUSYc1XM6/7 + (SUSYc1XM1*SUSYc2XM1)/8 + (5*SUSYc1XM3*SUSYc2XM1)/28 - (3*SUSYc1XM5*SUSYc2XM1)/7 - (9*SUSYc2XM2)/8 + (5*SUSYc1XM2*SUSYc2XM2)/4 - (5*SUSYc1XM4*SUSYc2XM2)/7","{SUSYc2XM1/8, 1/8 + (5*SUSYc2XM2)/4, (5*SUSYc2XM1)/28, -5/28 - (5*SUSYc2XM2)/7, (-3*SUSYc2XM1)/7, -1/7, 0, 0, SUSYc1XM1/8 + (5*SUSYc1XM3)/28 - (3*SUSYc1XM5)/7, -9/8 + (5*SUSYc1XM2)/4 - (5*SUSYc1XM4)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",500,"SUSYc1XM6","9432.756714307670546496244678269868808708176004196047606262502690583906043401491287289330154532473542532332641632154358379848193791598304910858937468551862798472186787839310555081864731711115787311377027178137735162931067890229121050820716096791290783961800557325480577121951203188199610960868173867824091628990431524937900725035599676405468411020172743928116415581285172307763298934629267081430264194667522213060486909295744990862941401765977004739021615722012462321245290304984504052329548444344855847709540164637459155608265120927979194487752305776749955122816524265871325001774186374084696432419606260098398640188521958515047178602147778827037346929327841300040021337984025368591789386262692409469551406427306809943885940251564051115488721902006735926166789130295253229845520165616293007881404002991938503592503026399627493874294349852999742732954182826501337653604869870177702893458905289361767519562663029423711890598223286868449261456520182445517859745824537901310373214874438764461386364264292817908084273041995879485","SUSYc1XM1/4 - SUSYc1XM3/7 - (2*SUSYc1XM5)/7 + (SUSYc1XM2*SUSYc2XM1)/2 - (4*SUSYc1XM4*SUSYc2XM1)/7 + 2*SUSYc1XM1*SUSYc2XM2 - (6*SUSYc1XM3*SUSYc2XM2)/7","{1/4 + 2*SUSYc2XM2, SUSYc2XM1/2, -1/7 - (6*SUSYc2XM2)/7, (-4*SUSYc2XM1)/7, -2/7, 0, 0, 0, SUSYc1XM2/2 - (4*SUSYc1XM4)/7, 2*SUSYc1XM1 - (6*SUSYc1XM3)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",500,"SUSYc1XM8","17011.5220783315936522856985350519073226433138123082468336492491372978663344720916937943742710253510457784664337843529640160231667409446980488382123548476158478520859757392387683321805565975002504429205703135053515409307958659643258263115789356958317119270589736019441475430749039626596562348085797319710839225003355376643625145157832818919199759794702559111276456125526780846470977572131130291035082470479788336317131954150276726928507842850535300601348189728546347358787034113809781772900039094472199311172800926702032775347355915383211889439674759256650273667085705855230754167465666974489107202939557640092178009757683891504994827448843721410261134459797305784501513554969333224644996677946919926452255318221005505391861001117342188184535802344650498342099626189816413974607055363876809283004045139838569272620967804044612835793449834391202565388870290973902978442336531027044403298238704121946449215922809037141457271485536567673661593046198817361236234859778349600590697687961425303451747124807730244861499997774022588872","3/8 - (3*SUSYc1XM4)/7 + SUSYc1XM1*SUSYc2XM1 - (5*SUSYc1XM3*SUSYc2XM1)/7 + 3*SUSYc2XM2 - SUSYc1XM2*SUSYc2XM2","{SUSYc2XM1, -SUSYc2XM2, (-5*SUSYc2XM1)/7, -3/7, 0, 0, 0, 0, SUSYc1XM1 - (5*SUSYc1XM3)/7, 3 - SUSYc1XM2}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",500,"SUSYc1XM9","9570.361294240795041409485541957306322067252545441285747344079014200884958605909047120395011910983363507651040606903137424738746864945818019891002071956939297726776027563468672603826244024737592480385270297090597109208269278094587333039938444256033509758040168084187448342478164677678534425051612042093014157848078867264169048593443397190817912340037212645722926459230381089315400675607096433153102433972764707540798262771785810736584820005039040446313679183407630796860921197279811946053064727653726376254186624318898319276517749997432805427809445220136311166176791218529748996079984603969170406236424338954837836264630161640428377152893196559117888153964394756115012197248267921179485826873626661694947619144484559421112418599261822052482863958649434831895784661308406131131600661694422412735164719485965951744026136386148184376952208816089151925809648238852099874761388100495320197145371552046856062844289853781953587047242866389309805816178679723687789677491936348609212897322870726063829557950520435982103737759229062184","(2*SUSYc1XM1)/7 - (4*SUSYc1XM3)/7 + (12*SUSYc2XM1)/7 - (6*SUSYc1XM2*SUSYc2XM1)/7 - (8*SUSYc1XM1*SUSYc2XM2)/7","{2/7 - (8*SUSYc2XM2)/7, (-6*SUSYc2XM1)/7, -4/7, 0, 0, 0, 0, 0, 12/7 - (6*SUSYc1XM2)/7, (-8*SUSYc1XM1)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",500,"SUSYc2XM1","2.2664800338919970713374459930646805782840882518862720234039411027673773800464434345745968442184757800305270868907619418938156974229528654357141811237686301779502463939722440576156357447088184184770282428076133206576977854926848222084271061578123245179644008125531211438454762524554278335882007253897481116575086827777026419754844572102362031233939028291020232566820778749146311858012395050990087814477957119532741597212995813594265782204957020948475282664940340947194553334265063645850306343749151575496489013661641959116302500809661133432417770199605325448391427868592041349991083011685973431566853395319818054983761517263870116937724769460668192915759600659441840564358145256810310397204300125559250295602734790638806960528455998481062384795453557912485095046932334843941708781593271137370608652709082163881073204856301001958492916289072624164827565641489271760262391508532572925874713553041498396939221525074167831867959411999693714685879140213605475709282069048716904736240305095786171831251290093882625724549165868754","3/4 - (5*SUSYc1XM2)/7 - SUSYc1XM1*SUSYc2XM1 - (9*SUSYc2XM2)/7","{-SUSYc2XM1, -5/7, 0, 0, 0, 0, 0, 0, -SUSYc1XM1, -9/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",500,"SUSYc2XM2","1.6011511439001073418004964896094739165228507726940775618846097848076281805763254634726330119813277669664629370478517185253770187571324140210017385427525537263432257614429582992904473823694529508085468873199844142992938912320197172464832823708737409180796679973034453579816039718424251169748193771088562153078880801063295496261644896984998223932994272242006527963264710550734606966448425530752048031955596074141172667975385618926267369392867957200320714121348400603311841202285529166588206949674472417461715252066902629327647739688097577185662969958120908766924323982122474566419516561408916958654821756563995316983394179165625607881472998714119852203056430400539690919855467598898918722110445585998661308880393284488561254014548257136859608626395032334922812576786131633883176297828014756675111859470143157197509990413188319355088330225735313184078347025775175237827509994883951307534669736397970355386976903842745406044533649825096960662432136076293756733216131279069125314968654785188122647290288366280371923491783629324","-h - (6*SUSYc1XM1)/7 - (8*SUSYc2XM1)/7","{-6/7, 0, 0, 0, 0, 0, 0, 0, -8/7, 0}"
