"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",500,"SUSYc1XM1","-573.70973114323821837449097593328270484987541976647276059854610788092123895676931834785489374312809208283596624611734231588743904180675395231832466527665358784506452533826437892949730437041550057269206140979574438199","1/458752 - SUSYc1XM10/448 + SUSYc1XM12/112 - SUSYc1XM2/114688 + SUSYc1XM4/28672 - SUSYc1XM6/7168 + SUSYc1XM8/1792 + (SUSYc1XM1*SUSYc2XM1)/114688 - (SUSYc1XM11*SUSYc2XM1)/112 - (SUSYc1XM3*SUSYc2XM1)/28672 + (SUSYc1XM5*SUSYc2XM1)/7168 + (SUSYc1XM9*SUSYc2XM1)/448 - SUSYc2XM2/114688 + (SUSYc1XM10*SUSYc2XM2)/112 - (SUSYc1XM12*SUSYc2XM2)/28 + (SUSYc1XM2*SUSYc2XM2)/28672 - (SUSYc1XM4*SUSYc2XM2)/7168 + (SUSYc1XM6*SUSYc2XM2)/1792 - (SUSYc1XM8*SUSYc2XM2)/448 - (SUSYc1XM1*SUSYc2XM3)/28672 + (SUSYc1XM11*SUSYc2XM3)/28 + (SUSYc1XM3*SUSYc2XM3)/7168 - (SUSYc1XM5*SUSYc2XM3)/1792 - (SUSYc1XM9*SUSYc2XM3)/112 + SUSYc2XM4/28672 - (SUSYc1XM10*SUSYc2XM4)/28 + (SUSYc1XM12*SUSYc2XM4)/7 - (SUSYc1XM2*SUSYc2XM4)/7168 + (SUSYc1XM4*SUSYc2XM4)/1792 - (SUSYc1XM6*SUSYc2XM4)/448 + (SUSYc1XM8*SUSYc2XM4)/112 + (SUSYc1XM1*SUSYc2XM5)/7168 - (SUSYc1XM11*SUSYc2XM5)/7 - (SUSYc1XM3*SUSYc2XM5)/1792 + (SUSYc1XM5*SUSYc2XM5)/448 + (SUSYc1XM9*SUSYc2XM5)/28","{SUSYc2XM1/114688 - SUSYc2XM3/28672 + SUSYc2XM5/7168, -1/114688 + SUSYc2XM2/28672 - SUSYc2XM4/7168, -1/28672*SUSYc2XM1 + SUSYc2XM3/7168 - SUSYc2XM5/1792, 1/28672 - SUSYc2XM2/7168 + SUSYc2XM4/1792, SUSYc2XM1/7168 - SUSYc2XM3/1792 + SUSYc2XM5/448, -1/7168 + SUSYc2XM2/1792 - SUSYc2XM4/448, 1/1792 - SUSYc2XM2/448 + SUSYc2XM4/112, SUSYc2XM1/448 - SUSYc2XM3/112 + SUSYc2XM5/28, -1/448 + SUSYc2XM2/112 - SUSYc2XM4/28, -1/112*SUSYc2XM1 + SUSYc2XM3/28 - SUSYc2XM5/7, 1/112 - SUSYc2XM2/28 + SUSYc2XM4/7, SUSYc1XM1/114688 - SUSYc1XM11/112 - SUSYc1XM3/28672 + SUSYc1XM5/7168 + SUSYc1XM9/448, -1/114688 + SUSYc1XM10/112 - SUSYc1XM12/28 + SUSYc1XM2/28672 - SUSYc1XM4/7168 + SUSYc1XM6/1792 - SUSYc1XM8/448, -1/28672*SUSYc1XM1 + SUSYc1XM11/28 + SUSYc1XM3/7168 - SUSYc1XM5/1792 - SUSYc1XM9/112, 1/28672 - SUSYc1XM10/28 + SUSYc1XM12/7 - SUSYc1XM2/7168 + SUSYc1XM4/1792 - SUSYc1XM6/448 + SUSYc1XM8/112, SUSYc1XM1/7168 - SUSYc1XM11/7 - SUSYc1XM3/1792 + SUSYc1XM5/448 + SUSYc1XM9/28}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",500,"SUSYc1XM2","-5843.03736377746066612545479442468315961922035185481722870990733972797654168800780911898673028301194379041137719102326406909490615575419771034572260692786618224557118059070056883910607188394307098168310657220174667458","(-3*SUSYc1XM1)/57344 - SUSYc1XM11/28 + SUSYc1XM3/7168 - SUSYc1XM5/3584 + SUSYc1XM9/224 + SUSYc2XM1/14336 + (SUSYc1XM10*SUSYc2XM1)/56 - (SUSYc1XM12*SUSYc2XM1)/7 - (3*SUSYc1XM2*SUSYc2XM1)/14336 + (SUSYc1XM4*SUSYc2XM1)/1792 - (SUSYc1XM6*SUSYc2XM1)/896 + (SUSYc1XM1*SUSYc2XM2)/3584 + (SUSYc1XM11*SUSYc2XM2)/14 - (3*SUSYc1XM3*SUSYc2XM2)/3584 + (SUSYc1XM5*SUSYc2XM2)/448 - (5*SUSYc2XM3)/14336 + (2*SUSYc1XM12*SUSYc2XM3)/7 + (SUSYc1XM2*SUSYc2XM3)/896 - (3*SUSYc1XM4*SUSYc2XM3)/896 + (SUSYc1XM6*SUSYc2XM3)/112 - (SUSYc1XM8*SUSYc2XM3)/56 - (5*SUSYc1XM1*SUSYc2XM4)/3584 + (SUSYc1XM3*SUSYc2XM4)/224 - (3*SUSYc1XM5*SUSYc2XM4)/224 - (SUSYc1XM9*SUSYc2XM4)/14 + (3*SUSYc2XM5)/1792 - (2*SUSYc1XM10*SUSYc2XM5)/7 - (5*SUSYc1XM2*SUSYc2XM5)/896 + (SUSYc1XM4*SUSYc2XM5)/56 - (3*SUSYc1XM6*SUSYc2XM5)/56 + (SUSYc1XM8*SUSYc2XM5)/7","{-3/57344 + SUSYc2XM2/3584 - (5*SUSYc2XM4)/3584, (-3*SUSYc2XM1)/14336 + SUSYc2XM3/896 - (5*SUSYc2XM5)/896, 1/7168 - (3*SUSYc2XM2)/3584 + SUSYc2XM4/224, SUSYc2XM1/1792 - (3*SUSYc2XM3)/896 + SUSYc2XM5/56, -1/3584 + SUSYc2XM2/448 - (3*SUSYc2XM4)/224, -1/896*SUSYc2XM1 + SUSYc2XM3/112 - (3*SUSYc2XM5)/56, -1/56*SUSYc2XM3 + SUSYc2XM5/7, 1/224 - SUSYc2XM4/14, SUSYc2XM1/56 - (2*SUSYc2XM5)/7, -1/28 + SUSYc2XM2/14, -1/7*SUSYc2XM1 + (2*SUSYc2XM3)/7, 1/14336 + SUSYc1XM10/56 - SUSYc1XM12/7 - (3*SUSYc1XM2)/14336 + SUSYc1XM4/1792 - SUSYc1XM6/896, SUSYc1XM1/3584 + SUSYc1XM11/14 - (3*SUSYc1XM3)/3584 + SUSYc1XM5/448, -5/14336 + (2*SUSYc1XM12)/7 + SUSYc1XM2/896 - (3*SUSYc1XM4)/896 + SUSYc1XM6/112 - SUSYc1XM8/56, (-5*SUSYc1XM1)/3584 + SUSYc1XM3/224 - (3*SUSYc1XM5)/224 - SUSYc1XM9/14, 3/1792 - (2*SUSYc1XM10)/7 - (5*SUSYc1XM2)/896 + SUSYc1XM4/56 - (3*SUSYc1XM6)/56 + SUSYc1XM8/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",500,"SUSYc1XM3","-33574.50070509457711700342343608670064031456794007736707330845291588174890108881381352863350051513763904943221719646273755914829099825096207584200192682921145657793370462508903189292451894540311145578021628566546238245","-1/7168 + SUSYc1XM10/112 - (5*SUSYc1XM12)/14 + (5*SUSYc1XM2)/28672 + SUSYc1XM4/3584 - (5*SUSYc1XM6)/1792 + SUSYc1XM8/112 - (17*SUSYc1XM1*SUSYc2XM1)/28672 + (SUSYc1XM11*SUSYc2XM1)/14 + (3*SUSYc1XM3*SUSYc2XM1)/3584 + (SUSYc1XM5*SUSYc2XM1)/1792 + (3*SUSYc1XM9*SUSYc2XM1)/112 + (33*SUSYc2XM2)/28672 + (SUSYc1XM10*SUSYc2XM2)/14 + (3*SUSYc1XM12*SUSYc2XM2)/7 - (9*SUSYc1XM2*SUSYc2XM2)/3584 + (SUSYc1XM4*SUSYc2XM2)/256 - (3*SUSYc1XM8*SUSYc2XM2)/112 + (17*SUSYc1XM1*SUSYc2XM3)/3584 + (SUSYc1XM11*SUSYc2XM3)/7 - (19*SUSYc1XM3*SUSYc2XM3)/1792 + (SUSYc1XM5*SUSYc2XM3)/56 - (SUSYc1XM9*SUSYc2XM3)/14 - (27*SUSYc2XM4)/3584 - (SUSYc1XM10*SUSYc2XM4)/7 + (5*SUSYc1XM2*SUSYc2XM4)/256 - (5*SUSYc1XM4*SUSYc2XM4)/112 + (9*SUSYc1XM6*SUSYc2XM4)/112 - (SUSYc1XM8*SUSYc2XM4)/14 - (55*SUSYc1XM1*SUSYc2XM5)/1792 + (9*SUSYc1XM3*SUSYc2XM5)/112 - (3*SUSYc1XM5*SUSYc2XM5)/16 - (3*SUSYc1XM9*SUSYc2XM5)/7","{(-17*SUSYc2XM1)/28672 + (17*SUSYc2XM3)/3584 - (55*SUSYc2XM5)/1792, 5/28672 - (9*SUSYc2XM2)/3584 + (5*SUSYc2XM4)/256, (3*SUSYc2XM1)/3584 - (19*SUSYc2XM3)/1792 + (9*SUSYc2XM5)/112, 1/3584 + SUSYc2XM2/256 - (5*SUSYc2XM4)/112, SUSYc2XM1/1792 + SUSYc2XM3/56 - (3*SUSYc2XM5)/16, -5/1792 + (9*SUSYc2XM4)/112, 1/112 - (3*SUSYc2XM2)/112 - SUSYc2XM4/14, (3*SUSYc2XM1)/112 - SUSYc2XM3/14 - (3*SUSYc2XM5)/7, 1/112 + SUSYc2XM2/14 - SUSYc2XM4/7, SUSYc2XM1/14 + SUSYc2XM3/7, -5/14 + (3*SUSYc2XM2)/7, (-17*SUSYc1XM1)/28672 + SUSYc1XM11/14 + (3*SUSYc1XM3)/3584 + SUSYc1XM5/1792 + (3*SUSYc1XM9)/112, 33/28672 + SUSYc1XM10/14 + (3*SUSYc1XM12)/7 - (9*SUSYc1XM2)/3584 + SUSYc1XM4/256 - (3*SUSYc1XM8)/112, (17*SUSYc1XM1)/3584 + SUSYc1XM11/7 - (19*SUSYc1XM3)/1792 + SUSYc1XM5/56 - SUSYc1XM9/14, -27/3584 - SUSYc1XM10/7 + (5*SUSYc1XM2)/256 - (5*SUSYc1XM4)/112 + (9*SUSYc1XM6)/112 - SUSYc1XM8/14, (-55*SUSYc1XM1)/1792 + (9*SUSYc1XM3)/112 - (3*SUSYc1XM5)/16 - (3*SUSYc1XM9)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",500,"SUSYc1XM4","-133927.12411908809557045977117806378564724744580981275323193868059599336017563529967899053791056700328155171549754042733003780279029592364582352170915874052492842609948571085476732526576090593552532621685284813274808382","(-5*SUSYc1XM1)/14336 + SUSYc1XM3/448 - (5*SUSYc1XM5)/896 + (3*SUSYc1XM9)/56 - (3*SUSYc2XM1)/3584 + (SUSYc1XM10*SUSYc2XM1)/7 + (4*SUSYc1XM12*SUSYc2XM1)/7 - (SUSYc1XM2*SUSYc2XM1)/1792 + (3*SUSYc1XM4*SUSYc2XM1)/448 - (SUSYc1XM6*SUSYc2XM1)/56 - (SUSYc1XM1*SUSYc2XM2)/224 + (2*SUSYc1XM11*SUSYc2XM2)/7 + (SUSYc1XM3*SUSYc2XM2)/896 + (SUSYc1XM5*SUSYc2XM2)/56 + (25*SUSYc2XM3)/1792 - (5*SUSYc1XM2*SUSYc2XM3)/224 + (SUSYc1XM4*SUSYc2XM3)/56 + (SUSYc1XM6*SUSYc2XM3)/28 - (SUSYc1XM8*SUSYc2XM3)/7 + (55*SUSYc1XM1*SUSYc2XM4)/896 - (3*SUSYc1XM3*SUSYc2XM4)/28 + (SUSYc1XM5*SUSYc2XM4)/8 - (2*SUSYc1XM9*SUSYc2XM4)/7 - (55*SUSYc2XM5)/448 + (15*SUSYc1XM2*SUSYc2XM5)/56 - (SUSYc1XM4*SUSYc2XM5)/2 + (5*SUSYc1XM6*SUSYc2XM5)/7 - (4*SUSYc1XM8*SUSYc2XM5)/7","{-5/14336 - SUSYc2XM2/224 + (55*SUSYc2XM4)/896, -1/1792*SUSYc2XM1 - (5*SUSYc2XM3)/224 + (15*SUSYc2XM5)/56, 1/448 + SUSYc2XM2/896 - (3*SUSYc2XM4)/28, (3*SUSYc2XM1)/448 + SUSYc2XM3/56 - SUSYc2XM5/2, -5/896 + SUSYc2XM2/56 + SUSYc2XM4/8, -1/56*SUSYc2XM1 + SUSYc2XM3/28 + (5*SUSYc2XM5)/7, -1/7*SUSYc2XM3 - (4*SUSYc2XM5)/7, 3/56 - (2*SUSYc2XM4)/7, SUSYc2XM1/7, (2*SUSYc2XM2)/7, (4*SUSYc2XM1)/7, -3/3584 + SUSYc1XM10/7 + (4*SUSYc1XM12)/7 - SUSYc1XM2/1792 + (3*SUSYc1XM4)/448 - SUSYc1XM6/56, -1/224*SUSYc1XM1 + (2*SUSYc1XM11)/7 + SUSYc1XM3/896 + SUSYc1XM5/56, 25/1792 - (5*SUSYc1XM2)/224 + SUSYc1XM4/56 + SUSYc1XM6/28 - SUSYc1XM8/7, (55*SUSYc1XM1)/896 - (3*SUSYc1XM3)/28 + SUSYc1XM5/8 - (2*SUSYc1XM9)/7, -55/448 + (15*SUSYc1XM2)/56 - SUSYc1XM4/2 + (5*SUSYc1XM6)/7 - (4*SUSYc1XM8)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",500,"SUSYc1XM5","-402606.7261218027480657775452221314158550087601777786806845617338069667858255204755600924392246763716509452312011248111389142008871362859580202091145063610180821741378440835331883107924284226347701440948836024447799596","-15/7168 + (5*SUSYc1XM10)/28 + (5*SUSYc1XM12)/7 + (5*SUSYc1XM2)/1024 - (5*SUSYc1XM4)/1792 - (5*SUSYc1XM6)/224 + (3*SUSYc1XM8)/56 - (43*SUSYc1XM1*SUSYc2XM1)/7168 + (3*SUSYc1XM11*SUSYc2XM1)/7 + (29*SUSYc1XM3*SUSYc2XM1)/1792 - (3*SUSYc1XM5*SUSYc2XM1)/224 + (3*SUSYc1XM9*SUSYc2XM1)/28 - (3*SUSYc2XM2)/1024 + (SUSYc1XM10*SUSYc2XM2)/7 - (25*SUSYc1XM2*SUSYc2XM2)/1792 + (11*SUSYc1XM4*SUSYc2XM2)/224 - (3*SUSYc1XM6*SUSYc2XM2)/56 - (3*SUSYc1XM8*SUSYc2XM2)/28 - (55*SUSYc1XM1*SUSYc2XM3)/1792 - (3*SUSYc1XM3*SUSYc2XM3)/224 + (SUSYc1XM5*SUSYc2XM3)/8 - (SUSYc1XM9*SUSYc2XM3)/7 + (275*SUSYc2XM4)/1792 - (45*SUSYc1XM2*SUSYc2XM4)/224 + (SUSYc1XM4*SUSYc2XM4)/8 + (5*SUSYc1XM6*SUSYc2XM4)/28 - (3*SUSYc1XM8*SUSYc2XM4)/7 + (165*SUSYc1XM1*SUSYc2XM5)/224 - (9*SUSYc1XM3*SUSYc2XM5)/8 + (5*SUSYc1XM5*SUSYc2XM5)/4","{(-43*SUSYc2XM1)/7168 - (55*SUSYc2XM3)/1792 + (165*SUSYc2XM5)/224, 5/1024 - (25*SUSYc2XM2)/1792 - (45*SUSYc2XM4)/224, (29*SUSYc2XM1)/1792 - (3*SUSYc2XM3)/224 - (9*SUSYc2XM5)/8, -5/1792 + (11*SUSYc2XM2)/224 + SUSYc2XM4/8, (-3*SUSYc2XM1)/224 + SUSYc2XM3/8 + (5*SUSYc2XM5)/4, -5/224 - (3*SUSYc2XM2)/56 + (5*SUSYc2XM4)/28, 3/56 - (3*SUSYc2XM2)/28 - (3*SUSYc2XM4)/7, (3*SUSYc2XM1)/28 - SUSYc2XM3/7, 5/28 + SUSYc2XM2/7, (3*SUSYc2XM1)/7, 5/7, (-43*SUSYc1XM1)/7168 + (3*SUSYc1XM11)/7 + (29*SUSYc1XM3)/1792 - (3*SUSYc1XM5)/224 + (3*SUSYc1XM9)/28, -3/1024 + SUSYc1XM10/7 - (25*SUSYc1XM2)/1792 + (11*SUSYc1XM4)/224 - (3*SUSYc1XM6)/56 - (3*SUSYc1XM8)/28, (-55*SUSYc1XM1)/1792 - (3*SUSYc1XM3)/224 + SUSYc1XM5/8 - SUSYc1XM9/7, 275/1792 - (45*SUSYc1XM2)/224 + SUSYc1XM4/8 + (5*SUSYc1XM6)/28 - (3*SUSYc1XM8)/7, (165*SUSYc1XM1)/224 - (9*SUSYc1XM3)/8 + (5*SUSYc1XM5)/4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",500,"SUSYc1XM6","-941112.87528040088491908935131381420895165802628885942497123900738817374200068348326911751991978109303480849912729869667100524008411682015600468553144895631408085410720533484746519743722649057948848389905053963323796738","(17*SUSYc1XM1)/3584 + (4*SUSYc1XM11)/7 + (5*SUSYc1XM3)/448 - (5*SUSYc1XM5)/112 + (3*SUSYc1XM9)/14 - (15*SUSYc2XM1)/896 + (2*SUSYc1XM10*SUSYc2XM1)/7 + (19*SUSYc1XM2*SUSYc2XM1)/896 + (SUSYc1XM4*SUSYc2XM1)/56 - (3*SUSYc1XM6*SUSYc2XM1)/28 - (11*SUSYc1XM1*SUSYc2XM2)/224 + (9*SUSYc1XM3*SUSYc2XM2)/112 - (11*SUSYc2XM3)/896 - (3*SUSYc1XM2*SUSYc2XM3)/28 + (SUSYc1XM4*SUSYc2XM3)/4 - (SUSYc1XM6*SUSYc2XM3)/7 - (2*SUSYc1XM8*SUSYc2XM3)/7 - (33*SUSYc1XM1*SUSYc2XM4)/112 + (SUSYc1XM5*SUSYc2XM4)/2 + (99*SUSYc2XM5)/56 - (9*SUSYc1XM2*SUSYc2XM5)/4 + 2*SUSYc1XM4*SUSYc2XM5 - (6*SUSYc1XM6*SUSYc2XM5)/7","{17/3584 - (11*SUSYc2XM2)/224 - (33*SUSYc2XM4)/112, (19*SUSYc2XM1)/896 - (3*SUSYc2XM3)/28 - (9*SUSYc2XM5)/4, 5/448 + (9*SUSYc2XM2)/112, SUSYc2XM1/56 + SUSYc2XM3/4 + 2*SUSYc2XM5, -5/112 + SUSYc2XM4/2, (-3*SUSYc2XM1)/28 - SUSYc2XM3/7 - (6*SUSYc2XM5)/7, (-2*SUSYc2XM3)/7, 3/14, (2*SUSYc2XM1)/7, 4/7, 0, -15/896 + (2*SUSYc1XM10)/7 + (19*SUSYc1XM2)/896 + SUSYc1XM4/56 - (3*SUSYc1XM6)/28, (-11*SUSYc1XM1)/224 + (9*SUSYc1XM3)/112, -11/896 - (3*SUSYc1XM2)/28 + SUSYc1XM4/4 - SUSYc1XM6/7 - (2*SUSYc1XM8)/7, (-33*SUSYc1XM1)/112 + SUSYc1XM5/2, 99/56 - (9*SUSYc1XM2)/4 + 2*SUSYc1XM4 - (6*SUSYc1XM6)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",500,"SUSYc1XM8","-1.491139758193092317340098200664131592513682517628564266578448310082909211709618696233697955999754356679500182114335776301531676640739468328196244605552915589039900052231735575845290656262103413754554821514323705275683377*10^7","-1/224 + (3*SUSYc1XM10)/7 + (65*SUSYc1XM2)/1792 - (5*SUSYc1XM4)/112 - (5*SUSYc1XM6)/56 + SUSYc1XM8/7 + (11*SUSYc1XM1*SUSYc2XM1)/1792 + (9*SUSYc1XM3*SUSYc2XM1)/112 - (SUSYc1XM5*SUSYc2XM1)/8 + (SUSYc1XM9*SUSYc2XM1)/7 - (187*SUSYc2XM2)/1792 + (9*SUSYc1XM2*SUSYc2XM2)/112 + (SUSYc1XM4*SUSYc2XM2)/8 - (2*SUSYc1XM6*SUSYc2XM2)/7 - (SUSYc1XM8*SUSYc2XM2)/7 - (33*SUSYc1XM1*SUSYc2XM3)/112 + (3*SUSYc1XM3*SUSYc2XM3)/8 - (33*SUSYc2XM4)/112 - (3*SUSYc1XM2*SUSYc2XM4)/8 + SUSYc1XM4*SUSYc2XM4 - (5*SUSYc1XM6*SUSYc2XM4)/7 - (33*SUSYc1XM1*SUSYc2XM5)/8 + 3*SUSYc1XM3*SUSYc2XM5 - SUSYc1XM5*SUSYc2XM5","{(11*SUSYc2XM1)/1792 - (33*SUSYc2XM3)/112 - (33*SUSYc2XM5)/8, 65/1792 + (9*SUSYc2XM2)/112 - (3*SUSYc2XM4)/8, (9*SUSYc2XM1)/112 + (3*SUSYc2XM3)/8 + 3*SUSYc2XM5, -5/112 + SUSYc2XM2/8 + SUSYc2XM4, -1/8*SUSYc2XM1 - SUSYc2XM5, -5/56 - (2*SUSYc2XM2)/7 - (5*SUSYc2XM4)/7, 1/7 - SUSYc2XM2/7, SUSYc2XM1/7, 3/7, 0, 0, (11*SUSYc1XM1)/1792 + (9*SUSYc1XM3)/112 - SUSYc1XM5/8 + SUSYc1XM9/7, -187/1792 + (9*SUSYc1XM2)/112 + SUSYc1XM4/8 - (2*SUSYc1XM6)/7 - SUSYc1XM8/7, (-33*SUSYc1XM1)/112 + (3*SUSYc1XM3)/8, -33/112 - (3*SUSYc1XM2)/8 + SUSYc1XM4 - (5*SUSYc1XM6)/7, (-33*SUSYc1XM1)/8 + 3*SUSYc1XM3 - SUSYc1XM5}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",500,"SUSYc1XM9","4.127682895968022305734393195918523034073441683669219708256802744527491038505952704483409141137157328052533243843937845022041775980564701797805754544306810738300855494778989290424706689513309457637326275012545511147612504*10^7","(55*SUSYc1XM1)/896 - (5*SUSYc1XM5)/28 + (2*SUSYc1XM9)/7 - (11*SUSYc2XM1)/224 + (9*SUSYc1XM2*SUSYc2XM1)/56 - (SUSYc1XM4*SUSYc2XM1)/14 - (2*SUSYc1XM6*SUSYc2XM1)/7 + (9*SUSYc1XM3*SUSYc2XM2)/28 - (2*SUSYc1XM5*SUSYc2XM2)/7 - (33*SUSYc2XM3)/56 + (3*SUSYc1XM2*SUSYc2XM3)/7 + (2*SUSYc1XM4*SUSYc2XM3)/7 - (4*SUSYc1XM6*SUSYc2XM3)/7 - (33*SUSYc1XM1*SUSYc2XM4)/28 + (12*SUSYc1XM3*SUSYc2XM4)/7 - (6*SUSYc1XM5*SUSYc2XM4)/7 - (99*SUSYc2XM5)/14 + (30*SUSYc1XM2*SUSYc2XM5)/7 - (8*SUSYc1XM4*SUSYc2XM5)/7","{55/896 - (33*SUSYc2XM4)/28, (9*SUSYc2XM1)/56 + (3*SUSYc2XM3)/7 + (30*SUSYc2XM5)/7, (9*SUSYc2XM2)/28 + (12*SUSYc2XM4)/7, -1/14*SUSYc2XM1 + (2*SUSYc2XM3)/7 - (8*SUSYc2XM5)/7, -5/28 - (2*SUSYc2XM2)/7 - (6*SUSYc2XM4)/7, (-2*SUSYc2XM1)/7 - (4*SUSYc2XM3)/7, 0, 2/7, 0, 0, 0, -11/224 + (9*SUSYc1XM2)/56 - SUSYc1XM4/14 - (2*SUSYc1XM6)/7, (9*SUSYc1XM3)/28 - (2*SUSYc1XM5)/7, -33/56 + (3*SUSYc1XM2)/7 + (2*SUSYc1XM4)/7 - (4*SUSYc1XM6)/7, (-33*SUSYc1XM1)/28 + (12*SUSYc1XM3)/7 - (6*SUSYc1XM5)/7, -99/14 + (30*SUSYc1XM2)/7 - (8*SUSYc1XM4)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",500,"SUSYc1XM10","-8.903422888005852168668483887143006415910945188019910931835361357730017688840803161394555321754415879839363670599945602894155702817820182193528670298742905073433680887453322082354154625786085247757556134917477228401507176*10^7","55/896 + (45*SUSYc1XM2)/448 - (25*SUSYc1XM4)/112 - (5*SUSYc1XM6)/28 + SUSYc1XM8/7 + (99*SUSYc1XM1*SUSYc2XM1)/448 + (9*SUSYc1XM3*SUSYc2XM1)/112 - (11*SUSYc1XM5*SUSYc2XM1)/28 - (99*SUSYc2XM2)/448 + (9*SUSYc1XM2*SUSYc2XM2)/16 - (5*SUSYc1XM4*SUSYc2XM2)/28 - (3*SUSYc1XM6*SUSYc2XM2)/7 + (33*SUSYc1XM1*SUSYc2XM3)/112 + (3*SUSYc1XM3*SUSYc2XM3)/4 - (5*SUSYc1XM5*SUSYc2XM3)/7 - (297*SUSYc2XM4)/112 + (75*SUSYc1XM2*SUSYc2XM4)/28 - SUSYc1XM4*SUSYc2XM4 + (165*SUSYc1XM1*SUSYc2XM5)/28 - (9*SUSYc1XM3*SUSYc2XM5)/7","{(99*SUSYc2XM1)/448 + (33*SUSYc2XM3)/112 + (165*SUSYc2XM5)/28, 45/448 + (9*SUSYc2XM2)/16 + (75*SUSYc2XM4)/28, (9*SUSYc2XM1)/112 + (3*SUSYc2XM3)/4 - (9*SUSYc2XM5)/7, -25/112 - (5*SUSYc2XM2)/28 - SUSYc2XM4, (-11*SUSYc2XM1)/28 - (5*SUSYc2XM3)/7, -5/28 - (3*SUSYc2XM2)/7, 1/7, 0, 0, 0, 0, (99*SUSYc1XM1)/448 + (9*SUSYc1XM3)/112 - (11*SUSYc1XM5)/28, -99/448 + (9*SUSYc1XM2)/16 - (5*SUSYc1XM4)/28 - (3*SUSYc1XM6)/7, (33*SUSYc1XM1)/112 + (3*SUSYc1XM3)/4 - (5*SUSYc1XM5)/7, -297/112 + (75*SUSYc1XM2)/28 - SUSYc1XM4, (165*SUSYc1XM1)/28 - (9*SUSYc1XM3)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",500,"SUSYc1XM11","9.419544479233309476770423314243946391065796560682584397962792306738792875996744819917647120317711113069697651097110604784319217443984397264658280487007842679206354027384770177390004591171394990135151731507631023111160152*10^7","(55*SUSYc1XM1)/224 - (5*SUSYc1XM3)/28 - (5*SUSYc1XM5)/14 + (11*SUSYc2XM1)/56 + (19*SUSYc1XM2*SUSYc2XM1)/56 - (3*SUSYc1XM4*SUSYc2XM1)/7 - (2*SUSYc1XM6*SUSYc2XM1)/7 + (11*SUSYc1XM1*SUSYc2XM2)/14 + (SUSYc1XM3*SUSYc2XM2)/14 - (4*SUSYc1XM5*SUSYc2XM2)/7 - (11*SUSYc2XM3)/56 + (10*SUSYc1XM2*SUSYc2XM3)/7 - (6*SUSYc1XM4*SUSYc2XM3)/7 + (55*SUSYc1XM1*SUSYc2XM4)/14 - (8*SUSYc1XM3*SUSYc2XM4)/7 + (55*SUSYc2XM5)/7 - (10*SUSYc1XM2*SUSYc2XM5)/7","{55/224 + (11*SUSYc2XM2)/14 + (55*SUSYc2XM4)/14, (19*SUSYc2XM1)/56 + (10*SUSYc2XM3)/7 - (10*SUSYc2XM5)/7, -5/28 + SUSYc2XM2/14 - (8*SUSYc2XM4)/7, (-3*SUSYc2XM1)/7 - (6*SUSYc2XM3)/7, -5/14 - (4*SUSYc2XM2)/7, (-2*SUSYc2XM1)/7, 0, 0, 0, 0, 0, 11/56 + (19*SUSYc1XM2)/56 - (3*SUSYc1XM4)/7 - (2*SUSYc1XM6)/7, (11*SUSYc1XM1)/14 + SUSYc1XM3/14 - (4*SUSYc1XM5)/7, -11/56 + (10*SUSYc1XM2)/7 - (6*SUSYc1XM4)/7, (55*SUSYc1XM1)/14 - (8*SUSYc1XM3)/7, 55/7 - (10*SUSYc1XM2)/7}"
