"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM1","6.14862806478879570664497252051494969037900079537158898788209578356650373115290715912766196963285817199623648541413543259598391690610954533484313447882572980758309944968603737597532399726597550673661266224879089679","1/114688 - SUSYc1XM10/112 - SUSYc1XM2/28672 + SUSYc1XM4/7168 - SUSYc1XM6/1792 + SUSYc1XM8/448 + (SUSYc1XM1*SUSYc2XM1)/28672 - (SUSYc1XM11*SUSYc2XM1)/28 - (SUSYc1XM3*SUSYc2XM1)/7168 + (SUSYc1XM5*SUSYc2XM1)/1792 + (SUSYc1XM9*SUSYc2XM1)/112 - SUSYc2XM2/28672 + (SUSYc1XM10*SUSYc2XM2)/28 + (SUSYc1XM2*SUSYc2XM2)/7168 - (SUSYc1XM4*SUSYc2XM2)/1792 + (SUSYc1XM6*SUSYc2XM2)/448 - (SUSYc1XM8*SUSYc2XM2)/112 - (SUSYc1XM1*SUSYc2XM3)/7168 + (SUSYc1XM11*SUSYc2XM3)/7 + (SUSYc1XM3*SUSYc2XM3)/1792 - (SUSYc1XM5*SUSYc2XM3)/448 - (SUSYc1XM9*SUSYc2XM3)/28 + SUSYc2XM4/7168 - (SUSYc1XM10*SUSYc2XM4)/7 - (SUSYc1XM2*SUSYc2XM4)/1792 + (SUSYc1XM4*SUSYc2XM4)/448 - (SUSYc1XM6*SUSYc2XM4)/112 + (SUSYc1XM8*SUSYc2XM4)/28","{SUSYc2XM1/28672 - SUSYc2XM3/7168, -1/28672 + SUSYc2XM2/7168 - SUSYc2XM4/1792, -1/7168*SUSYc2XM1 + SUSYc2XM3/1792, 1/7168 - SUSYc2XM2/1792 + SUSYc2XM4/448, SUSYc2XM1/1792 - SUSYc2XM3/448, -1/1792 + SUSYc2XM2/448 - SUSYc2XM4/112, 1/448 - SUSYc2XM2/112 + SUSYc2XM4/28, SUSYc2XM1/112 - SUSYc2XM3/28, -1/112 + SUSYc2XM2/28 - SUSYc2XM4/7, -1/28*SUSYc2XM1 + SUSYc2XM3/7, SUSYc1XM1/28672 - SUSYc1XM11/28 - SUSYc1XM3/7168 + SUSYc1XM5/1792 + SUSYc1XM9/112, -1/28672 + SUSYc1XM10/28 + SUSYc1XM2/7168 - SUSYc1XM4/1792 + SUSYc1XM6/448 - SUSYc1XM8/112, -1/7168*SUSYc1XM1 + SUSYc1XM11/7 + SUSYc1XM3/1792 - SUSYc1XM5/448 - SUSYc1XM9/28, 1/7168 - SUSYc1XM10/7 - SUSYc1XM2/1792 + SUSYc1XM4/448 - SUSYc1XM6/112 + SUSYc1XM8/28}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM2","25.8208248342328410118522126691742528556866313511375479640812148218779859603655700375952128368954339647230592687257338763543724912660362925965685777583906823687224813685719225336570913749855256766197774624912749015","(-3*SUSYc1XM1)/14336 - SUSYc1XM11/7 + SUSYc1XM3/1792 - SUSYc1XM5/896 + SUSYc1XM9/56 + SUSYc2XM1/3584 + (SUSYc1XM10*SUSYc2XM1)/14 - (3*SUSYc1XM2*SUSYc2XM1)/3584 + (SUSYc1XM4*SUSYc2XM1)/448 - (SUSYc1XM6*SUSYc2XM1)/224 + (SUSYc1XM1*SUSYc2XM2)/896 + (2*SUSYc1XM11*SUSYc2XM2)/7 - (3*SUSYc1XM3*SUSYc2XM2)/896 + (SUSYc1XM5*SUSYc2XM2)/112 - (5*SUSYc2XM3)/3584 + (SUSYc1XM2*SUSYc2XM3)/224 - (3*SUSYc1XM4*SUSYc2XM3)/224 + (SUSYc1XM6*SUSYc2XM3)/28 - (SUSYc1XM8*SUSYc2XM3)/14 - (5*SUSYc1XM1*SUSYc2XM4)/896 + (SUSYc1XM3*SUSYc2XM4)/56 - (3*SUSYc1XM5*SUSYc2XM4)/56 - (2*SUSYc1XM9*SUSYc2XM4)/7","{-3/14336 + SUSYc2XM2/896 - (5*SUSYc2XM4)/896, (-3*SUSYc2XM1)/3584 + SUSYc2XM3/224, 1/1792 - (3*SUSYc2XM2)/896 + SUSYc2XM4/56, SUSYc2XM1/448 - (3*SUSYc2XM3)/224, -1/896 + SUSYc2XM2/112 - (3*SUSYc2XM4)/56, -1/224*SUSYc2XM1 + SUSYc2XM3/28, -1/14*SUSYc2XM3, 1/56 - (2*SUSYc2XM4)/7, SUSYc2XM1/14, -1/7 + (2*SUSYc2XM2)/7, 1/3584 + SUSYc1XM10/14 - (3*SUSYc1XM2)/3584 + SUSYc1XM4/448 - SUSYc1XM6/224, SUSYc1XM1/896 + (2*SUSYc1XM11)/7 - (3*SUSYc1XM3)/896 + SUSYc1XM5/112, -5/3584 + SUSYc1XM2/224 - (3*SUSYc1XM4)/224 + SUSYc1XM6/28 - SUSYc1XM8/14, (-5*SUSYc1XM1)/896 + SUSYc1XM3/56 - (3*SUSYc1XM5)/56 - (2*SUSYc1XM9)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM3","76.97910856330490945222294971381305409103561215547181253928147298588236195797797389118026461833667897121663476903201121160379657432560115283377062231590289447627478182547655750149187329336675970619139689423246895888","-17/28672 + SUSYc1XM10/14 + (3*SUSYc1XM2)/3584 + SUSYc1XM4/1792 - SUSYc1XM6/112 + (3*SUSYc1XM8)/112 - (9*SUSYc1XM1*SUSYc2XM1)/3584 + (3*SUSYc1XM11*SUSYc2XM1)/7 + (SUSYc1XM3*SUSYc2XM1)/256 + (SUSYc1XM9*SUSYc2XM1)/14 + (17*SUSYc2XM2)/3584 + (SUSYc1XM10*SUSYc2XM2)/7 - (19*SUSYc1XM2*SUSYc2XM2)/1792 + (SUSYc1XM4*SUSYc2XM2)/56 - (SUSYc1XM6*SUSYc2XM2)/112 - (SUSYc1XM8*SUSYc2XM2)/14 + (5*SUSYc1XM1*SUSYc2XM3)/256 - (5*SUSYc1XM3*SUSYc2XM3)/112 + (9*SUSYc1XM5*SUSYc2XM3)/112 - (SUSYc1XM9*SUSYc2XM3)/7 - (55*SUSYc2XM4)/1792 + (9*SUSYc1XM2*SUSYc2XM4)/112 - (3*SUSYc1XM4*SUSYc2XM4)/16 + (5*SUSYc1XM6*SUSYc2XM4)/14 - (3*SUSYc1XM8*SUSYc2XM4)/7","{(-9*SUSYc2XM1)/3584 + (5*SUSYc2XM3)/256, 3/3584 - (19*SUSYc2XM2)/1792 + (9*SUSYc2XM4)/112, SUSYc2XM1/256 - (5*SUSYc2XM3)/112, 1/1792 + SUSYc2XM2/56 - (3*SUSYc2XM4)/16, (9*SUSYc2XM3)/112, -1/112 - SUSYc2XM2/112 + (5*SUSYc2XM4)/14, 3/112 - SUSYc2XM2/14 - (3*SUSYc2XM4)/7, SUSYc2XM1/14 - SUSYc2XM3/7, 1/14 + SUSYc2XM2/7, (3*SUSYc2XM1)/7, (-9*SUSYc1XM1)/3584 + (3*SUSYc1XM11)/7 + SUSYc1XM3/256 + SUSYc1XM9/14, 17/3584 + SUSYc1XM10/7 - (19*SUSYc1XM2)/1792 + SUSYc1XM4/56 - SUSYc1XM6/112 - SUSYc1XM8/14, (5*SUSYc1XM1)/256 - (5*SUSYc1XM3)/112 + (9*SUSYc1XM5)/112 - SUSYc1XM9/7, -55/1792 + (9*SUSYc1XM2)/112 - (3*SUSYc1XM4)/16 + (5*SUSYc1XM6)/14 - (3*SUSYc1XM8)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM4","180.94869999782148842113448092729992177540874195951106508611140272627161373736213088465358738613792578408737011526037061247930635274077467662359320769392364481416998087088261096924715307358026726238980711775627605487","-1/1792*SUSYc1XM1 + (4*SUSYc1XM11)/7 + (3*SUSYc1XM3)/448 - SUSYc1XM5/56 + SUSYc1XM9/7 - SUSYc2XM1/224 + (2*SUSYc1XM10*SUSYc2XM1)/7 + (SUSYc1XM2*SUSYc2XM1)/896 + (SUSYc1XM4*SUSYc2XM1)/56 - (3*SUSYc1XM6*SUSYc2XM1)/56 - (5*SUSYc1XM1*SUSYc2XM2)/224 + (SUSYc1XM3*SUSYc2XM2)/56 + (SUSYc1XM5*SUSYc2XM2)/28 + (55*SUSYc2XM3)/896 - (3*SUSYc1XM2*SUSYc2XM3)/28 + (SUSYc1XM4*SUSYc2XM3)/8 - (2*SUSYc1XM8*SUSYc2XM3)/7 + (15*SUSYc1XM1*SUSYc2XM4)/56 - (SUSYc1XM3*SUSYc2XM4)/2 + (5*SUSYc1XM5*SUSYc2XM4)/7","{-1/1792 - (5*SUSYc2XM2)/224 + (15*SUSYc2XM4)/56, SUSYc2XM1/896 - (3*SUSYc2XM3)/28, 3/448 + SUSYc2XM2/56 - SUSYc2XM4/2, SUSYc2XM1/56 + SUSYc2XM3/8, -1/56 + SUSYc2XM2/28 + (5*SUSYc2XM4)/7, (-3*SUSYc2XM1)/56, (-2*SUSYc2XM3)/7, 1/7, (2*SUSYc2XM1)/7, 4/7, -1/224 + (2*SUSYc1XM10)/7 + SUSYc1XM2/896 + SUSYc1XM4/56 - (3*SUSYc1XM6)/56, (-5*SUSYc1XM1)/224 + SUSYc1XM3/56 + SUSYc1XM5/28, 55/896 - (3*SUSYc1XM2)/28 + SUSYc1XM4/8 - (2*SUSYc1XM8)/7, (15*SUSYc1XM1)/56 - SUSYc1XM3/2 + (5*SUSYc1XM5)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM5","337.35775775217190836386254083743529524912317570188915715005895764252269998137350741861079402702296742919104992992610101914605440503538135521154213564417518164232034966225747046654434513265508799115864298388874352945","-43/7168 + (3*SUSYc1XM10)/7 + (29*SUSYc1XM2)/1792 - (3*SUSYc1XM4)/224 - (3*SUSYc1XM6)/56 + (3*SUSYc1XM8)/28 - (25*SUSYc1XM1*SUSYc2XM1)/1792 + (11*SUSYc1XM3*SUSYc2XM1)/224 - (3*SUSYc1XM5*SUSYc2XM1)/56 + (SUSYc1XM9*SUSYc2XM1)/7 - (55*SUSYc2XM2)/1792 - (3*SUSYc1XM2*SUSYc2XM2)/224 + (SUSYc1XM4*SUSYc2XM2)/8 - (5*SUSYc1XM6*SUSYc2XM2)/28 - (SUSYc1XM8*SUSYc2XM2)/7 - (45*SUSYc1XM1*SUSYc2XM3)/224 + (SUSYc1XM3*SUSYc2XM3)/8 + (5*SUSYc1XM5*SUSYc2XM3)/28 + (165*SUSYc2XM4)/224 - (9*SUSYc1XM2*SUSYc2XM4)/8 + (5*SUSYc1XM4*SUSYc2XM4)/4 - (5*SUSYc1XM6*SUSYc2XM4)/7","{(-25*SUSYc2XM1)/1792 - (45*SUSYc2XM3)/224, 29/1792 - (3*SUSYc2XM2)/224 - (9*SUSYc2XM4)/8, (11*SUSYc2XM1)/224 + SUSYc2XM3/8, -3/224 + SUSYc2XM2/8 + (5*SUSYc2XM4)/4, (-3*SUSYc2XM1)/56 + (5*SUSYc2XM3)/28, -3/56 - (5*SUSYc2XM2)/28 - (5*SUSYc2XM4)/7, 3/28 - SUSYc2XM2/7, SUSYc2XM1/7, 3/7, 0, (-25*SUSYc1XM1)/1792 + (11*SUSYc1XM3)/224 - (3*SUSYc1XM5)/56 + SUSYc1XM9/7, -55/1792 - (3*SUSYc1XM2)/224 + SUSYc1XM4/8 - (5*SUSYc1XM6)/28 - SUSYc1XM8/7, (-45*SUSYc1XM1)/224 + SUSYc1XM3/8 + (5*SUSYc1XM5)/28, 165/224 - (9*SUSYc1XM2)/8 + (5*SUSYc1XM4)/4 - (5*SUSYc1XM6)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM6","504.60336877518276674226024572029681529310717711423170691362118581990717074841577587273675115111753301786887374584368768328867978667226898726149893078119297157221715807600421262940842167844912922880934054351280296456","(19*SUSYc1XM1)/896 + SUSYc1XM3/56 - (3*SUSYc1XM5)/28 + (2*SUSYc1XM9)/7 - (11*SUSYc2XM1)/224 + (9*SUSYc1XM2*SUSYc2XM1)/112 - (3*SUSYc1XM6*SUSYc2XM1)/14 - (3*SUSYc1XM1*SUSYc2XM2)/28 + (SUSYc1XM3*SUSYc2XM2)/4 - (SUSYc1XM5*SUSYc2XM2)/7 - (33*SUSYc2XM3)/112 + (SUSYc1XM4*SUSYc2XM3)/2 - (4*SUSYc1XM6*SUSYc2XM3)/7 - (9*SUSYc1XM1*SUSYc2XM4)/4 + 2*SUSYc1XM3*SUSYc2XM4 - (6*SUSYc1XM5*SUSYc2XM4)/7","{19/896 - (3*SUSYc2XM2)/28 - (9*SUSYc2XM4)/4, (9*SUSYc2XM1)/112, 1/56 + SUSYc2XM2/4 + 2*SUSYc2XM4, SUSYc2XM3/2, -3/28 - SUSYc2XM2/7 - (6*SUSYc2XM4)/7, (-3*SUSYc2XM1)/14 - (4*SUSYc2XM3)/7, 0, 2/7, 0, 0, -11/224 + (9*SUSYc1XM2)/112 - (3*SUSYc1XM6)/14, (-3*SUSYc1XM1)/28 + SUSYc1XM3/4 - SUSYc1XM5/7, -33/112 + SUSYc1XM4/2 - (4*SUSYc1XM6)/7, (-9*SUSYc1XM1)/4 + 2*SUSYc1XM3 - (6*SUSYc1XM5)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM8","263808.03479689918430741996268903385352967546586631658399773583789321131354956016700721230231783051632461752850493021293931778939869957113445179305090220443384686112057268649310102223203577390833503364515811227180219068","11/1792 + (9*SUSYc1XM2)/112 - SUSYc1XM4/8 - SUSYc1XM6/7 + SUSYc1XM8/7 + (9*SUSYc1XM1*SUSYc2XM1)/112 + (SUSYc1XM3*SUSYc2XM1)/8 - (2*SUSYc1XM5*SUSYc2XM1)/7 - (33*SUSYc2XM2)/112 + (3*SUSYc1XM2*SUSYc2XM2)/8 - (3*SUSYc1XM6*SUSYc2XM2)/7 - (3*SUSYc1XM1*SUSYc2XM3)/8 + SUSYc1XM3*SUSYc2XM3 - (5*SUSYc1XM5*SUSYc2XM3)/7 - (33*SUSYc2XM4)/8 + 3*SUSYc1XM2*SUSYc2XM4 - SUSYc1XM4*SUSYc2XM4","{(9*SUSYc2XM1)/112 - (3*SUSYc2XM3)/8, 9/112 + (3*SUSYc2XM2)/8 + 3*SUSYc2XM4, SUSYc2XM1/8 + SUSYc2XM3, -1/8 - SUSYc2XM4, (-2*SUSYc2XM1)/7 - (5*SUSYc2XM3)/7, -1/7 - (3*SUSYc2XM2)/7, 1/7, 0, 0, 0, (9*SUSYc1XM1)/112 + SUSYc1XM3/8 - (2*SUSYc1XM5)/7, -33/112 + (3*SUSYc1XM2)/8 - (3*SUSYc1XM6)/7, (-3*SUSYc1XM1)/8 + SUSYc1XM3 - (5*SUSYc1XM5)/7, -33/8 + 3*SUSYc1XM2 - SUSYc1XM4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM9","-1.25024107139969048615270898776457027569927756396945682226903842361098233308108848273106294893802016562216654582545216892621283609881286068892296257862207338948143383868501347691158341859116340440490970037066581350059722*10^6","(9*SUSYc1XM1)/56 - SUSYc1XM3/14 - (2*SUSYc1XM5)/7 + (9*SUSYc1XM2*SUSYc2XM1)/28 - (2*SUSYc1XM4*SUSYc2XM1)/7 - (2*SUSYc1XM6*SUSYc2XM1)/7 + (3*SUSYc1XM1*SUSYc2XM2)/7 + (2*SUSYc1XM3*SUSYc2XM2)/7 - (4*SUSYc1XM5*SUSYc2XM2)/7 - (33*SUSYc2XM3)/28 + (12*SUSYc1XM2*SUSYc2XM3)/7 - (6*SUSYc1XM4*SUSYc2XM3)/7 + (30*SUSYc1XM1*SUSYc2XM4)/7 - (8*SUSYc1XM3*SUSYc2XM4)/7","{9/56 + (3*SUSYc2XM2)/7 + (30*SUSYc2XM4)/7, (9*SUSYc2XM1)/28 + (12*SUSYc2XM3)/7, -1/14 + (2*SUSYc2XM2)/7 - (8*SUSYc2XM4)/7, (-2*SUSYc2XM1)/7 - (6*SUSYc2XM3)/7, -2/7 - (4*SUSYc2XM2)/7, (-2*SUSYc2XM1)/7, 0, 0, 0, 0, (9*SUSYc1XM2)/28 - (2*SUSYc1XM4)/7 - (2*SUSYc1XM6)/7, (3*SUSYc1XM1)/7 + (2*SUSYc1XM3)/7 - (4*SUSYc1XM5)/7, -33/28 + (12*SUSYc1XM2)/7 - (6*SUSYc1XM4)/7, (30*SUSYc1XM1)/7 - (8*SUSYc1XM3)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM10","2.30233188684262745979699477878062645268638031686721134754281802325146173501228105839571721976698446558249137905060029054627783629005399921891198970717556896378208949996008842653313096307802870916357878827624437547618065*10^6","99/448 + (9*SUSYc1XM2)/112 - (11*SUSYc1XM4)/28 - SUSYc1XM6/7 + (9*SUSYc1XM1*SUSYc2XM1)/16 - (5*SUSYc1XM3*SUSYc2XM1)/28 - (3*SUSYc1XM5*SUSYc2XM1)/7 + (33*SUSYc2XM2)/112 + (3*SUSYc1XM2*SUSYc2XM2)/4 - (5*SUSYc1XM4*SUSYc2XM2)/7 + (75*SUSYc1XM1*SUSYc2XM3)/28 - SUSYc1XM3*SUSYc2XM3 + (165*SUSYc2XM4)/28 - (9*SUSYc1XM2*SUSYc2XM4)/7","{(9*SUSYc2XM1)/16 + (75*SUSYc2XM3)/28, 9/112 + (3*SUSYc2XM2)/4 - (9*SUSYc2XM4)/7, (-5*SUSYc2XM1)/28 - SUSYc2XM3, -11/28 - (5*SUSYc2XM2)/7, (-3*SUSYc2XM1)/7, -1/7, 0, 0, 0, 0, (9*SUSYc1XM1)/16 - (5*SUSYc1XM3)/28 - (3*SUSYc1XM5)/7, 33/112 + (3*SUSYc1XM2)/4 - (5*SUSYc1XM4)/7, (75*SUSYc1XM1)/28 - SUSYc1XM3, 165/28 - (9*SUSYc1XM2)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM11","-1.57259983403828113768899388247312255199398652205175846148851745126850919857483383464724407484088785993799120913285900527802229390749973237509094533430177238908671241429720866575839648137347745993183301532988837474310699*10^6","(19*SUSYc1XM1)/56 - (3*SUSYc1XM3)/7 - (2*SUSYc1XM5)/7 + (11*SUSYc2XM1)/14 + (SUSYc1XM2*SUSYc2XM1)/14 - (4*SUSYc1XM4*SUSYc2XM1)/7 + (10*SUSYc1XM1*SUSYc2XM2)/7 - (6*SUSYc1XM3*SUSYc2XM2)/7 + (55*SUSYc2XM3)/14 - (8*SUSYc1XM2*SUSYc2XM3)/7 - (10*SUSYc1XM1*SUSYc2XM4)/7","{19/56 + (10*SUSYc2XM2)/7 - (10*SUSYc2XM4)/7, SUSYc2XM1/14 - (8*SUSYc2XM3)/7, -3/7 - (6*SUSYc2XM2)/7, (-4*SUSYc2XM1)/7, -2/7, 0, 0, 0, 0, 0, 11/14 + SUSYc1XM2/14 - (4*SUSYc1XM4)/7, (10*SUSYc1XM1)/7 - (6*SUSYc1XM3)/7, 55/14 - (8*SUSYc1XM2)/7, (-10*SUSYc1XM1)/7}"
