"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM1","4.13072396829279484107383770527389498155483445425502892126829371999111192050571649520316286533972584789335035717945546471304332427495797186011124402634750087676119678595019011423346877698417012433361275110677139323","SUSYc1XM1/32768 - SUSYc1XM11/32 - SUSYc1XM3/8192 + SUSYc1XM5/2048 - SUSYc1XM7/512 + SUSYc1XM9/128 - SUSYc2XM1/32768 + (SUSYc1XM10*SUSYc2XM1)/32 + (SUSYc1XM2*SUSYc2XM1)/8192 - (SUSYc1XM4*SUSYc2XM1)/2048 + (SUSYc1XM6*SUSYc2XM1)/512 - (SUSYc1XM1*SUSYc2XM2)/8192 + (SUSYc1XM11*SUSYc2XM2)/8 + (SUSYc1XM3*SUSYc2XM2)/2048 - (SUSYc1XM5*SUSYc2XM2)/512 + (SUSYc1XM7*SUSYc2XM2)/128 - (SUSYc1XM9*SUSYc2XM2)/32 + SUSYc2XM3/8192 - (SUSYc1XM10*SUSYc2XM3)/8 - (SUSYc1XM2*SUSYc2XM3)/2048 + (SUSYc1XM4*SUSYc2XM3)/512 - (SUSYc1XM6*SUSYc2XM3)/128","{1/32768 - SUSYc2XM2/8192, SUSYc2XM1/8192 - SUSYc2XM3/2048, -1/8192 + SUSYc2XM2/2048, -1/2048*SUSYc2XM1 + SUSYc2XM3/512, 1/2048 - SUSYc2XM2/512, SUSYc2XM1/512 - SUSYc2XM3/128, -1/512 + SUSYc2XM2/128, 1/128 - SUSYc2XM2/32, SUSYc2XM1/32 - SUSYc2XM3/8, -1/32 + SUSYc2XM2/8, -1/32768 + SUSYc1XM10/32 + SUSYc1XM2/8192 - SUSYc1XM4/2048 + SUSYc1XM6/512, -1/8192*SUSYc1XM1 + SUSYc1XM11/8 + SUSYc1XM3/2048 - SUSYc1XM5/512 + SUSYc1XM7/128 - SUSYc1XM9/32, 1/8192 - SUSYc1XM10/8 - SUSYc1XM2/2048 + SUSYc1XM4/512 - SUSYc1XM6/128}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM2","15.00879081332714149217885403563428345665947102524605564707288105173229385735610627166098892612407863064604749721259572707019886461462617363136558268112717118618096193704184315315576924340969032254404583972445201491","1/4096 + SUSYc1XM10/16 - (3*SUSYc1XM2)/4096 + SUSYc1XM4/512 - SUSYc1XM6/256 + (SUSYc1XM1*SUSYc2XM1)/1024 + (SUSYc1XM11*SUSYc2XM1)/4 - (3*SUSYc1XM3*SUSYc2XM1)/1024 + (SUSYc1XM5*SUSYc2XM1)/128 - (SUSYc1XM7*SUSYc2XM1)/64 - (5*SUSYc2XM2)/4096 + (SUSYc1XM2*SUSYc2XM2)/256 - (3*SUSYc1XM4*SUSYc2XM2)/256 + (SUSYc1XM6*SUSYc2XM2)/32 - (5*SUSYc1XM1*SUSYc2XM3)/1024 + (SUSYc1XM3*SUSYc2XM3)/64 - (3*SUSYc1XM5*SUSYc2XM3)/64 + (SUSYc1XM7*SUSYc2XM3)/8 - (SUSYc1XM9*SUSYc2XM3)/4","{SUSYc2XM1/1024 - (5*SUSYc2XM3)/1024, -3/4096 + SUSYc2XM2/256, (-3*SUSYc2XM1)/1024 + SUSYc2XM3/64, 1/512 - (3*SUSYc2XM2)/256, SUSYc2XM1/128 - (3*SUSYc2XM3)/64, -1/256 + SUSYc2XM2/32, -1/64*SUSYc2XM1 + SUSYc2XM3/8, -1/4*SUSYc2XM3, 1/16, SUSYc2XM1/4, SUSYc1XM1/1024 + SUSYc1XM11/4 - (3*SUSYc1XM3)/1024 + SUSYc1XM5/128 - SUSYc1XM7/64, -5/4096 + SUSYc1XM2/256 - (3*SUSYc1XM4)/256 + SUSYc1XM6/32, (-5*SUSYc1XM1)/1024 + SUSYc1XM3/64 - (3*SUSYc1XM5)/64 + SUSYc1XM7/8 - SUSYc1XM9/4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM3","36.42332118193058345426679763465079383171112186491544090937021376278037367407611873699761076429586599576329776094294407894850997566373044363889339977799171165886873117799599317341384122319525602480689202473909837901","(-9*SUSYc1XM1)/4096 + (3*SUSYc1XM11)/8 + (7*SUSYc1XM3)/2048 - (3*SUSYc1XM7)/128 + SUSYc1XM9/16 + (17*SUSYc2XM1)/4096 + (SUSYc1XM10*SUSYc2XM1)/8 - (19*SUSYc1XM2*SUSYc2XM1)/2048 + (SUSYc1XM4*SUSYc2XM1)/64 - (SUSYc1XM6*SUSYc2XM1)/128 + (35*SUSYc1XM1*SUSYc2XM2)/2048 - (5*SUSYc1XM3*SUSYc2XM2)/128 + (9*SUSYc1XM5*SUSYc2XM2)/128 - (SUSYc1XM7*SUSYc2XM2)/16 - (SUSYc1XM9*SUSYc2XM2)/8 - (55*SUSYc2XM3)/2048 + (9*SUSYc1XM2*SUSYc2XM3)/128 - (21*SUSYc1XM4*SUSYc2XM3)/128 + (5*SUSYc1XM6*SUSYc2XM3)/16","{-9/4096 + (35*SUSYc2XM2)/2048, (-19*SUSYc2XM1)/2048 + (9*SUSYc2XM3)/128, 7/2048 - (5*SUSYc2XM2)/128, SUSYc2XM1/64 - (21*SUSYc2XM3)/128, (9*SUSYc2XM2)/128, -1/128*SUSYc2XM1 + (5*SUSYc2XM3)/16, -3/128 - SUSYc2XM2/16, 1/16 - SUSYc2XM2/8, SUSYc2XM1/8, 3/8, 17/4096 + SUSYc1XM10/8 - (19*SUSYc1XM2)/2048 + SUSYc1XM4/64 - SUSYc1XM6/128, (35*SUSYc1XM1)/2048 - (5*SUSYc1XM3)/128 + (9*SUSYc1XM5)/128 - SUSYc1XM7/16 - SUSYc1XM9/8, -55/2048 + (9*SUSYc1XM2)/128 - (21*SUSYc1XM4)/128 + (5*SUSYc1XM6)/16}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM4","75.04006253341615023178476717679287712034182898890767343106285414156329694167992487142192606540127426163038409581193499862778909179264766803519697956089080711873133959083833881842971449815844371279573577043871958951","-1/256 + SUSYc1XM10/4 + SUSYc1XM2/1024 + SUSYc1XM4/64 - (3*SUSYc1XM6)/64 - (5*SUSYc1XM1*SUSYc2XM1)/256 + (SUSYc1XM3*SUSYc2XM1)/64 + (SUSYc1XM5*SUSYc2XM1)/32 - (SUSYc1XM7*SUSYc2XM1)/8 + (55*SUSYc2XM2)/1024 - (3*SUSYc1XM2*SUSYc2XM2)/32 + (7*SUSYc1XM4*SUSYc2XM2)/64 + (15*SUSYc1XM1*SUSYc2XM3)/64 - (7*SUSYc1XM3*SUSYc2XM3)/16 + (5*SUSYc1XM5*SUSYc2XM3)/8 - (SUSYc1XM7*SUSYc2XM3)/2","{(-5*SUSYc2XM1)/256 + (15*SUSYc2XM3)/64, 1/1024 - (3*SUSYc2XM2)/32, SUSYc2XM1/64 - (7*SUSYc2XM3)/16, 1/64 + (7*SUSYc2XM2)/64, SUSYc2XM1/32 + (5*SUSYc2XM3)/8, -3/64, -1/8*SUSYc2XM1 - SUSYc2XM3/2, 0, 1/4, 0, (-5*SUSYc1XM1)/256 + SUSYc1XM3/64 + SUSYc1XM5/32 - SUSYc1XM7/8, 55/1024 - (3*SUSYc1XM2)/32 + (7*SUSYc1XM4)/64, (15*SUSYc1XM1)/64 - (7*SUSYc1XM3)/16 + (5*SUSYc1XM5)/8 - SUSYc1XM7/2}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM5","120.92068811499575551733070110660097299056685435410566298112566623437615825252949015182369027808238661946494632136653726630838180614796563009428902792662984930581862355015304428613451178491020319145012297904170374832","(-25*SUSYc1XM1)/2048 + (11*SUSYc1XM3)/256 - (3*SUSYc1XM5)/64 - (3*SUSYc1XM7)/32 + SUSYc1XM9/8 - (55*SUSYc2XM1)/2048 - (3*SUSYc1XM2*SUSYc2XM1)/256 + (7*SUSYc1XM4*SUSYc2XM1)/64 - (5*SUSYc1XM6*SUSYc2XM1)/32 - (45*SUSYc1XM1*SUSYc2XM2)/256 + (7*SUSYc1XM3*SUSYc2XM2)/64 + (5*SUSYc1XM5*SUSYc2XM2)/32 - (3*SUSYc1XM7*SUSYc2XM2)/8 + (165*SUSYc2XM3)/256 - (63*SUSYc1XM2*SUSYc2XM3)/64 + (35*SUSYc1XM4*SUSYc2XM3)/32 - (5*SUSYc1XM6*SUSYc2XM3)/8","{-25/2048 - (45*SUSYc2XM2)/256, (-3*SUSYc2XM1)/256 - (63*SUSYc2XM3)/64, 11/256 + (7*SUSYc2XM2)/64, (7*SUSYc2XM1)/64 + (35*SUSYc2XM3)/32, -3/64 + (5*SUSYc2XM2)/32, (-5*SUSYc2XM1)/32 - (5*SUSYc2XM3)/8, -3/32 - (3*SUSYc2XM2)/8, 1/8, 0, 0, -55/2048 - (3*SUSYc1XM2)/256 + (7*SUSYc1XM4)/64 - (5*SUSYc1XM6)/32, (-45*SUSYc1XM1)/256 + (7*SUSYc1XM3)/64 + (5*SUSYc1XM5)/32 - (3*SUSYc1XM7)/8, 165/256 - (63*SUSYc1XM2)/64 + (35*SUSYc1XM4)/32 - (5*SUSYc1XM6)/8}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM6","161.50704417271515006693685865611904626960005345126522811642516530331870684505410565607090749554995949038338507809538447293825398553629801712428712246323070657038840911724085571573043414386126621250857234651544867108","-11/256 + (9*SUSYc1XM2)/128 - (3*SUSYc1XM6)/16 - (3*SUSYc1XM1*SUSYc2XM1)/32 + (7*SUSYc1XM3*SUSYc2XM1)/32 - (SUSYc1XM5*SUSYc2XM1)/8 - (SUSYc1XM7*SUSYc2XM1)/4 - (33*SUSYc2XM2)/128 + (7*SUSYc1XM4*SUSYc2XM2)/16 - (SUSYc1XM6*SUSYc2XM2)/2 - (63*SUSYc1XM1*SUSYc2XM3)/32 + (7*SUSYc1XM3*SUSYc2XM3)/4 - (3*SUSYc1XM5*SUSYc2XM3)/4","{(-3*SUSYc2XM1)/32 - (63*SUSYc2XM3)/32, 9/128, (7*SUSYc2XM1)/32 + (7*SUSYc2XM3)/4, (7*SUSYc2XM2)/16, -1/8*SUSYc2XM1 - (3*SUSYc2XM3)/4, -3/16 - SUSYc2XM2/2, -1/4*SUSYc2XM1, 0, 0, 0, (-3*SUSYc1XM1)/32 + (7*SUSYc1XM3)/32 - SUSYc1XM5/8 - SUSYc1XM7/4, -33/128 + (7*SUSYc1XM4)/16 - SUSYc1XM6/2, (-63*SUSYc1XM1)/32 + (7*SUSYc1XM3)/4 - (3*SUSYc1XM5)/4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM7","169.9241030872718680468305597821981795998489353231771852669007136075951738543881289939786198376665650799668879032786773017125334927054918042286385395431110470054409390366674418571954028355818006625215843668621573123","(9*SUSYc1XM1)/128 + (7*SUSYc1XM3)/64 - SUSYc1XM5/4 - SUSYc1XM7/8 - (33*SUSYc2XM1)/128 + (21*SUSYc1XM2*SUSYc2XM1)/64 - (3*SUSYc1XM6*SUSYc2XM1)/8 - (21*SUSYc1XM1*SUSYc2XM2)/64 + (7*SUSYc1XM3*SUSYc2XM2)/8 - (5*SUSYc1XM5*SUSYc2XM2)/8 - (231*SUSYc2XM3)/64 + (21*SUSYc1XM2*SUSYc2XM3)/8 - (7*SUSYc1XM4*SUSYc2XM3)/8","{9/128 - (21*SUSYc2XM2)/64, (21*SUSYc2XM1)/64 + (21*SUSYc2XM3)/8, 7/64 + (7*SUSYc2XM2)/8, (-7*SUSYc2XM3)/8, -1/4 - (5*SUSYc2XM2)/8, (-3*SUSYc2XM1)/8, -1/8, 0, 0, 0, -33/128 + (21*SUSYc1XM2)/64 - (3*SUSYc1XM6)/8, (-21*SUSYc1XM1)/64 + (7*SUSYc1XM3)/8 - (5*SUSYc1XM5)/8, -231/64 + (21*SUSYc1XM2)/8 - (7*SUSYc1XM4)/8}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM9","62604.49782228036573728319176426429402700299030092168499131525995014070258775366021129521007123764757115016458926612634901308883125995542985465579219948110869562780417561141680808036385304855149984589499088199298802352","(9*SUSYc1XM2)/32 - SUSYc1XM4/4 - SUSYc1XM6/4 + (3*SUSYc1XM1*SUSYc2XM1)/8 + (SUSYc1XM3*SUSYc2XM1)/4 - (SUSYc1XM5*SUSYc2XM1)/2 - (33*SUSYc2XM2)/32 + (3*SUSYc1XM2*SUSYc2XM2)/2 - (3*SUSYc1XM4*SUSYc2XM2)/4 + (15*SUSYc1XM1*SUSYc2XM3)/4 - SUSYc1XM3*SUSYc2XM3","{(3*SUSYc2XM1)/8 + (15*SUSYc2XM3)/4, 9/32 + (3*SUSYc2XM2)/2, SUSYc2XM1/4 - SUSYc2XM3, -1/4 - (3*SUSYc2XM2)/4, -1/2*SUSYc2XM1, -1/4, 0, 0, 0, 0, (3*SUSYc1XM1)/8 + SUSYc1XM3/4 - SUSYc1XM5/2, -33/32 + (3*SUSYc1XM2)/2 - (3*SUSYc1XM4)/4, (15*SUSYc1XM1)/4 - SUSYc1XM3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM10","-205427.6672936437894178816789097223549520043736600343364073600576259259306787032449774185738012097186262275241988300264791836780799267709270340742025918540722881000828902586609747302227216674490639028813581361426656962","(63*SUSYc1XM1)/128 - (5*SUSYc1XM3)/32 - (3*SUSYc1XM5)/8 + (33*SUSYc2XM1)/128 + (21*SUSYc1XM2*SUSYc2XM1)/32 - (5*SUSYc1XM4*SUSYc2XM1)/8 + (75*SUSYc1XM1*SUSYc2XM2)/32 - (7*SUSYc1XM3*SUSYc2XM2)/8 + (165*SUSYc2XM3)/32 - (9*SUSYc1XM2*SUSYc2XM3)/8","{63/128 + (75*SUSYc2XM2)/32, (21*SUSYc2XM1)/32 - (9*SUSYc2XM3)/8, -5/32 - (7*SUSYc2XM2)/8, (-5*SUSYc2XM1)/8, -3/8, 0, 0, 0, 0, 0, 33/128 + (21*SUSYc1XM2)/32 - (5*SUSYc1XM4)/8, (75*SUSYc1XM1)/32 - (7*SUSYc1XM3)/8, 165/32 - (9*SUSYc1XM2)/8}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM11","193164.3373115942332939441885542908413078667170124687243372459633679387840812631168086346794129184297947296289870642453789264192369543841138250510961949462787017585987393446160354398348481655030243466377423566188653131","11/16 + SUSYc1XM2/16 - SUSYc1XM4/2 + (5*SUSYc1XM1*SUSYc2XM1)/4 - (3*SUSYc1XM3*SUSYc2XM1)/4 + (55*SUSYc2XM2)/16 - SUSYc1XM2*SUSYc2XM2 - (5*SUSYc1XM1*SUSYc2XM3)/4","{(5*SUSYc2XM1)/4 - (5*SUSYc2XM3)/4, 1/16 - SUSYc2XM2, (-3*SUSYc2XM1)/4, -1/2, 0, 0, 0, 0, 0, 0, (5*SUSYc1XM1)/4 - (3*SUSYc1XM3)/4, 55/16 - SUSYc1XM2, (-5*SUSYc1XM1)/4}"
