"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM1","2.08375885166337021438670837934283372594517354480705463308218035277338492195735257358452997256230794657168838170194543205301706516067373216938343903376920744488465084943488327980418276401455072570989266429155740151","-1/36864 + SUSYc1XM10/36 + SUSYc1XM2/9216 - SUSYc1XM4/2304 + SUSYc1XM6/576 - SUSYc1XM8/144 - (SUSYc1XM1*SUSYc2XM1)/9216 + (SUSYc1XM11*SUSYc2XM1)/9 + (SUSYc1XM3*SUSYc2XM1)/2304 - (SUSYc1XM5*SUSYc2XM1)/576 + (SUSYc1XM7*SUSYc2XM1)/144 + SUSYc2XM2/9216 - (SUSYc1XM10*SUSYc2XM2)/9 - (SUSYc1XM2*SUSYc2XM2)/2304 + (SUSYc1XM4*SUSYc2XM2)/576 - (SUSYc1XM6*SUSYc2XM2)/144 + (SUSYc1XM8*SUSYc2XM2)/36","{-1/9216*SUSYc2XM1, 1/9216 - SUSYc2XM2/2304, SUSYc2XM1/2304, -1/2304 + SUSYc2XM2/576, -1/576*SUSYc2XM1, 1/576 - SUSYc2XM2/144, SUSYc2XM1/144, -1/144 + SUSYc2XM2/36, 1/36 - SUSYc2XM2/9, SUSYc2XM1/9, -1/9216*SUSYc1XM1 + SUSYc1XM11/9 + SUSYc1XM3/2304 - SUSYc1XM5/576 + SUSYc1XM7/144, 1/9216 - SUSYc1XM10/9 - SUSYc1XM2/2304 + SUSYc1XM4/576 - SUSYc1XM6/144 + SUSYc1XM8/36}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM2","7.87345695549392876901980748264886784740848467381101542656574027312158662179995560217673098541847771463051631991281051111732452868471203181769430243054036175243621244512366210676207370911950975922000883139924307923","SUSYc1XM1/1152 + (2*SUSYc1XM11)/9 - SUSYc1XM3/384 + SUSYc1XM5/144 - SUSYc1XM7/72 - (5*SUSYc2XM1)/4608 + (SUSYc1XM2*SUSYc2XM1)/288 - (SUSYc1XM4*SUSYc2XM1)/96 + (SUSYc1XM6*SUSYc2XM1)/36 - (SUSYc1XM8*SUSYc2XM1)/18 - (5*SUSYc1XM1*SUSYc2XM2)/1152 + (SUSYc1XM3*SUSYc2XM2)/72 - (SUSYc1XM5*SUSYc2XM2)/24 + (SUSYc1XM7*SUSYc2XM2)/9","{1/1152 - (5*SUSYc2XM2)/1152, SUSYc2XM1/288, -1/384 + SUSYc2XM2/72, -1/96*SUSYc2XM1, 1/144 - SUSYc2XM2/24, SUSYc2XM1/36, -1/72 + SUSYc2XM2/9, -1/18*SUSYc2XM1, 0, 2/9, -5/4608 + SUSYc1XM2/288 - SUSYc1XM4/96 + SUSYc1XM6/36 - SUSYc1XM8/18, (-5*SUSYc1XM1)/1152 + SUSYc1XM3/72 - SUSYc1XM5/24 + SUSYc1XM7/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM3","12.78744511070465655615945013626141739068431315607028662934332092704836682871418970365261134091380034820992085666636273128833150522030142735185320248374462568809527193936764904333293422493836887412786454148406781178","17/4608 + SUSYc1XM10/9 - (19*SUSYc1XM2)/2304 + SUSYc1XM4/72 - SUSYc1XM6/144 - SUSYc1XM8/18 + (35*SUSYc1XM1*SUSYc2XM1)/2304 - (5*SUSYc1XM3*SUSYc2XM1)/144 + (SUSYc1XM5*SUSYc2XM1)/16 - (SUSYc1XM7*SUSYc2XM1)/18 - (55*SUSYc2XM2)/2304 + (SUSYc1XM2*SUSYc2XM2)/16 - (7*SUSYc1XM4*SUSYc2XM2)/48 + (5*SUSYc1XM6*SUSYc2XM2)/18 - (SUSYc1XM8*SUSYc2XM2)/3","{(35*SUSYc2XM1)/2304, -19/2304 + SUSYc2XM2/16, (-5*SUSYc2XM1)/144, 1/72 - (7*SUSYc2XM2)/48, SUSYc2XM1/16, -1/144 + (5*SUSYc2XM2)/18, -1/18*SUSYc2XM1, -1/18 - SUSYc2XM2/3, 1/9, 0, (35*SUSYc1XM1)/2304 - (5*SUSYc1XM3)/144 + SUSYc1XM5/16 - SUSYc1XM7/18, -55/2304 + SUSYc1XM2/16 - (7*SUSYc1XM4)/48 + (5*SUSYc1XM6)/18 - SUSYc1XM8/3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM4","25.66050485858687975939211815465102095269117592737173089056961504514037331947579584751132827566471341760156145324569643492761849863882927259640666285121575181939231845184883120226172474551059524966991083310754349723","(-5*SUSYc1XM1)/288 + SUSYc1XM3/72 + SUSYc1XM5/36 - SUSYc1XM7/9 + (55*SUSYc2XM1)/1152 - (SUSYc1XM2*SUSYc2XM1)/12 + (7*SUSYc1XM4*SUSYc2XM1)/72 - (2*SUSYc1XM8*SUSYc2XM1)/9 + (5*SUSYc1XM1*SUSYc2XM2)/24 - (7*SUSYc1XM3*SUSYc2XM2)/18 + (5*SUSYc1XM5*SUSYc2XM2)/9 - (4*SUSYc1XM7*SUSYc2XM2)/9","{-5/288 + (5*SUSYc2XM2)/24, -1/12*SUSYc2XM1, 1/72 - (7*SUSYc2XM2)/18, (7*SUSYc2XM1)/72, 1/36 + (5*SUSYc2XM2)/9, 0, -1/9 - (4*SUSYc2XM2)/9, (-2*SUSYc2XM1)/9, 0, 0, 55/1152 - SUSYc1XM2/12 + (7*SUSYc1XM4)/72 - (2*SUSYc1XM8)/9, (5*SUSYc1XM1)/24 - (7*SUSYc1XM3)/18 + (5*SUSYc1XM5)/9 - (4*SUSYc1XM7)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM5","31.50171210425185076377146411475385641328008013187215232594797147128555845168175801227152601755740782230653522852739244915169557529392156554380278604655748789395775313095466050771917885043855112109154863477642092106","-55/2304 - SUSYc1XM2/96 + (7*SUSYc1XM4)/72 - (5*SUSYc1XM6)/36 - SUSYc1XM8/9 - (5*SUSYc1XM1*SUSYc2XM1)/32 + (7*SUSYc1XM3*SUSYc2XM1)/72 + (5*SUSYc1XM5*SUSYc2XM1)/36 - (SUSYc1XM7*SUSYc2XM1)/3 + (55*SUSYc2XM2)/96 - (7*SUSYc1XM2*SUSYc2XM2)/8 + (35*SUSYc1XM4*SUSYc2XM2)/36 - (5*SUSYc1XM6*SUSYc2XM2)/9","{(-5*SUSYc2XM1)/32, -1/96 - (7*SUSYc2XM2)/8, (7*SUSYc2XM1)/72, 7/72 + (35*SUSYc2XM2)/36, (5*SUSYc2XM1)/36, -5/36 - (5*SUSYc2XM2)/9, -1/3*SUSYc2XM1, -1/9, 0, 0, (-5*SUSYc1XM1)/32 + (7*SUSYc1XM3)/72 + (5*SUSYc1XM5)/36 - SUSYc1XM7/3, 55/96 - (7*SUSYc1XM2)/8 + (35*SUSYc1XM4)/36 - (5*SUSYc1XM6)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM6","40.14296661267382109465051594915029382797943971929194498679120923541982115887657350688300433537051541757892042561688192546176566879369495550257282191852512805487381308183009767149016962443346696964893583100190309201","-1/12*SUSYc1XM1 + (7*SUSYc1XM3)/36 - SUSYc1XM5/9 - (2*SUSYc1XM7)/9 - (11*SUSYc2XM1)/48 + (7*SUSYc1XM4*SUSYc2XM1)/18 - (4*SUSYc1XM6*SUSYc2XM1)/9 - (7*SUSYc1XM1*SUSYc2XM2)/4 + (14*SUSYc1XM3*SUSYc2XM2)/9 - (2*SUSYc1XM5*SUSYc2XM2)/3","{-1/12 - (7*SUSYc2XM2)/4, 0, 7/36 + (14*SUSYc2XM2)/9, (7*SUSYc2XM1)/18, -1/9 - (2*SUSYc2XM2)/3, (-4*SUSYc2XM1)/9, -2/9, 0, 0, 0, -11/48 + (7*SUSYc1XM4)/18 - (4*SUSYc1XM6)/9, (-7*SUSYc1XM1)/4 + (14*SUSYc1XM3)/9 - (2*SUSYc1XM5)/3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM7","34.60650589764858688369902309112429516182518071836090401920206982386807127915632083620772160601285386682335556744420544783931995431767255783625477810304731673397743387793967124726122484893051908609604507688197762611","-11/48 + (7*SUSYc1XM2)/24 - SUSYc1XM6/3 - (7*SUSYc1XM1*SUSYc2XM1)/24 + (7*SUSYc1XM3*SUSYc2XM1)/9 - (5*SUSYc1XM5*SUSYc2XM1)/9 - (77*SUSYc2XM2)/24 + (7*SUSYc1XM2*SUSYc2XM2)/3 - (7*SUSYc1XM4*SUSYc2XM2)/9","{(-7*SUSYc2XM1)/24, 7/24 + (7*SUSYc2XM2)/3, (7*SUSYc2XM1)/9, (-7*SUSYc2XM2)/9, (-5*SUSYc2XM1)/9, -1/3, 0, 0, 0, 0, (-7*SUSYc1XM1)/24 + (7*SUSYc1XM3)/9 - (5*SUSYc1XM5)/9, -77/24 + (7*SUSYc1XM2)/3 - (7*SUSYc1XM4)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM8","26.98712607344075986516626833926953054801455182146159007040868906475331902787381151262198778392666643471839971288590440379857726408389285923004562605331633446553400785106609491881112615774963681359419643847814985911","SUSYc1XM1/3 + (2*SUSYc1XM3)/9 - (4*SUSYc1XM5)/9 - (11*SUSYc2XM1)/12 + (4*SUSYc1XM2*SUSYc2XM1)/3 - (2*SUSYc1XM4*SUSYc2XM1)/3 + (10*SUSYc1XM1*SUSYc2XM2)/3 - (8*SUSYc1XM3*SUSYc2XM2)/9","{1/3 + (10*SUSYc2XM2)/3, (4*SUSYc2XM1)/3, 2/9 - (8*SUSYc2XM2)/9, (-2*SUSYc2XM1)/3, -4/9, 0, 0, 0, 0, 0, -11/12 + (4*SUSYc1XM2)/3 - (2*SUSYc1XM4)/3, (10*SUSYc1XM1)/3 - (8*SUSYc1XM3)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM10","6243.76076924526624571792342606952284373690734627645298926318520360041634086921890785488968089486722795310491215478684022699455902741479717101324179177565951806545212595155785111747006472578071819608770532525293817699","11/48 + (7*SUSYc1XM2)/12 - (5*SUSYc1XM4)/9 + (25*SUSYc1XM1*SUSYc2XM1)/12 - (7*SUSYc1XM3*SUSYc2XM1)/9 + (55*SUSYc2XM2)/12 - SUSYc1XM2*SUSYc2XM2","{(25*SUSYc2XM1)/12, 7/12 - SUSYc2XM2, (-7*SUSYc2XM1)/9, -5/9, 0, 0, 0, 0, 0, 0, (25*SUSYc1XM1)/12 - (7*SUSYc1XM3)/9, 55/12 - SUSYc1XM2}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM11","-10586.86409982087652652630416618363643958135834747312804130532956672743181102243310482524620227997578752463979448381064628258124151309216659819652636736796494015902291205017219812527416640337912288867039120334770461314","(10*SUSYc1XM1)/9 - (2*SUSYc1XM3)/3 + (55*SUSYc2XM1)/18 - (8*SUSYc1XM2*SUSYc2XM1)/9 - (10*SUSYc1XM1*SUSYc2XM2)/9","{10/9 - (10*SUSYc2XM2)/9, (-8*SUSYc2XM1)/9, -2/3, 0, 0, 0, 0, 0, 0, 0, 55/18 - (8*SUSYc1XM2)/9, (-10*SUSYc1XM1)/9}"
