var,b_final_value
SUSYc1XM1,-5.224998641043132194745975502939014007804930e+00
SUSYc1XM2,1.815626329684452368149335148357217778030650e+01
SUSYc1XM3,-4.152865308398135962111496488999878639064830e+01
SUSYc1XM5,-2.973363951062501309965981612404172162777090e+02
SUSYc1XM6,-2.207039142909232133689764775554587141612770e+02
SUSYc1XM7,1.174379947611962162984515162100739091105300e+02
SUSYc1XM8,7.428407590667684011335318582841245874253850e+02
SUSYc1XM9,7.947193594979471120345039187537869493781730e+02
SUSYc1XM10,2.387119436246690922137238721711454960105770e+02
SUSYc2XM1,3.134999184625879316847585301762777315958780e+00
SUSYc2XM2,4.034823220612856719047815801092959039226540e+00
SUSYc2XM3,-1.910176043650886845613974799031295740850400e+00
SUSYc2XM4,-1.097010180900577260049920618539180313327440e+01
SUSYc2XM5,-1.120494105456472807813705612272298086896110e+01
SUSYc2XM6,-3.532527407001326065137919786423606933899570e+00
