"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM1","-1157.0402140605534653635439188290792830082666260915010513187643265942858578614709909958640001399676011015458573237604041380696417360397106834683450770453783507706951959959510932111274116518459523640975065500817139449","1/458752 - SUSYc1XM10/448 + SUSYc1XM12/112 - SUSYc1XM2/114688 + SUSYc1XM4/28672 - SUSYc1XM6/7168 + SUSYc1XM8/1792 + (SUSYc1XM1*SUSYc2XM1)/114688 - (SUSYc1XM11*SUSYc2XM1)/112 - (SUSYc1XM3*SUSYc2XM1)/28672 + (SUSYc1XM5*SUSYc2XM1)/7168 + (SUSYc1XM9*SUSYc2XM1)/448 - SUSYc2XM2/114688 + (SUSYc1XM10*SUSYc2XM2)/112 - (SUSYc1XM12*SUSYc2XM2)/28 + (SUSYc1XM2*SUSYc2XM2)/28672 - (SUSYc1XM4*SUSYc2XM2)/7168 + (SUSYc1XM6*SUSYc2XM2)/1792 - (SUSYc1XM8*SUSYc2XM2)/448 - (SUSYc1XM1*SUSYc2XM3)/28672 + (SUSYc1XM11*SUSYc2XM3)/28 + (SUSYc1XM3*SUSYc2XM3)/7168 - (SUSYc1XM5*SUSYc2XM3)/1792 - (SUSYc1XM9*SUSYc2XM3)/112 + SUSYc2XM4/28672 - (SUSYc1XM10*SUSYc2XM4)/28 + (SUSYc1XM12*SUSYc2XM4)/7 - (SUSYc1XM2*SUSYc2XM4)/7168 + (SUSYc1XM4*SUSYc2XM4)/1792 - (SUSYc1XM6*SUSYc2XM4)/448 + (SUSYc1XM8*SUSYc2XM4)/112 + (SUSYc1XM1*SUSYc2XM5)/7168 - (SUSYc1XM11*SUSYc2XM5)/7 - (SUSYc1XM3*SUSYc2XM5)/1792 + (SUSYc1XM5*SUSYc2XM5)/448 + (SUSYc1XM9*SUSYc2XM5)/28","{SUSYc2XM1/114688 - SUSYc2XM3/28672 + SUSYc2XM5/7168, -1/114688 + SUSYc2XM2/28672 - SUSYc2XM4/7168, -1/28672*SUSYc2XM1 + SUSYc2XM3/7168 - SUSYc2XM5/1792, 1/28672 - SUSYc2XM2/7168 + SUSYc2XM4/1792, SUSYc2XM1/7168 - SUSYc2XM3/1792 + SUSYc2XM5/448, -1/7168 + SUSYc2XM2/1792 - SUSYc2XM4/448, 1/1792 - SUSYc2XM2/448 + SUSYc2XM4/112, SUSYc2XM1/448 - SUSYc2XM3/112 + SUSYc2XM5/28, -1/448 + SUSYc2XM2/112 - SUSYc2XM4/28, -1/112*SUSYc2XM1 + SUSYc2XM3/28 - SUSYc2XM5/7, 1/112 - SUSYc2XM2/28 + SUSYc2XM4/7, SUSYc1XM1/114688 - SUSYc1XM11/112 - SUSYc1XM3/28672 + SUSYc1XM5/7168 + SUSYc1XM9/448, -1/114688 + SUSYc1XM10/112 - SUSYc1XM12/28 + SUSYc1XM2/28672 - SUSYc1XM4/7168 + SUSYc1XM6/1792 - SUSYc1XM8/448, -1/28672*SUSYc1XM1 + SUSYc1XM11/28 + SUSYc1XM3/7168 - SUSYc1XM5/1792 - SUSYc1XM9/112, 1/28672 - SUSYc1XM10/28 + SUSYc1XM12/7 - SUSYc1XM2/7168 + SUSYc1XM4/1792 - SUSYc1XM6/448 + SUSYc1XM8/112, SUSYc1XM1/7168 - SUSYc1XM11/7 - SUSYc1XM3/1792 + SUSYc1XM5/448 + SUSYc1XM9/28}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM2","-11740.95035401203818369633352631316340186377005305328921129122768210680815211502943178082692420529361009365841478668270118768263694238166058353097740153288432383183680687036581123955738290289986555389843595053969328381","(-3*SUSYc1XM1)/57344 - SUSYc1XM11/28 + SUSYc1XM3/7168 - SUSYc1XM5/3584 + SUSYc1XM9/224 + SUSYc2XM1/14336 + (SUSYc1XM10*SUSYc2XM1)/56 - (SUSYc1XM12*SUSYc2XM1)/7 - (3*SUSYc1XM2*SUSYc2XM1)/14336 + (SUSYc1XM4*SUSYc2XM1)/1792 - (SUSYc1XM6*SUSYc2XM1)/896 + (SUSYc1XM1*SUSYc2XM2)/3584 + (SUSYc1XM11*SUSYc2XM2)/14 - (3*SUSYc1XM3*SUSYc2XM2)/3584 + (SUSYc1XM5*SUSYc2XM2)/448 - (5*SUSYc2XM3)/14336 + (2*SUSYc1XM12*SUSYc2XM3)/7 + (SUSYc1XM2*SUSYc2XM3)/896 - (3*SUSYc1XM4*SUSYc2XM3)/896 + (SUSYc1XM6*SUSYc2XM3)/112 - (SUSYc1XM8*SUSYc2XM3)/56 - (5*SUSYc1XM1*SUSYc2XM4)/3584 + (SUSYc1XM3*SUSYc2XM4)/224 - (3*SUSYc1XM5*SUSYc2XM4)/224 - (SUSYc1XM9*SUSYc2XM4)/14 + (3*SUSYc2XM5)/1792 - (2*SUSYc1XM10*SUSYc2XM5)/7 - (5*SUSYc1XM2*SUSYc2XM5)/896 + (SUSYc1XM4*SUSYc2XM5)/56 - (3*SUSYc1XM6*SUSYc2XM5)/56 + (SUSYc1XM8*SUSYc2XM5)/7","{-3/57344 + SUSYc2XM2/3584 - (5*SUSYc2XM4)/3584, (-3*SUSYc2XM1)/14336 + SUSYc2XM3/896 - (5*SUSYc2XM5)/896, 1/7168 - (3*SUSYc2XM2)/3584 + SUSYc2XM4/224, SUSYc2XM1/1792 - (3*SUSYc2XM3)/896 + SUSYc2XM5/56, -1/3584 + SUSYc2XM2/448 - (3*SUSYc2XM4)/224, -1/896*SUSYc2XM1 + SUSYc2XM3/112 - (3*SUSYc2XM5)/56, -1/56*SUSYc2XM3 + SUSYc2XM5/7, 1/224 - SUSYc2XM4/14, SUSYc2XM1/56 - (2*SUSYc2XM5)/7, -1/28 + SUSYc2XM2/14, -1/7*SUSYc2XM1 + (2*SUSYc2XM3)/7, 1/14336 + SUSYc1XM10/56 - SUSYc1XM12/7 - (3*SUSYc1XM2)/14336 + SUSYc1XM4/1792 - SUSYc1XM6/896, SUSYc1XM1/3584 + SUSYc1XM11/14 - (3*SUSYc1XM3)/3584 + SUSYc1XM5/448, -5/14336 + (2*SUSYc1XM12)/7 + SUSYc1XM2/896 - (3*SUSYc1XM4)/896 + SUSYc1XM6/112 - SUSYc1XM8/56, (-5*SUSYc1XM1)/3584 + SUSYc1XM3/224 - (3*SUSYc1XM5)/224 - SUSYc1XM9/14, 3/1792 - (2*SUSYc1XM10)/7 - (5*SUSYc1XM2)/896 + SUSYc1XM4/56 - (3*SUSYc1XM6)/56 + SUSYc1XM8/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM3","-67371.10040473625960283140929693960634328980742014242364286150800300465601634497243772390548782018184988060914071668779524702511609586614961554709569804106742701574592429157482537434554055670067008077762955120266961392","-1/7168 + SUSYc1XM10/112 - (5*SUSYc1XM12)/14 + (5*SUSYc1XM2)/28672 + SUSYc1XM4/3584 - (5*SUSYc1XM6)/1792 + SUSYc1XM8/112 - (17*SUSYc1XM1*SUSYc2XM1)/28672 + (SUSYc1XM11*SUSYc2XM1)/14 + (3*SUSYc1XM3*SUSYc2XM1)/3584 + (SUSYc1XM5*SUSYc2XM1)/1792 + (3*SUSYc1XM9*SUSYc2XM1)/112 + (33*SUSYc2XM2)/28672 + (SUSYc1XM10*SUSYc2XM2)/14 + (3*SUSYc1XM12*SUSYc2XM2)/7 - (9*SUSYc1XM2*SUSYc2XM2)/3584 + (SUSYc1XM4*SUSYc2XM2)/256 - (3*SUSYc1XM8*SUSYc2XM2)/112 + (17*SUSYc1XM1*SUSYc2XM3)/3584 + (SUSYc1XM11*SUSYc2XM3)/7 - (19*SUSYc1XM3*SUSYc2XM3)/1792 + (SUSYc1XM5*SUSYc2XM3)/56 - (SUSYc1XM9*SUSYc2XM3)/14 - (27*SUSYc2XM4)/3584 - (SUSYc1XM10*SUSYc2XM4)/7 + (5*SUSYc1XM2*SUSYc2XM4)/256 - (5*SUSYc1XM4*SUSYc2XM4)/112 + (9*SUSYc1XM6*SUSYc2XM4)/112 - (SUSYc1XM8*SUSYc2XM4)/14 - (55*SUSYc1XM1*SUSYc2XM5)/1792 + (9*SUSYc1XM3*SUSYc2XM5)/112 - (3*SUSYc1XM5*SUSYc2XM5)/16 - (3*SUSYc1XM9*SUSYc2XM5)/7","{(-17*SUSYc2XM1)/28672 + (17*SUSYc2XM3)/3584 - (55*SUSYc2XM5)/1792, 5/28672 - (9*SUSYc2XM2)/3584 + (5*SUSYc2XM4)/256, (3*SUSYc2XM1)/3584 - (19*SUSYc2XM3)/1792 + (9*SUSYc2XM5)/112, 1/3584 + SUSYc2XM2/256 - (5*SUSYc2XM4)/112, SUSYc2XM1/1792 + SUSYc2XM3/56 - (3*SUSYc2XM5)/16, -5/1792 + (9*SUSYc2XM4)/112, 1/112 - (3*SUSYc2XM2)/112 - SUSYc2XM4/14, (3*SUSYc2XM1)/112 - SUSYc2XM3/14 - (3*SUSYc2XM5)/7, 1/112 + SUSYc2XM2/14 - SUSYc2XM4/7, SUSYc2XM1/14 + SUSYc2XM3/7, -5/14 + (3*SUSYc2XM2)/7, (-17*SUSYc1XM1)/28672 + SUSYc1XM11/14 + (3*SUSYc1XM3)/3584 + SUSYc1XM5/1792 + (3*SUSYc1XM9)/112, 33/28672 + SUSYc1XM10/14 + (3*SUSYc1XM12)/7 - (9*SUSYc1XM2)/3584 + SUSYc1XM4/256 - (3*SUSYc1XM8)/112, (17*SUSYc1XM1)/3584 + SUSYc1XM11/7 - (19*SUSYc1XM3)/1792 + SUSYc1XM5/56 - SUSYc1XM9/14, -27/3584 - SUSYc1XM10/7 + (5*SUSYc1XM2)/256 - (5*SUSYc1XM4)/112 + (9*SUSYc1XM6)/112 - SUSYc1XM8/14, (-55*SUSYc1XM1)/1792 + (9*SUSYc1XM3)/112 - (3*SUSYc1XM5)/16 - (3*SUSYc1XM9)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM4","-268547.11699752777096189105774532120529346263569527619809110126226446380825238724254370610049673605778337783927851309262956061543358613664679470047656023858014667181468426810799580622031372067192626583851186298199723665","(-5*SUSYc1XM1)/14336 + SUSYc1XM3/448 - (5*SUSYc1XM5)/896 + (3*SUSYc1XM9)/56 - (3*SUSYc2XM1)/3584 + (SUSYc1XM10*SUSYc2XM1)/7 + (4*SUSYc1XM12*SUSYc2XM1)/7 - (SUSYc1XM2*SUSYc2XM1)/1792 + (3*SUSYc1XM4*SUSYc2XM1)/448 - (SUSYc1XM6*SUSYc2XM1)/56 - (SUSYc1XM1*SUSYc2XM2)/224 + (2*SUSYc1XM11*SUSYc2XM2)/7 + (SUSYc1XM3*SUSYc2XM2)/896 + (SUSYc1XM5*SUSYc2XM2)/56 + (25*SUSYc2XM3)/1792 - (5*SUSYc1XM2*SUSYc2XM3)/224 + (SUSYc1XM4*SUSYc2XM3)/56 + (SUSYc1XM6*SUSYc2XM3)/28 - (SUSYc1XM8*SUSYc2XM3)/7 + (55*SUSYc1XM1*SUSYc2XM4)/896 - (3*SUSYc1XM3*SUSYc2XM4)/28 + (SUSYc1XM5*SUSYc2XM4)/8 - (2*SUSYc1XM9*SUSYc2XM4)/7 - (55*SUSYc2XM5)/448 + (15*SUSYc1XM2*SUSYc2XM5)/56 - (SUSYc1XM4*SUSYc2XM5)/2 + (5*SUSYc1XM6*SUSYc2XM5)/7 - (4*SUSYc1XM8*SUSYc2XM5)/7","{-5/14336 - SUSYc2XM2/224 + (55*SUSYc2XM4)/896, -1/1792*SUSYc2XM1 - (5*SUSYc2XM3)/224 + (15*SUSYc2XM5)/56, 1/448 + SUSYc2XM2/896 - (3*SUSYc2XM4)/28, (3*SUSYc2XM1)/448 + SUSYc2XM3/56 - SUSYc2XM5/2, -5/896 + SUSYc2XM2/56 + SUSYc2XM4/8, -1/56*SUSYc2XM1 + SUSYc2XM3/28 + (5*SUSYc2XM5)/7, -1/7*SUSYc2XM3 - (4*SUSYc2XM5)/7, 3/56 - (2*SUSYc2XM4)/7, SUSYc2XM1/7, (2*SUSYc2XM2)/7, (4*SUSYc2XM1)/7, -3/3584 + SUSYc1XM10/7 + (4*SUSYc1XM12)/7 - SUSYc1XM2/1792 + (3*SUSYc1XM4)/448 - SUSYc1XM6/56, -1/224*SUSYc1XM1 + (2*SUSYc1XM11)/7 + SUSYc1XM3/896 + SUSYc1XM5/56, 25/1792 - (5*SUSYc1XM2)/224 + SUSYc1XM4/56 + SUSYc1XM6/28 - SUSYc1XM8/7, (55*SUSYc1XM1)/896 - (3*SUSYc1XM3)/28 + SUSYc1XM5/8 - (2*SUSYc1XM9)/7, -55/448 + (15*SUSYc1XM2)/56 - SUSYc1XM4/2 + (5*SUSYc1XM6)/7 - (4*SUSYc1XM8)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM5","-806932.11078242167823414839243591382065918384091035440289651739897858321870633071760233563847455314224388358319206952288812355738367228852239987737251840402742930213576269873260656418504895669126929853917270683245258174","-15/7168 + (5*SUSYc1XM10)/28 + (5*SUSYc1XM12)/7 + (5*SUSYc1XM2)/1024 - (5*SUSYc1XM4)/1792 - (5*SUSYc1XM6)/224 + (3*SUSYc1XM8)/56 - (43*SUSYc1XM1*SUSYc2XM1)/7168 + (3*SUSYc1XM11*SUSYc2XM1)/7 + (29*SUSYc1XM3*SUSYc2XM1)/1792 - (3*SUSYc1XM5*SUSYc2XM1)/224 + (3*SUSYc1XM9*SUSYc2XM1)/28 - (3*SUSYc2XM2)/1024 + (SUSYc1XM10*SUSYc2XM2)/7 - (25*SUSYc1XM2*SUSYc2XM2)/1792 + (11*SUSYc1XM4*SUSYc2XM2)/224 - (3*SUSYc1XM6*SUSYc2XM2)/56 - (3*SUSYc1XM8*SUSYc2XM2)/28 - (55*SUSYc1XM1*SUSYc2XM3)/1792 - (3*SUSYc1XM3*SUSYc2XM3)/224 + (SUSYc1XM5*SUSYc2XM3)/8 - (SUSYc1XM9*SUSYc2XM3)/7 + (275*SUSYc2XM4)/1792 - (45*SUSYc1XM2*SUSYc2XM4)/224 + (SUSYc1XM4*SUSYc2XM4)/8 + (5*SUSYc1XM6*SUSYc2XM4)/28 - (3*SUSYc1XM8*SUSYc2XM4)/7 + (165*SUSYc1XM1*SUSYc2XM5)/224 - (9*SUSYc1XM3*SUSYc2XM5)/8 + (5*SUSYc1XM5*SUSYc2XM5)/4","{(-43*SUSYc2XM1)/7168 - (55*SUSYc2XM3)/1792 + (165*SUSYc2XM5)/224, 5/1024 - (25*SUSYc2XM2)/1792 - (45*SUSYc2XM4)/224, (29*SUSYc2XM1)/1792 - (3*SUSYc2XM3)/224 - (9*SUSYc2XM5)/8, -5/1792 + (11*SUSYc2XM2)/224 + SUSYc2XM4/8, (-3*SUSYc2XM1)/224 + SUSYc2XM3/8 + (5*SUSYc2XM5)/4, -5/224 - (3*SUSYc2XM2)/56 + (5*SUSYc2XM4)/28, 3/56 - (3*SUSYc2XM2)/28 - (3*SUSYc2XM4)/7, (3*SUSYc2XM1)/28 - SUSYc2XM3/7, 5/28 + SUSYc2XM2/7, (3*SUSYc2XM1)/7, 5/7, (-43*SUSYc1XM1)/7168 + (3*SUSYc1XM11)/7 + (29*SUSYc1XM3)/1792 - (3*SUSYc1XM5)/224 + (3*SUSYc1XM9)/28, -3/1024 + SUSYc1XM10/7 - (25*SUSYc1XM2)/1792 + (11*SUSYc1XM4)/224 - (3*SUSYc1XM6)/56 - (3*SUSYc1XM8)/28, (-55*SUSYc1XM1)/1792 - (3*SUSYc1XM3)/224 + SUSYc1XM5/8 - SUSYc1XM9/7, 275/1792 - (45*SUSYc1XM2)/224 + SUSYc1XM4/8 + (5*SUSYc1XM6)/28 - (3*SUSYc1XM8)/7, (165*SUSYc1XM1)/224 - (9*SUSYc1XM3)/8 + (5*SUSYc1XM5)/4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM6","-1.88565777651466625594952486991452172944858427081254837211446993187873553728568317310006703745278664517066315301354058498178216722593587636692888949755909784931272157799920914707299649944320183406028476835699311297195914*10^6","(17*SUSYc1XM1)/3584 + (4*SUSYc1XM11)/7 + (5*SUSYc1XM3)/448 - (5*SUSYc1XM5)/112 + (3*SUSYc1XM9)/14 - (15*SUSYc2XM1)/896 + (2*SUSYc1XM10*SUSYc2XM1)/7 + (19*SUSYc1XM2*SUSYc2XM1)/896 + (SUSYc1XM4*SUSYc2XM1)/56 - (3*SUSYc1XM6*SUSYc2XM1)/28 - (11*SUSYc1XM1*SUSYc2XM2)/224 + (9*SUSYc1XM3*SUSYc2XM2)/112 - (11*SUSYc2XM3)/896 - (3*SUSYc1XM2*SUSYc2XM3)/28 + (SUSYc1XM4*SUSYc2XM3)/4 - (SUSYc1XM6*SUSYc2XM3)/7 - (2*SUSYc1XM8*SUSYc2XM3)/7 - (33*SUSYc1XM1*SUSYc2XM4)/112 + (SUSYc1XM5*SUSYc2XM4)/2 + (99*SUSYc2XM5)/56 - (9*SUSYc1XM2*SUSYc2XM5)/4 + 2*SUSYc1XM4*SUSYc2XM5 - (6*SUSYc1XM6*SUSYc2XM5)/7","{17/3584 - (11*SUSYc2XM2)/224 - (33*SUSYc2XM4)/112, (19*SUSYc2XM1)/896 - (3*SUSYc2XM3)/28 - (9*SUSYc2XM5)/4, 5/448 + (9*SUSYc2XM2)/112, SUSYc2XM1/56 + SUSYc2XM3/4 + 2*SUSYc2XM5, -5/112 + SUSYc2XM4/2, (-3*SUSYc2XM1)/28 - SUSYc2XM3/7 - (6*SUSYc2XM5)/7, (-2*SUSYc2XM3)/7, 3/14, (2*SUSYc2XM1)/7, 4/7, 0, -15/896 + (2*SUSYc1XM10)/7 + (19*SUSYc1XM2)/896 + SUSYc1XM4/56 - (3*SUSYc1XM6)/28, (-11*SUSYc1XM1)/224 + (9*SUSYc1XM3)/112, -11/896 - (3*SUSYc1XM2)/28 + SUSYc1XM4/4 - SUSYc1XM6/7 - (2*SUSYc1XM8)/7, (-33*SUSYc1XM1)/112 + SUSYc1XM5/2, 99/56 - (9*SUSYc1XM2)/4 + 2*SUSYc1XM4 - (6*SUSYc1XM6)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM8","-2.987687357514883399284668102582890375186190566947567152847901612197485885320486154778962266624871831129499767188955872976535472322951105888321395933856270336657244671036762268235128510655776386624656963138850319938755369*10^7","-1/224 + (3*SUSYc1XM10)/7 + (65*SUSYc1XM2)/1792 - (5*SUSYc1XM4)/112 - (5*SUSYc1XM6)/56 + SUSYc1XM8/7 + (11*SUSYc1XM1*SUSYc2XM1)/1792 + (9*SUSYc1XM3*SUSYc2XM1)/112 - (SUSYc1XM5*SUSYc2XM1)/8 + (SUSYc1XM9*SUSYc2XM1)/7 - (187*SUSYc2XM2)/1792 + (9*SUSYc1XM2*SUSYc2XM2)/112 + (SUSYc1XM4*SUSYc2XM2)/8 - (2*SUSYc1XM6*SUSYc2XM2)/7 - (SUSYc1XM8*SUSYc2XM2)/7 - (33*SUSYc1XM1*SUSYc2XM3)/112 + (3*SUSYc1XM3*SUSYc2XM3)/8 - (33*SUSYc2XM4)/112 - (3*SUSYc1XM2*SUSYc2XM4)/8 + SUSYc1XM4*SUSYc2XM4 - (5*SUSYc1XM6*SUSYc2XM4)/7 - (33*SUSYc1XM1*SUSYc2XM5)/8 + 3*SUSYc1XM3*SUSYc2XM5 - SUSYc1XM5*SUSYc2XM5","{(11*SUSYc2XM1)/1792 - (33*SUSYc2XM3)/112 - (33*SUSYc2XM5)/8, 65/1792 + (9*SUSYc2XM2)/112 - (3*SUSYc2XM4)/8, (9*SUSYc2XM1)/112 + (3*SUSYc2XM3)/8 + 3*SUSYc2XM5, -5/112 + SUSYc2XM2/8 + SUSYc2XM4, -1/8*SUSYc2XM1 - SUSYc2XM5, -5/56 - (2*SUSYc2XM2)/7 - (5*SUSYc2XM4)/7, 1/7 - SUSYc2XM2/7, SUSYc2XM1/7, 3/7, 0, 0, (11*SUSYc1XM1)/1792 + (9*SUSYc1XM3)/112 - SUSYc1XM5/8 + SUSYc1XM9/7, -187/1792 + (9*SUSYc1XM2)/112 + SUSYc1XM4/8 - (2*SUSYc1XM6)/7 - SUSYc1XM8/7, (-33*SUSYc1XM1)/112 + (3*SUSYc1XM3)/8, -33/112 - (3*SUSYc1XM2)/8 + SUSYc1XM4 - (5*SUSYc1XM6)/7, (-33*SUSYc1XM1)/8 + 3*SUSYc1XM3 - SUSYc1XM5}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM9","8.27301772257279999292690351539999836136428426953937626868702018911297488953954080671520985273820543284432658923632303778210349241930748460948664689183889961828559702590700049110446561259452315213905108374454326927907161*10^7","(55*SUSYc1XM1)/896 - (5*SUSYc1XM5)/28 + (2*SUSYc1XM9)/7 - (11*SUSYc2XM1)/224 + (9*SUSYc1XM2*SUSYc2XM1)/56 - (SUSYc1XM4*SUSYc2XM1)/14 - (2*SUSYc1XM6*SUSYc2XM1)/7 + (9*SUSYc1XM3*SUSYc2XM2)/28 - (2*SUSYc1XM5*SUSYc2XM2)/7 - (33*SUSYc2XM3)/56 + (3*SUSYc1XM2*SUSYc2XM3)/7 + (2*SUSYc1XM4*SUSYc2XM3)/7 - (4*SUSYc1XM6*SUSYc2XM3)/7 - (33*SUSYc1XM1*SUSYc2XM4)/28 + (12*SUSYc1XM3*SUSYc2XM4)/7 - (6*SUSYc1XM5*SUSYc2XM4)/7 - (99*SUSYc2XM5)/14 + (30*SUSYc1XM2*SUSYc2XM5)/7 - (8*SUSYc1XM4*SUSYc2XM5)/7","{55/896 - (33*SUSYc2XM4)/28, (9*SUSYc2XM1)/56 + (3*SUSYc2XM3)/7 + (30*SUSYc2XM5)/7, (9*SUSYc2XM2)/28 + (12*SUSYc2XM4)/7, -1/14*SUSYc2XM1 + (2*SUSYc2XM3)/7 - (8*SUSYc2XM5)/7, -5/28 - (2*SUSYc2XM2)/7 - (6*SUSYc2XM4)/7, (-2*SUSYc2XM1)/7 - (4*SUSYc2XM3)/7, 0, 2/7, 0, 0, 0, -11/224 + (9*SUSYc1XM2)/56 - SUSYc1XM4/14 - (2*SUSYc1XM6)/7, (9*SUSYc1XM3)/28 - (2*SUSYc1XM5)/7, -33/56 + (3*SUSYc1XM2)/7 + (2*SUSYc1XM4)/7 - (4*SUSYc1XM6)/7, (-33*SUSYc1XM1)/28 + (12*SUSYc1XM3)/7 - (6*SUSYc1XM5)/7, -99/14 + (30*SUSYc1XM2)/7 - (8*SUSYc1XM4)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM10","-1.7846837682400394262450165764648970967320630989154260279231627496912364429064051250973438226623172779377533344754250882356376386273265808160053268689400505206979384981976029854696503340993936206484833436214248671291096067*10^8","55/896 + (45*SUSYc1XM2)/448 - (25*SUSYc1XM4)/112 - (5*SUSYc1XM6)/28 + SUSYc1XM8/7 + (99*SUSYc1XM1*SUSYc2XM1)/448 + (9*SUSYc1XM3*SUSYc2XM1)/112 - (11*SUSYc1XM5*SUSYc2XM1)/28 - (99*SUSYc2XM2)/448 + (9*SUSYc1XM2*SUSYc2XM2)/16 - (5*SUSYc1XM4*SUSYc2XM2)/28 - (3*SUSYc1XM6*SUSYc2XM2)/7 + (33*SUSYc1XM1*SUSYc2XM3)/112 + (3*SUSYc1XM3*SUSYc2XM3)/4 - (5*SUSYc1XM5*SUSYc2XM3)/7 - (297*SUSYc2XM4)/112 + (75*SUSYc1XM2*SUSYc2XM4)/28 - SUSYc1XM4*SUSYc2XM4 + (165*SUSYc1XM1*SUSYc2XM5)/28 - (9*SUSYc1XM3*SUSYc2XM5)/7","{(99*SUSYc2XM1)/448 + (33*SUSYc2XM3)/112 + (165*SUSYc2XM5)/28, 45/448 + (9*SUSYc2XM2)/16 + (75*SUSYc2XM4)/28, (9*SUSYc2XM1)/112 + (3*SUSYc2XM3)/4 - (9*SUSYc2XM5)/7, -25/112 - (5*SUSYc2XM2)/28 - SUSYc2XM4, (-11*SUSYc2XM1)/28 - (5*SUSYc2XM3)/7, -5/28 - (3*SUSYc2XM2)/7, 1/7, 0, 0, 0, 0, (99*SUSYc1XM1)/448 + (9*SUSYc1XM3)/112 - (11*SUSYc1XM5)/28, -99/448 + (9*SUSYc1XM2)/16 - (5*SUSYc1XM4)/28 - (3*SUSYc1XM6)/7, (33*SUSYc1XM1)/112 + (3*SUSYc1XM3)/4 - (5*SUSYc1XM5)/7, -297/112 + (75*SUSYc1XM2)/28 - SUSYc1XM4, (165*SUSYc1XM1)/28 - (9*SUSYc1XM3)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM11","1.8885299293299684297045265436371835897345538013836719857367889123464169469489805620719706794360232692619545255287503901809906226095827424647311122833914294530956403316700777484514848546817530236249914893956386812255079386*10^8","(55*SUSYc1XM1)/224 - (5*SUSYc1XM3)/28 - (5*SUSYc1XM5)/14 + (11*SUSYc2XM1)/56 + (19*SUSYc1XM2*SUSYc2XM1)/56 - (3*SUSYc1XM4*SUSYc2XM1)/7 - (2*SUSYc1XM6*SUSYc2XM1)/7 + (11*SUSYc1XM1*SUSYc2XM2)/14 + (SUSYc1XM3*SUSYc2XM2)/14 - (4*SUSYc1XM5*SUSYc2XM2)/7 - (11*SUSYc2XM3)/56 + (10*SUSYc1XM2*SUSYc2XM3)/7 - (6*SUSYc1XM4*SUSYc2XM3)/7 + (55*SUSYc1XM1*SUSYc2XM4)/14 - (8*SUSYc1XM3*SUSYc2XM4)/7 + (55*SUSYc2XM5)/7 - (10*SUSYc1XM2*SUSYc2XM5)/7","{55/224 + (11*SUSYc2XM2)/14 + (55*SUSYc2XM4)/14, (19*SUSYc2XM1)/56 + (10*SUSYc2XM3)/7 - (10*SUSYc2XM5)/7, -5/28 + SUSYc2XM2/14 - (8*SUSYc2XM4)/7, (-3*SUSYc2XM1)/7 - (6*SUSYc2XM3)/7, -5/14 - (4*SUSYc2XM2)/7, (-2*SUSYc2XM1)/7, 0, 0, 0, 0, 0, 11/56 + (19*SUSYc1XM2)/56 - (3*SUSYc1XM4)/7 - (2*SUSYc1XM6)/7, (11*SUSYc1XM1)/14 + SUSYc1XM3/14 - (4*SUSYc1XM5)/7, -11/56 + (10*SUSYc1XM2)/7 - (6*SUSYc1XM4)/7, (55*SUSYc1XM1)/14 - (8*SUSYc1XM3)/7, 55/7 - (10*SUSYc1XM2)/7}"
