"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",1000,"SUSYc1XM1","6.14687083381718713547905697065288985949327345746317286405287130829399683004572379194108532009873446377066816061259631904639653897388428589660957196122983564851332041953789941903293231659188414090251596391436894462","1/114688 - SUSYc1XM10/112 - SUSYc1XM2/28672 + SUSYc1XM4/7168 - SUSYc1XM6/1792 + SUSYc1XM8/448 + (SUSYc1XM1*SUSYc2XM1)/28672 - (SUSYc1XM11*SUSYc2XM1)/28 - (SUSYc1XM3*SUSYc2XM1)/7168 + (SUSYc1XM5*SUSYc2XM1)/1792 + (SUSYc1XM9*SUSYc2XM1)/112 - SUSYc2XM2/28672 + (SUSYc1XM10*SUSYc2XM2)/28 + (SUSYc1XM2*SUSYc2XM2)/7168 - (SUSYc1XM4*SUSYc2XM2)/1792 + (SUSYc1XM6*SUSYc2XM2)/448 - (SUSYc1XM8*SUSYc2XM2)/112 - (SUSYc1XM1*SUSYc2XM3)/7168 + (SUSYc1XM11*SUSYc2XM3)/7 + (SUSYc1XM3*SUSYc2XM3)/1792 - (SUSYc1XM5*SUSYc2XM3)/448 - (SUSYc1XM9*SUSYc2XM3)/28 + SUSYc2XM4/7168 - (SUSYc1XM10*SUSYc2XM4)/7 - (SUSYc1XM2*SUSYc2XM4)/1792 + (SUSYc1XM4*SUSYc2XM4)/448 - (SUSYc1XM6*SUSYc2XM4)/112 + (SUSYc1XM8*SUSYc2XM4)/28","{SUSYc2XM1/28672 - SUSYc2XM3/7168, -1/28672 + SUSYc2XM2/7168 - SUSYc2XM4/1792, -1/7168*SUSYc2XM1 + SUSYc2XM3/1792, 1/7168 - SUSYc2XM2/1792 + SUSYc2XM4/448, SUSYc2XM1/1792 - SUSYc2XM3/448, -1/1792 + SUSYc2XM2/448 - SUSYc2XM4/112, 1/448 - SUSYc2XM2/112 + SUSYc2XM4/28, SUSYc2XM1/112 - SUSYc2XM3/28, -1/112 + SUSYc2XM2/28 - SUSYc2XM4/7, -1/28*SUSYc2XM1 + SUSYc2XM3/7, SUSYc1XM1/28672 - SUSYc1XM11/28 - SUSYc1XM3/7168 + SUSYc1XM5/1792 + SUSYc1XM9/112, -1/28672 + SUSYc1XM10/28 + SUSYc1XM2/7168 - SUSYc1XM4/1792 + SUSYc1XM6/448 - SUSYc1XM8/112, -1/7168*SUSYc1XM1 + SUSYc1XM11/7 + SUSYc1XM3/1792 - SUSYc1XM5/448 - SUSYc1XM9/28, 1/7168 - SUSYc1XM10/7 - SUSYc1XM2/1792 + SUSYc1XM4/448 - SUSYc1XM6/112 + SUSYc1XM8/28}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",1000,"SUSYc1XM2","25.8093087102412877897600448154133711756496539317275650743064681520327717680077259190551425453096755579425948656132526915092093295479740939522047975560462297535829165959089852594467273863373853563259240609452563714","(-3*SUSYc1XM1)/14336 - SUSYc1XM11/7 + SUSYc1XM3/1792 - SUSYc1XM5/896 + SUSYc1XM9/56 + SUSYc2XM1/3584 + (SUSYc1XM10*SUSYc2XM1)/14 - (3*SUSYc1XM2*SUSYc2XM1)/3584 + (SUSYc1XM4*SUSYc2XM1)/448 - (SUSYc1XM6*SUSYc2XM1)/224 + (SUSYc1XM1*SUSYc2XM2)/896 + (2*SUSYc1XM11*SUSYc2XM2)/7 - (3*SUSYc1XM3*SUSYc2XM2)/896 + (SUSYc1XM5*SUSYc2XM2)/112 - (5*SUSYc2XM3)/3584 + (SUSYc1XM2*SUSYc2XM3)/224 - (3*SUSYc1XM4*SUSYc2XM3)/224 + (SUSYc1XM6*SUSYc2XM3)/28 - (SUSYc1XM8*SUSYc2XM3)/14 - (5*SUSYc1XM1*SUSYc2XM4)/896 + (SUSYc1XM3*SUSYc2XM4)/56 - (3*SUSYc1XM5*SUSYc2XM4)/56 - (2*SUSYc1XM9*SUSYc2XM4)/7","{-3/14336 + SUSYc2XM2/896 - (5*SUSYc2XM4)/896, (-3*SUSYc2XM1)/3584 + SUSYc2XM3/224, 1/1792 - (3*SUSYc2XM2)/896 + SUSYc2XM4/56, SUSYc2XM1/448 - (3*SUSYc2XM3)/224, -1/896 + SUSYc2XM2/112 - (3*SUSYc2XM4)/56, -1/224*SUSYc2XM1 + SUSYc2XM3/28, -1/14*SUSYc2XM3, 1/56 - (2*SUSYc2XM4)/7, SUSYc2XM1/14, -1/7 + (2*SUSYc2XM2)/7, 1/3584 + SUSYc1XM10/14 - (3*SUSYc1XM2)/3584 + SUSYc1XM4/448 - SUSYc1XM6/224, SUSYc1XM1/896 + (2*SUSYc1XM11)/7 - (3*SUSYc1XM3)/896 + SUSYc1XM5/112, -5/3584 + SUSYc1XM2/224 - (3*SUSYc1XM4)/224 + SUSYc1XM6/28 - SUSYc1XM8/14, (-5*SUSYc1XM1)/896 + SUSYc1XM3/56 - (3*SUSYc1XM5)/56 - (2*SUSYc1XM9)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",1000,"SUSYc1XM3","76.93011047876738390984739857445365522290598678483636822821205121829203310751610955547313161887785791637713700353514544438709474241505313068023211834034065504916579836857569642481411943585374031203741370404773873565","-17/28672 + SUSYc1XM10/14 + (3*SUSYc1XM2)/3584 + SUSYc1XM4/1792 - SUSYc1XM6/112 + (3*SUSYc1XM8)/112 - (9*SUSYc1XM1*SUSYc2XM1)/3584 + (3*SUSYc1XM11*SUSYc2XM1)/7 + (SUSYc1XM3*SUSYc2XM1)/256 + (SUSYc1XM9*SUSYc2XM1)/14 + (17*SUSYc2XM2)/3584 + (SUSYc1XM10*SUSYc2XM2)/7 - (19*SUSYc1XM2*SUSYc2XM2)/1792 + (SUSYc1XM4*SUSYc2XM2)/56 - (SUSYc1XM6*SUSYc2XM2)/112 - (SUSYc1XM8*SUSYc2XM2)/14 + (5*SUSYc1XM1*SUSYc2XM3)/256 - (5*SUSYc1XM3*SUSYc2XM3)/112 + (9*SUSYc1XM5*SUSYc2XM3)/112 - (SUSYc1XM9*SUSYc2XM3)/7 - (55*SUSYc2XM4)/1792 + (9*SUSYc1XM2*SUSYc2XM4)/112 - (3*SUSYc1XM4*SUSYc2XM4)/16 + (5*SUSYc1XM6*SUSYc2XM4)/14 - (3*SUSYc1XM8*SUSYc2XM4)/7","{(-9*SUSYc2XM1)/3584 + (5*SUSYc2XM3)/256, 3/3584 - (19*SUSYc2XM2)/1792 + (9*SUSYc2XM4)/112, SUSYc2XM1/256 - (5*SUSYc2XM3)/112, 1/1792 + SUSYc2XM2/56 - (3*SUSYc2XM4)/16, (9*SUSYc2XM3)/112, -1/112 - SUSYc2XM2/112 + (5*SUSYc2XM4)/14, 3/112 - SUSYc2XM2/14 - (3*SUSYc2XM4)/7, SUSYc2XM1/14 - SUSYc2XM3/7, 1/14 + SUSYc2XM2/7, (3*SUSYc2XM1)/7, (-9*SUSYc1XM1)/3584 + (3*SUSYc1XM11)/7 + SUSYc1XM3/256 + SUSYc1XM9/14, 17/3584 + SUSYc1XM10/7 - (19*SUSYc1XM2)/1792 + SUSYc1XM4/56 - SUSYc1XM6/112 - SUSYc1XM8/14, (5*SUSYc1XM1)/256 - (5*SUSYc1XM3)/112 + (9*SUSYc1XM5)/112 - SUSYc1XM9/7, -55/1792 + (9*SUSYc1XM2)/112 - (3*SUSYc1XM4)/16 + (5*SUSYc1XM6)/14 - (3*SUSYc1XM8)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",1000,"SUSYc1XM4","180.80339380932750893021813062266627330299974727632573601379390372249195492289793427619777236195887190211947575293067235343615937701055819403105526607720903200615035486252248568416551705877079270086784153308715163613","-1/1792*SUSYc1XM1 + (4*SUSYc1XM11)/7 + (3*SUSYc1XM3)/448 - SUSYc1XM5/56 + SUSYc1XM9/7 - SUSYc2XM1/224 + (2*SUSYc1XM10*SUSYc2XM1)/7 + (SUSYc1XM2*SUSYc2XM1)/896 + (SUSYc1XM4*SUSYc2XM1)/56 - (3*SUSYc1XM6*SUSYc2XM1)/56 - (5*SUSYc1XM1*SUSYc2XM2)/224 + (SUSYc1XM3*SUSYc2XM2)/56 + (SUSYc1XM5*SUSYc2XM2)/28 + (55*SUSYc2XM3)/896 - (3*SUSYc1XM2*SUSYc2XM3)/28 + (SUSYc1XM4*SUSYc2XM3)/8 - (2*SUSYc1XM8*SUSYc2XM3)/7 + (15*SUSYc1XM1*SUSYc2XM4)/56 - (SUSYc1XM3*SUSYc2XM4)/2 + (5*SUSYc1XM5*SUSYc2XM4)/7","{-1/1792 - (5*SUSYc2XM2)/224 + (15*SUSYc2XM4)/56, SUSYc2XM1/896 - (3*SUSYc2XM3)/28, 3/448 + SUSYc2XM2/56 - SUSYc2XM4/2, SUSYc2XM1/56 + SUSYc2XM3/8, -1/56 + SUSYc2XM2/28 + (5*SUSYc2XM4)/7, (-3*SUSYc2XM1)/56, (-2*SUSYc2XM3)/7, 1/7, (2*SUSYc2XM1)/7, 4/7, -1/224 + (2*SUSYc1XM10)/7 + SUSYc1XM2/896 + SUSYc1XM4/56 - (3*SUSYc1XM6)/56, (-5*SUSYc1XM1)/224 + SUSYc1XM3/56 + SUSYc1XM5/28, 55/896 - (3*SUSYc1XM2)/28 + SUSYc1XM4/8 - (2*SUSYc1XM8)/7, (15*SUSYc1XM1)/56 - SUSYc1XM3/2 + (5*SUSYc1XM5)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",1000,"SUSYc1XM5","337.02752222194082919386253593747780242585682919861894271265346207127744918813886180014206536611944788786065236696300923777688425264971388077668980902491419572378526547940365112019181373569287359555145277534334812359","-43/7168 + (3*SUSYc1XM10)/7 + (29*SUSYc1XM2)/1792 - (3*SUSYc1XM4)/224 - (3*SUSYc1XM6)/56 + (3*SUSYc1XM8)/28 - (25*SUSYc1XM1*SUSYc2XM1)/1792 + (11*SUSYc1XM3*SUSYc2XM1)/224 - (3*SUSYc1XM5*SUSYc2XM1)/56 + (SUSYc1XM9*SUSYc2XM1)/7 - (55*SUSYc2XM2)/1792 - (3*SUSYc1XM2*SUSYc2XM2)/224 + (SUSYc1XM4*SUSYc2XM2)/8 - (5*SUSYc1XM6*SUSYc2XM2)/28 - (SUSYc1XM8*SUSYc2XM2)/7 - (45*SUSYc1XM1*SUSYc2XM3)/224 + (SUSYc1XM3*SUSYc2XM3)/8 + (5*SUSYc1XM5*SUSYc2XM3)/28 + (165*SUSYc2XM4)/224 - (9*SUSYc1XM2*SUSYc2XM4)/8 + (5*SUSYc1XM4*SUSYc2XM4)/4 - (5*SUSYc1XM6*SUSYc2XM4)/7","{(-25*SUSYc2XM1)/1792 - (45*SUSYc2XM3)/224, 29/1792 - (3*SUSYc2XM2)/224 - (9*SUSYc2XM4)/8, (11*SUSYc2XM1)/224 + SUSYc2XM3/8, -3/224 + SUSYc2XM2/8 + (5*SUSYc2XM4)/4, (-3*SUSYc2XM1)/56 + (5*SUSYc2XM3)/28, -3/56 - (5*SUSYc2XM2)/28 - (5*SUSYc2XM4)/7, 3/28 - SUSYc2XM2/7, SUSYc2XM1/7, 3/7, 0, (-25*SUSYc1XM1)/1792 + (11*SUSYc1XM3)/224 - (3*SUSYc1XM5)/56 + SUSYc1XM9/7, -55/1792 - (3*SUSYc1XM2)/224 + SUSYc1XM4/8 - (5*SUSYc1XM6)/28 - SUSYc1XM8/7, (-45*SUSYc1XM1)/224 + SUSYc1XM3/8 + (5*SUSYc1XM5)/28, 165/224 - (9*SUSYc1XM2)/8 + (5*SUSYc1XM4)/4 - (5*SUSYc1XM6)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",1000,"SUSYc1XM6","504.02405056691407232466390670419357458521588814783800496023413354948139006740747706898120468724592921678541716726372239070667008206956446577949737263687920293722307296478503851891692804040072280542895602870499015123","(19*SUSYc1XM1)/896 + SUSYc1XM3/56 - (3*SUSYc1XM5)/28 + (2*SUSYc1XM9)/7 - (11*SUSYc2XM1)/224 + (9*SUSYc1XM2*SUSYc2XM1)/112 - (3*SUSYc1XM6*SUSYc2XM1)/14 - (3*SUSYc1XM1*SUSYc2XM2)/28 + (SUSYc1XM3*SUSYc2XM2)/4 - (SUSYc1XM5*SUSYc2XM2)/7 - (33*SUSYc2XM3)/112 + (SUSYc1XM4*SUSYc2XM3)/2 - (4*SUSYc1XM6*SUSYc2XM3)/7 - (9*SUSYc1XM1*SUSYc2XM4)/4 + 2*SUSYc1XM3*SUSYc2XM4 - (6*SUSYc1XM5*SUSYc2XM4)/7","{19/896 - (3*SUSYc2XM2)/28 - (9*SUSYc2XM4)/4, (9*SUSYc2XM1)/112, 1/56 + SUSYc2XM2/4 + 2*SUSYc2XM4, SUSYc2XM3/2, -3/28 - SUSYc2XM2/7 - (6*SUSYc2XM4)/7, (-3*SUSYc2XM1)/14 - (4*SUSYc2XM3)/7, 0, 2/7, 0, 0, -11/224 + (9*SUSYc1XM2)/112 - (3*SUSYc1XM6)/14, (-3*SUSYc1XM1)/28 + SUSYc1XM3/4 - SUSYc1XM5/7, -33/112 + SUSYc1XM4/2 - (4*SUSYc1XM6)/7, (-9*SUSYc1XM1)/4 + 2*SUSYc1XM3 - (6*SUSYc1XM5)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",1000,"SUSYc1XM8","523637.09044654828348896576670833113810686543128072244344641847256402901890705197967294044651642833665692949761552094936425086951025701251206412826985838190965768344980978055244563591663371609095574600583845037683074322","11/1792 + (9*SUSYc1XM2)/112 - SUSYc1XM4/8 - SUSYc1XM6/7 + SUSYc1XM8/7 + (9*SUSYc1XM1*SUSYc2XM1)/112 + (SUSYc1XM3*SUSYc2XM1)/8 - (2*SUSYc1XM5*SUSYc2XM1)/7 - (33*SUSYc2XM2)/112 + (3*SUSYc1XM2*SUSYc2XM2)/8 - (3*SUSYc1XM6*SUSYc2XM2)/7 - (3*SUSYc1XM1*SUSYc2XM3)/8 + SUSYc1XM3*SUSYc2XM3 - (5*SUSYc1XM5*SUSYc2XM3)/7 - (33*SUSYc2XM4)/8 + 3*SUSYc1XM2*SUSYc2XM4 - SUSYc1XM4*SUSYc2XM4","{(9*SUSYc2XM1)/112 - (3*SUSYc2XM3)/8, 9/112 + (3*SUSYc2XM2)/8 + 3*SUSYc2XM4, SUSYc2XM1/8 + SUSYc2XM3, -1/8 - SUSYc2XM4, (-2*SUSYc2XM1)/7 - (5*SUSYc2XM3)/7, -1/7 - (3*SUSYc2XM2)/7, 1/7, 0, 0, 0, (9*SUSYc1XM1)/112 + SUSYc1XM3/8 - (2*SUSYc1XM5)/7, -33/112 + (3*SUSYc1XM2)/8 - (3*SUSYc1XM6)/7, (-3*SUSYc1XM1)/8 + SUSYc1XM3 - (5*SUSYc1XM5)/7, -33/8 + 3*SUSYc1XM2 - SUSYc1XM4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",1000,"SUSYc1XM9","-2.49211723960102662861202168391706685038052894363029087773636580599705806925712980399269889800599436994584301146661132647853444642860748690203245427479397467615627616926497509578745377309402001648080807008029612479825832*10^6","(9*SUSYc1XM1)/56 - SUSYc1XM3/14 - (2*SUSYc1XM5)/7 + (9*SUSYc1XM2*SUSYc2XM1)/28 - (2*SUSYc1XM4*SUSYc2XM1)/7 - (2*SUSYc1XM6*SUSYc2XM1)/7 + (3*SUSYc1XM1*SUSYc2XM2)/7 + (2*SUSYc1XM3*SUSYc2XM2)/7 - (4*SUSYc1XM5*SUSYc2XM2)/7 - (33*SUSYc2XM3)/28 + (12*SUSYc1XM2*SUSYc2XM3)/7 - (6*SUSYc1XM4*SUSYc2XM3)/7 + (30*SUSYc1XM1*SUSYc2XM4)/7 - (8*SUSYc1XM3*SUSYc2XM4)/7","{9/56 + (3*SUSYc2XM2)/7 + (30*SUSYc2XM4)/7, (9*SUSYc2XM1)/28 + (12*SUSYc2XM3)/7, -1/14 + (2*SUSYc2XM2)/7 - (8*SUSYc2XM4)/7, (-2*SUSYc2XM1)/7 - (6*SUSYc2XM3)/7, -2/7 - (4*SUSYc2XM2)/7, (-2*SUSYc2XM1)/7, 0, 0, 0, 0, (9*SUSYc1XM2)/28 - (2*SUSYc1XM4)/7 - (2*SUSYc1XM6)/7, (3*SUSYc1XM1)/7 + (2*SUSYc1XM3)/7 - (4*SUSYc1XM5)/7, -33/28 + (12*SUSYc1XM2)/7 - (6*SUSYc1XM4)/7, (30*SUSYc1XM1)/7 - (8*SUSYc1XM3)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",1000,"SUSYc1XM10","4.59352163489993844946139282015329479529600797619626915426365093046394971906026025820567004416430799496272188598626888713808627882798654490730483925934410862878064583321633679981754532731801724964280370951848722037364257*10^6","99/448 + (9*SUSYc1XM2)/112 - (11*SUSYc1XM4)/28 - SUSYc1XM6/7 + (9*SUSYc1XM1*SUSYc2XM1)/16 - (5*SUSYc1XM3*SUSYc2XM1)/28 - (3*SUSYc1XM5*SUSYc2XM1)/7 + (33*SUSYc2XM2)/112 + (3*SUSYc1XM2*SUSYc2XM2)/4 - (5*SUSYc1XM4*SUSYc2XM2)/7 + (75*SUSYc1XM1*SUSYc2XM3)/28 - SUSYc1XM3*SUSYc2XM3 + (165*SUSYc2XM4)/28 - (9*SUSYc1XM2*SUSYc2XM4)/7","{(9*SUSYc2XM1)/16 + (75*SUSYc2XM3)/28, 9/112 + (3*SUSYc2XM2)/4 - (9*SUSYc2XM4)/7, (-5*SUSYc2XM1)/28 - SUSYc2XM3, -11/28 - (5*SUSYc2XM2)/7, (-3*SUSYc2XM1)/7, -1/7, 0, 0, 0, 0, (9*SUSYc1XM1)/16 - (5*SUSYc1XM3)/28 - (3*SUSYc1XM5)/7, 33/112 + (3*SUSYc1XM2)/4 - (5*SUSYc1XM4)/7, (75*SUSYc1XM1)/28 - SUSYc1XM3, 165/28 - (9*SUSYc1XM2)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",1000,"SUSYc1XM11","-3.13952002110687226451934408472364159774807324671211234365127234371369580073714086111114044998436295209441255675608461604954270793392139297341857235481631251513978566913624953375976259248329371363063220897707087746221819*10^6","(19*SUSYc1XM1)/56 - (3*SUSYc1XM3)/7 - (2*SUSYc1XM5)/7 + (11*SUSYc2XM1)/14 + (SUSYc1XM2*SUSYc2XM1)/14 - (4*SUSYc1XM4*SUSYc2XM1)/7 + (10*SUSYc1XM1*SUSYc2XM2)/7 - (6*SUSYc1XM3*SUSYc2XM2)/7 + (55*SUSYc2XM3)/14 - (8*SUSYc1XM2*SUSYc2XM3)/7 - (10*SUSYc1XM1*SUSYc2XM4)/7","{19/56 + (10*SUSYc2XM2)/7 - (10*SUSYc2XM4)/7, SUSYc2XM1/14 - (8*SUSYc2XM3)/7, -3/7 - (6*SUSYc2XM2)/7, (-4*SUSYc2XM1)/7, -2/7, 0, 0, 0, 0, 0, 11/14 + SUSYc1XM2/14 - (4*SUSYc1XM4)/7, (10*SUSYc1XM1)/7 - (6*SUSYc1XM3)/7, 55/14 - (8*SUSYc1XM2)/7, (-10*SUSYc1XM1)/7}"
