var,b_final_value
SUSYc1XM1,-3.440268067092428736553415250168873075153960e+00
SUSYc1XM2,1.138796311933503069261393503363681217549650e+01
SUSYc1XM4,6.781642926028090705148461585036658116133150e+01
SUSYc1XM5,-2.418788367081299122908093963777556797323040e+01
SUSYc1XM6,-9.365443108175962860393969827989249227470980e+01
SUSYc1XM7,-9.688669873536496931253465294496623007938280e+01
SUSYc1XM8,1.327110144123081196875789402171841163634880e+02
SUSYc1XM9,2.690589726273514211258366463549409130056590e+02
SUSYc1XM10,1.004718150484572598819012821419237965797030e+02
SUSYc2XM1,1.720134033546214368276707625084436537576980e+00
SUSYc2XM2,2.730406881697565866824979896417529619072270e-01
SUSYc2XM3,-5.330007526578790401350090160520121730704850e+00
SUSYc2XM4,-4.642499257388563282551325067513176181605970e+00
SUSYc2XM5,6.758571374794178440990339890366409636954260e+00
SUSYc2XM6,1.254615704130555996440621539022412333070410e+01
SUSYc2XM7,4.888711121606979924279852555518923616965840e+00
