var,b_final_value
SUSYc1XM1,1.8814299146233061558210e+00
SUSYc1XM2,-9.9366513747650425253670e+00
SUSYc1XM3,-8.9631442665205098325240e+01
SUSYc1XM5,-1.2193012990577999774890e+03
SUSYc1XM6,-1.1922030382537123427120e+02
SUSYc1XM7,-1.0036612553478124737550e+03
SUSYc1XM8,-3.1814480862780238669960e+03
SUSYc1XM9,2.4759103284904447883490e+03
SUSYc1XM10,-1.5534452559579237955550e+03
SUSYc2XM1,-1.1288579487739836934960e+00
SUSYc2XM2,3.8947952010441319447150e+00
SUSYc2XM3,2.2254940224687877797970e+00
SUSYc2XM4,-5.0649354327502408026040e+00
SUSYc2XM5,9.4893156481651736911970e+00
SUSYc2XM6,-4.0523847573117346654800e+00
