var,b_final_value
SUSYc1XM1,-1.261916638205475269217559470625363788963271241884296883585713686540916477909479599940139329082892642200e+00
SUSYc1XM2,-1.915281514037553747662095601726510592584765474933335008092725284150574766585539787490167626404679925970e+01
SUSYc1XM4,-2.387784488960088275373190060319832985674430706201188290332877259263833019611624226369478029385091643750e+02
SUSYc1XM5,-2.958343975316524293035205503129086619570863835368564140669228248492269335172724836359832265268692183320e+02
SUSYc1XM6,-2.274631701508373651581874560444355057140541983734985981423281536556262787403546649775519748459919132840e+02
SUSYc1XM7,-7.743084821015869959191235916563834821265457944458688119583418185931752334055196102016918302706838260840e+02
SUSYc1XM8,-5.908335298942061569303234244970376948548561557566116412132996360287516080491956164974511573513503920150e+02
SUSYc1XM9,5.889280941525514895028555697354112211367587249681136222183801420036177662177817772282112289833245237860e+02
SUSYc1XM10,-5.191523730916582356538947250629235868110674255330033656213616047422719954916089582374247555576942992700e+02
SUSYc2XM1,6.309583191027376346087797353126818944816356209421484417928568432704582389547397999700696645414463211010e-01
SUSYc2XM2,3.308293108609050005090757751973001045991160771124789033717899914884013970811346652190565372320946514370e+00
SUSYc2XM3,7.021722200596032675026850869375511313657456456163185011235121086354072837361460953854660479909470940100e+00
SUSYc2XM4,2.372902747599057331895603627375319517928569826551367291185948825937530818069618079818273269827572725640e+00
SUSYc2XM5,1.508103019301776047972489725143517864847330535402769671077462201244239333012479570956016804078349820110e+00
SUSYc2XM6,9.009003484910988827956928206563496652675059763521588893233121194510115024909120056270795142336023920570e+00
SUSYc2XM7,-4.355433717625472814805893394294819005574165265621808768551817495762957286851694695541545264311315927240e+00
