var,b_final_value
SUSYc1XM1,-3.440268067092428736553415250153414062040062806116831975318071963540488490357884725791557569711054140100e+00
SUSYc1XM2,1.138796311933503069261393503485902674235227891472557907654392267758186058551990780882277529508960427220e+01
SUSYc1XM4,6.781642926028090705148461588691662062398350340671927134626898783043399584208589039292580670481080920600e+01
SUSYc1XM5,-2.418788367081299122908093969519770291909115071380620556946724824302123795880798225914532790998114520980e+01
SUSYc1XM6,-9.365443108175962860393969826303609376092529620493987793322951575504515719364405807228541877771914070220e+01
SUSYc1XM7,-9.688669873536496931253465300610739129395053613888363322137121532825155671674042415246359608564448884240e+01
SUSYc1XM8,1.327110144123081196875789404028117631617900503906177717339997866216089196622237873851058500605131222250e+02
SUSYc1XM9,2.690589726273514211258366463100664500338019452020819758613079108287419435566599614549873693625714546140e+02
SUSYc1XM10,1.004718150484572598819012819937984262723101332788764837567376841428108897420514467050667373994491849460e+02
SUSYc2XM1,1.720134033546214368276707625076707031020031403058415987659035981770244245178942362895778784855527070110e+00
SUSYc2XM2,2.730406881697565866824979893666171928534180374238766850494985427184397898811618042021964041298490823210e-01
SUSYc2XM3,-5.330007526578790401350090161831502879241066473434417650978833049701475662713716104305762562475895769050e+00
SUSYc2XM4,-4.642499257388563282551325064442215198845479400983753800908436547922655162975258501524475841404455613810e+00
SUSYc2XM5,6.758571374794178440990339893637512371140349466413677313614112947362956098878277040001971576921745291860e+00
SUSYc2XM6,1.254615704130555996440621538519685646439451347464566992820706464048228067969542285654073342246637519920e+01
SUSYc2XM7,4.888711121606979924279852546415080890996043605413054452873365063009988004640999677525849689409915261250e+00
