"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM1","1.66401273412895207987275937128000564114544983841200779361080231791091108021610431198599198473593","1/49152 - SUSYc1XM2/12288 + SUSYc1XM4/3072 - SUSYc1XM6/768 + SUSYc1XM8/192 + (SUSYc1XM1*SUSYc2XM1)/12288 + (SUSYc1XM5*SUSYc2XM1)/768 - (SUSYc1XM7*SUSYc2XM1)/192 + (SUSYc1XM9*SUSYc2XM1)/48 - SUSYc2XM2/12288 + (SUSYc1XM2*SUSYc2XM2)/3072 - (SUSYc1XM4*SUSYc2XM2)/768 + (SUSYc1XM6*SUSYc2XM2)/192 - (SUSYc1XM8*SUSYc2XM2)/48 - (SUSYc1XM1*SUSYc2XM3)/3072 - (SUSYc1XM5*SUSYc2XM3)/192 + (SUSYc1XM7*SUSYc2XM3)/48 - (SUSYc1XM9*SUSYc2XM3)/12 + SUSYc2XM4/3072 - (SUSYc1XM2*SUSYc2XM4)/768 + (SUSYc1XM4*SUSYc2XM4)/192 - (SUSYc1XM6*SUSYc2XM4)/48 + (SUSYc1XM8*SUSYc2XM4)/12 + (SUSYc1XM1*SUSYc2XM5)/768 + (SUSYc1XM5*SUSYc2XM5)/48 - (SUSYc1XM7*SUSYc2XM5)/12 + (SUSYc1XM9*SUSYc2XM5)/3 - SUSYc2XM6/768 + (SUSYc1XM2*SUSYc2XM6)/192 - (SUSYc1XM4*SUSYc2XM6)/48 + (SUSYc1XM6*SUSYc2XM6)/12 - (SUSYc1XM8*SUSYc2XM6)/3","{SUSYc2XM1/12288 - SUSYc2XM3/3072 + SUSYc2XM5/768, -1/12288 + SUSYc2XM2/3072 - SUSYc2XM4/768 + SUSYc2XM6/192, 1/3072 - SUSYc2XM2/768 + SUSYc2XM4/192 - SUSYc2XM6/48, SUSYc2XM1/768 - SUSYc2XM3/192 + SUSYc2XM5/48, -1/768 + SUSYc2XM2/192 - SUSYc2XM4/48 + SUSYc2XM6/12, -1/192*SUSYc2XM1 + SUSYc2XM3/48 - SUSYc2XM5/12, 1/192 - SUSYc2XM2/48 + SUSYc2XM4/12 - SUSYc2XM6/3, SUSYc2XM1/48 - SUSYc2XM3/12 + SUSYc2XM5/3, SUSYc1XM1/12288 + SUSYc1XM5/768 - SUSYc1XM7/192 + SUSYc1XM9/48, -1/12288 + SUSYc1XM2/3072 - SUSYc1XM4/768 + SUSYc1XM6/192 - SUSYc1XM8/48, -1/3072*SUSYc1XM1 - SUSYc1XM5/192 + SUSYc1XM7/48 - SUSYc1XM9/12, 1/3072 - SUSYc1XM2/768 + SUSYc1XM4/192 - SUSYc1XM6/48 + SUSYc1XM8/12, SUSYc1XM1/768 + SUSYc1XM5/48 - SUSYc1XM7/12 + SUSYc1XM9/3, -1/768 + SUSYc1XM2/192 - SUSYc1XM4/48 + SUSYc1XM6/12 - SUSYc1XM8/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM2","7.238113048521932465041711119352734417274514976825122432167866924795455727299793856249522145130729","-1/6144*SUSYc1XM1 + SUSYc1XM5/384 - SUSYc1XM7/48 + SUSYc1XM9/8 + SUSYc2XM1/3072 - (SUSYc1XM2*SUSYc2XM1)/1536 + (SUSYc1XM6*SUSYc2XM1)/96 - (SUSYc1XM8*SUSYc2XM1)/12 + (SUSYc1XM1*SUSYc2XM2)/768 + (SUSYc1XM7*SUSYc2XM2)/24 - (SUSYc1XM9*SUSYc2XM2)/3 - SUSYc2XM3/512 + (SUSYc1XM2*SUSYc2XM3)/192 - (SUSYc1XM4*SUSYc2XM3)/96 + (SUSYc1XM8*SUSYc2XM3)/6 - (SUSYc1XM1*SUSYc2XM4)/128 - (SUSYc1XM5*SUSYc2XM4)/24 + (2*SUSYc1XM9*SUSYc2XM4)/3 + SUSYc2XM5/96 - (SUSYc1XM2*SUSYc2XM5)/32 + (SUSYc1XM4*SUSYc2XM5)/12 - (SUSYc1XM6*SUSYc2XM5)/6 + (SUSYc1XM1*SUSYc2XM6)/24 + (SUSYc1XM5*SUSYc2XM6)/3 - (2*SUSYc1XM7*SUSYc2XM6)/3","{-1/6144 + SUSYc2XM2/768 - SUSYc2XM4/128 + SUSYc2XM6/24, -1/1536*SUSYc2XM1 + SUSYc2XM3/192 - SUSYc2XM5/32, -1/96*SUSYc2XM3 + SUSYc2XM5/12, 1/384 - SUSYc2XM4/24 + SUSYc2XM6/3, SUSYc2XM1/96 - SUSYc2XM5/6, -1/48 + SUSYc2XM2/24 - (2*SUSYc2XM6)/3, -1/12*SUSYc2XM1 + SUSYc2XM3/6, 1/8 - SUSYc2XM2/3 + (2*SUSYc2XM4)/3, 1/3072 - SUSYc1XM2/1536 + SUSYc1XM6/96 - SUSYc1XM8/12, SUSYc1XM1/768 + SUSYc1XM7/24 - SUSYc1XM9/3, -1/512 + SUSYc1XM2/192 - SUSYc1XM4/96 + SUSYc1XM8/6, -1/128*SUSYc1XM1 - SUSYc1XM5/24 + (2*SUSYc1XM9)/3, 1/96 - SUSYc1XM2/32 + SUSYc1XM4/12 - SUSYc1XM6/6, SUSYc1XM1/24 + SUSYc1XM5/3 - (2*SUSYc1XM7)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM4","3368.027702741991750382031753726185038419090859269240276312899369451560685902638858176462922021785505","1/4096 - SUSYc1XM2/512 + (5*SUSYc1XM4)/768 - (3*SUSYc1XM8)/16 + (SUSYc1XM1*SUSYc2XM1)/1536 + (SUSYc1XM5*SUSYc2XM1)/48 + (SUSYc1XM7*SUSYc2XM1)/48 - (5*SUSYc1XM9*SUSYc2XM1)/6 + SUSYc2XM2/512 + (SUSYc1XM2*SUSYc2XM2)/768 - (SUSYc1XM4*SUSYc2XM2)/48 + (SUSYc1XM6*SUSYc2XM2)/16 + (SUSYc1XM8*SUSYc2XM2)/6 + (7*SUSYc1XM1*SUSYc2XM3)/768 - (SUSYc1XM5*SUSYc2XM3)/16 + (SUSYc1XM7*SUSYc2XM3)/6 + SUSYc1XM9*SUSYc2XM3 - (19*SUSYc2XM4)/768 + (SUSYc1XM2*SUSYc2XM4)/24 - (SUSYc1XM4*SUSYc2XM4)/48 - (SUSYc1XM6*SUSYc2XM4)/6 + (SUSYc1XM8*SUSYc2XM4)/3 - (5*SUSYc1XM1*SUSYc2XM5)/48 - (SUSYc1XM5*SUSYc2XM5)/6 - (SUSYc1XM7*SUSYc2XM5)/3 + (3*SUSYc2XM6)/16 - (7*SUSYc1XM2*SUSYc2XM6)/16 + (5*SUSYc1XM4*SUSYc2XM6)/6 - SUSYc1XM6*SUSYc2XM6","{SUSYc2XM1/1536 + (7*SUSYc2XM3)/768 - (5*SUSYc2XM5)/48, -1/512 + SUSYc2XM2/768 + SUSYc2XM4/24 - (7*SUSYc2XM6)/16, 5/768 - SUSYc2XM2/48 - SUSYc2XM4/48 + (5*SUSYc2XM6)/6, SUSYc2XM1/48 - SUSYc2XM3/16 - SUSYc2XM5/6, SUSYc2XM2/16 - SUSYc2XM4/6 - SUSYc2XM6, SUSYc2XM1/48 + SUSYc2XM3/6 - SUSYc2XM5/3, -3/16 + SUSYc2XM2/6 + SUSYc2XM4/3, (-5*SUSYc2XM1)/6 + SUSYc2XM3, SUSYc1XM1/1536 + SUSYc1XM5/48 + SUSYc1XM7/48 - (5*SUSYc1XM9)/6, 1/512 + SUSYc1XM2/768 - SUSYc1XM4/48 + SUSYc1XM6/16 + SUSYc1XM8/6, (7*SUSYc1XM1)/768 - SUSYc1XM5/16 + SUSYc1XM7/6 + SUSYc1XM9, -19/768 + SUSYc1XM2/24 - SUSYc1XM4/48 - SUSYc1XM6/6 + SUSYc1XM8/3, (-5*SUSYc1XM1)/48 - SUSYc1XM5/6 - SUSYc1XM7/3, 3/16 - (7*SUSYc1XM2)/16 + (5*SUSYc1XM4)/6 - SUSYc1XM6}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM5","-3310.629267682231245776174176585952234538214436719323652608545520244445676491466820085312405947063319","-1/256*SUSYc1XM1 + SUSYc1XM5/24 - SUSYc1XM7/12 - (5*SUSYc1XM9)/3 + SUSYc2XM1/192 - (5*SUSYc1XM2*SUSYc2XM1)/384 + (SUSYc1XM6*SUSYc2XM1)/8 + (SUSYc1XM1*SUSYc2XM2)/64 + (SUSYc1XM7*SUSYc2XM2)/3 + (4*SUSYc1XM9*SUSYc2XM2)/3 + SUSYc2XM3/384 + (SUSYc1XM2*SUSYc2XM3)/24 - (SUSYc1XM4*SUSYc2XM3)/8 + (2*SUSYc1XM8*SUSYc2XM3)/3 + (SUSYc1XM1*SUSYc2XM4)/24 - (SUSYc1XM5*SUSYc2XM4)/3 - SUSYc2XM5/4 + (7*SUSYc1XM2*SUSYc2XM5)/24 - (2*SUSYc1XM6*SUSYc2XM5)/3 - (7*SUSYc1XM1*SUSYc2XM6)/6 - (4*SUSYc1XM5*SUSYc2XM6)/3","{-1/256 + SUSYc2XM2/64 + SUSYc2XM4/24 - (7*SUSYc2XM6)/6, (-5*SUSYc2XM1)/384 + SUSYc2XM3/24 + (7*SUSYc2XM5)/24, -1/8*SUSYc2XM3, 1/24 - SUSYc2XM4/3 - (4*SUSYc2XM6)/3, SUSYc2XM1/8 - (2*SUSYc2XM5)/3, -1/12 + SUSYc2XM2/3, (2*SUSYc2XM3)/3, -5/3 + (4*SUSYc2XM2)/3, 1/192 - (5*SUSYc1XM2)/384 + SUSYc1XM6/8, SUSYc1XM1/64 + SUSYc1XM7/3 + (4*SUSYc1XM9)/3, 1/384 + SUSYc1XM2/24 - SUSYc1XM4/8 + (2*SUSYc1XM8)/3, SUSYc1XM1/24 - SUSYc1XM5/3, -1/4 + (7*SUSYc1XM2)/24 - (2*SUSYc1XM6)/3, (-7*SUSYc1XM1)/6 - (4*SUSYc1XM5)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM6","-6608.338492860171445790000929696183432578713993857124785980194451445165466923488983002132314641115135","-1/1024 - (5*SUSYc1XM2)/256 + (5*SUSYc1XM4)/96 + SUSYc1XM6/8 - (5*SUSYc1XM8)/12 - (5*SUSYc1XM1*SUSYc2XM1)/768 + (SUSYc1XM5*SUSYc2XM1)/8 + (5*SUSYc1XM7*SUSYc2XM1)/12 + (5*SUSYc1XM9*SUSYc2XM1)/3 + (29*SUSYc2XM2)/768 - (SUSYc1XM2*SUSYc2XM2)/32 - (SUSYc1XM4*SUSYc2XM2)/8 + (SUSYc1XM6*SUSYc2XM2)/4 + SUSYc1XM8*SUSYc2XM2 + (11*SUSYc1XM1*SUSYc2XM3)/96 - (SUSYc1XM5*SUSYc2XM3)/4 + (SUSYc1XM7*SUSYc2XM3)/3 - SUSYc2XM4/32 + (7*SUSYc1XM2*SUSYc2XM4)/24 - (5*SUSYc1XM4*SUSYc2XM4)/12 - (SUSYc1XM6*SUSYc2XM4)/3 + (7*SUSYc1XM1*SUSYc2XM5)/24 - SUSYc1XM5*SUSYc2XM5 - (21*SUSYc2XM6)/8 + (35*SUSYc1XM2*SUSYc2XM6)/12 - (5*SUSYc1XM4*SUSYc2XM6)/3","{(-5*SUSYc2XM1)/768 + (11*SUSYc2XM3)/96 + (7*SUSYc2XM5)/24, -5/256 - SUSYc2XM2/32 + (7*SUSYc2XM4)/24 + (35*SUSYc2XM6)/12, 5/96 - SUSYc2XM2/8 - (5*SUSYc2XM4)/12 - (5*SUSYc2XM6)/3, SUSYc2XM1/8 - SUSYc2XM3/4 - SUSYc2XM5, 1/8 + SUSYc2XM2/4 - SUSYc2XM4/3, (5*SUSYc2XM1)/12 + SUSYc2XM3/3, -5/12 + SUSYc2XM2, (5*SUSYc2XM1)/3, (-5*SUSYc1XM1)/768 + SUSYc1XM5/8 + (5*SUSYc1XM7)/12 + (5*SUSYc1XM9)/3, 29/768 - SUSYc1XM2/32 - SUSYc1XM4/8 + SUSYc1XM6/4 + SUSYc1XM8, (11*SUSYc1XM1)/96 - SUSYc1XM5/4 + SUSYc1XM7/3, -1/32 + (7*SUSYc1XM2)/24 - (5*SUSYc1XM4)/12 - SUSYc1XM6/3, (7*SUSYc1XM1)/24 - SUSYc1XM5, -21/8 + (35*SUSYc1XM2)/12 - (5*SUSYc1XM4)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM7","12319.337510100475080436806223688389882966825799590841910274547522347503951665301923717920208359030327","(-5*SUSYc1XM1)/128 + SUSYc1XM5/4 + SUSYc1XM7/3 + 2*SUSYc1XM9 + (5*SUSYc2XM1)/192 - (5*SUSYc1XM2*SUSYc2XM1)/48 + (SUSYc1XM6*SUSYc2XM1)/2 + (4*SUSYc1XM8*SUSYc2XM1)/3 + (SUSYc1XM1*SUSYc2XM2)/24 + (2*SUSYc1XM7*SUSYc2XM2)/3 + (3*SUSYc2XM3)/16 - (SUSYc1XM4*SUSYc2XM3)/2 + (7*SUSYc1XM1*SUSYc2XM4)/12 - (2*SUSYc1XM5*SUSYc2XM4)/3 + (7*SUSYc1XM2*SUSYc2XM5)/6 - (4*SUSYc1XM4*SUSYc2XM5)/3 + (14*SUSYc1XM1*SUSYc2XM6)/3","{-5/128 + SUSYc2XM2/24 + (7*SUSYc2XM4)/12 + (14*SUSYc2XM6)/3, (-5*SUSYc2XM1)/48 + (7*SUSYc2XM5)/6, -1/2*SUSYc2XM3 - (4*SUSYc2XM5)/3, 1/4 - (2*SUSYc2XM4)/3, SUSYc2XM1/2, 1/3 + (2*SUSYc2XM2)/3, (4*SUSYc2XM1)/3, 2, 5/192 - (5*SUSYc1XM2)/48 + SUSYc1XM6/2 + (4*SUSYc1XM8)/3, SUSYc1XM1/24 + (2*SUSYc1XM7)/3, 3/16 - SUSYc1XM4/2, (7*SUSYc1XM1)/12 - (2*SUSYc1XM5)/3, (7*SUSYc1XM2)/6 - (4*SUSYc1XM4)/3, (14*SUSYc1XM1)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM8","9544.738315400783493694205743294680526165166538015477373650400772812055438004703701801117808581952006","-25/768 - (5*SUSYc1XM2)/48 + (5*SUSYc1XM4)/24 + (2*SUSYc1XM6)/3 + (5*SUSYc1XM8)/3 - (5*SUSYc1XM1*SUSYc2XM1)/48 + (SUSYc1XM5*SUSYc2XM1)/3 + SUSYc1XM7*SUSYc2XM1 + (3*SUSYc2XM2)/16 - (7*SUSYc1XM2*SUSYc2XM2)/24 - (SUSYc1XM4*SUSYc2XM2)/3 + (SUSYc1XM6*SUSYc2XM2)/3 + (7*SUSYc1XM1*SUSYc2XM3)/24 - (SUSYc1XM5*SUSYc2XM3)/3 + (7*SUSYc2XM4)/8 - SUSYc1XM4*SUSYc2XM4 + (7*SUSYc1XM1*SUSYc2XM5)/3 + 7*SUSYc2XM6 - (7*SUSYc1XM2*SUSYc2XM6)/3","{(-5*SUSYc2XM1)/48 + (7*SUSYc2XM3)/24 + (7*SUSYc2XM5)/3, -5/48 - (7*SUSYc2XM2)/24 - (7*SUSYc2XM6)/3, 5/24 - SUSYc2XM2/3 - SUSYc2XM4, SUSYc2XM1/3 - SUSYc2XM3/3, 2/3 + SUSYc2XM2/3, SUSYc2XM1, 5/3, 0, (-5*SUSYc1XM1)/48 + SUSYc1XM5/3 + SUSYc1XM7, 3/16 - (7*SUSYc1XM2)/24 - SUSYc1XM4/3 + SUSYc1XM6/3, (7*SUSYc1XM1)/24 - SUSYc1XM5/3, 7/8 - SUSYc1XM4, (7*SUSYc1XM1)/3, 7 - (7*SUSYc1XM2)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc1XM9","-19784.977272322910829930353996182977196793032004468499203000018402082788677681410005771236576135689517","(-5*SUSYc1XM1)/24 + (2*SUSYc1XM5)/3 + (4*SUSYc1XM7)/3 - (5*SUSYc1XM2*SUSYc2XM1)/12 + (2*SUSYc1XM6*SUSYc2XM1)/3 - (SUSYc1XM1*SUSYc2XM2)/6 + (3*SUSYc2XM3)/4 - (2*SUSYc1XM2*SUSYc2XM3)/3 - (2*SUSYc1XM4*SUSYc2XM3)/3 + (2*SUSYc1XM1*SUSYc2XM4)/3 + 4*SUSYc2XM5 - 2*SUSYc1XM2*SUSYc2XM5 - (8*SUSYc1XM1*SUSYc2XM6)/3","{-5/24 - SUSYc2XM2/6 + (2*SUSYc2XM4)/3 - (8*SUSYc2XM6)/3, (-5*SUSYc2XM1)/12 - (2*SUSYc2XM3)/3 - 2*SUSYc2XM5, (-2*SUSYc2XM3)/3, 2/3, (2*SUSYc2XM1)/3, 4/3, 0, 0, (-5*SUSYc1XM2)/12 + (2*SUSYc1XM6)/3, -1/6*SUSYc1XM1, 3/4 - (2*SUSYc1XM2)/3 - (2*SUSYc1XM4)/3, (2*SUSYc1XM1)/3, 4 - 2*SUSYc1XM2, (-8*SUSYc1XM1)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc2XM1","-375.832006367064476039936379685640002820572724919206003896805401158955455540108052155992995992367965","-15/64 - (5*SUSYc1XM2)/16 + (5*SUSYc1XM4)/12 + SUSYc1XM6 - (25*SUSYc1XM1*SUSYc2XM1)/48 + (SUSYc1XM5*SUSYc2XM1)/3 + (3*SUSYc2XM2)/16 - (11*SUSYc1XM2*SUSYc2XM2)/12 - (SUSYc1XM4*SUSYc2XM2)/3 - (5*SUSYc1XM1*SUSYc2XM3)/12 + (7*SUSYc2XM4)/4 - (5*SUSYc1XM2*SUSYc2XM4)/3 - (7*SUSYc1XM1*SUSYc2XM5)/3 - 3*SUSYc2XM6","{(-25*SUSYc2XM1)/48 - (5*SUSYc2XM3)/12 - (7*SUSYc2XM5)/3, -5/16 - (11*SUSYc2XM2)/12 - (5*SUSYc2XM4)/3, 5/12 - SUSYc2XM2/3, SUSYc2XM1/3, 1, 0, 0, 0, (-25*SUSYc1XM1)/48 + SUSYc1XM5/3, 3/16 - (11*SUSYc1XM2)/12 - SUSYc1XM4/3, (-5*SUSYc1XM1)/12, 7/4 - (5*SUSYc1XM2)/3, (-7*SUSYc1XM1)/3, -3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11, 12, 13, 14}}",500,"SUSYc2XM2","372.935924083112824646957938921918433487910514820883804499743438621315066483556269891282871355005116","(-5*SUSYc1XM1)/8 + (2*SUSYc1XM5)/3 - (5*SUSYc2XM1)/12 - (5*SUSYc1XM2*SUSYc2XM1)/6 - SUSYc1XM1*SUSYc2XM2 + SUSYc2XM3/6 - (4*SUSYc1XM2*SUSYc2XM3)/3 - 2*SUSYc1XM1*SUSYc2XM4 - (8*SUSYc2XM5)/3","{-5/8 - SUSYc2XM2 - 2*SUSYc2XM4, (-5*SUSYc2XM1)/6 - (4*SUSYc2XM3)/3, 0, 2/3, 0, 0, 0, 0, -5/12 - (5*SUSYc1XM2)/6, -SUSYc1XM1, 1/6 - (4*SUSYc1XM2)/3, -2*SUSYc1XM1, -8/3, 0}"
