var,b_final_value
SUSYc1XM1,-3.44026806709242873655341525014360e+00
SUSYc1XM2,1.13879631193350306926139350347480e+01
SUSYc1XM4,6.78164292602809070514846158836880e+01
SUSYc1XM5,-2.41878836708129912290809396908750e+01
SUSYc1XM6,-9.36544310817596286039396982646960e+01
SUSYc1XM7,-9.68866987353649693125346529996940e+01
SUSYc1XM8,1.32711014412308119687578940390460e+02
SUSYc1XM9,2.69058972627351421125836646316570e+02
SUSYc1XM10,1.00471815048457259881901282006920e+02
SUSYc2XM1,1.72013403354621436827670762507180e+00
SUSYc2XM2,2.73040688169756586682497989368410e-01
SUSYc2XM3,-5.33000752657879040135009016175070e+00
SUSYc2XM4,-4.64249925738856328255132506465120e+00
SUSYc2XM5,6.75857137479417844099033989353450e+00
SUSYc2XM6,1.25461570413055599644062153857750e+01
SUSYc2XM7,4.88871112160697992427985254722640e+00
