var,b_final_value
SUSYc1XM1,-3.440268067092428736553415250153414062040062806116831975318077633449440903804924925234846368413396692710e+00
SUSYc1XM2,1.138796311933503069261393503485902674235227891472557907654387693569744454780983222873661140584045975800e+01
SUSYc1XM4,6.781642926028090705148461588691662062398350340671927134626734087377850140240255017684326050665614906930e+01
SUSYc1XM5,-2.418788367081299122908093969519770291909115071380620556946427433442244078867014419973879281241046092420e+01
SUSYc1XM6,-9.365443108175962860393969826303609376092529620493987793323047359207979745837266195231717735701859961630e+01
SUSYc1XM7,-9.688669873536496931253465300610739129395053613888363322136909267810190237918825580566224836788476803810e+01
SUSYc1XM8,1.327110144123081196875789404028117631617900503906177717339900026011570247198941052033796463746273543650e+02
SUSYc1XM9,2.690589726273514211258366463100664500338019452020819758613121412946746061091608609846172133368839615660e+02
SUSYc1XM10,1.004718150484572598819012819937984262723101332788764837567476081496141677201250264872150502345316684160e+02
SUSYc2XM1,1.720134033546214368276707625076707031020031403058415987659038816724720451902462462617423184206698346360e+00
SUSYc2XM2,2.730406881697565866824979893666171928534180374238766850495193817488934270130385221748256827313377844450e-01
SUSYc2XM3,-5.330007526578790401350090161831502879241066473434417650978768006989040078139726449113168082487669104820e+00
SUSYc2XM4,-4.642499257388563282551325064442215198845479400983753800908619068478902664047235071459476103788891907170e+00
SUSYc2XM5,6.758571374794178440990339893637512371140349466413677313613918334825170207146654558001927308050008354340e+00
SUSYc2XM6,1.254615704130555996440621538519685646439451347464566992820737880489895487825509117966569297380442891440e+01
SUSYc2XM7,4.888711121606979924279852546415080890996043605413054452873914725552093910822745944265865788804268719670e+00
