"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 12, 13}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM1","-666.6777637522485816058915070386372305704636596818104893261539412205845976842991102267347588664751865634350150571994092763973555485280269265371315319079439329857356304489694432953904555442701293847720538318612145120944110886051841377659059443005562630555620602779754797413179751357420740964461733190389542799377747603509592386592270020972231684383006726172050483374160685790399665732793275436650300653626554472723957509653873751794606355360978516299838729060439939616878523988699096537316842068141359010573736349939915176845477900650910700880496383216735386486688201391867777296330916476946526031646270273507548600270241747478777585472009325042636859633307887765535096023470019257006031272622665267775183250713750371161746417391467899604915397005726486068414045191657995894293094053783228660548440694112635923774975874601770031957940916338419744613679901423155003584399187512775538017088818236042020756437599590781836808923228867642552333904322812797995535682571802735625126625392922576303074346793783509745433406719293193964","SUSYc1XM1/16384 - SUSYc1XM3/4096 + SUSYc1XM5/1024 - SUSYc1XM7/256 + SUSYc1XM9/64 - SUSYc2XM1/16384 + (SUSYc1XM2*SUSYc2XM1)/4096 + (SUSYc1XM6*SUSYc2XM1)/256 - (SUSYc1XM8*SUSYc2XM1)/64 - (SUSYc1XM1*SUSYc2XM2)/4096 + (SUSYc1XM3*SUSYc2XM2)/1024 - (SUSYc1XM5*SUSYc2XM2)/256 + (SUSYc1XM7*SUSYc2XM2)/64 - (SUSYc1XM9*SUSYc2XM2)/16 + SUSYc2XM3/4096 - (SUSYc1XM2*SUSYc2XM3)/1024 - (SUSYc1XM6*SUSYc2XM3)/64 + (SUSYc1XM8*SUSYc2XM3)/16 + (SUSYc1XM1*SUSYc2XM4)/1024 - (SUSYc1XM3*SUSYc2XM4)/256 + (SUSYc1XM5*SUSYc2XM4)/64 - (SUSYc1XM7*SUSYc2XM4)/16 + (SUSYc1XM9*SUSYc2XM4)/4 - SUSYc2XM5/1024 + (SUSYc1XM2*SUSYc2XM5)/256 + (SUSYc1XM6*SUSYc2XM5)/16 - (SUSYc1XM8*SUSYc2XM5)/4","{1/16384 - SUSYc2XM2/4096 + SUSYc2XM4/1024, SUSYc2XM1/4096 - SUSYc2XM3/1024 + SUSYc2XM5/256, -1/4096 + SUSYc2XM2/1024 - SUSYc2XM4/256, 1/1024 - SUSYc2XM2/256 + SUSYc2XM4/64, SUSYc2XM1/256 - SUSYc2XM3/64 + SUSYc2XM5/16, -1/256 + SUSYc2XM2/64 - SUSYc2XM4/16, -1/64*SUSYc2XM1 + SUSYc2XM3/16 - SUSYc2XM5/4, 1/64 - SUSYc2XM2/16 + SUSYc2XM4/4, -1/16384 + SUSYc1XM2/4096 + SUSYc1XM6/256 - SUSYc1XM8/64, -1/4096*SUSYc1XM1 + SUSYc1XM3/1024 - SUSYc1XM5/256 + SUSYc1XM7/64 - SUSYc1XM9/16, 1/4096 - SUSYc1XM2/1024 - SUSYc1XM6/64 + SUSYc1XM8/16, SUSYc1XM1/1024 - SUSYc1XM3/256 + SUSYc1XM5/64 - SUSYc1XM7/16 + SUSYc1XM9/4, -1/1024 + SUSYc1XM2/256 + SUSYc1XM6/16 - SUSYc1XM8/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM2","-8.7190564714051080946048726736044526424789443780022399536812984627049506061993446388975939197329205481903167847664368373808620801520649948394941636045375005858115955281466859290763209948266783308203023828887031096930412864166135438063470173634566497783760830348423238193191891527911037128479274597752527655587926458668736556020491359225065266024174983681464467414918050202679904807981703675919259947839104739828062098096501472871432203758614057841882402515283016424071978655271830777245514677663279579676666679077878811833863565053136090807826928916614364257766149460359077036640313108963848400988497031300691262862223976041993680536054503855557994821340791224436917666938343589883651678665395268541237841030473110617838719156399488209326123589663264940331756903778211938267319239709078880734734298970222905577557741264519519748178848334899939677106910962235653530723662347643443911670538342503185292133771659667462146583643568008578296384986570291986819997861661555003796112092849659370223902221719657102010744517257952494","1/4096 - SUSYc1XM2/2048 + SUSYc1XM6/128 - SUSYc1XM8/16 + (SUSYc1XM1*SUSYc2XM1)/1024 - (SUSYc1XM3*SUSYc2XM1)/512 + (SUSYc1XM7*SUSYc2XM1)/32 - (SUSYc1XM9*SUSYc2XM1)/4 - (3*SUSYc2XM2)/2048 + (SUSYc1XM2*SUSYc2XM2)/256 + (SUSYc1XM8*SUSYc2XM2)/8 - (3*SUSYc1XM1*SUSYc2XM3)/512 + (SUSYc1XM3*SUSYc2XM3)/64 - (SUSYc1XM5*SUSYc2XM3)/32 + (SUSYc1XM9*SUSYc2XM3)/2 + SUSYc2XM4/128 - (3*SUSYc1XM2*SUSYc2XM4)/128 - (SUSYc1XM6*SUSYc2XM4)/8 + (SUSYc1XM1*SUSYc2XM5)/32 - (3*SUSYc1XM3*SUSYc2XM5)/32 + (SUSYc1XM5*SUSYc2XM5)/4 - (SUSYc1XM7*SUSYc2XM5)/2","{SUSYc2XM1/1024 - (3*SUSYc2XM3)/512 + SUSYc2XM5/32, -1/2048 + SUSYc2XM2/256 - (3*SUSYc2XM4)/128, -1/512*SUSYc2XM1 + SUSYc2XM3/64 - (3*SUSYc2XM5)/32, -1/32*SUSYc2XM3 + SUSYc2XM5/4, 1/128 - SUSYc2XM4/8, SUSYc2XM1/32 - SUSYc2XM5/2, -1/16 + SUSYc2XM2/8, -1/4*SUSYc2XM1 + SUSYc2XM3/2, SUSYc1XM1/1024 - SUSYc1XM3/512 + SUSYc1XM7/32 - SUSYc1XM9/4, -3/2048 + SUSYc1XM2/256 + SUSYc1XM8/8, (-3*SUSYc1XM1)/512 + SUSYc1XM3/64 - SUSYc1XM5/32 + SUSYc1XM9/2, 1/128 - (3*SUSYc1XM2)/128 - SUSYc1XM6/8, SUSYc1XM1/32 - (3*SUSYc1XM3)/32 + SUSYc1XM5/4 - SUSYc1XM7/2}"
"{{1, 2, 3, 4, 5, 6, 12, 13}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM3","19663.5408247036530555121250928292548186887114749285525327705801877284021071236743844879981694020466107087081218935063689068566332587606989242017661991644874983767590966937122769094360426002477661250723019068015859411463533864762231678707156840885805708289328273917935710764630086121652612921240831860863027621705275399913247708920995209897255450013657770051565047036623911069450075936535977166788638758656207440197157953301685472813516074754768659607194479899372732794236884661883389094120451711128010270529234382937821829886052515617264695309509937700374772883666640130215185285334275176055228823182271563010664394792993883143103614122183683840070177953709005004530035253010137860046210040672963003555721812902608780559577517595187147697914279098028869106992035381490971423719442946861688329862134842494703063095251052419867683713168062234823724735873394281063432429851221405956751712710277172397666646492195347693472110210847880495269570044653919462453966129348302293355749846679922425575557567005830271680459702545249133556","SUSYc1XM1/2048 - (5*SUSYc1XM3)/1024 + SUSYc1XM5/64 + SUSYc1XM7/64 - (5*SUSYc1XM9)/8 + (3*SUSYc2XM1)/2048 + (SUSYc1XM2*SUSYc2XM1)/1024 + (3*SUSYc1XM6*SUSYc2XM1)/64 + (SUSYc1XM8*SUSYc2XM1)/8 + (7*SUSYc1XM1*SUSYc2XM2)/1024 - (3*SUSYc1XM5*SUSYc2XM2)/64 + (SUSYc1XM7*SUSYc2XM2)/8 + (3*SUSYc1XM9*SUSYc2XM2)/4 - (19*SUSYc2XM3)/1024 + (SUSYc1XM2*SUSYc2XM3)/32 - (SUSYc1XM6*SUSYc2XM3)/8 + (SUSYc1XM8*SUSYc2XM3)/4 - (5*SUSYc1XM1*SUSYc2XM4)/64 + (9*SUSYc1XM3*SUSYc2XM4)/64 - (SUSYc1XM5*SUSYc2XM4)/8 - (SUSYc1XM7*SUSYc2XM4)/4 + (9*SUSYc2XM5)/64 - (21*SUSYc1XM2*SUSYc2XM5)/64 - (3*SUSYc1XM6*SUSYc2XM5)/4","{1/2048 + (7*SUSYc2XM2)/1024 - (5*SUSYc2XM4)/64, SUSYc2XM1/1024 + SUSYc2XM3/32 - (21*SUSYc2XM5)/64, -5/1024 + (9*SUSYc2XM4)/64, 1/64 - (3*SUSYc2XM2)/64 - SUSYc2XM4/8, (3*SUSYc2XM1)/64 - SUSYc2XM3/8 - (3*SUSYc2XM5)/4, 1/64 + SUSYc2XM2/8 - SUSYc2XM4/4, SUSYc2XM1/8 + SUSYc2XM3/4, -5/8 + (3*SUSYc2XM2)/4, 3/2048 + SUSYc1XM2/1024 + (3*SUSYc1XM6)/64 + SUSYc1XM8/8, (7*SUSYc1XM1)/1024 - (3*SUSYc1XM5)/64 + SUSYc1XM7/8 + (3*SUSYc1XM9)/4, -19/1024 + SUSYc1XM2/32 - SUSYc1XM6/8 + SUSYc1XM8/4, (-5*SUSYc1XM1)/64 + (9*SUSYc1XM3)/64 - SUSYc1XM5/8 - SUSYc1XM7/4, 9/64 - (21*SUSYc1XM2)/64 - (3*SUSYc1XM6)/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM5","306298.3742474140211105920078834842614327204283041432664528649240443708308315049087810825356695310368940921275477322766503067170867258045448684044499388217092559437051777481259354847830518781059772824661260458607224406949264879436449620028994103398916831221863882598891473995255697785687794667980438738946443592722883694562405238486712768857320180944417200294409416868445029833672667286319488136549932881222627920261504143106811076090549536389856823937776140923737937629986118420111212054285302400844406030130183515045619820014560473255106729091866341434711782012150900235784693053635119431759443019112252625869737140898229567511610191021131343486503901920503218399666793240358410722682220753800767629317357388575247590758798893021480183325865900160776163422940533289097675553289502339501748131414806034727156860572028189806211331044864626888155736097842284930886210008859236255884746873904935196300958217392652956192223662821950394009131031445872917853352848199261253012540986326651001638200692853863326357221890426215294187226","1/256 - (5*SUSYc1XM2)/512 + (3*SUSYc1XM6)/32 + (3*SUSYc1XM1*SUSYc2XM1)/256 - (SUSYc1XM3*SUSYc2XM1)/32 + (SUSYc1XM7*SUSYc2XM1)/4 + SUSYc1XM9*SUSYc2XM1 + SUSYc2XM2/512 + (SUSYc1XM2*SUSYc2XM2)/32 + (SUSYc1XM8*SUSYc2XM2)/2 + (SUSYc1XM1*SUSYc2XM3)/32 + (SUSYc1XM3*SUSYc2XM3)/16 - (SUSYc1XM5*SUSYc2XM3)/4 - (3*SUSYc2XM4)/16 + (7*SUSYc1XM2*SUSYc2XM4)/32 - (SUSYc1XM6*SUSYc2XM4)/2 - (7*SUSYc1XM1*SUSYc2XM5)/8 + (5*SUSYc1XM3*SUSYc2XM5)/4 - SUSYc1XM5*SUSYc2XM5","{(3*SUSYc2XM1)/256 + SUSYc2XM3/32 - (7*SUSYc2XM5)/8, -5/512 + SUSYc2XM2/32 + (7*SUSYc2XM4)/32, -1/32*SUSYc2XM1 + SUSYc2XM3/16 + (5*SUSYc2XM5)/4, -1/4*SUSYc2XM3 - SUSYc2XM5, 3/32 - SUSYc2XM4/2, SUSYc2XM1/4, SUSYc2XM2/2, SUSYc2XM1, (3*SUSYc1XM1)/256 - SUSYc1XM3/32 + SUSYc1XM7/4 + SUSYc1XM9, 1/512 + SUSYc1XM2/32 + SUSYc1XM8/2, SUSYc1XM1/32 + SUSYc1XM3/16 - SUSYc1XM5/4, -3/16 + (7*SUSYc1XM2)/32 - SUSYc1XM6/2, (-7*SUSYc1XM1)/8 + (5*SUSYc1XM3)/4 - SUSYc1XM5}"
"{{1, 2, 3, 4, 5, 6, 12, 13}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM6","701.1219571969477309998949180201579443842045500749713488168269843909955301375968386755195599134782093848174591926090759654389165777706618459393848868013634133218771124999782373109773747743996089607731702098492476337398403930238783314116787705411829778686741347853018309413385205602202816450000506404795276170617244427545734622240280887845670470415808267352062243923329371207206222174772460070628835396788093078561407250626980338121242915427359781493722286179626314098320137958580399085517099432732983937221016568065874361268011137588670686689793728530233447437187644987073109342570798283984187301002263766423669567780470190622689910824619375919149494371352179387052176067454072841919975556950546779449518350323762471391356401234622316284837126763120650905593044601016200460185804521525357509269284572543764477904769144013214174750372300582268510237611039490570703347536829462152952191066482596129850521365529064488854403113280539127293232448498920397489776561410159089725156527452203409578218887881886073007224763026599805806","(-5*SUSYc1XM1)/1024 - (5*SUSYc1XM3)/128 + (3*SUSYc1XM5)/32 + (5*SUSYc1XM7)/16 + (5*SUSYc1XM9)/4 + (29*SUSYc2XM1)/1024 - (3*SUSYc1XM2*SUSYc2XM1)/128 + (3*SUSYc1XM6*SUSYc2XM1)/16 + (3*SUSYc1XM8*SUSYc2XM1)/4 + (11*SUSYc1XM1*SUSYc2XM2)/128 - (3*SUSYc1XM3*SUSYc2XM2)/32 - (3*SUSYc1XM5*SUSYc2XM2)/16 + (SUSYc1XM7*SUSYc2XM2)/4 - (3*SUSYc2XM3)/128 + (7*SUSYc1XM2*SUSYc2XM3)/32 - (SUSYc1XM6*SUSYc2XM3)/4 + (7*SUSYc1XM1*SUSYc2XM4)/32 + (5*SUSYc1XM3*SUSYc2XM4)/16 - (3*SUSYc1XM5*SUSYc2XM4)/4 - (63*SUSYc2XM5)/32 + (35*SUSYc1XM2*SUSYc2XM5)/16","{-5/1024 + (11*SUSYc2XM2)/128 + (7*SUSYc2XM4)/32, (-3*SUSYc2XM1)/128 + (7*SUSYc2XM3)/32 + (35*SUSYc2XM5)/16, -5/128 - (3*SUSYc2XM2)/32 + (5*SUSYc2XM4)/16, 3/32 - (3*SUSYc2XM2)/16 - (3*SUSYc2XM4)/4, (3*SUSYc2XM1)/16 - SUSYc2XM3/4, 5/16 + SUSYc2XM2/4, (3*SUSYc2XM1)/4, 5/4, 29/1024 - (3*SUSYc1XM2)/128 + (3*SUSYc1XM6)/16 + (3*SUSYc1XM8)/4, (11*SUSYc1XM1)/128 - (3*SUSYc1XM3)/32 - (3*SUSYc1XM5)/16 + SUSYc1XM7/4, -3/128 + (7*SUSYc1XM2)/32 - SUSYc1XM6/4, (7*SUSYc1XM1)/32 + (5*SUSYc1XM3)/16 - (3*SUSYc1XM5)/4, -63/32 + (35*SUSYc1XM2)/16}"
"{{1, 2, 3, 4, 5, 6, 12, 13}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM7","646043.6760829758977512797746875445119254691697834661765007872723498714583794251477659876577009475212477471088560095052691492830177674660492573853192998006619427397505705608654346392535234407036318039649792882147191826393634965577987446257065539313815380255523554821917181476493406883600119928114129249371464831429100140921435253511483627870179588291200828507812625657686550259964140360995273409124446717956829467901548072617913860385538049948711462636687005233698133449088953749758470973525915130764677586562857100698958557665494420121813876560092874829291772134626534467195871322838426453045366249235998746013809397170694775426198979691143887348280608359484436772673457469017700399590112613384738149652071322498455651571750202842865884666997111087083056567110304926994461165106285708504042131541958306471869624583805539916119546400833256941060506447464105289503801004997717025819653431857260454805336277594607738092469712077740504478205926302886035116958259242077976343823239300502815982913550177570384430832176327302335118486","5/256 - (5*SUSYc1XM2)/64 + (3*SUSYc1XM6)/8 + SUSYc1XM8 + (SUSYc1XM1*SUSYc2XM1)/32 - (3*SUSYc1XM3*SUSYc2XM1)/16 + (SUSYc1XM7*SUSYc2XM1)/2 + (9*SUSYc2XM2)/64 + (7*SUSYc1XM1*SUSYc2XM3)/16 - (SUSYc1XM3*SUSYc2XM3)/4 - (SUSYc1XM5*SUSYc2XM3)/2 + (7*SUSYc1XM2*SUSYc2XM4)/8 + (7*SUSYc1XM1*SUSYc2XM5)/2 - (3*SUSYc1XM3*SUSYc2XM5)/2","{SUSYc2XM1/32 + (7*SUSYc2XM3)/16 + (7*SUSYc2XM5)/2, -5/64 + (7*SUSYc2XM4)/8, (-3*SUSYc2XM1)/16 - SUSYc2XM3/4 - (3*SUSYc2XM5)/2, -1/2*SUSYc2XM3, 3/8, SUSYc2XM1/2, 1, 0, SUSYc1XM1/32 - (3*SUSYc1XM3)/16 + SUSYc1XM7/2, 9/64, (7*SUSYc1XM1)/16 - SUSYc1XM3/4 - SUSYc1XM5/2, (7*SUSYc1XM2)/8, (7*SUSYc1XM1)/2 - (3*SUSYc1XM3)/2}"
"{{1, 2, 3, 4, 5, 6, 12, 13}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM8","876.8281516526728067209650836555577264262318052425038345123702530910272175023784664723287820725525492803721352405561178467936624727727317109999858262262618804783667851942988552331468687887941899387116593507683983062331645194017134209732750966021608830072410591009535061129835021841918107508924135949152025322765421785031696807565454255715517748537222479245355822229462333447184981237610242493234742676383755354101932798507699271164906310874340190777577095486505647741660222493617007150106951265945922590800326019005071558788758240240988953972218176747592865887354154938449279991025910272462475718915367839957055347580781313030455974878522795854839968195191496410625689655206292396882174593306514325353143751551553765023204101560844533581921010108177220477408475022983848607462152422276194800459049589803415833575744545563813509044948319507106633173139631242008991622485913842790915509425138533558897867857711122685775741599072178347450203193522168948026299024425437483825976832036332302882324654085213300657795817653071361171","(-5*SUSYc1XM1)/64 - (5*SUSYc1XM3)/32 + SUSYc1XM5/4 + (3*SUSYc1XM7)/4 + (9*SUSYc2XM1)/64 - (7*SUSYc1XM2*SUSYc2XM1)/32 + (SUSYc1XM6*SUSYc2XM1)/4 + (7*SUSYc1XM1*SUSYc2XM2)/32 - (SUSYc1XM3*SUSYc2XM2)/2 - (SUSYc1XM5*SUSYc2XM2)/4 + (21*SUSYc2XM3)/32 + (7*SUSYc1XM1*SUSYc2XM4)/4 - (5*SUSYc1XM3*SUSYc2XM4)/4 + (21*SUSYc2XM5)/4 - (7*SUSYc1XM2*SUSYc2XM5)/4","{-5/64 + (7*SUSYc2XM2)/32 + (7*SUSYc2XM4)/4, (-7*SUSYc2XM1)/32 - (7*SUSYc2XM5)/4, -5/32 - SUSYc2XM2/2 - (5*SUSYc2XM4)/4, 1/4 - SUSYc2XM2/4, SUSYc2XM1/4, 3/4, 0, 0, 9/64 - (7*SUSYc1XM2)/32 + SUSYc1XM6/4, (7*SUSYc1XM1)/32 - SUSYc1XM3/2 - SUSYc1XM5/4, 21/32, (7*SUSYc1XM1)/4 - (5*SUSYc1XM3)/4, 21/4 - (7*SUSYc1XM2)/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM9","142677.2638489948053686241538302335465455846886519405273566312011966424637881574516462967664155304197696165483629238098973522809138085411664432901896907930414230678453196121175916271980102319045421821232560374612299461189597719529321377616004005819188755937777263596555306405594988938082568611781498102091921344693866506406786464186932774193820798232940691329740112146575298868424944476867703984535157420343940875399446223475061511966736566072183942880560261101735974643020050762549605591356509860055122271757869233866592682657660170096596452242035219099127815154812410660125691337348758205158555127955241447243690665610584686722200380379417028238424556142815558620642029061936312977167618642441590189419233376822842733206946220123302774528513756925864843377174500396883699277944278509929574865410687631866239709439260706121397437817981736998817931096213595596865449629152633244858541758163865237801127008299440796400266801665217591117274359318024513469125245641619122334184551014046500610530879290538111728569333686113033136093","(-5*SUSYc1XM2)/16 + SUSYc1XM6/2 - (SUSYc1XM1*SUSYc2XM1)/8 - (SUSYc1XM3*SUSYc2XM1)/2 + (9*SUSYc2XM2)/16 - (SUSYc1XM2*SUSYc2XM2)/2 + (SUSYc1XM1*SUSYc2XM3)/2 - SUSYc1XM3*SUSYc2XM3 + 3*SUSYc2XM4 - (3*SUSYc1XM2*SUSYc2XM4)/2 - 2*SUSYc1XM1*SUSYc2XM5","{-1/8*SUSYc2XM1 + SUSYc2XM3/2 - 2*SUSYc2XM5, -5/16 - SUSYc2XM2/2 - (3*SUSYc2XM4)/2, -1/2*SUSYc2XM1 - SUSYc2XM3, 0, 1/2, 0, 0, 0, -1/8*SUSYc1XM1 - SUSYc1XM3/2, 9/16 - SUSYc1XM2/2, SUSYc1XM1/2 - SUSYc1XM3, 3 - (3*SUSYc1XM2)/2, -2*SUSYc1XM1}"
"{{1, 2, 3, 4, 5, 6, 12, 13}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM1","0.006658251349148963534904223182338342278195809086293595692364732350758610579466136040855319885111938061009034319645565838413329116816155922278919144766359791441378269381665977234273326562077630863232299116728707256646653163110482659543566580333757833337236166785287844790785081445244457867703991423372567962664856210575543195536201258333901062980403570323029002449641147423979943967596526199018039217593268363437450579232425107676381321658710977990323743626396377012711439321945792239010524088481540634424180996394910610728674039054642052829782993004123189201292083512066637779854988616791561898776216410452916016214504848726655128320559502558211577998473265932105761408201155420361876357359916066510995042825022269704785043488073976294923820343589164104842711499479753657585643226993719632906441646758155426498552476106201917476454980305184676820794085389300215063951250766532281025329094162521245386255975446910208535393732058553140034259368767879732140954308164137507597523575354578184460807627010584726004403157591638","(-25*SUSYc1XM1)/64 - (5*SUSYc1XM3)/16 + SUSYc1XM5/4 + (9*SUSYc2XM1)/64 - (11*SUSYc1XM2*SUSYc2XM1)/16 - (5*SUSYc1XM1*SUSYc2XM2)/16 - (3*SUSYc1XM3*SUSYc2XM2)/4 + (21*SUSYc2XM3)/16 - (5*SUSYc1XM2*SUSYc2XM3)/4 - (7*SUSYc1XM1*SUSYc2XM4)/4 - (9*SUSYc2XM5)/4","{-25/64 - (5*SUSYc2XM2)/16 - (7*SUSYc2XM4)/4, (-11*SUSYc2XM1)/16 - (5*SUSYc2XM3)/4, -5/16 - (3*SUSYc2XM2)/4, 1/4, 0, 0, 0, 0, 9/64 - (11*SUSYc1XM2)/16, (-5*SUSYc1XM1)/16 - (3*SUSYc1XM3)/4, 21/16 - (5*SUSYc1XM2)/4, (-7*SUSYc1XM1)/4, -9/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM2","5.1989575704357180959291850587910962642940241546529362066987309418046105586296854079636511978369938585892379756210690218676996761809670735850833390233001353349862095181116019689892902237063049529596229615626618544729242040400978191609220051285925662825354973891663396226426409685404135141187354084703803389855627676820544873880273879996806220592006106139371611012214858736025875255476900608140713114586904416961087451145404666603961310269592339755411068387469765958298486828473478243222040682892637642422097380033308472722373933891749122755006598166858474380273605085046885292221539586991931280438605727716262225539268824735437428229127050158543968346371596426177173080703423261087920442365426432528133812063379320274923651168542103303596853174663516950537746651083046263142039921048599103477323429529798568086449962555153088008173013199074624387805828358606046314370933938974817504204065918926195485611648943570286705453586300576487390369156930008016068190895495725556191364625505769819475935643787443434842711307382038834","-5/16 - (5*SUSYc1XM2)/8 - (3*SUSYc1XM1*SUSYc2XM1)/4 - (SUSYc1XM3*SUSYc2XM1)/2 + SUSYc2XM2/8 - SUSYc1XM2*SUSYc2XM2 - (3*SUSYc1XM1*SUSYc2XM3)/2 - 2*SUSYc2XM4","{(-3*SUSYc2XM1)/4 - (3*SUSYc2XM3)/2, -5/8 - SUSYc2XM2, -1/2*SUSYc2XM1, 0, 0, 0, 0, 0, (-3*SUSYc1XM1)/4 - SUSYc1XM3/2, 1/8 - SUSYc1XM2, (-3*SUSYc1XM1)/2, -2, 0}"
