"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 12}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM1","-745.4548615947729370083301652869287577719876556932327395031651352946512778733622864854645987646721647008272655684354658913231315465868508139368975465569530805764847902332726249143640399913158021437783206166321204123542479941576962664525348645775987127850112973594867585808396230884983774679262832943675449733854376217790607380981387842030016174454707200970540066321394255640794294998977260937366919571699493620129903719823172821892935978987639603891074900316135209052630785912378837128436727113855010668608611329623275777224090731774407797060859871243248223891537068696803701189425622623189858267265399418787895480449870027739554544537153046853431714303775248190562512122241238056573243749262120715089529295702323012937417999577877304746308115069912064493479408999107639186215953877235582445793266672611878241312337657369644533661040528955801436345677776629543870760281553290013726251812714554334066878189065613460077244763690811933933746296433654200758357361602176176576139054123758833145368356109675481731337261175565433114","1/12288 - SUSYc1XM2/3072 + SUSYc1XM4/768 - SUSYc1XM6/192 + SUSYc1XM8/48 + (SUSYc1XM1*SUSYc2XM1)/3072 + (SUSYc1XM5*SUSYc2XM1)/192 - (SUSYc1XM7*SUSYc2XM1)/48 - SUSYc2XM2/3072 + (SUSYc1XM2*SUSYc2XM2)/768 - (SUSYc1XM4*SUSYc2XM2)/192 + (SUSYc1XM6*SUSYc2XM2)/48 - (SUSYc1XM8*SUSYc2XM2)/12 - (SUSYc1XM1*SUSYc2XM3)/768 - (SUSYc1XM5*SUSYc2XM3)/48 + (SUSYc1XM7*SUSYc2XM3)/12 + SUSYc2XM4/768 - (SUSYc1XM2*SUSYc2XM4)/192 + (SUSYc1XM4*SUSYc2XM4)/48 - (SUSYc1XM6*SUSYc2XM4)/12 + (SUSYc1XM8*SUSYc2XM4)/3 + (SUSYc1XM1*SUSYc2XM5)/192 + (SUSYc1XM5*SUSYc2XM5)/12 - (SUSYc1XM7*SUSYc2XM5)/3","{SUSYc2XM1/3072 - SUSYc2XM3/768 + SUSYc2XM5/192, -1/3072 + SUSYc2XM2/768 - SUSYc2XM4/192, 1/768 - SUSYc2XM2/192 + SUSYc2XM4/48, SUSYc2XM1/192 - SUSYc2XM3/48 + SUSYc2XM5/12, -1/192 + SUSYc2XM2/48 - SUSYc2XM4/12, -1/48*SUSYc2XM1 + SUSYc2XM3/12 - SUSYc2XM5/3, 1/48 - SUSYc2XM2/12 + SUSYc2XM4/3, SUSYc1XM1/3072 + SUSYc1XM5/192 - SUSYc1XM7/48, -1/3072 + SUSYc1XM2/768 - SUSYc1XM4/192 + SUSYc1XM6/48 - SUSYc1XM8/12, -1/768*SUSYc1XM1 - SUSYc1XM5/48 + SUSYc1XM7/12, 1/768 - SUSYc1XM2/192 + SUSYc1XM4/48 - SUSYc1XM6/12 + SUSYc1XM8/3, SUSYc1XM1/192 + SUSYc1XM5/12 - SUSYc1XM7/3}"
"{{1, 2, 3, 4, 5, 6, 12}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM2","-5121.6159256565861595422653154552236734251943048339316598171435766369061127048376518604333943643804227249147074957566921640950912506813823638177373319020233709866178665707560463779968652187701717747699653506964629356983931105519791985713653044826089487403855954709223377308387715612492143812132411218524497644899215864721895914530248526336083391568768551951165864001397171670638093610534690470535087711926544154768096314363157550825361989871469582111883767349847680807876227141648088014532927960474309137171697400498004449506717260140593522743037860483430482951753284923058005654924762403357167502861390267082128957042118182495444699055895800513093857963974045169321029517749701041167689482821886327359480539972665145291429975355727976159759318294940113961660635468202632004439806229013349228437876623151585402972116292059196120499801846321048415246780805815353309885260365829461588078500172101054499804113293739074828891128568100947092511431986354357278946344640293550679711590142744341872545955751595222784850872717858241427","-1/1536*SUSYc1XM1 + SUSYc1XM5/96 - SUSYc1XM7/12 + SUSYc2XM1/768 - (SUSYc1XM2*SUSYc2XM1)/384 + (SUSYc1XM6*SUSYc2XM1)/24 - (SUSYc1XM8*SUSYc2XM1)/3 + (SUSYc1XM1*SUSYc2XM2)/192 + (SUSYc1XM7*SUSYc2XM2)/6 - SUSYc2XM3/128 + (SUSYc1XM2*SUSYc2XM3)/48 - (SUSYc1XM4*SUSYc2XM3)/24 + (2*SUSYc1XM8*SUSYc2XM3)/3 - (SUSYc1XM1*SUSYc2XM4)/32 - (SUSYc1XM5*SUSYc2XM4)/6 + SUSYc2XM5/24 - (SUSYc1XM2*SUSYc2XM5)/8 + (SUSYc1XM4*SUSYc2XM5)/3 - (2*SUSYc1XM6*SUSYc2XM5)/3","{-1/1536 + SUSYc2XM2/192 - SUSYc2XM4/32, -1/384*SUSYc2XM1 + SUSYc2XM3/48 - SUSYc2XM5/8, -1/24*SUSYc2XM3 + SUSYc2XM5/3, 1/96 - SUSYc2XM4/6, SUSYc2XM1/24 - (2*SUSYc2XM5)/3, -1/12 + SUSYc2XM2/6, -1/3*SUSYc2XM1 + (2*SUSYc2XM3)/3, 1/768 - SUSYc1XM2/384 + SUSYc1XM6/24 - SUSYc1XM8/3, SUSYc1XM1/192 + SUSYc1XM7/6, -1/128 + SUSYc1XM2/48 - SUSYc1XM4/24 + (2*SUSYc1XM8)/3, -1/32*SUSYc1XM1 - SUSYc1XM5/6, 1/24 - SUSYc1XM2/8 + SUSYc1XM4/3 - (2*SUSYc1XM6)/3}"
"{{1, 2, 3, 4, 5, 6, 12}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM4","-84017.3924806676692359015325646040399351345083738354850825112100885904976704968631712115364816915624843406331161200366777173242394832144482354017282921214284761988603335300925234694348551303005968261763089038224645244673272585073312159885968957963084038406216713994558754157174152791969083073211621494240385326692964255348026578510810794103993382618316794339069789012164314669008330213453081015050412530569091677326694776699863184971698697613142277856320665102346305203925505920212860541176684125233034549558842153259220619139253775384827731720969247181883764166806035056335927375625954961569409983377548990627521447556056864409706876079826410549683341908411975405796236609656059805298481604971874612221564780451934289152819598545687412291059186344520302686979611353673146093932805331279686002134672282646179735967518073859848734066181810024036545994742051328046682296450942516148955303587285636507339040302937137112746879123684243892721097445851881780905204436938513972060765185071065106959529063284961092585140049783202762129","1/1536 - (5*SUSYc1XM2)/768 + SUSYc1XM4/48 + SUSYc1XM6/48 - (5*SUSYc1XM8)/6 + (SUSYc1XM1*SUSYc2XM1)/768 + (SUSYc1XM5*SUSYc2XM1)/16 + (SUSYc1XM7*SUSYc2XM1)/6 + (7*SUSYc2XM2)/768 - (SUSYc1XM4*SUSYc2XM2)/16 + (SUSYc1XM6*SUSYc2XM2)/6 + SUSYc1XM8*SUSYc2XM2 + (SUSYc1XM1*SUSYc2XM3)/24 - (SUSYc1XM5*SUSYc2XM3)/6 + (SUSYc1XM7*SUSYc2XM3)/3 - (5*SUSYc2XM4)/48 + (3*SUSYc1XM2*SUSYc2XM4)/16 - (SUSYc1XM4*SUSYc2XM4)/6 - (SUSYc1XM6*SUSYc2XM4)/3 - (7*SUSYc1XM1*SUSYc2XM5)/16 - SUSYc1XM5*SUSYc2XM5","{SUSYc2XM1/768 + SUSYc2XM3/24 - (7*SUSYc2XM5)/16, -5/768 + (3*SUSYc2XM4)/16, 1/48 - SUSYc2XM2/16 - SUSYc2XM4/6, SUSYc2XM1/16 - SUSYc2XM3/6 - SUSYc2XM5, 1/48 + SUSYc2XM2/6 - SUSYc2XM4/3, SUSYc2XM1/6 + SUSYc2XM3/3, -5/6 + SUSYc2XM2, SUSYc1XM1/768 + SUSYc1XM5/16 + SUSYc1XM7/6, 7/768 - SUSYc1XM4/16 + SUSYc1XM6/6 + SUSYc1XM8, SUSYc1XM1/24 - SUSYc1XM5/6 + SUSYc1XM7/3, -5/48 + (3*SUSYc1XM2)/16 - SUSYc1XM4/6 - SUSYc1XM6/3, (-7*SUSYc1XM1)/16 - SUSYc1XM5}"
"{{1, 2, 3, 4, 5, 6, 12}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM5","66219.637707055774941947691412697647385850287498667460025270832041998223256519496694359512165783858946080374124163760827552371602829204123890563156254614546790796227568348071725058336725359370638737636467921459434131384469036508842787060091266059318798247153214609332230889796319982793415806002961332008067745068281420402735736620752935999744635203175903254888326715325260844248181141935290366258629286356100321961215681614635426572400647309105518853068354552034698909468754363471750266839394746421678289849103666047507456200366519521616553792168749581239104788183528552300576337712043230058346016573733818503579282192422365856418349551796771073445569732278005502260366423602999024807414381902551691239528601426017075860852194131338509866041019442124976334288943483750800389616033024898207465445305524674631032573146860260441882947236762251538237618968244248733296363478989551103466834232758062543309856564636357108824889602397196126164812350899542325946814905698247248632766070790422626626467735589876659213986570409036953002","(-5*SUSYc1XM1)/384 + SUSYc1XM5/8 + SUSYc2XM1/64 - (SUSYc1XM2*SUSYc2XM1)/24 + (SUSYc1XM6*SUSYc2XM1)/3 + (4*SUSYc1XM8*SUSYc2XM1)/3 + (SUSYc1XM1*SUSYc2XM2)/24 + (2*SUSYc1XM7*SUSYc2XM2)/3 + SUSYc2XM3/24 + (SUSYc1XM2*SUSYc2XM3)/12 - (SUSYc1XM4*SUSYc2XM3)/3 + (7*SUSYc1XM1*SUSYc2XM4)/24 - (2*SUSYc1XM5*SUSYc2XM4)/3 - (7*SUSYc2XM5)/6 + (5*SUSYc1XM2*SUSYc2XM5)/3 - (4*SUSYc1XM4*SUSYc2XM5)/3","{-5/384 + SUSYc2XM2/24 + (7*SUSYc2XM4)/24, -1/24*SUSYc2XM1 + SUSYc2XM3/12 + (5*SUSYc2XM5)/3, -1/3*SUSYc2XM3 - (4*SUSYc2XM5)/3, 1/8 - (2*SUSYc2XM4)/3, SUSYc2XM1/3, (2*SUSYc2XM2)/3, (4*SUSYc2XM1)/3, 1/64 - SUSYc1XM2/24 + SUSYc1XM6/3 + (4*SUSYc1XM8)/3, SUSYc1XM1/24 + (2*SUSYc1XM7)/3, 1/24 + SUSYc1XM2/12 - SUSYc1XM4/3, (7*SUSYc1XM1)/24 - (2*SUSYc1XM5)/3, -7/6 + (5*SUSYc1XM2)/3 - (4*SUSYc1XM4)/3}"
"{{1, 2, 3, 4, 5, 6, 12}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM6","-204436.705118884189243220738494585435078843820443455661968458795026837370225243320749807730729704635971828166255473678359135573116744701083693361177944307287601489903107362220656865697466561962909099591006048709765350185567555470600096295941939020917644227498698149255337767610784286723232512012473049893079760226023794004889712942265891590370428013721719114189903834227375859600316718279716948615500647704411274947138030254735583067042629035705809643350139984591054729910810583288122937653750572929763493111626493738308973237619184594802239556794593382457290889242384186823492663209867716910285836474975000413428667955479615247171596324459040043046712022191061799752847856887214112945158199312806881584037773838551373760193743871216789935923471990875721638531891233289505166775131152145667991716826377527144019804439584562320899016246813596120605693132594133058265948217123466545554920576289972137193971695919215449823624042577648658178523538753736711405242451136892521333308267618579803636204100772132578127109549646311890198","-5/768 - (5*SUSYc1XM2)/96 + SUSYc1XM4/8 + (5*SUSYc1XM6)/12 + (5*SUSYc1XM8)/3 - (SUSYc1XM1*SUSYc2XM1)/32 + (SUSYc1XM5*SUSYc2XM1)/4 + SUSYc1XM7*SUSYc2XM1 + (11*SUSYc2XM2)/96 - (SUSYc1XM2*SUSYc2XM2)/8 - (SUSYc1XM4*SUSYc2XM2)/4 + (SUSYc1XM6*SUSYc2XM2)/3 + (7*SUSYc1XM1*SUSYc2XM3)/24 - (SUSYc1XM5*SUSYc2XM3)/3 + (7*SUSYc2XM4)/24 + (5*SUSYc1XM2*SUSYc2XM4)/12 - SUSYc1XM4*SUSYc2XM4 + (35*SUSYc1XM1*SUSYc2XM5)/12","{-1/32*SUSYc2XM1 + (7*SUSYc2XM3)/24 + (35*SUSYc2XM5)/12, -5/96 - SUSYc2XM2/8 + (5*SUSYc2XM4)/12, 1/8 - SUSYc2XM2/4 - SUSYc2XM4, SUSYc2XM1/4 - SUSYc2XM3/3, 5/12 + SUSYc2XM2/3, SUSYc2XM1, 5/3, -1/32*SUSYc1XM1 + SUSYc1XM5/4 + SUSYc1XM7, 11/96 - SUSYc1XM2/8 - SUSYc1XM4/4 + SUSYc1XM6/3, (7*SUSYc1XM1)/24 - SUSYc1XM5/3, 7/24 + (5*SUSYc1XM2)/12 - SUSYc1XM4, (35*SUSYc1XM1)/12}"
"{{1, 2, 3, 4, 5, 6, 12}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM7","88057.0717767764802963481598407688794195370408799922531776246052432781569885693238998613342708496531338560248277386420642144996038106666374546266838575771459877744695533736834577458866219453246373946175160438415018560029754655819221195813521257157892245184048448330899647316587056046563368503218394805633320570350286495911597373069902717568672969507497214133876509967583573514947670944364464133265269632862938769961381247408826278792574335684741029106688712109349736087777077558467403920951932076993561889057299478679088084756873837549704889149223262697501249985150906082283316428327200671981289003318387957572257357902829166883054042762242923728884797935685234163281050555997210976814780581628702723177371269909936796998297951872026889985490738306927812755729111821704912390397048135570038598770973602492892013028567732651255109711854094407827851721634986415971385238041630623865164662483108178628791912289399557934639595208159024067304817258124139390450679247243964272170058986748711012268449702394286632069317010733919006911","(-5*SUSYc1XM1)/48 + SUSYc1XM5/2 + (4*SUSYc1XM7)/3 + SUSYc2XM1/24 - (SUSYc1XM2*SUSYc2XM1)/4 + (2*SUSYc1XM6*SUSYc2XM1)/3 + (7*SUSYc2XM3)/12 - (SUSYc1XM2*SUSYc2XM3)/3 - (2*SUSYc1XM4*SUSYc2XM3)/3 + (7*SUSYc1XM1*SUSYc2XM4)/6 + (14*SUSYc2XM5)/3 - 2*SUSYc1XM2*SUSYc2XM5","{-5/48 + (7*SUSYc2XM4)/6, -1/4*SUSYc2XM1 - SUSYc2XM3/3 - 2*SUSYc2XM5, (-2*SUSYc2XM3)/3, 1/2, (2*SUSYc2XM1)/3, 4/3, 0, 1/24 - SUSYc1XM2/4 + (2*SUSYc1XM6)/3, 0, 7/12 - SUSYc1XM2/3 - (2*SUSYc1XM4)/3, (7*SUSYc1XM1)/6, 14/3 - 2*SUSYc1XM2}"
"{{1, 2, 3, 4, 5, 6, 12}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM8","-51062.5822158521502487548284657807462603560429645893179066252562491866919024896533245364050560108255174260031229901096923324160033713797309014716206656535821207982085820469281473605664273651105351231913668279626102801137771238736904885102674199738786746319232004533443846690749692705731258678488941041767800559991105666972871393591494617393877951263942108484846632657646096349290301535459617003673907680723227163497049734110808222506676255452738555687162163357850854308001991663022043219226327276783918691128723142190517163890101248410283435998539382207275563256962813420860667199223599463361761708414282650994640038931069339176536121234465884072261999119559298578757663160416816104957699958693343872722788773136970631988507469107488394426742813878719153036189511159333235047818835150804629752366465466025288256147844369067495456821124537258634503769089873526806394498881912609057114292827184572906851531059981184705134893561992155129662633304836688545269337811957668270749979249180180093859420116074003171149309966757930962165","-5/48 - (5*SUSYc1XM2)/24 + SUSYc1XM4/3 + SUSYc1XM6 - (7*SUSYc1XM1*SUSYc2XM1)/24 + (SUSYc1XM5*SUSYc2XM1)/3 + (7*SUSYc2XM2)/24 - (2*SUSYc1XM2*SUSYc2XM2)/3 - (SUSYc1XM4*SUSYc2XM2)/3 + (7*SUSYc2XM4)/3 - (5*SUSYc1XM2*SUSYc2XM4)/3 - (7*SUSYc1XM1*SUSYc2XM5)/3","{(-7*SUSYc2XM1)/24 - (7*SUSYc2XM5)/3, -5/24 - (2*SUSYc2XM2)/3 - (5*SUSYc2XM4)/3, 1/3 - SUSYc2XM2/3, SUSYc2XM1/3, 1, 0, 0, (-7*SUSYc1XM1)/24 + SUSYc1XM5/3, 7/24 - (2*SUSYc1XM2)/3 - SUSYc1XM4/3, 0, 7/3 - (5*SUSYc1XM2)/3, (-7*SUSYc1XM1)/3}"
"{{1, 2, 3, 4, 5, 6, 12}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM1","-2.2725692026135314958349173565356211140061721533836302484174323526743610633188567572677006176639176495863672157822670543384342267065745930315512267215234597117576048833636875428179800043420989281108396916839397938228760029211518667737325677112006436074943513202566207095801884557508112660368583528162275133072811891104696309509306078984991912772646399514729966839302872179602852500511369531316540214150253189935048140088413589053532010506180198054462549841932395473684607043810581435781636443072494665695694335188362111387954634112796101469570064378375888054231465651598149405287188688405070866367300290606052259775064986130222727731423476573284142848112375904718743938879380971713378125368939642455235352148838493531291000211061347626845942465043967753260295500446180406892023061382208777103366663694060879343831171315177733169479735522099281827161111685228064619859223354993136874093642722832966560905467193269961377618154594033033126851783172899620821319198911911711930472938120583427315821945162259134331369412217283444","(-5*SUSYc1XM1)/12 + (2*SUSYc1XM5)/3 - SUSYc2XM1/6 - (2*SUSYc1XM2*SUSYc2XM1)/3 - (2*SUSYc1XM1*SUSYc2XM2)/3 + (2*SUSYc2XM3)/3 - (4*SUSYc1XM2*SUSYc2XM3)/3 - 2*SUSYc1XM1*SUSYc2XM4 - (8*SUSYc2XM5)/3","{-5/12 - (2*SUSYc2XM2)/3 - 2*SUSYc2XM4, (-2*SUSYc2XM1)/3 - (4*SUSYc2XM3)/3, 0, 2/3, 0, 0, 0, -1/6 - (2*SUSYc1XM2)/3, (-2*SUSYc1XM1)/3, 2/3 - (4*SUSYc1XM2)/3, -2*SUSYc1XM1, -8/3}"
"{{1, 2, 3, 4, 5, 6, 12}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM2","7.1645288920290616245313764313004051417093490944926685751101089206709458009672316465682370647536814720952763945329648543855620931342760312581333918035597107724568541708036178361715956964539722615562437616727237871351313471044581740911745154720183398213361438971084049013214445673736095106233638941617523249228358533567801460249528066070648198008296970841810511425556497897029368014674661227193927145898069120003010768079096527288869222493771152831728337147544761682916266398097170824394601032077123303128808498890969305154852669407806263533066406422788296726736282589795685476518497807438766085276075352548591536801530888901611303519356042984246186093935334056472164767048504414343321477346411929740414752187682480552426025671409835713020892775344018592846178659947296158226364619774312593796557407867265955041476499427850669038993132738416527363122807834295692912931383640203398153441816272425737378012448548556947349514433635832766585095610389817664810702285899115601961963655701493160844743553892905411557438316988531694","-25/48 - (5*SUSYc1XM2)/12 + SUSYc1XM4/3 - (11*SUSYc1XM1*SUSYc2XM1)/12 - (5*SUSYc2XM2)/12 - SUSYc1XM2*SUSYc2XM2 - (5*SUSYc1XM1*SUSYc2XM3)/3 - (7*SUSYc2XM4)/3","{(-11*SUSYc2XM1)/12 - (5*SUSYc2XM3)/3, -5/12 - SUSYc2XM2, 1/3, 0, 0, 0, 0, (-11*SUSYc1XM1)/12, -5/12 - SUSYc1XM2, (-5*SUSYc1XM1)/3, -7/3, 0}"
"{{1, 2, 3, 4, 5, 6, 12}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM3","-7.4444674220711602512659015684895939923667484578646140655134310906726338642968182401212016016659536931027625593088024875565041419536111985038203806967914435621169874043695934712219551681220067878138905175280582118844723682569641270559513691359040165437610809314993632239227201348039053050572399061327017399835554289416734659941973794380046465105220264394017770600047213193435719348805999935103154449558196800371191454099891679701837944265511064999536729452907972213962850612628996181704203604342649682682705042404329009911085366358201195278730373071049953347078821452519526678798157544406785134870653982942383195479329173836054749984384395223979614278260732291062147464485495303236666193875078387705012513532659025204649913489375860011622331351349887056410730368157602131357327598781196857636442285673221044107231632838190451607815627202922632771704105464814190480373950167686231269490937444229914512695170270128461316764171806347759743636521158392541178375387992885376795638014110028831929379344675626310555127142176889835","(-5*SUSYc1XM1)/6 - SUSYc2XM1 - (2*SUSYc1XM2*SUSYc2XM1)/3 - (4*SUSYc1XM1*SUSYc2XM2)/3 - 2*SUSYc2XM3","{-5/6 - (4*SUSYc2XM2)/3, (-2*SUSYc2XM1)/3, 0, 0, 0, 0, 0, -1 - (2*SUSYc1XM2)/3, (-4*SUSYc1XM1)/3, -2, 0, 0}"
