"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM1","5.541417463877031163313092193700724270040268960287156085657210042681691556658373171178062814132214132072630867499476183251424576887750877637427834641761788112159689573482453885040309491552875283449641977364581559130476610729647102622569233796076358855338281922344040326386593814445255328360942082969177791998568485826393316274625226928713151614359113859848871548080760229381586924545617819028120772285812583458602061139261994372214582613273798227293743847914405635932407513427156449004997088018187675044346121379395113096158184697403959418149138534453433224921471552337294872967156577486412357568992363511424163808576356142775900494686833517547084526567132121726638154174801842626598112682326238349175629209401283570695047098907596029757289728524849554259225024862128896282255928334099890069369643607188351279008747475990654543813494277502791172866755951615797780416658683529522948452745175343428206472661974190421961582827225928098175010881823876005662630125072781732227068049817319365628086608839411117319518766377515587","-1/2048*SUSYc1XM1 + SUSYc1XM3/512 - SUSYc1XM5/128 + SUSYc1XM7/32 + SUSYc2XM1/2048 + (SUSYc1XM4*SUSYc2XM1)/128 - (SUSYc1XM6*SUSYc2XM1)/32 + (SUSYc1XM1*SUSYc2XM2)/512 - (SUSYc1XM3*SUSYc2XM2)/128 + (SUSYc1XM5*SUSYc2XM2)/32 - (SUSYc1XM7*SUSYc2XM2)/8 - SUSYc2XM3/512 - (SUSYc1XM4*SUSYc2XM3)/32 + (SUSYc1XM6*SUSYc2XM3)/8 - (SUSYc1XM1*SUSYc2XM4)/128 + (SUSYc1XM3*SUSYc2XM4)/32 - (SUSYc1XM5*SUSYc2XM4)/8 + (SUSYc1XM7*SUSYc2XM4)/2 + SUSYc2XM5/128 + (SUSYc1XM4*SUSYc2XM5)/8 - (SUSYc1XM6*SUSYc2XM5)/2","{-1/2048 + SUSYc2XM2/512 - SUSYc2XM4/128, 1/512 - SUSYc2XM2/128 + SUSYc2XM4/32, SUSYc2XM1/128 - SUSYc2XM3/32 + SUSYc2XM5/8, -1/128 + SUSYc2XM2/32 - SUSYc2XM4/8, -1/32*SUSYc2XM1 + SUSYc2XM3/8 - SUSYc2XM5/2, 1/32 - SUSYc2XM2/8 + SUSYc2XM4/2, 1/2048 + SUSYc1XM4/128 - SUSYc1XM6/32, SUSYc1XM1/512 - SUSYc1XM3/128 + SUSYc1XM5/32 - SUSYc1XM7/8, -1/512 - SUSYc1XM4/32 + SUSYc1XM6/8, -1/128*SUSYc1XM1 + SUSYc1XM3/32 - SUSYc1XM5/8 + SUSYc1XM7/2, 1/128 + SUSYc1XM4/8 - SUSYc1XM6/2}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM3","5744.6257868735362513868434429922465114815566996876586189599585444889634870362749332686620234192270310404395275436177735296045707918991924500907280113311962965256843924318713057060328183498918842844443274951076092842646673995465841992655690892358453298116607525959967935205421813484485518107115500216352806447501689152711891369853717888780719379380902872511362925054260969119660357230315517518093204499343846559436944096627418063285663031771155311497288805857938922355959661276689545584767905344385046415576642124965748441787899529738161908712489955401847508904144916865350079606662722597840662239501580746020634209423141874697172061185871865111457854124194708136908260878829814701166681041469045740656159998462160695547756952439416600991648403513173598255715804715608592901678679877961848836951671747358592740520975200513239123510827455793105459156200846134079027724818097749461453393518325938454867092802419588241080978435476408869963131646781110218994828502834711701737571580959834132866914423804109496241240274624048900699","-1/1024 + SUSYc1XM4/64 - SUSYc1XM6/8 - (SUSYc1XM1*SUSYc2XM1)/256 + (SUSYc1XM5*SUSYc2XM1)/16 - (SUSYc1XM7*SUSYc2XM1)/2 + SUSYc2XM2/128 + (SUSYc1XM6*SUSYc2XM2)/4 + (SUSYc1XM1*SUSYc2XM3)/32 - (SUSYc1XM3*SUSYc2XM3)/16 + SUSYc1XM7*SUSYc2XM3 - (3*SUSYc2XM4)/64 - (SUSYc1XM4*SUSYc2XM4)/4 - (3*SUSYc1XM1*SUSYc2XM5)/16 + (SUSYc1XM3*SUSYc2XM5)/2 - SUSYc1XM5*SUSYc2XM5","{-1/256*SUSYc2XM1 + SUSYc2XM3/32 - (3*SUSYc2XM5)/16, -1/16*SUSYc2XM3 + SUSYc2XM5/2, 1/64 - SUSYc2XM4/4, SUSYc2XM1/16 - SUSYc2XM5, -1/8 + SUSYc2XM2/4, -1/2*SUSYc2XM1 + SUSYc2XM3, -1/256*SUSYc1XM1 + SUSYc1XM5/16 - SUSYc1XM7/2, 1/128 + SUSYc1XM6/4, SUSYc1XM1/32 - SUSYc1XM3/16 + SUSYc1XM7, -3/64 - SUSYc1XM4/4, (-3*SUSYc1XM1)/16 + SUSYc1XM3/2 - SUSYc1XM5}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM4","-15764.4909436061552547993163084214242142967156599378386089445670588241603742693774557736931525864184258829275357440151436876496880451334172375035856391712429584970620549667635830342691409223114577190689590994173120010276515689144138657958721245641309189808412177631634786478331606349272424416173941844704619427091435332436228437564187056207070572023473691470972501883141640062009184832444668130115369412028648861002128751490978057760223946871124701095523157001224003731792940840595104546586252717329352374700951721736125032332991485723477140242414054449422659772640430436759449888657777273420545929461656069899041778432525804435516904058313712620176395667588411999129296120383439360543701640451289191104933570536967469149450383314035562832836404779072246152402893504532061251078763207306327482834006589411131769613377115399101770435460708459211098346718492599822831629769955925612497186305679001658496799088859018815683101351651314561845677908229878239369068444953760889191550480556275128028333062084813955827472079892681461905","(-5*SUSYc1XM1)/512 + SUSYc1XM3/32 + SUSYc1XM5/32 - (5*SUSYc1XM7)/4 + SUSYc2XM1/512 + (3*SUSYc1XM4*SUSYc2XM1)/32 + (SUSYc1XM6*SUSYc2XM1)/4 - (3*SUSYc1XM3*SUSYc2XM2)/32 + (SUSYc1XM5*SUSYc2XM2)/4 + (3*SUSYc1XM7*SUSYc2XM2)/2 + SUSYc2XM3/16 - (SUSYc1XM4*SUSYc2XM3)/4 + (SUSYc1XM6*SUSYc2XM3)/2 + (9*SUSYc1XM1*SUSYc2XM4)/32 - (SUSYc1XM3*SUSYc2XM4)/4 - (SUSYc1XM5*SUSYc2XM4)/2 - (21*SUSYc2XM5)/32 - (3*SUSYc1XM4*SUSYc2XM5)/2","{-5/512 + (9*SUSYc2XM4)/32, 1/32 - (3*SUSYc2XM2)/32 - SUSYc2XM4/4, (3*SUSYc2XM1)/32 - SUSYc2XM3/4 - (3*SUSYc2XM5)/2, 1/32 + SUSYc2XM2/4 - SUSYc2XM4/2, SUSYc2XM1/4 + SUSYc2XM3/2, -5/4 + (3*SUSYc2XM2)/2, 1/512 + (3*SUSYc1XM4)/32 + SUSYc1XM6/4, (-3*SUSYc1XM3)/32 + SUSYc1XM5/4 + (3*SUSYc1XM7)/2, 1/16 - SUSYc1XM4/4 + SUSYc1XM6/2, (9*SUSYc1XM1)/32 - SUSYc1XM3/4 - SUSYc1XM5/2, -21/32 - (3*SUSYc1XM4)/2}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM5","29922.5766493360022019247410232255669468586126904403701621805463838814039867236115202555026786396930485001943154126011115062880048959974978397796692255959154976379660779474542143802456798604579496629658319757078593094690803944461105575287955056196552660819394807135724833915190333500006142464340589584583816020787752451000201542097345833556290065934506485418029057320818358904480979227885967145865365505968219530973576724568205679851245483587730293269352378071736141259343658120860868658885652354247534523941057853012050904183890020215949781185498712574660359658981768619038167415848671665479284255730094026359542790846768684591081657819680962746258265793023416988656518212442398530638243060999636167604617869109983814901956968915382255662735999635457380232175997950224736498261479436254483205599121708870712500413407721072178517061257517539710593772959283303996527941038243731850821936553315606503260455586139386124748545865785997603025047799071220931204566801459652128402393595389202544074573200309762273050417413874360952737","-5/256 + (3*SUSYc1XM4)/16 - (SUSYc1XM1*SUSYc2XM1)/16 + (SUSYc1XM5*SUSYc2XM1)/2 + 2*SUSYc1XM7*SUSYc2XM1 + SUSYc2XM2/16 + SUSYc1XM6*SUSYc2XM2 + (SUSYc1XM1*SUSYc2XM3)/8 - (SUSYc1XM3*SUSYc2XM3)/2 + (7*SUSYc2XM4)/16 - SUSYc1XM4*SUSYc2XM4 + (5*SUSYc1XM1*SUSYc2XM5)/2 - 2*SUSYc1XM3*SUSYc2XM5","{-1/16*SUSYc2XM1 + SUSYc2XM3/8 + (5*SUSYc2XM5)/2, -1/2*SUSYc2XM3 - 2*SUSYc2XM5, 3/16 - SUSYc2XM4, SUSYc2XM1/2, SUSYc2XM2, 2*SUSYc2XM1, -1/16*SUSYc1XM1 + SUSYc1XM5/2 + 2*SUSYc1XM7, 1/16 + SUSYc1XM6, SUSYc1XM1/8 - SUSYc1XM3/2, 7/16 - SUSYc1XM4, (5*SUSYc1XM1)/2 - 2*SUSYc1XM3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM6","-26104.8226094885446701385898318923467004535457165556918792783786978411086905587412925579921365258651448344789048945223591155114762939564287998289464552456901537251132598689961943082787157744000860149005654030683198110929659359825450890301538475896796427103450611939909505316725598001891463844918862002739677784853321636672267503542374921514149923317689645652008647887674979375115493018209591641362456584828562587048147294132944125433907655201282146828463473296194442868610751230461298412827514952904045857303172846565649745227932749449073427750624153578208372390342093718571136785310759556961159309135685487569332395334972240046900830257835297248612358364748890161745167518467197487933491935832967220210804119568201153334801622345035341993798449398301003958182984386980182364808147005766592516753277752759865700625617322214128431819642842637096106953544852747513642637112145195047826499682453789891137215170854814946094909181177782720042996684196332117976887445802149493762391645051283417415019877862863360029539814145987358641","(-5*SUSYc1XM1)/64 + (3*SUSYc1XM3)/16 + (5*SUSYc1XM5)/8 + (5*SUSYc1XM7)/2 - (3*SUSYc2XM1)/64 + (3*SUSYc1XM4*SUSYc2XM1)/8 + (3*SUSYc1XM6*SUSYc2XM1)/2 - (3*SUSYc1XM1*SUSYc2XM2)/16 - (3*SUSYc1XM3*SUSYc2XM2)/8 + (SUSYc1XM5*SUSYc2XM2)/2 + (7*SUSYc2XM3)/16 - (SUSYc1XM4*SUSYc2XM3)/2 + (5*SUSYc1XM1*SUSYc2XM4)/8 - (3*SUSYc1XM3*SUSYc2XM4)/2 + (35*SUSYc2XM5)/8","{-5/64 - (3*SUSYc2XM2)/16 + (5*SUSYc2XM4)/8, 3/16 - (3*SUSYc2XM2)/8 - (3*SUSYc2XM4)/2, (3*SUSYc2XM1)/8 - SUSYc2XM3/2, 5/8 + SUSYc2XM2/2, (3*SUSYc2XM1)/2, 5/2, -3/64 + (3*SUSYc1XM4)/8 + (3*SUSYc1XM6)/2, (-3*SUSYc1XM1)/16 - (3*SUSYc1XM3)/8 + SUSYc1XM5/2, 7/16 - SUSYc1XM4/2, (5*SUSYc1XM1)/8 - (3*SUSYc1XM3)/2, 35/8}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM7","10713.8447687889466098598238320376951069683583802973607384404428075084416854669976111262722915781711749367659479452410999206604362398855308571106012265762062832243168403865322289798676091424318983254049579059191540602024027783081911853945394797868646332540042382509065778827750404382815382850584848194593961600655220882454810937917130122208287059988135262025811153593813659765216855662304372768551328873667004142961218143347374474044461742442170590708104313748617300568518150427781891667507783844586281602077908359700384985351556434595592345276462242098302683530914922343590506577788185543267080318302677084298695150079829983608361051881404023206718605597083601290969990825256478383148945924855415189207663182171455953035199751820675908946684368653123021335471795258136555225896290039820252732424245589863677871525476691446213848864346946684925223680277037647440272932798650212471099173611408046095727619349769358790867930835218200537374609959500842160497572117163077843994443063230077190256560674211745130717872429423476768093","-5/32 + (3*SUSYc1XM4)/4 + 2*SUSYc1XM6 - (3*SUSYc1XM1*SUSYc2XM1)/8 + SUSYc1XM5*SUSYc2XM1 - (SUSYc1XM1*SUSYc2XM3)/2 - SUSYc1XM3*SUSYc2XM3 + (7*SUSYc2XM4)/4 - 3*SUSYc1XM1*SUSYc2XM5","{(-3*SUSYc2XM1)/8 - SUSYc2XM3/2 - 3*SUSYc2XM5, -SUSYc2XM3, 3/4, SUSYc2XM1, 2, 0, (-3*SUSYc1XM1)/8 + SUSYc1XM5, 0, -1/2*SUSYc1XM1 - SUSYc1XM3, 7/4, -3*SUSYc1XM1}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM1","-335.1804724879590103877710307312335747566800896534290520285524033475605638522194577237260209380440713773575436224998253944171415256292502925458092782139205960373865631911608179616801031638509584278165473257881938530434922035765490342075230779320254529517794273074480134421288646048150851094536473609897259306661894952754644387582084089762377172047863712866162905160269200764605289748485392730093735907619375278195340203797539981240715275377579327424312479493048018786441358378090521496683323626727292250147820404597983710320527282324679864727163795114844777416404905174457649576557188591621374525229974545038080546028587853809253001648956111725156948421890440405755460513916006142088660375607754127830585430698004278568983490329691986765857632428416165180864083416207096320940853094446999633564565478690627837596695824919968848479378314258342637242889186505385992601388862278431743161509150584478094021575539913968073205276090753093660583369606079586685542100416909272440756893499391064552093622029464703729353504468424976153","(-5*SUSYc1XM1)/16 + SUSYc1XM3/2 + (3*SUSYc1XM5)/2 - (7*SUSYc2XM1)/16 + (SUSYc1XM4*SUSYc2XM1)/2 - SUSYc1XM1*SUSYc2XM2 - (SUSYc1XM3*SUSYc2XM2)/2 - (5*SUSYc1XM1*SUSYc2XM4)/2 - (7*SUSYc2XM5)/2","{-5/16 - SUSYc2XM2 - (5*SUSYc2XM4)/2, 1/2 - SUSYc2XM2/2, SUSYc2XM1/2, 3/2, 0, 0, -7/16 + SUSYc1XM4/2, -SUSYc1XM1 - SUSYc1XM3/2, 0, (-5*SUSYc1XM1)/2, -7/2}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM2","928.062461897665418548469687566591821660400045038234684040828931159128473103698250387105310235881134056223322161540498764237963460993579479657700455728251509521708498480242527466423149368717885649097059749694840399168141816204128684769142460466168079372414441341249468211996936396859003580999111942989757392644536643565388306781399856614748879596063598424971484175633658379171419702114787667008310726842877923868894859607464079445306637585676698557836837021943211579222769903063299625842868180089822411664489453533928740865745739159370050538087193685918704810965152010857086101974510680746498473075184613980872640626525243906055334189765162416514594223440909361710064435508525143831516388685827761837638145444348136784038902100050610236380065151893598201425852467706192228348980435811789243385178528477340903579028755995426195943986985431248140414058308695847938528707714965399330438301368997239692975118844588376291129294453561088385177040269557051737034444910696778010665174759071631819938368857624793490276730163951688448","-5/8 + SUSYc1XM4 - SUSYc1XM1*SUSYc2XM1 - SUSYc2XM2 - 2*SUSYc1XM1*SUSYc2XM3 - 3*SUSYc2XM4","{-SUSYc2XM1 - 2*SUSYc2XM3, 0, 1, 0, 0, 0, -SUSYc1XM1, -1, -2*SUSYc1XM1, -3, 0}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM3","-1753.7798574799455337167950213731655745774148223437521476746339898796168477335452155688903071428233291097606598460619735622867456506706064613326708235284114613651015895078433937597205848746160128370882905038539415874020234765961002712400368397007974213090427594394347819536216008936194250410373094819055941108846834658800363270246079035771954067967461522860648371317071663996835752726470635479099867234461713417950354856651619062188246509026691114850216616554885172089261322088157028293344526859265233234555776250858532807813614865569116394828111423537656198096772375159801292660262204920754139216021046554790582926821229128442001796687874804270129804057158679119682687724391598720810031658605547706947879994555369754773005705785214432999072626444630555211656571717372286082233522131514523131477332129907110160455398947554755077434032229038115942367147218804571565744413097524902765574991006668029109241609715486176300842342628586862606368468691993845003696997011021907991318553294244581086999295526000098282754721249375617507","(-5*SUSYc1XM1)/8 + SUSYc1XM3/2 - (11*SUSYc2XM1)/8 - (3*SUSYc1XM1*SUSYc2XM2)/2 - (5*SUSYc2XM3)/2","{-5/8 - (3*SUSYc2XM2)/2, 1/2, 0, 0, 0, 0, -11/8, (-3*SUSYc1XM1)/2, -5/2, 0, 0}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM4","1533.6830594539306822015903872400919463859889031360294523035978213464679178083883411714443001523442957613509215422383126068446970216783311022542845561018218223545071206062917184239731209841779677583852611341671028468168161858807640599779577763946564067054096744990839556122483091811400472741872923703987145459157686609102659430228676077230921551153865020140649073221125409383667837001276892766572495828227913698846554080241923050656588121783132496283201800476160022422556873162490493819543177785458824765384013340148917542204501157675145900726782704837545621234818993309501808161752095635858159039667244805514865577557984562671605921219295927776719131702439465366473213499615926786385071297808009558925087214131648121210612272532557152982009264124529640652252340419609429701880749627013608785131288827576267429326041036542763199539076125185796344852663209111652065740993313004603773912580460582631514662769728229639090410111137078172554980839038768682442893359191264938840828770809450146753668612773093015971851775693702614093","-5/4 - SUSYc1XM1*SUSYc2XM1 - 2*SUSYc2XM2","{-SUSYc2XM1, 0, 0, 0, 0, 0, -SUSYc1XM1, -2, 0, 0, 0}"
