"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM1","4.2142022583150618398021976508263552525696962613955784798756307475992782659026856001579846023017326929868760100639294834904295723245391270321078175553964973264220811020757865966841073449318957288971159155465477409983149598586192067677174933682048761340446515706349258986515013347339066590167904775921221171068442152380731240116746996129957925313622147518005758165852685366905613743409879183331023069530280919295701321249059949933103198037540971705804237632949983007405305791311846077088555571782098717864002801925884387817059992115261051778522937931053213013490575185991417467066098570426554309033496335045233490959548932180696644765409894639430262579892192072516276930714761103574847450546597855530769871667133168206054859193458489834394051072986176691047307764444354815429163001451016789358390700317045852665699170151902943023268255023747063497426138185820637385287860373122348804769489675910960892423981848861953466923926762101506987012505586835845038487839224112992064057569718951499249000630031429000437852689070009532","1/3072 - SUSYc1XM2/768 + SUSYc1XM4/192 - SUSYc1XM6/48 + (SUSYc1XM1*SUSYc2XM1)/768 + (SUSYc1XM5*SUSYc2XM1)/48 - (SUSYc1XM7*SUSYc2XM1)/12 - SUSYc2XM2/768 + (SUSYc1XM2*SUSYc2XM2)/192 - (SUSYc1XM4*SUSYc2XM2)/48 + (SUSYc1XM6*SUSYc2XM2)/12 - (SUSYc1XM1*SUSYc2XM3)/192 - (SUSYc1XM5*SUSYc2XM3)/12 + (SUSYc1XM7*SUSYc2XM3)/3 + SUSYc2XM4/192 - (SUSYc1XM2*SUSYc2XM4)/48 + (SUSYc1XM4*SUSYc2XM4)/12 - (SUSYc1XM6*SUSYc2XM4)/3","{SUSYc2XM1/768 - SUSYc2XM3/192, -1/768 + SUSYc2XM2/192 - SUSYc2XM4/48, 1/192 - SUSYc2XM2/48 + SUSYc2XM4/12, SUSYc2XM1/48 - SUSYc2XM3/12, -1/48 + SUSYc2XM2/12 - SUSYc2XM4/3, -1/12*SUSYc2XM1 + SUSYc2XM3/3, SUSYc1XM1/768 + SUSYc1XM5/48 - SUSYc1XM7/12, -1/768 + SUSYc1XM2/192 - SUSYc1XM4/48 + SUSYc1XM6/12, -1/192*SUSYc1XM1 - SUSYc1XM5/12 + SUSYc1XM7/3, 1/192 - SUSYc1XM2/48 + SUSYc1XM4/12 - SUSYc1XM6/3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM2","10.9167036493719507055585677965350418448443487889328733029129449815541906085633661189503663419186340573671663812785070591361703951390344428017261545877891956262606245029400684451681665876326798492918511326829628414274685287642729392406448365318337968040517164874224079723946717462447980906361561019028240123264992078766388698111120501648199464567853143894153306099193459495493490099184759068664293679185297053966494489715838334395963452068555074432768297287285891250946668846905953410929854611573054153948004666384662524331648946416877811733225947282635993081283865634020123953314673847650433776940306529410319391785479736013842860345366952888032800584003611134615214990628402683239730880841528155728982872986514474352520900906100832432272099298407948930545962324157783168176486263071091717137728420657129233160568618630539596256852968072807756140428221051814697606314342615251339456709583958252569954519844910082461207385600418719839168423330207690810265068426064211781540055085405874263793387098719401417711393987542839139","-1/384*SUSYc1XM1 + SUSYc1XM5/24 - SUSYc1XM7/3 + SUSYc2XM1/192 - (SUSYc1XM2*SUSYc2XM1)/96 + (SUSYc1XM6*SUSYc2XM1)/6 + (SUSYc1XM1*SUSYc2XM2)/48 + (2*SUSYc1XM7*SUSYc2XM2)/3 - SUSYc2XM3/32 + (SUSYc1XM2*SUSYc2XM3)/12 - (SUSYc1XM4*SUSYc2XM3)/6 - (SUSYc1XM1*SUSYc2XM4)/8 - (2*SUSYc1XM5*SUSYc2XM4)/3","{-1/384 + SUSYc2XM2/48 - SUSYc2XM4/8, -1/96*SUSYc2XM1 + SUSYc2XM3/12, -1/6*SUSYc2XM3, 1/24 - (2*SUSYc2XM4)/3, SUSYc2XM1/6, -1/3 + (2*SUSYc2XM2)/3, 1/192 - SUSYc1XM2/96 + SUSYc1XM6/6, SUSYc1XM1/48 + (2*SUSYc1XM7)/3, -1/32 + SUSYc1XM2/12 - SUSYc1XM4/6, -1/8*SUSYc1XM1 - (2*SUSYc1XM5)/3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM4","7063.2511764842869355478852262672546918037770458695716160592991645676415853227934701894703189216288954241571328811565946912699223956335621411369944156012893226442758146599803012912936951262767453156178201674811464471364959138612380688295859884309015061411976889588706502776046916898489802164008265492418751722432679092557297144282545554933551439425230591205778487400017149990365313434182465787609430560928924300363506567202832190785465473601417197427936235825629178412923331643164116414035065972998431852381677203952631885116968008171181236245244898264174904556527832248951590637888095545024707669444971503498476607046874741061297495378578768448650043119042209516856323171702739189066803086780895074665095823085596343085882605163239404494198540212789710719432917232284575694399543920678486893278800349452835515203094781812001040769039967865903950218929142080717738088777215180089169840367664765676994888186882170176076430306298540247139671323292165753968463964975588688793427078990057906840925306042256463023206523462317349999","1/768 - SUSYc1XM2/48 + SUSYc1XM4/16 + SUSYc1XM6/6 + (SUSYc1XM5*SUSYc2XM1)/6 + SUSYc1XM7*SUSYc2XM1 + SUSYc2XM2/24 - (SUSYc1XM2*SUSYc2XM2)/48 - (SUSYc1XM4*SUSYc2XM2)/6 + (SUSYc1XM6*SUSYc2XM2)/3 + (3*SUSYc1XM1*SUSYc2XM3)/16 - (SUSYc1XM5*SUSYc2XM3)/3 - (7*SUSYc2XM4)/16 + (5*SUSYc1XM2*SUSYc2XM4)/6 - SUSYc1XM4*SUSYc2XM4","{(3*SUSYc2XM3)/16, -1/48 - SUSYc2XM2/48 + (5*SUSYc2XM4)/6, 1/16 - SUSYc2XM2/6 - SUSYc2XM4, SUSYc2XM1/6 - SUSYc2XM3/3, 1/6 + SUSYc2XM2/3, SUSYc2XM1, SUSYc1XM5/6 + SUSYc1XM7, 1/24 - SUSYc1XM2/48 - SUSYc1XM4/6 + SUSYc1XM6/3, (3*SUSYc1XM1)/16 - SUSYc1XM5/3, -7/16 + (5*SUSYc1XM2)/6 - SUSYc1XM4}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM5","-17733.5496827827778201806530602435130643710442278431322565517274141745870705009203372834475815704236355440020758076598078431619991042287893079336085859581606171328363846770709805593446099116653643718714307627037310566721348285252867370596531710463394257040430189046281896483377727493273109138836674821247025082204030048070527797891052539006336313138163092945807348705156415205516115995920498499849818349697759506946861470379535806428270420886365765394176611788019452886570695425615822969939748518784755119878508900318717322038398599314511571725182682592254581649212228210815687321594669022862120322363809701223579451102658917082141622198449311828520293448939284106512962457327926785911116111602081110582098108710287392528805596452798183725353228276183070285384491705093401305567152557337433132302005131777375629485189007080293780175158340704679157005138668517090353845702028878362967346024454115628921652454131324655717569374412188322732383982634521788198440898548281641695736110085909778639301012891770687460172426319194741027","-1/24*SUSYc1XM1 + SUSYc1XM5/3 + (4*SUSYc1XM7)/3 + SUSYc2XM1/24 - (SUSYc1XM2*SUSYc2XM1)/8 + (2*SUSYc1XM6*SUSYc2XM1)/3 + (SUSYc1XM1*SUSYc2XM2)/12 + (7*SUSYc2XM3)/24 - (2*SUSYc1XM4*SUSYc2XM3)/3 + (5*SUSYc1XM1*SUSYc2XM4)/3","{-1/24 + SUSYc2XM2/12 + (5*SUSYc2XM4)/3, -1/8*SUSYc2XM1, (-2*SUSYc2XM3)/3, 1/3, (2*SUSYc2XM1)/3, 4/3, 1/24 - SUSYc1XM2/8 + (2*SUSYc1XM6)/3, SUSYc1XM1/12, 7/24 - (2*SUSYc1XM4)/3, (5*SUSYc1XM1)/3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM6","21940.9403049544512496901824142608400190217426176459731628223120382071435490222316202430272966104797416585419401527663058116932466809408117906783135006682972294475981124439687334196070839377586049575533496360324253117554389596529179060668703524658893561902539022953474979726491780806428879381113731545318497680603094375088801029355356526221204527513721387448068558718761407710184703031528832648932551689787422893518548034075157000542549806871361060532154096105952418329911304272487428026771863080674210175882654571920164524223020839942400855139626492957036368653888583014884489503386020846376185201228918411451077824392781906834337733808802738122405806750398356609946407866111443848721671382631667332916374728220300496195979482582857199796913501228997890135232222937009643187331988964957825766952190064327470200273918105850227601908689788494682523142216024366596533021901277112808947763530736266871690700892070111373135049976255302877029353604941012419220274303377885479968999339841366547613103471688770063175196508526056182903","-1/32 - SUSYc1XM2/8 + SUSYc1XM4/4 + SUSYc1XM6 - (SUSYc1XM1*SUSYc2XM1)/8 + (SUSYc1XM5*SUSYc2XM1)/3 + (7*SUSYc2XM2)/24 - (5*SUSYc1XM2*SUSYc2XM2)/12 - (SUSYc1XM4*SUSYc2XM2)/3 + (5*SUSYc1XM1*SUSYc2XM3)/12 + (35*SUSYc2XM4)/12 - (5*SUSYc1XM2*SUSYc2XM4)/3","{-1/8*SUSYc2XM1 + (5*SUSYc2XM3)/12, -1/8 - (5*SUSYc2XM2)/12 - (5*SUSYc2XM4)/3, 1/4 - SUSYc2XM2/3, SUSYc2XM1/3, 1, 0, -1/8*SUSYc1XM1 + SUSYc1XM5/3, 7/24 - (5*SUSYc1XM2)/12 - SUSYc1XM4/3, (5*SUSYc1XM1)/12, 35/12 - (5*SUSYc1XM2)/3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM7","-10247.1274575297856992485763740618973820678686741906696040929025050309070949080641217813566644452817136541870479180285468930942663148398816124067514099220769512947877783806606580511274027605604958082705877105846916195813628176777774200139666219831424144537526317430265927349268974134462837606114540167769426094743132700403489726331753933039358831885569736966939546416591965527402509952726999320853516819486894185940113807982578706111938068412602313490566520720594558364162542526752940051949125730892372277301317428969967792211132766635459658331419716706151282075467637663591130749827770118025756588022098107159909333591446390503196816461320008014030279521959362256223629688844982000646886791880724818804283590929218069630407957246380818437412541853240574138378568056549440486084871149111854758565796951835035165074360050172092711398397563677448522702165378163403964401010996519542262901447957360661097043517746578910039675826194655072042640597849532314479217655995301434487811497127763035213433687813522588984212855901176535044","-1/4*SUSYc1XM1 + (2*SUSYc1XM5)/3 - (SUSYc1XM2*SUSYc2XM1)/2 - (SUSYc1XM1*SUSYc2XM2)/3 + (7*SUSYc2XM3)/6 - (4*SUSYc1XM2*SUSYc2XM3)/3 - 2*SUSYc1XM1*SUSYc2XM4","{-1/4 - SUSYc2XM2/3 - 2*SUSYc2XM4, -1/2*SUSYc2XM1 - (4*SUSYc2XM3)/3, 0, 2/3, 0, 0, -1/2*SUSYc1XM2, -1/3*SUSYc1XM1, 7/6 - (4*SUSYc1XM2)/3, -2*SUSYc1XM1}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc2XM1","-377.1071011291575309199010988254131776262848481306977892399378153737996391329513428000789923011508663464934380050319647417452147861622695635160539087776982486632110405510378932983420536724659478644485579577732738704991574799293096033838587466841024380670223257853174629493257506673669533295083952387960610585534221076190365620058373498064978962656811073759002879082926342683452806871704939591665511534765140459647850660624529974966551599018770485852902118816474991503702652895655923038544277785891049358932001400962942193908529996057630525889261468965526606506745287592995708733533049285213277154516748167522616745479774466090348322382704947319715131289946096036258138465357380551787423725273298927765384935833566584103027429596729244917197025536493088345523653882222177407714581500725508394679195350158522926332849585075951471511634127511873531748713069092910318692643930186561174402384744837955480446211990924430976733461963381050753493506252793417922519243919612056496032028784859475749624500315015714485353600603035232176","-7/24 - SUSYc1XM2/3 + SUSYc1XM4/3 - (2*SUSYc1XM1*SUSYc2XM1)/3 - SUSYc1XM2*SUSYc2XM2 - (5*SUSYc1XM1*SUSYc2XM3)/3 - (7*SUSYc2XM4)/3","{(-2*SUSYc2XM1)/3 - (5*SUSYc2XM3)/3, -1/3 - SUSYc2XM2, 1/3, 0, 0, 0, (-2*SUSYc1XM1)/3, -SUSYc1XM2, (-5*SUSYc1XM1)/3, -7/3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc2XM2","950.7900175932108539736349704335776202787459687631295740311820119866521492796230329094668017922044082008540252555175788850950196463803157194917023039944713190284731034279060192150180685143028318521331967550311758475994280391626251891663536273852993183774648654251250822728161394223395868963441496401565416091760737975633328928954331402347644459170867035575138265411293582092680175607437407926006300069515728900193985340432754782055654252005899614146523511983669663532537769782584699944349928341038670287371438901430657075776190115976860928530966059710543864887765884616180690273082548208681156490677651469712197975122852420328959164282946314310089279276189909560676467428703332012613824734265539534336574349371106067009450195621209737708350924083774667794128151089368435672728562411206613936561678947451050625150505638581040138732476629054771965293803515980541009339777246526397185310649763850518378701083616569269995042124111994814438164132945541162809065996571199983718718569192734387697599202606992920185052575170230919076","(-2*SUSYc1XM1)/3 - (2*SUSYc2XM1)/3 - (2*SUSYc1XM2*SUSYc2XM1)/3 - (4*SUSYc1XM1*SUSYc2XM2)/3 - 2*SUSYc2XM3","{-2/3 - (4*SUSYc2XM2)/3, (-2*SUSYc2XM1)/3, 0, 0, 0, 0, -2/3 - (2*SUSYc1XM2)/3, (-4*SUSYc1XM1)/3, -2, 0}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc2XM3","-1174.6611708926197858277378074332978781542551651287774226926288828021544839825850920455688414165978503838097573727494958111062022568248176327598322492209412210667812260527418094132382281669906592180238527293935553125144430050861475724098260546987883356838388351996785348252043979694506320176109449049528582656494808039886034982447228371004093193705521365253246325908170715210213128181232344288379674132349959434168215821301795895085278070371308842413847661484710613145480850064347220577202440423412584010930751733149273348468167751722014158247786850149709706491973530890635237200806855668341506816481282474163786958524981390022755698327088912123566076174835521318441196817988043004522482919573865103569030725663265793016085579129746976456582899586879533473215174930034694849467850828183555298330505953881865000820311953827303859862882297495027661115299479608609561043253413545068193311599499929853139664787759983113665331266815463901969713551345928744479830246660119163181925407596048245697719010484436072080919603500384448177","-11/12 - SUSYc1XM2/3 - SUSYc1XM1*SUSYc2XM1 - (5*SUSYc2XM2)/3","{-SUSYc2XM1, -1/3, 0, 0, 0, 0, -SUSYc1XM1, -5/3, 0, 0}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc2XM4","548.9558426228551613895164831065306996542716934151859417448063118656843508683287386009298899010434460797504588541528635943877423933246773165153036001007982751851029443934742200327613100424155901335195091426517138586312898562721337765177292710020245491782312784073068159796126850540880117993489125821689115415887192451948896965332511560755388057898548240500191576523220486408304280195143017299355653948395548341011674261723146701815306289992024066964675901055426330628724395858045958203679477137866675095063821610163031337557476544186070632604392000473864595275515499005529311304470847852478976116381193466139511479419677794619972685115628357465221375371112917383631551761367970419616485724183989820831649126832833922680821306473897294575804727485554073250446623654507334167711971294705432849290399939991625894083633624121079155901572049760825936534261540305116585414037764391947548749312986089672832882379214788471403396439528247798050356711603872955901027600032918109970963948151912232925553756631807002211444039546276425282","-h - (2*SUSYc1XM1)/3 - (4*SUSYc2XM1)/3","{-2/3, 0, 0, 0, 0, 0, -4/3, 0, 0, 0}"
