var,b_final_value
SUSYc1XM1,-3.440268067092428736553415873308454540128378903883590362950284847575895789727978566332594439864233975720e+00
SUSYc1XM2,1.138796311933503069261392371073298014042288799187774863723992149677764598199798213003247415125106802430e+01
SUSYc1XM4,6.781642926028090705148425257980242169782784838153818503611392185620704335019498989114647367352458327920e+01
SUSYc1XM5,-2.418788367081299122908033300006920712909783665412945914699276842296022484562591810317546100340615950640e+01
SUSYc1XM6,-9.365443108175962860393987852174832350979599625880723809701083523295517260620410535126074876521570457100e+01
SUSYc1XM7,-9.688669873536496931253410863022426308345641295571638678139764814496182423109966280894841396673560536190e+01
SUSYc1XM8,1.327110144123081196875769488363626143469743226930765974216304306656790570542929475705049744000248812680e+02
SUSYc1XM9,2.690589726273514211258372918855178684898560628366256781854569080912807894673748814216977466859768245210e+02
SUSYc1XM10,1.004718150484572598819030722940536739604158621272834504430125996519856853527224926236270850342398833030e+02
SUSYc2XM1,1.720134033546214368276707936654227270064189451941795181475142423787947894863989283166297219932116987800e+00
SUSYc2XM2,2.730406881697565866825015404233973666385268734971829553565182068516887710322505941642317870562355194460e-01
SUSYc2XM3,-5.330007526578790401350076494221646548925994653555355418066328817741187196562339962615174985971123833140e+00
SUSYc2XM4,-4.642499257388563282551359627596543482896765128864823434722313676318615213229287252845811899044645521580e+00
SUSYc2XM5,6.758571374794178440990302325024723751769336834389837822037260190574497645337828529766818928121893747050e+00
SUSYc2XM6,1.254615704130555996440627320088119674054970715469996964216353245281858739343398530395134566434992116880e+01
SUSYc2XM7,4.888711121606979924279956370176072858852947437089313824618126653314697348026263636655340554640795963010e+00
