var,b_final_value
SUSYc1XM1,-3.440268067092428736553415250153414062040062806116831975318082156202077475046985607003718147407622559790e+00
SUSYc1XM2,1.138796311933503069261393503485902674235227891472557907654380018552615730823707232210881824021905911560e+01
SUSYc1XM4,6.781642926028090705148461588691662062398350340671927134626486148741011501440642949351615637225078930900e+01
SUSYc1XM5,-2.418788367081299122908093969519770291909115071380620556946011231431513096093694619989227520879836652900e+01
SUSYc1XM6,-9.365443108175962860393969826303609376092529620493987793323171744422539321327689367054591342926918496770e+01
SUSYc1XM7,-9.688669873536496931253465300610739129395053613888363322136541155457425639884824332295447602608330903260e+01
SUSYc1XM8,1.327110144123081196875789404028117631617900503906177717339763396574362198101855961173594693778204892090e+02
SUSYc1XM9,2.690589726273514211258366463100664500338019452020819758613166730980281742804647195487319921535833448640e+02
SUSYc1XM10,1.004718150484572598819012819937984262723101332788764837567599991066526581447062534030947247138091084980e+02
SUSYc2XM1,1.720134033546214368276707625076707031020031403058415987659041078101038737523492803501859073703811279900e+00
SUSYc2XM2,2.730406881697565866824979893666171928534180374238766850495440691303699845661850905627350451073813783840e-01
SUSYc2XM3,-5.330007526578790401350090161831502879241066473434417650978674433608204199757247822362224436626957102750e+00
SUSYc2XM4,-4.642499257388563282551325064442215198845479400983753800908857435439415571619961791574418195597153277820e+00
SUSYc2XM5,6.758571374794178440990339893637512371140349466413677313613659643817649960792510763790478641505542724140e+00
SUSYc2XM6,1.254615704130555996440621538519685646439451347464566992820777837043045086343819344479199651350224684200e+01
SUSYc2XM7,4.888711121606979924279852546415080890996043605413054452874630803563235121752300354737763209468009819390e+00
