var,b_final_value
SUSYc1XM1,-1.2619166382054752692180e+00
SUSYc1XM2,-1.9152815140375537476680e+01
SUSYc1XM4,-2.3877844889600882753900e+02
SUSYc1XM5,-2.9583439753165242930460e+02
SUSYc1XM6,-2.2746317015083736516080e+02
SUSYc1XM7,-7.7430848210158699592570e+02
SUSYc1XM8,-5.9083352989420615694950e+02
SUSYc1XM9,5.8892809415255148950890e+02
SUSYc1XM10,-5.1915237309165823565220e+02
SUSYc2XM1,6.3095831910273763460920e-01
SUSYc2XM2,3.3082931086090500051050e+00
SUSYc2XM3,7.0217222005960326750320e+00
SUSYc2XM4,2.3729027475990573320070e+00
SUSYc2XM5,1.5081030193017760479180e+00
SUSYc2XM6,9.0090034849109888280140e+00
SUSYc2XM7,-4.3554337176254728147480e+00
