var,b_final_value
SUSYc1XM1,0.0000000000000000e+00
SUSYc1XM2,0.0000000000000000e+00
SUSYc1XM3,0.0000000000000000e+00
SUSYc1XM4,0.0000000000000000e+00
SUSYc1XM5,0.0000000000000000e+00
SUSYc1XM6,0.0000000000000000e+00
SUSYc1XM8,0.0000000000000000e+00
SUSYc1XM9,0.0000000000000000e+00
SUSYc1XM10,0.0000000000000000e+00
SUSYc1XM11,0.0000000000000000e+00
SUSYc1XM12,0.0000000000000000e+00
SUSYc2XM1,0.0000000000000000e+00
SUSYc2XM2,0.0000000000000000e+00
SUSYc2XM3,0.0000000000000000e+00
SUSYc2XM4,0.0000000000000000e+00
SUSYc2XM5,0.0000000000000000e+00
