"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM1","8.14017484512689182914453157194862108513160039597186785101729135736786646854004463673003559043901119187629069645172050928272657447870133442040378224107972334164031087412765310315888937217640147987194285837156932669","-1/98304*SUSYc1XM1 + SUSYc1XM11/96 + SUSYc1XM3/24576 - SUSYc1XM5/6144 + SUSYc1XM7/1536 - SUSYc1XM9/384 + SUSYc2XM1/98304 - (SUSYc1XM10*SUSYc2XM1)/96 - (SUSYc1XM2*SUSYc2XM1)/24576 + (SUSYc1XM4*SUSYc2XM1)/6144 + (SUSYc1XM8*SUSYc2XM1)/384 + (SUSYc1XM1*SUSYc2XM2)/24576 - (SUSYc1XM11*SUSYc2XM2)/24 - (SUSYc1XM3*SUSYc2XM2)/6144 + (SUSYc1XM5*SUSYc2XM2)/1536 - (SUSYc1XM7*SUSYc2XM2)/384 + (SUSYc1XM9*SUSYc2XM2)/96 - SUSYc2XM3/24576 + (SUSYc1XM10*SUSYc2XM3)/24 + (SUSYc1XM2*SUSYc2XM3)/6144 - (SUSYc1XM4*SUSYc2XM3)/1536 - (SUSYc1XM8*SUSYc2XM3)/96 - (SUSYc1XM1*SUSYc2XM4)/6144 + (SUSYc1XM11*SUSYc2XM4)/6 + (SUSYc1XM3*SUSYc2XM4)/1536 - (SUSYc1XM5*SUSYc2XM4)/384 + (SUSYc1XM7*SUSYc2XM4)/96 - (SUSYc1XM9*SUSYc2XM4)/24 + SUSYc2XM5/6144 - (SUSYc1XM10*SUSYc2XM5)/6 - (SUSYc1XM2*SUSYc2XM5)/1536 + (SUSYc1XM4*SUSYc2XM5)/384 + (SUSYc1XM8*SUSYc2XM5)/24","{-1/98304 + SUSYc2XM2/24576 - SUSYc2XM4/6144, -1/24576*SUSYc2XM1 + SUSYc2XM3/6144 - SUSYc2XM5/1536, 1/24576 - SUSYc2XM2/6144 + SUSYc2XM4/1536, SUSYc2XM1/6144 - SUSYc2XM3/1536 + SUSYc2XM5/384, -1/6144 + SUSYc2XM2/1536 - SUSYc2XM4/384, 1/1536 - SUSYc2XM2/384 + SUSYc2XM4/96, SUSYc2XM1/384 - SUSYc2XM3/96 + SUSYc2XM5/24, -1/384 + SUSYc2XM2/96 - SUSYc2XM4/24, -1/96*SUSYc2XM1 + SUSYc2XM3/24 - SUSYc2XM5/6, 1/96 - SUSYc2XM2/24 + SUSYc2XM4/6, 1/98304 - SUSYc1XM10/96 - SUSYc1XM2/24576 + SUSYc1XM4/6144 + SUSYc1XM8/384, SUSYc1XM1/24576 - SUSYc1XM11/24 - SUSYc1XM3/6144 + SUSYc1XM5/1536 - SUSYc1XM7/384 + SUSYc1XM9/96, -1/24576 + SUSYc1XM10/24 + SUSYc1XM2/6144 - SUSYc1XM4/1536 - SUSYc1XM8/96, -1/6144*SUSYc1XM1 + SUSYc1XM11/6 + SUSYc1XM3/1536 - SUSYc1XM5/384 + SUSYc1XM7/96 - SUSYc1XM9/24, 1/6144 - SUSYc1XM10/6 - SUSYc1XM2/1536 + SUSYc1XM4/384 + SUSYc1XM8/24}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM2","40.16243592557452162218476054820880063409499828864488919296784173323790799060293663611276924958036321978753753424967585797462421077862918637344351393583844261366152029690456286471741263716495074934672462334044693705","-1/16384 - SUSYc1XM10/24 + SUSYc1XM2/6144 - SUSYc1XM4/3072 + SUSYc1XM8/192 - (SUSYc1XM1*SUSYc2XM1)/4096 - (SUSYc1XM11*SUSYc2XM1)/6 + (SUSYc1XM3*SUSYc2XM1)/1536 - (SUSYc1XM5*SUSYc2XM1)/768 + (SUSYc1XM9*SUSYc2XM1)/48 + SUSYc2XM2/3072 + (SUSYc1XM10*SUSYc2XM2)/12 - (SUSYc1XM2*SUSYc2XM2)/1024 + (SUSYc1XM4*SUSYc2XM2)/384 + (SUSYc1XM1*SUSYc2XM3)/768 + (SUSYc1XM11*SUSYc2XM3)/3 - (SUSYc1XM3*SUSYc2XM3)/256 + (SUSYc1XM5*SUSYc2XM3)/96 - (SUSYc1XM7*SUSYc2XM3)/48 - (5*SUSYc2XM4)/3072 + (SUSYc1XM2*SUSYc2XM4)/192 - (SUSYc1XM4*SUSYc2XM4)/64 - (SUSYc1XM8*SUSYc2XM4)/12 - (5*SUSYc1XM1*SUSYc2XM5)/768 + (SUSYc1XM3*SUSYc2XM5)/48 - (SUSYc1XM5*SUSYc2XM5)/16 + (SUSYc1XM7*SUSYc2XM5)/6 - (SUSYc1XM9*SUSYc2XM5)/3","{-1/4096*SUSYc2XM1 + SUSYc2XM3/768 - (5*SUSYc2XM5)/768, 1/6144 - SUSYc2XM2/1024 + SUSYc2XM4/192, SUSYc2XM1/1536 - SUSYc2XM3/256 + SUSYc2XM5/48, -1/3072 + SUSYc2XM2/384 - SUSYc2XM4/64, -1/768*SUSYc2XM1 + SUSYc2XM3/96 - SUSYc2XM5/16, -1/48*SUSYc2XM3 + SUSYc2XM5/6, 1/192 - SUSYc2XM4/12, SUSYc2XM1/48 - SUSYc2XM5/3, -1/24 + SUSYc2XM2/12, -1/6*SUSYc2XM1 + SUSYc2XM3/3, -1/4096*SUSYc1XM1 - SUSYc1XM11/6 + SUSYc1XM3/1536 - SUSYc1XM5/768 + SUSYc1XM9/48, 1/3072 + SUSYc1XM10/12 - SUSYc1XM2/1024 + SUSYc1XM4/384, SUSYc1XM1/768 + SUSYc1XM11/3 - SUSYc1XM3/256 + SUSYc1XM5/96 - SUSYc1XM7/48, -5/3072 + SUSYc1XM2/192 - SUSYc1XM4/64 - SUSYc1XM8/12, (-5*SUSYc1XM1)/768 + SUSYc1XM3/48 - SUSYc1XM5/16 + SUSYc1XM7/6 - SUSYc1XM9/3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM3","139.99531560899316288695153558955938182048273865729645464566053861907557791388068634865206473365136881933779029131760081208799000848970393826912435041696904583349333727958506828906505808472421322648308224719969494352","(5*SUSYc1XM1)/24576 - (5*SUSYc1XM11)/12 + SUSYc1XM3/3072 - (5*SUSYc1XM5)/1536 + SUSYc1XM7/96 + SUSYc1XM9/96 - (17*SUSYc2XM1)/24576 + (SUSYc1XM10*SUSYc2XM1)/12 + (SUSYc1XM2*SUSYc2XM1)/1024 + (SUSYc1XM4*SUSYc2XM1)/1536 + (SUSYc1XM8*SUSYc2XM1)/32 - (3*SUSYc1XM1*SUSYc2XM2)/1024 + (SUSYc1XM11*SUSYc2XM2)/2 + (7*SUSYc1XM3*SUSYc2XM2)/1536 - (SUSYc1XM7*SUSYc2XM2)/32 + (SUSYc1XM9*SUSYc2XM2)/12 + (17*SUSYc2XM3)/3072 + (SUSYc1XM10*SUSYc2XM3)/6 - (19*SUSYc1XM2*SUSYc2XM3)/1536 + (SUSYc1XM4*SUSYc2XM3)/48 - (SUSYc1XM8*SUSYc2XM3)/12 + (35*SUSYc1XM1*SUSYc2XM4)/1536 - (5*SUSYc1XM3*SUSYc2XM4)/96 + (3*SUSYc1XM5*SUSYc2XM4)/32 - (SUSYc1XM7*SUSYc2XM4)/12 - (SUSYc1XM9*SUSYc2XM4)/6 - (55*SUSYc2XM5)/1536 + (3*SUSYc1XM2*SUSYc2XM5)/32 - (7*SUSYc1XM4*SUSYc2XM5)/32 - (SUSYc1XM8*SUSYc2XM5)/2","{5/24576 - (3*SUSYc2XM2)/1024 + (35*SUSYc2XM4)/1536, SUSYc2XM1/1024 - (19*SUSYc2XM3)/1536 + (3*SUSYc2XM5)/32, 1/3072 + (7*SUSYc2XM2)/1536 - (5*SUSYc2XM4)/96, SUSYc2XM1/1536 + SUSYc2XM3/48 - (7*SUSYc2XM5)/32, -5/1536 + (3*SUSYc2XM4)/32, 1/96 - SUSYc2XM2/32 - SUSYc2XM4/12, SUSYc2XM1/32 - SUSYc2XM3/12 - SUSYc2XM5/2, 1/96 + SUSYc2XM2/12 - SUSYc2XM4/6, SUSYc2XM1/12 + SUSYc2XM3/6, -5/12 + SUSYc2XM2/2, -17/24576 + SUSYc1XM10/12 + SUSYc1XM2/1024 + SUSYc1XM4/1536 + SUSYc1XM8/32, (-3*SUSYc1XM1)/1024 + SUSYc1XM11/2 + (7*SUSYc1XM3)/1536 - SUSYc1XM7/32 + SUSYc1XM9/12, 17/3072 + SUSYc1XM10/6 - (19*SUSYc1XM2)/1536 + SUSYc1XM4/48 - SUSYc1XM8/12, (35*SUSYc1XM1)/1536 - (5*SUSYc1XM3)/96 + (3*SUSYc1XM5)/32 - SUSYc1XM7/12 - SUSYc1XM9/6, -55/1536 + (3*SUSYc1XM2)/32 - (7*SUSYc1XM4)/32 - SUSYc1XM8/2}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM4","374.24165359749667465726141446280728994833996507147001853204621453806321775261129917033059358662262334142156693803969329679726530177060818241259262427932124947259318039883191687945715745250860100377179872263880736167","-5/12288 + SUSYc1XM2/384 - (5*SUSYc1XM4)/768 + SUSYc1XM8/16 - (SUSYc1XM1*SUSYc2XM1)/1536 + (2*SUSYc1XM11*SUSYc2XM1)/3 + (SUSYc1XM3*SUSYc2XM1)/128 - (SUSYc1XM5*SUSYc2XM1)/48 + (SUSYc1XM9*SUSYc2XM1)/6 - SUSYc2XM2/192 + (SUSYc1XM10*SUSYc2XM2)/3 + (SUSYc1XM2*SUSYc2XM2)/768 + (SUSYc1XM4*SUSYc2XM2)/48 - (5*SUSYc1XM1*SUSYc2XM3)/192 + (SUSYc1XM3*SUSYc2XM3)/48 + (SUSYc1XM5*SUSYc2XM3)/24 - (SUSYc1XM7*SUSYc2XM3)/6 + (55*SUSYc2XM4)/768 - (SUSYc1XM2*SUSYc2XM4)/8 + (7*SUSYc1XM4*SUSYc2XM4)/48 - (SUSYc1XM8*SUSYc2XM4)/3 + (5*SUSYc1XM1*SUSYc2XM5)/16 - (7*SUSYc1XM3*SUSYc2XM5)/12 + (5*SUSYc1XM5*SUSYc2XM5)/6 - (2*SUSYc1XM7*SUSYc2XM5)/3","{-1/1536*SUSYc2XM1 - (5*SUSYc2XM3)/192 + (5*SUSYc2XM5)/16, 1/384 + SUSYc2XM2/768 - SUSYc2XM4/8, SUSYc2XM1/128 + SUSYc2XM3/48 - (7*SUSYc2XM5)/12, -5/768 + SUSYc2XM2/48 + (7*SUSYc2XM4)/48, -1/48*SUSYc2XM1 + SUSYc2XM3/24 + (5*SUSYc2XM5)/6, -1/6*SUSYc2XM3 - (2*SUSYc2XM5)/3, 1/16 - SUSYc2XM4/3, SUSYc2XM1/6, SUSYc2XM2/3, (2*SUSYc2XM1)/3, -1/1536*SUSYc1XM1 + (2*SUSYc1XM11)/3 + SUSYc1XM3/128 - SUSYc1XM5/48 + SUSYc1XM9/6, -1/192 + SUSYc1XM10/3 + SUSYc1XM2/768 + SUSYc1XM4/48, (-5*SUSYc1XM1)/192 + SUSYc1XM3/48 + SUSYc1XM5/24 - SUSYc1XM7/6, 55/768 - SUSYc1XM2/8 + (7*SUSYc1XM4)/48 - SUSYc1XM8/3, (5*SUSYc1XM1)/16 - (7*SUSYc1XM3)/12 + (5*SUSYc1XM5)/6 - (2*SUSYc1XM7)/3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM5","786.33319085710540406634842746347153494226206310594871137674310217621877131954275703903244737905658051079863392144929659325512189955468763935120792647946940624977732218061733975306564261384632782642378942016216186755","(35*SUSYc1XM1)/6144 + (5*SUSYc1XM11)/6 - (5*SUSYc1XM3)/1536 - (5*SUSYc1XM5)/192 + SUSYc1XM7/16 + (5*SUSYc1XM9)/24 - (43*SUSYc2XM1)/6144 + (SUSYc1XM10*SUSYc2XM1)/2 + (29*SUSYc1XM2*SUSYc2XM1)/1536 - (SUSYc1XM4*SUSYc2XM1)/64 + (SUSYc1XM8*SUSYc2XM1)/8 - (25*SUSYc1XM1*SUSYc2XM2)/1536 + (11*SUSYc1XM3*SUSYc2XM2)/192 - (SUSYc1XM5*SUSYc2XM2)/16 - (SUSYc1XM7*SUSYc2XM2)/8 + (SUSYc1XM9*SUSYc2XM2)/6 - (55*SUSYc2XM3)/1536 - (SUSYc1XM2*SUSYc2XM3)/64 + (7*SUSYc1XM4*SUSYc2XM3)/48 - (SUSYc1XM8*SUSYc2XM3)/6 - (15*SUSYc1XM1*SUSYc2XM4)/64 + (7*SUSYc1XM3*SUSYc2XM4)/48 + (5*SUSYc1XM5*SUSYc2XM4)/24 - (SUSYc1XM7*SUSYc2XM4)/2 + (55*SUSYc2XM5)/64 - (21*SUSYc1XM2*SUSYc2XM5)/16 + (35*SUSYc1XM4*SUSYc2XM5)/24","{35/6144 - (25*SUSYc2XM2)/1536 - (15*SUSYc2XM4)/64, (29*SUSYc2XM1)/1536 - SUSYc2XM3/64 - (21*SUSYc2XM5)/16, -5/1536 + (11*SUSYc2XM2)/192 + (7*SUSYc2XM4)/48, -1/64*SUSYc2XM1 + (7*SUSYc2XM3)/48 + (35*SUSYc2XM5)/24, -5/192 - SUSYc2XM2/16 + (5*SUSYc2XM4)/24, 1/16 - SUSYc2XM2/8 - SUSYc2XM4/2, SUSYc2XM1/8 - SUSYc2XM3/6, 5/24 + SUSYc2XM2/6, SUSYc2XM1/2, 5/6, -43/6144 + SUSYc1XM10/2 + (29*SUSYc1XM2)/1536 - SUSYc1XM4/64 + SUSYc1XM8/8, (-25*SUSYc1XM1)/1536 + (11*SUSYc1XM3)/192 - SUSYc1XM5/16 - SUSYc1XM7/8 + SUSYc1XM9/6, -55/1536 - SUSYc1XM2/64 + (7*SUSYc1XM4)/48 - SUSYc1XM8/6, (-15*SUSYc1XM1)/64 + (7*SUSYc1XM3)/48 + (5*SUSYc1XM5)/24 - SUSYc1XM7/2, 55/64 - (21*SUSYc1XM2)/16 + (35*SUSYc1XM4)/24}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM7","1.13060369133966719853194024721920534379725227327038138526368154693761862360365038920470357636137555057143022458490413747059821548751566371614010440635826385415675589457604162743300602552292917360833202817169876796118852*10^6","17/3072 + (2*SUSYc1XM10)/3 + (5*SUSYc1XM2)/384 - (5*SUSYc1XM4)/96 + SUSYc1XM8/4 + (19*SUSYc1XM1*SUSYc2XM1)/768 + (SUSYc1XM3*SUSYc2XM1)/48 - (SUSYc1XM5*SUSYc2XM1)/8 + (SUSYc1XM9*SUSYc2XM1)/3 - (11*SUSYc2XM2)/192 + (3*SUSYc1XM2*SUSYc2XM2)/32 - (SUSYc1XM1*SUSYc2XM3)/8 + (7*SUSYc1XM3*SUSYc2XM3)/24 - (SUSYc1XM5*SUSYc2XM3)/6 - (SUSYc1XM7*SUSYc2XM3)/3 - (11*SUSYc2XM4)/32 + (7*SUSYc1XM4*SUSYc2XM4)/12 - (21*SUSYc1XM1*SUSYc2XM5)/8 + (7*SUSYc1XM3*SUSYc2XM5)/3 - SUSYc1XM5*SUSYc2XM5","{(19*SUSYc2XM1)/768 - SUSYc2XM3/8 - (21*SUSYc2XM5)/8, 5/384 + (3*SUSYc2XM2)/32, SUSYc2XM1/48 + (7*SUSYc2XM3)/24 + (7*SUSYc2XM5)/3, -5/96 + (7*SUSYc2XM4)/12, -1/8*SUSYc2XM1 - SUSYc2XM3/6 - SUSYc2XM5, -1/3*SUSYc2XM3, 1/4, SUSYc2XM1/3, 2/3, 0, (19*SUSYc1XM1)/768 + SUSYc1XM3/48 - SUSYc1XM5/8 + SUSYc1XM9/3, -11/192 + (3*SUSYc1XM2)/32, -1/8*SUSYc1XM1 + (7*SUSYc1XM3)/24 - SUSYc1XM5/6 - SUSYc1XM7/3, -11/32 + (7*SUSYc1XM4)/12, (-21*SUSYc1XM1)/8 + (7*SUSYc1XM3)/3 - SUSYc1XM5}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM8","-6.8637132584393341731866980389081566608521205912297527405622382803423158705723176205451922157952412346029572963937173519305792042606972842509824782927717706064565238618627616394417918412399433625048434367283257424043424*10^6","(65*SUSYc1XM1)/1536 - (5*SUSYc1XM3)/96 - (5*SUSYc1XM5)/48 + SUSYc1XM7/6 + SUSYc1XM9/2 + (11*SUSYc2XM1)/1536 + (3*SUSYc1XM2*SUSYc2XM1)/32 - (7*SUSYc1XM4*SUSYc2XM1)/48 + (SUSYc1XM8*SUSYc2XM1)/6 + (3*SUSYc1XM1*SUSYc2XM2)/32 + (7*SUSYc1XM3*SUSYc2XM2)/48 - (SUSYc1XM5*SUSYc2XM2)/3 - (SUSYc1XM7*SUSYc2XM2)/6 - (11*SUSYc2XM3)/32 + (7*SUSYc1XM2*SUSYc2XM3)/16 - (7*SUSYc1XM1*SUSYc2XM4)/16 + (7*SUSYc1XM3*SUSYc2XM4)/6 - (5*SUSYc1XM5*SUSYc2XM4)/6 - (77*SUSYc2XM5)/16 + (7*SUSYc1XM2*SUSYc2XM5)/2 - (7*SUSYc1XM4*SUSYc2XM5)/6","{65/1536 + (3*SUSYc2XM2)/32 - (7*SUSYc2XM4)/16, (3*SUSYc2XM1)/32 + (7*SUSYc2XM3)/16 + (7*SUSYc2XM5)/2, -5/96 + (7*SUSYc2XM2)/48 + (7*SUSYc2XM4)/6, (-7*SUSYc2XM1)/48 - (7*SUSYc2XM5)/6, -5/48 - SUSYc2XM2/3 - (5*SUSYc2XM4)/6, 1/6 - SUSYc2XM2/6, SUSYc2XM1/6, 1/2, 0, 0, 11/1536 + (3*SUSYc1XM2)/32 - (7*SUSYc1XM4)/48 + SUSYc1XM8/6, (3*SUSYc1XM1)/32 + (7*SUSYc1XM3)/48 - SUSYc1XM5/3 - SUSYc1XM7/6, -11/32 + (7*SUSYc1XM2)/16, (-7*SUSYc1XM1)/16 + (7*SUSYc1XM3)/6 - (5*SUSYc1XM5)/6, -77/16 + (7*SUSYc1XM2)/2 - (7*SUSYc1XM4)/6}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM9","1.856422082995516699546325273494180739365593432287464094137759545133751352500755126513682025363856986166318633753993428442012589655487192796615290549359738206437519210666794416281541110712650176420774355054633051999058049*10^7","55/768 - (5*SUSYc1XM4)/24 + SUSYc1XM8/3 + (3*SUSYc1XM1*SUSYc2XM1)/16 - (SUSYc1XM3*SUSYc2XM1)/12 - (SUSYc1XM5*SUSYc2XM1)/3 + (3*SUSYc1XM2*SUSYc2XM2)/8 - (SUSYc1XM4*SUSYc2XM2)/3 + (SUSYc1XM1*SUSYc2XM3)/2 + (SUSYc1XM3*SUSYc2XM3)/3 - (2*SUSYc1XM5*SUSYc2XM3)/3 - (11*SUSYc2XM4)/8 + 2*SUSYc1XM2*SUSYc2XM4 - SUSYc1XM4*SUSYc2XM4 + 5*SUSYc1XM1*SUSYc2XM5 - (4*SUSYc1XM3*SUSYc2XM5)/3","{(3*SUSYc2XM1)/16 + SUSYc2XM3/2 + 5*SUSYc2XM5, (3*SUSYc2XM2)/8 + 2*SUSYc2XM4, -1/12*SUSYc2XM1 + SUSYc2XM3/3 - (4*SUSYc2XM5)/3, -5/24 - SUSYc2XM2/3 - SUSYc2XM4, -1/3*SUSYc2XM1 - (2*SUSYc2XM3)/3, 0, 1/3, 0, 0, 0, (3*SUSYc1XM1)/16 - SUSYc1XM3/12 - SUSYc1XM5/3, (3*SUSYc1XM2)/8 - SUSYc1XM4/3, SUSYc1XM1/2 + SUSYc1XM3/3 - (2*SUSYc1XM5)/3, -11/8 + 2*SUSYc1XM2 - SUSYc1XM4, 5*SUSYc1XM1 - (4*SUSYc1XM3)/3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM10","-2.495451062597462203119721592654169370565695433089407724999401003865452227358686014446247582814608591362669285642593136550069437200004088812013319459386353001633791075067410724778603169905709618915575779135861037973766242*10^7","(15*SUSYc1XM1)/128 - (25*SUSYc1XM3)/96 - (5*SUSYc1XM5)/24 + SUSYc1XM7/6 + (33*SUSYc2XM1)/128 + (3*SUSYc1XM2*SUSYc2XM1)/32 - (11*SUSYc1XM4*SUSYc2XM1)/24 + (21*SUSYc1XM1*SUSYc2XM2)/32 - (5*SUSYc1XM3*SUSYc2XM2)/24 - (SUSYc1XM5*SUSYc2XM2)/2 + (11*SUSYc2XM3)/32 + (7*SUSYc1XM2*SUSYc2XM3)/8 - (5*SUSYc1XM4*SUSYc2XM3)/6 + (25*SUSYc1XM1*SUSYc2XM4)/8 - (7*SUSYc1XM3*SUSYc2XM4)/6 + (55*SUSYc2XM5)/8 - (3*SUSYc1XM2*SUSYc2XM5)/2","{15/128 + (21*SUSYc2XM2)/32 + (25*SUSYc2XM4)/8, (3*SUSYc2XM1)/32 + (7*SUSYc2XM3)/8 - (3*SUSYc2XM5)/2, -25/96 - (5*SUSYc2XM2)/24 - (7*SUSYc2XM4)/6, (-11*SUSYc2XM1)/24 - (5*SUSYc2XM3)/6, -5/24 - SUSYc2XM2/2, 1/6, 0, 0, 0, 0, 33/128 + (3*SUSYc1XM2)/32 - (11*SUSYc1XM4)/24, (21*SUSYc1XM1)/32 - (5*SUSYc1XM3)/24 - SUSYc1XM5/2, 11/32 + (7*SUSYc1XM2)/8 - (5*SUSYc1XM4)/6, (25*SUSYc1XM1)/8 - (7*SUSYc1XM3)/6, 55/8 - (3*SUSYc1XM2)/2}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14, 15}}",1000,"SUSYc1XM11","1.382902213847918419580247701316324686869833781370039593888086429973635437955346043975962997168678589454153392242934501380518120898228196024950368634777444064353854036841985509422971608668243945433329160323967234748575346*10^7","55/192 - (5*SUSYc1XM2)/24 - (5*SUSYc1XM4)/12 + (19*SUSYc1XM1*SUSYc2XM1)/48 - (SUSYc1XM3*SUSYc2XM1)/2 - (SUSYc1XM5*SUSYc2XM1)/3 + (11*SUSYc2XM2)/12 + (SUSYc1XM2*SUSYc2XM2)/12 - (2*SUSYc1XM4*SUSYc2XM2)/3 + (5*SUSYc1XM1*SUSYc2XM3)/3 - SUSYc1XM3*SUSYc2XM3 + (55*SUSYc2XM4)/12 - (4*SUSYc1XM2*SUSYc2XM4)/3 - (5*SUSYc1XM1*SUSYc2XM5)/3","{(19*SUSYc2XM1)/48 + (5*SUSYc2XM3)/3 - (5*SUSYc2XM5)/3, -5/24 + SUSYc2XM2/12 - (4*SUSYc2XM4)/3, -1/2*SUSYc2XM1 - SUSYc2XM3, -5/12 - (2*SUSYc2XM2)/3, -1/3*SUSYc2XM1, 0, 0, 0, 0, 0, (19*SUSYc1XM1)/48 - SUSYc1XM3/2 - SUSYc1XM5/3, 11/12 + SUSYc1XM2/12 - (2*SUSYc1XM4)/3, (5*SUSYc1XM1)/3 - SUSYc1XM3, 55/12 - (4*SUSYc1XM2)/3, (-5*SUSYc1XM1)/3}"
