"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",1000,"SUSYc1XM1","2.08250569214466625976104698519893457030263365581087157921800983157315154998955787294340403910924916472030672519925119499174182575526654544755471924158071955625971192931790041429444871288568291400424684405230434118","-1/36864 + SUSYc1XM10/36 + SUSYc1XM2/9216 - SUSYc1XM4/2304 + SUSYc1XM6/576 - SUSYc1XM8/144 - (SUSYc1XM1*SUSYc2XM1)/9216 + (SUSYc1XM11*SUSYc2XM1)/9 + (SUSYc1XM3*SUSYc2XM1)/2304 - (SUSYc1XM5*SUSYc2XM1)/576 + (SUSYc1XM7*SUSYc2XM1)/144 + SUSYc2XM2/9216 - (SUSYc1XM10*SUSYc2XM2)/9 - (SUSYc1XM2*SUSYc2XM2)/2304 + (SUSYc1XM4*SUSYc2XM2)/576 - (SUSYc1XM6*SUSYc2XM2)/144 + (SUSYc1XM8*SUSYc2XM2)/36","{-1/9216*SUSYc2XM1, 1/9216 - SUSYc2XM2/2304, SUSYc2XM1/2304, -1/2304 + SUSYc2XM2/576, -1/576*SUSYc2XM1, 1/576 - SUSYc2XM2/144, SUSYc2XM1/144, -1/144 + SUSYc2XM2/36, 1/36 - SUSYc2XM2/9, SUSYc2XM1/9, -1/9216*SUSYc1XM1 + SUSYc1XM11/9 + SUSYc1XM3/2304 - SUSYc1XM5/576 + SUSYc1XM7/144, 1/9216 - SUSYc1XM10/9 - SUSYc1XM2/2304 + SUSYc1XM4/576 - SUSYc1XM6/144 + SUSYc1XM8/36}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",1000,"SUSYc1XM2","7.87050535995881335799486306063216807932370294207750960862463110154319520697873779237490210393721673317803972631157592064037294121817704177843127409013956783053551732059336461492352658060237535721625669197484455281","SUSYc1XM1/1152 + (2*SUSYc1XM11)/9 - SUSYc1XM3/384 + SUSYc1XM5/144 - SUSYc1XM7/72 - (5*SUSYc2XM1)/4608 + (SUSYc1XM2*SUSYc2XM1)/288 - (SUSYc1XM4*SUSYc2XM1)/96 + (SUSYc1XM6*SUSYc2XM1)/36 - (SUSYc1XM8*SUSYc2XM1)/18 - (5*SUSYc1XM1*SUSYc2XM2)/1152 + (SUSYc1XM3*SUSYc2XM2)/72 - (SUSYc1XM5*SUSYc2XM2)/24 + (SUSYc1XM7*SUSYc2XM2)/9","{1/1152 - (5*SUSYc2XM2)/1152, SUSYc2XM1/288, -1/384 + SUSYc2XM2/72, -1/96*SUSYc2XM1, 1/144 - SUSYc2XM2/24, SUSYc2XM1/36, -1/72 + SUSYc2XM2/9, -1/18*SUSYc2XM1, 0, 2/9, -5/4608 + SUSYc1XM2/288 - SUSYc1XM4/96 + SUSYc1XM6/36 - SUSYc1XM8/18, (-5*SUSYc1XM1)/1152 + SUSYc1XM3/72 - SUSYc1XM5/24 + SUSYc1XM7/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",1000,"SUSYc1XM3","12.77630200746830526538799697181443181602288832884243499932503218765537193673695009309721320038634203545310632719616856335972642579842443345488251390829584476019551386209598208123854878466419939697969144950410847379","17/4608 + SUSYc1XM10/9 - (19*SUSYc1XM2)/2304 + SUSYc1XM4/72 - SUSYc1XM6/144 - SUSYc1XM8/18 + (35*SUSYc1XM1*SUSYc2XM1)/2304 - (5*SUSYc1XM3*SUSYc2XM1)/144 + (SUSYc1XM5*SUSYc2XM1)/16 - (SUSYc1XM7*SUSYc2XM1)/18 - (55*SUSYc2XM2)/2304 + (SUSYc1XM2*SUSYc2XM2)/16 - (7*SUSYc1XM4*SUSYc2XM2)/48 + (5*SUSYc1XM6*SUSYc2XM2)/18 - (SUSYc1XM8*SUSYc2XM2)/3","{(35*SUSYc2XM1)/2304, -19/2304 + SUSYc2XM2/16, (-5*SUSYc2XM1)/144, 1/72 - (7*SUSYc2XM2)/48, SUSYc2XM1/16, -1/144 + (5*SUSYc2XM2)/18, -1/18*SUSYc2XM1, -1/18 - SUSYc2XM2/3, 1/9, 0, (35*SUSYc1XM1)/2304 - (5*SUSYc1XM3)/144 + SUSYc1XM5/16 - SUSYc1XM7/18, -55/2304 + SUSYc1XM2/16 - (7*SUSYc1XM4)/48 + (5*SUSYc1XM6)/18 - SUSYc1XM8/3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",1000,"SUSYc1XM4","25.64156518468751311967294887233246218653543434358349907789311743271382622064355215396819539409075080413509807395728321538821681897989823571156695953384917054288447394869885116531956443904219272936179673862621933744","(-5*SUSYc1XM1)/288 + SUSYc1XM3/72 + SUSYc1XM5/36 - SUSYc1XM7/9 + (55*SUSYc2XM1)/1152 - (SUSYc1XM2*SUSYc2XM1)/12 + (7*SUSYc1XM4*SUSYc2XM1)/72 - (2*SUSYc1XM8*SUSYc2XM1)/9 + (5*SUSYc1XM1*SUSYc2XM2)/24 - (7*SUSYc1XM3*SUSYc2XM2)/18 + (5*SUSYc1XM5*SUSYc2XM2)/9 - (4*SUSYc1XM7*SUSYc2XM2)/9","{-5/288 + (5*SUSYc2XM2)/24, -1/12*SUSYc2XM1, 1/72 - (7*SUSYc2XM2)/18, (7*SUSYc2XM1)/72, 1/36 + (5*SUSYc2XM2)/9, 0, -1/9 - (4*SUSYc2XM2)/9, (-2*SUSYc2XM1)/9, 0, 0, 55/1152 - SUSYc1XM2/12 + (7*SUSYc1XM4)/72 - (2*SUSYc1XM8)/9, (5*SUSYc1XM1)/24 - (7*SUSYc1XM3)/18 + (5*SUSYc1XM5)/9 - (4*SUSYc1XM7)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",1000,"SUSYc1XM5","31.46488538922015172237289952498970170751621065839037395259552816552315597223723337788914328664037891797014699011296916021095877305894961919077666526300556304023392178685459437518473987596120434133469986282450319736","-55/2304 - SUSYc1XM2/96 + (7*SUSYc1XM4)/72 - (5*SUSYc1XM6)/36 - SUSYc1XM8/9 - (5*SUSYc1XM1*SUSYc2XM1)/32 + (7*SUSYc1XM3*SUSYc2XM1)/72 + (5*SUSYc1XM5*SUSYc2XM1)/36 - (SUSYc1XM7*SUSYc2XM1)/3 + (55*SUSYc2XM2)/96 - (7*SUSYc1XM2*SUSYc2XM2)/8 + (35*SUSYc1XM4*SUSYc2XM2)/36 - (5*SUSYc1XM6*SUSYc2XM2)/9","{(-5*SUSYc2XM1)/32, -1/96 - (7*SUSYc2XM2)/8, (7*SUSYc2XM1)/72, 7/72 + (35*SUSYc2XM2)/36, (5*SUSYc2XM1)/36, -5/36 - (5*SUSYc2XM2)/9, -1/3*SUSYc2XM1, -1/9, 0, 0, (-5*SUSYc1XM1)/32 + (7*SUSYc1XM3)/72 + (5*SUSYc1XM5)/36 - SUSYc1XM7/3, 55/96 - (7*SUSYc1XM2)/8 + (35*SUSYc1XM4)/36 - (5*SUSYc1XM6)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",1000,"SUSYc1XM6","40.09885363513298747119349021564077505182591493047632990792107527684936392560340416226602088762732800689208990428328576111961585253593958709047895582202277807369907142127416413927134300774081899713248795596615546992","-1/12*SUSYc1XM1 + (7*SUSYc1XM3)/36 - SUSYc1XM5/9 - (2*SUSYc1XM7)/9 - (11*SUSYc2XM1)/48 + (7*SUSYc1XM4*SUSYc2XM1)/18 - (4*SUSYc1XM6*SUSYc2XM1)/9 - (7*SUSYc1XM1*SUSYc2XM2)/4 + (14*SUSYc1XM3*SUSYc2XM2)/9 - (2*SUSYc1XM5*SUSYc2XM2)/3","{-1/12 - (7*SUSYc2XM2)/4, 0, 7/36 + (14*SUSYc2XM2)/9, (7*SUSYc2XM1)/18, -1/9 - (2*SUSYc2XM2)/3, (-4*SUSYc2XM1)/9, -2/9, 0, 0, 0, -11/48 + (7*SUSYc1XM4)/18 - (4*SUSYc1XM6)/9, (-7*SUSYc1XM1)/4 + (14*SUSYc1XM3)/9 - (2*SUSYc1XM5)/3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",1000,"SUSYc1XM7","34.55516128450786014678304050356211769477934777065021215832690120912314240308251086772542014578927617290889469177279575272040366776627554795212679580331028737453806316593702433148657365180156116378741215386581776374","-11/48 + (7*SUSYc1XM2)/24 - SUSYc1XM6/3 - (7*SUSYc1XM1*SUSYc2XM1)/24 + (7*SUSYc1XM3*SUSYc2XM1)/9 - (5*SUSYc1XM5*SUSYc2XM1)/9 - (77*SUSYc2XM2)/24 + (7*SUSYc1XM2*SUSYc2XM2)/3 - (7*SUSYc1XM4*SUSYc2XM2)/9","{(-7*SUSYc2XM1)/24, 7/24 + (7*SUSYc2XM2)/3, (7*SUSYc2XM1)/9, (-7*SUSYc2XM2)/9, (-5*SUSYc2XM1)/9, -1/3, 0, 0, 0, 0, (-7*SUSYc1XM1)/24 + (7*SUSYc1XM3)/9 - (5*SUSYc1XM5)/9, -77/24 + (7*SUSYc1XM2)/3 - (7*SUSYc1XM4)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",1000,"SUSYc1XM8","26.94772620618996912458039177421123925996935374444684989251559826219545631876959299314427543368445253467744110085765866276126017735701831310852028668940472221254810791896552273139344644996180138041337715736371554773","SUSYc1XM1/3 + (2*SUSYc1XM3)/9 - (4*SUSYc1XM5)/9 - (11*SUSYc2XM1)/12 + (4*SUSYc1XM2*SUSYc2XM1)/3 - (2*SUSYc1XM4*SUSYc2XM1)/3 + (10*SUSYc1XM1*SUSYc2XM2)/3 - (8*SUSYc1XM3*SUSYc2XM2)/9","{1/3 + (10*SUSYc2XM2)/3, (4*SUSYc2XM1)/3, 2/9 - (8*SUSYc2XM2)/9, (-2*SUSYc2XM1)/3, -4/9, 0, 0, 0, 0, 0, -11/12 + (4*SUSYc1XM2)/3 - (2*SUSYc1XM4)/3, (10*SUSYc1XM1)/3 - (8*SUSYc1XM3)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",1000,"SUSYc1XM10","12436.8343035653381587596269545786958015860717450747963878308036352369013225394530405524190871596393701281191675739555178882488734871382331311057974343485527767915582468218327377807550273966185503142038435603791614136","11/48 + (7*SUSYc1XM2)/12 - (5*SUSYc1XM4)/9 + (25*SUSYc1XM1*SUSYc2XM1)/12 - (7*SUSYc1XM3*SUSYc2XM1)/9 + (55*SUSYc2XM2)/12 - SUSYc1XM2*SUSYc2XM2","{(25*SUSYc2XM1)/12, 7/12 - SUSYc2XM2, (-7*SUSYc2XM1)/9, -5/9, 0, 0, 0, 0, 0, 0, (25*SUSYc1XM1)/12 - (7*SUSYc1XM3)/9, 55/12 - SUSYc1XM2}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",1000,"SUSYc1XM11","-21132.78049204589183415915315349874883935109117514293967340520268977189374981216604176570768994615570071262995750457393292839601755903682303895169077663972532754862955992767349137517988886531175188826139987739373510344","(10*SUSYc1XM1)/9 - (2*SUSYc1XM3)/3 + (55*SUSYc2XM1)/18 - (8*SUSYc1XM2*SUSYc2XM1)/9 - (10*SUSYc1XM1*SUSYc2XM2)/9","{10/9 - (10*SUSYc2XM2)/9, (-8*SUSYc2XM1)/9, -2/3, 0, 0, 0, 0, 0, 0, 0, 55/18 - (8*SUSYc1XM2)/9, (-10*SUSYc1XM1)/9}"
