var,b_final_value
SUSYc1XM1,-3.44026806709242873655341525015401666643152856054218062520292868853538292961140874091431953614795750242455204653849027213690e+00
SUSYc1XM2,1.13879631193350306926139350348586927214835289030364877242827423968013501548629912724965915061194537373933569345285602812180e+01
SUSYc1XM4,6.78164292602809070514846158868692950013830715617464675926541133219064551009077300665636119032539406856500020660765719499240e+01
SUSYc1XM5,-2.41878836708129912290809396950800644069872888995538473766241763952838196886050700171796330529131724515828619320309377318260e+01
SUSYc1XM6,-9.36544310817596286039396982630820337993319545672603313314125098195118227624924187079267701542556021371747454996913861357900e+01
SUSYc1XM7,-9.68866987353649693125346530061093216341910862940925712719893998511962444110764500719233483705493910292175776341490284951240e+01
SUSYc1XM8,1.32711014412308119687578940402404093478685985917104780684260053994597941794829716524592050249490562555568080787738136069160e+02
SUSYc1XM9,2.69058972627351421125836646310415943428313301889140722069694009626003951447220257827646209017862922537933161226231111072110e+02
SUSYc1XM10,1.00471815048457259881901281994417653606152255917444466241520885668739539779867878403529902429675700481326304176824837420730e+02
SUSYc2XM1,1.72013403354621436827670762507700833321576428027109031260146434426769146480570437045715976807397875121227602326924513606770e+00
SUSYc2XM2,2.73040688169756586682497989367927766948488872385738547825795280138883271529568948310385377302444778484607090975234859256600e-01
SUSYc2XM3,-5.33000752657879040135009016182924472779035309136469182372258028911244223231094275544119408795530630600555662884397046319280e+00
SUSYc2XM4,-4.64249925738856328255132506445153930067679106475951394746997000428926716823607979375277059891990664571736513455038735737520e+00
SUSYc2XM5,6.75857137479417844099033989362768269043373961981997438629238321248521691028988741355509490956664809854824872132862846700390e+00
SUSYc2XM6,1.25461570413055599644062153852149499575239849687799822213494884855642353591016502750906236174948339937278506629196217714870e+01
SUSYc2XM7,4.88871112160697992427985254644489833555755326667303469629119465554377797757359097620102448717468798754917124986181784751430e+00
