var,b_final_value
SUSYc1XM1,-1.261916638205475170e+00
SUSYc1XM2,-1.915281514037553730e+01
SUSYc1XM4,-2.387784488960088250e+02
SUSYc1XM5,-2.958343975316524280e+02
SUSYc1XM6,-2.274631701508373570e+02
SUSYc1XM7,-7.743084821015869470e+02
SUSYc1XM8,-5.908335298942062080e+02
SUSYc1XM9,5.889280941525514660e+02
SUSYc1XM10,-5.191523730916582050e+02
SUSYc2XM1,6.309583191027375860e-01
SUSYc2XM2,3.308293108609050130e+00
SUSYc2XM3,7.021722200596032690e+00
SUSYc2XM4,2.372902747599057170e+00
SUSYc2XM5,1.508103019301776150e+00
SUSYc2XM6,9.009003484910989460e+00
SUSYc2XM7,-4.355433717625472490e+00
