var,b_final_value
SUSYc1XM1,-1.261916638205475269217559470625363788963271241884296883585713686585472470289682301750401373113871371360e+00
SUSYc1XM2,-1.915281514037553747662095601726510592584765474933335008092725284105221203028409955480568512081830143610e+01
SUSYc1XM4,-2.387784488960088275373190060319832985674430706201188290332877259188841458382934665013742577898151604270e+02
SUSYc1XM5,-2.958343975316524293035205503129086619570863835368564140669228248512739622774972828249672596769140708770e+02
SUSYc1XM6,-2.274631701508373651581874560444355057140541983734985981423281536405835725104163434830257211228229090370e+02
SUSYc1XM7,-7.743084821015869959191235916563834821265457944458688119583418185714702326480494790544324143258903705500e+02
SUSYc1XM8,-5.908335298942061569303234244970376948548561557566116412132996360776678183342267383809085242347136549550e+02
SUSYc1XM9,5.889280941525514895028555697354112211367587249681136222183801420658458963736878382675609362515933777510e+02
SUSYc1XM10,-5.191523730916582356538947250629235868110674255330033656213616047722939308225000784963463644322228600180e+02
SUSYc2XM1,6.309583191027376346087797353126818944816356209421484417928568432927362351448411508752006865569356856820e-01
SUSYc2XM2,3.308293108609050005090757751973001045991160771124789033717899914823833248544189115985431654584753902270e+00
SUSYc2XM3,7.021722200596032675026850869375511313657456456163185011235121086483402496484250053594565961032799495890e+00
SUSYc2XM4,2.372902747599057331895603627375319517928569826551367291185948826080376728175037119521253551033453190890e+00
SUSYc2XM5,1.508103019301776047972489725143517864847330535402769671077462200814950350960078350095719078266086340340e+00
SUSYc2XM6,9.009003484910988827956928206563496652675059763521588893233121195222490696871360913031714113636873612760e+00
SUSYc2XM7,-4.355433717625472814805893394294819005574165265621808768551817496092164991696413722538937716109209372520e+00
