var,b_final_value
SUSYc1XM1,-3.440268067092428736553415250153414062040062806116831975318071963537703367852453625678076154454977307090e+00
SUSYc1XM2,1.138796311933503069261393503485902674235227891472557907654392267761722496003861804312540579159599037970e+01
SUSYc1XM4,6.781642926028090705148461588691662062398350340671927134626898783161612237535218831035441243688400361580e+01
SUSYc1XM5,-2.418788367081299122908093969519770291909115071380620556946724824505535756523782592486096097290677369860e+01
SUSYc1XM6,-9.365443108175962860393969826303609376092529620493987793322951575441812593102782798127934017851939614110e+01
SUSYc1XM7,-9.688669873536496931253465300610739129395053613888363322137121532993293872371221378441710718555794257220e+01
SUSYc1XM8,1.327110144123081196875789404028117631617900503906177717339997866282808214808329190779799390709391924070e+02
SUSYc1XM9,2.690589726273514211258366463100664500338019452020819758613079108262988248765043631682413725862707415310e+02
SUSYc1XM10,1.004718150484572598819012819937984262723101332788764837567376841365256078422083697563938663709335626530e+02
SUSYc2XM1,1.720134033546214368276707625076707031020031403058415987659035981768851683926226812839038077227488653540e+00
SUSYc2XM2,2.730406881697565866824979893666171928534180374238766850494985427056226398756328109709693595216771545850e-01
SUSYc2XM3,-5.330007526578790401350090161831502879241066473434417650978833049746753351156776974380935071324695545640e+00
SUSYc2XM4,-4.642499257388563282551325064442215198845479400983753800908436547803238029457972645009896010076810417030e+00
SUSYc2XM5,6.758571374794178440990339893637512371140349466413677313614112947491331568871767387013501915698922545830e+00
SUSYc2XM6,1.254615704130555996440621538519685646439451347464566992820706464028037751243507582596907587200371800020e+01
SUSYc2XM7,4.888711121606979924279852546415080890996043605413054452873365062651745467901269502955411097058286836290e+00
