var,b_final_value
SUSYc1XM1,3.3799614958766453713955155634411737140823965600155028409429802185823469377987137080e+00
SUSYc1XM2,3.0362286824590300503113826121892237464417478435647965776213729146534881658311864710e-01
SUSYc1XM3,-5.8405662358179433248018481834403479492302820522764471896276733474936874223556476100e+01
SUSYc1XM4,-3.0480157126640916436434880825897407291531086832780091825960512721743002296837066430e+02
SUSYc1XM6,-4.1607618962851932692767892937971541041701198922144875629185556543735004207339284810e+03
SUSYc1XM7,1.1341818248862224310542132559972700782305467535858546583194278755235877416578077700e+03
SUSYc1XM8,-1.8626011001330565731947070987564221628097730500207734547758646215511595568793056380e+03
SUSYc1XM9,-1.4111216323473480366690865453922326334760948215632825822487505673986976415008890820e+04
SUSYc1XM10,1.5952948975590984349487010390746289415629945130655545068282825651556616680955904850e+04
SUSYc1XM11,-8.9984496857698712820008317570459123073874682492009378862307438679733888673945236850e+03
SUSYc2XM1,-2.2533076639177635809303437089607824760549310400103352272953201457215646251991424830e+00
SUSYc2XM2,4.5956567296130369149591031963337762904519949856910124611142259119515667692618633240e+00
SUSYc2XM3,1.8853190718070102167907426604443415012833539358307539869145643852226087936349723610e+00
SUSYc2XM4,-1.1920747851785430513531559251670034448466048248675883207909757962307629750946271500e+01
SUSYc2XM5,1.8403468970873667101493017968175170134492402086485497379114724717939093336267597760e+01
SUSYc2XM6,-9.1956763059131834062787339721150729781551823614516438834167633896890151907376807500e+00
