"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM1","1.879152843361163698639562483686297106708083566359552488375265476931577671934429878804764828006416","-1/24576*SUSYc1XM1 + SUSYc1XM3/6144 - SUSYc1XM5/1536 + SUSYc1XM7/384 - SUSYc1XM9/96 + SUSYc2XM1/24576 - (SUSYc1XM10*SUSYc2XM1)/24 - (SUSYc1XM2*SUSYc2XM1)/6144 + (SUSYc1XM4*SUSYc2XM1)/1536 + (SUSYc1XM8*SUSYc2XM1)/96 + (SUSYc1XM1*SUSYc2XM2)/6144 - (SUSYc1XM3*SUSYc2XM2)/1536 + (SUSYc1XM5*SUSYc2XM2)/384 - (SUSYc1XM7*SUSYc2XM2)/96 + (SUSYc1XM9*SUSYc2XM2)/24 - SUSYc2XM3/6144 + (SUSYc1XM10*SUSYc2XM3)/6 + (SUSYc1XM2*SUSYc2XM3)/1536 - (SUSYc1XM4*SUSYc2XM3)/384 - (SUSYc1XM8*SUSYc2XM3)/24 - (SUSYc1XM1*SUSYc2XM4)/1536 + (SUSYc1XM3*SUSYc2XM4)/384 - (SUSYc1XM5*SUSYc2XM4)/96 + (SUSYc1XM7*SUSYc2XM4)/24 - (SUSYc1XM9*SUSYc2XM4)/6","{-1/24576 + SUSYc2XM2/6144 - SUSYc2XM4/1536, -1/6144*SUSYc2XM1 + SUSYc2XM3/1536, 1/6144 - SUSYc2XM2/1536 + SUSYc2XM4/384, SUSYc2XM1/1536 - SUSYc2XM3/384, -1/1536 + SUSYc2XM2/384 - SUSYc2XM4/96, 1/384 - SUSYc2XM2/96 + SUSYc2XM4/24, SUSYc2XM1/96 - SUSYc2XM3/24, -1/96 + SUSYc2XM2/24 - SUSYc2XM4/6, -1/24*SUSYc2XM1 + SUSYc2XM3/6, 1/24576 - SUSYc1XM10/24 - SUSYc1XM2/6144 + SUSYc1XM4/1536 + SUSYc1XM8/96, SUSYc1XM1/6144 - SUSYc1XM3/1536 + SUSYc1XM5/384 - SUSYc1XM7/96 + SUSYc1XM9/24, -1/6144 + SUSYc1XM10/6 + SUSYc1XM2/1536 - SUSYc1XM4/384 - SUSYc1XM8/24, -1/1536*SUSYc1XM1 + SUSYc1XM3/384 - SUSYc1XM5/96 + SUSYc1XM7/24 - SUSYc1XM9/6}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM2","8.047464985010022807092506306315796855462764077131582613279525562662142328146854500251660173795759","-1/4096 - SUSYc1XM10/6 + SUSYc1XM2/1536 - SUSYc1XM4/768 + SUSYc1XM8/48 - (SUSYc1XM1*SUSYc2XM1)/1024 + (SUSYc1XM3*SUSYc2XM1)/384 - (SUSYc1XM5*SUSYc2XM1)/192 + (SUSYc1XM9*SUSYc2XM1)/12 + SUSYc2XM2/768 + (SUSYc1XM10*SUSYc2XM2)/3 - (SUSYc1XM2*SUSYc2XM2)/256 + (SUSYc1XM4*SUSYc2XM2)/96 + (SUSYc1XM1*SUSYc2XM3)/192 - (SUSYc1XM3*SUSYc2XM3)/64 + (SUSYc1XM5*SUSYc2XM3)/24 - (SUSYc1XM7*SUSYc2XM3)/12 - (5*SUSYc2XM4)/768 + (SUSYc1XM2*SUSYc2XM4)/48 - (SUSYc1XM4*SUSYc2XM4)/16 - (SUSYc1XM8*SUSYc2XM4)/3","{-1/1024*SUSYc2XM1 + SUSYc2XM3/192, 1/1536 - SUSYc2XM2/256 + SUSYc2XM4/48, SUSYc2XM1/384 - SUSYc2XM3/64, -1/768 + SUSYc2XM2/96 - SUSYc2XM4/16, -1/192*SUSYc2XM1 + SUSYc2XM3/24, -1/12*SUSYc2XM3, 1/48 - SUSYc2XM4/3, SUSYc2XM1/12, -1/6 + SUSYc2XM2/3, -1/1024*SUSYc1XM1 + SUSYc1XM3/384 - SUSYc1XM5/192 + SUSYc1XM9/12, 1/768 + SUSYc1XM10/3 - SUSYc1XM2/256 + SUSYc1XM4/96, SUSYc1XM1/192 - SUSYc1XM3/64 + SUSYc1XM5/24 - SUSYc1XM7/12, -5/768 + SUSYc1XM2/48 - SUSYc1XM4/16 - SUSYc1XM8/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM3","11.578696306973050558756788276544787553580653291973880230205950734095591103125915693361169090539459","SUSYc1XM1/1024 + SUSYc1XM3/1536 - SUSYc1XM5/96 + SUSYc1XM7/32 + SUSYc1XM9/12 - (3*SUSYc2XM1)/1024 + (SUSYc1XM10*SUSYc2XM1)/2 + (7*SUSYc1XM2*SUSYc2XM1)/1536 + (SUSYc1XM8*SUSYc2XM1)/12 - (19*SUSYc1XM1*SUSYc2XM2)/1536 + (SUSYc1XM3*SUSYc2XM2)/48 - (SUSYc1XM5*SUSYc2XM2)/96 - (SUSYc1XM7*SUSYc2XM2)/12 + (SUSYc1XM9*SUSYc2XM2)/6 + (35*SUSYc2XM3)/1536 - (5*SUSYc1XM2*SUSYc2XM3)/96 + (3*SUSYc1XM4*SUSYc2XM3)/32 - (SUSYc1XM8*SUSYc2XM3)/6 + (3*SUSYc1XM1*SUSYc2XM4)/32 - (7*SUSYc1XM3*SUSYc2XM4)/32 + (5*SUSYc1XM5*SUSYc2XM4)/12 - (SUSYc1XM7*SUSYc2XM4)/2","{1/1024 - (19*SUSYc2XM2)/1536 + (3*SUSYc2XM4)/32, (7*SUSYc2XM1)/1536 - (5*SUSYc2XM3)/96, 1/1536 + SUSYc2XM2/48 - (7*SUSYc2XM4)/32, (3*SUSYc2XM3)/32, -1/96 - SUSYc2XM2/96 + (5*SUSYc2XM4)/12, 1/32 - SUSYc2XM2/12 - SUSYc2XM4/2, SUSYc2XM1/12 - SUSYc2XM3/6, 1/12 + SUSYc2XM2/6, SUSYc2XM1/2, -3/1024 + SUSYc1XM10/2 + (7*SUSYc1XM2)/1536 + SUSYc1XM8/12, (-19*SUSYc1XM1)/1536 + SUSYc1XM3/48 - SUSYc1XM5/96 - SUSYc1XM7/12 + SUSYc1XM9/6, 35/1536 - (5*SUSYc1XM2)/96 + (3*SUSYc1XM4)/32 - SUSYc1XM8/6, (3*SUSYc1XM1)/32 - (7*SUSYc1XM3)/32 + (5*SUSYc1XM5)/12 - SUSYc1XM7/2}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM4","23.900230773544020177713360197693967542776337318980113805856489631344691022257088964385656565723055","-1/1536 + (2*SUSYc1XM10)/3 + SUSYc1XM2/128 - SUSYc1XM4/48 + SUSYc1XM8/6 + (SUSYc1XM1*SUSYc2XM1)/768 + (SUSYc1XM3*SUSYc2XM1)/48 - (SUSYc1XM5*SUSYc2XM1)/16 + (SUSYc1XM9*SUSYc2XM1)/3 - (5*SUSYc2XM2)/192 + (SUSYc1XM2*SUSYc2XM2)/48 + (SUSYc1XM4*SUSYc2XM2)/24 - (SUSYc1XM1*SUSYc2XM3)/8 + (7*SUSYc1XM3*SUSYc2XM3)/48 - (SUSYc1XM7*SUSYc2XM3)/3 + (5*SUSYc2XM4)/16 - (7*SUSYc1XM2*SUSYc2XM4)/12 + (5*SUSYc1XM4*SUSYc2XM4)/6","{SUSYc2XM1/768 - SUSYc2XM3/8, 1/128 + SUSYc2XM2/48 - (7*SUSYc2XM4)/12, SUSYc2XM1/48 + (7*SUSYc2XM3)/48, -1/48 + SUSYc2XM2/24 + (5*SUSYc2XM4)/6, -1/16*SUSYc2XM1, -1/3*SUSYc2XM3, 1/6, SUSYc2XM1/3, 2/3, SUSYc1XM1/768 + SUSYc1XM3/48 - SUSYc1XM5/16 + SUSYc1XM9/3, -5/192 + SUSYc1XM2/48 + SUSYc1XM4/24, -1/8*SUSYc1XM1 + (7*SUSYc1XM3)/48 - SUSYc1XM7/3, 5/16 - (7*SUSYc1XM2)/12 + (5*SUSYc1XM4)/6}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM5","24.918875799179022073307599888481901902302946604811686985659380109769590519015479830203371558164751","(29*SUSYc1XM1)/1536 - SUSYc1XM3/64 - SUSYc1XM5/16 + SUSYc1XM7/8 + SUSYc1XM9/2 - (25*SUSYc2XM1)/1536 + (11*SUSYc1XM2*SUSYc2XM1)/192 - (SUSYc1XM4*SUSYc2XM1)/16 + (SUSYc1XM8*SUSYc2XM1)/6 - (SUSYc1XM1*SUSYc2XM2)/64 + (7*SUSYc1XM3*SUSYc2XM2)/48 - (5*SUSYc1XM5*SUSYc2XM2)/24 - (SUSYc1XM7*SUSYc2XM2)/6 - (15*SUSYc2XM3)/64 + (7*SUSYc1XM2*SUSYc2XM3)/48 + (5*SUSYc1XM4*SUSYc2XM3)/24 - (21*SUSYc1XM1*SUSYc2XM4)/16 + (35*SUSYc1XM3*SUSYc2XM4)/24 - (5*SUSYc1XM5*SUSYc2XM4)/6","{29/1536 - SUSYc2XM2/64 - (21*SUSYc2XM4)/16, (11*SUSYc2XM1)/192 + (7*SUSYc2XM3)/48, -1/64 + (7*SUSYc2XM2)/48 + (35*SUSYc2XM4)/24, -1/16*SUSYc2XM1 + (5*SUSYc2XM3)/24, -1/16 - (5*SUSYc2XM2)/24 - (5*SUSYc2XM4)/6, 1/8 - SUSYc2XM2/6, SUSYc2XM1/6, 1/2, 0, -25/1536 + (11*SUSYc1XM2)/192 - SUSYc1XM4/16 + SUSYc1XM8/6, -1/64*SUSYc1XM1 + (7*SUSYc1XM3)/48 - (5*SUSYc1XM5)/24 - SUSYc1XM7/6, -15/64 + (7*SUSYc1XM2)/48 + (5*SUSYc1XM4)/24, (-21*SUSYc1XM1)/16 + (35*SUSYc1XM3)/24 - (5*SUSYc1XM5)/6}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM7","12647.451515031349234614347947440109091016672830032603413896285177972997166650457239896636271167328703","19/768 + SUSYc1XM2/48 - SUSYc1XM4/8 + SUSYc1XM8/3 + (3*SUSYc1XM1*SUSYc2XM1)/32 - (SUSYc1XM5*SUSYc2XM1)/4 - SUSYc2XM2/8 + (7*SUSYc1XM2*SUSYc2XM2)/24 - (SUSYc1XM4*SUSYc2XM2)/6 + (7*SUSYc1XM3*SUSYc2XM3)/12 - (2*SUSYc1XM5*SUSYc2XM3)/3 - (21*SUSYc2XM4)/8 + (7*SUSYc1XM2*SUSYc2XM4)/3 - SUSYc1XM4*SUSYc2XM4","{(3*SUSYc2XM1)/32, 1/48 + (7*SUSYc2XM2)/24 + (7*SUSYc2XM4)/3, (7*SUSYc2XM3)/12, -1/8 - SUSYc2XM2/6 - SUSYc2XM4, -1/4*SUSYc2XM1 - (2*SUSYc2XM3)/3, 0, 1/3, 0, 0, (3*SUSYc1XM1)/32 - SUSYc1XM5/4, -1/8 + (7*SUSYc1XM2)/24 - SUSYc1XM4/6, (7*SUSYc1XM3)/12 - (2*SUSYc1XM5)/3, -21/8 + (7*SUSYc1XM2)/3 - SUSYc1XM4}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM8","-17662.837798374860419708776309225582517152945350481258954352300062199286583889037457613441024811840183","(3*SUSYc1XM1)/32 - (7*SUSYc1XM3)/48 - SUSYc1XM5/6 + SUSYc1XM7/6 + (3*SUSYc2XM1)/32 + (7*SUSYc1XM2*SUSYc2XM1)/48 - (SUSYc1XM4*SUSYc2XM1)/3 + (7*SUSYc1XM1*SUSYc2XM2)/16 - (SUSYc1XM5*SUSYc2XM2)/2 - (7*SUSYc2XM3)/16 + (7*SUSYc1XM2*SUSYc2XM3)/6 - (5*SUSYc1XM4*SUSYc2XM3)/6 + (7*SUSYc1XM1*SUSYc2XM4)/2 - (7*SUSYc1XM3*SUSYc2XM4)/6","{3/32 + (7*SUSYc2XM2)/16 + (7*SUSYc2XM4)/2, (7*SUSYc2XM1)/48 + (7*SUSYc2XM3)/6, -7/48 - (7*SUSYc2XM4)/6, -1/3*SUSYc2XM1 - (5*SUSYc2XM3)/6, -1/6 - SUSYc2XM2/2, 1/6, 0, 0, 0, 3/32 + (7*SUSYc1XM2)/48 - SUSYc1XM4/3, (7*SUSYc1XM1)/16 - SUSYc1XM5/2, -7/16 + (7*SUSYc1XM2)/6 - (5*SUSYc1XM4)/6, (7*SUSYc1XM1)/2 - (7*SUSYc1XM3)/6}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM9","-25579.103561705289326190707554662117597867690585892470924592461585202461700639315154167671313362040163","3/16 - SUSYc1XM2/12 - SUSYc1XM4/3 + (3*SUSYc1XM1*SUSYc2XM1)/8 - (SUSYc1XM3*SUSYc2XM1)/3 - (SUSYc1XM5*SUSYc2XM1)/3 + SUSYc2XM2/2 + (SUSYc1XM2*SUSYc2XM2)/3 - (2*SUSYc1XM4*SUSYc2XM2)/3 + 2*SUSYc1XM1*SUSYc2XM3 - SUSYc1XM3*SUSYc2XM3 + 5*SUSYc2XM4 - (4*SUSYc1XM2*SUSYc2XM4)/3","{(3*SUSYc2XM1)/8 + 2*SUSYc2XM3, -1/12 + SUSYc2XM2/3 - (4*SUSYc2XM4)/3, -1/3*SUSYc2XM1 - SUSYc2XM3, -1/3 - (2*SUSYc2XM2)/3, -1/3*SUSYc2XM1, 0, 0, 0, 0, (3*SUSYc1XM1)/8 - SUSYc1XM3/3 - SUSYc1XM5/3, 1/2 + SUSYc1XM2/3 - (2*SUSYc1XM4)/3, 2*SUSYc1XM1 - SUSYc1XM3, 5 - (4*SUSYc1XM2)/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc1XM10","49035.284012173393442890493604879527998940865611242812559965430255712857306124697102026033853045474081","(3*SUSYc1XM1)/32 - (11*SUSYc1XM3)/24 - SUSYc1XM5/6 + (21*SUSYc2XM1)/32 - (5*SUSYc1XM2*SUSYc2XM1)/24 - (SUSYc1XM4*SUSYc2XM1)/2 + (7*SUSYc1XM1*SUSYc2XM2)/8 - (5*SUSYc1XM3*SUSYc2XM2)/6 + (25*SUSYc2XM3)/8 - (7*SUSYc1XM2*SUSYc2XM3)/6 - (3*SUSYc1XM1*SUSYc2XM4)/2","{3/32 + (7*SUSYc2XM2)/8 - (3*SUSYc2XM4)/2, (-5*SUSYc2XM1)/24 - (7*SUSYc2XM3)/6, -11/24 - (5*SUSYc2XM2)/6, -1/2*SUSYc2XM1, -1/6, 0, 0, 0, 0, 21/32 - (5*SUSYc1XM2)/24 - SUSYc1XM4/2, (7*SUSYc1XM1)/8 - (5*SUSYc1XM3)/6, 25/8 - (7*SUSYc1XM2)/6, (-3*SUSYc1XM1)/2}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11, 12, 13}}",500,"SUSYc2XM1","-429.913680602400831213313973202633069361934345404542537491696618197808269765667448679693609863655351","19/48 - SUSYc1XM2/2 - SUSYc1XM4/3 + (SUSYc1XM1*SUSYc2XM1)/12 - (2*SUSYc1XM3*SUSYc2XM1)/3 + (5*SUSYc2XM2)/3 - SUSYc1XM2*SUSYc2XM2 - (4*SUSYc1XM1*SUSYc2XM3)/3 - (5*SUSYc2XM4)/3","{SUSYc2XM1/12 - (4*SUSYc2XM3)/3, -1/2 - SUSYc2XM2, (-2*SUSYc2XM1)/3, -1/3, 0, 0, 0, 0, 0, SUSYc1XM1/12 - (2*SUSYc1XM3)/3, 5/3 - SUSYc1XM2, (-4*SUSYc1XM1)/3, -5/3}"
