"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM1","-1.921265574323622674607235896866846317892111837440834977369414439853829945452985550934893407612274","SUSYc1XM1/8192 - SUSYc1XM3/2048 + SUSYc1XM5/512 - SUSYc1XM7/128 + SUSYc1XM9/32 - SUSYc2XM1/8192 + (SUSYc1XM10*SUSYc2XM1)/8 + (SUSYc1XM2*SUSYc2XM1)/2048 - (SUSYc1XM4*SUSYc2XM1)/512 + (SUSYc1XM6*SUSYc2XM1)/128 - (SUSYc1XM1*SUSYc2XM2)/2048 + (SUSYc1XM3*SUSYc2XM2)/512 - (SUSYc1XM5*SUSYc2XM2)/128 + (SUSYc1XM7*SUSYc2XM2)/32 - (SUSYc1XM9*SUSYc2XM2)/8","{1/8192 - SUSYc2XM2/2048, SUSYc2XM1/2048, -1/2048 + SUSYc2XM2/512, -1/512*SUSYc2XM1, 1/512 - SUSYc2XM2/128, SUSYc2XM1/128, -1/128 + SUSYc2XM2/32, 1/32 - SUSYc2XM2/8, SUSYc2XM1/8, -1/8192 + SUSYc1XM10/8 + SUSYc1XM2/2048 - SUSYc1XM4/512 + SUSYc1XM6/128, -1/2048*SUSYc1XM1 + SUSYc1XM3/512 - SUSYc1XM5/128 + SUSYc1XM7/32 - SUSYc1XM9/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM2","6.479429846172614090839431525159296850586085446558144791258732526709664331933326678564567942900428","1/1024 + SUSYc1XM10/4 - (3*SUSYc1XM2)/1024 + SUSYc1XM4/128 - SUSYc1XM6/64 + (SUSYc1XM1*SUSYc2XM1)/256 - (3*SUSYc1XM3*SUSYc2XM1)/256 + (SUSYc1XM5*SUSYc2XM1)/32 - (SUSYc1XM7*SUSYc2XM1)/16 - (5*SUSYc2XM2)/1024 + (SUSYc1XM2*SUSYc2XM2)/64 - (3*SUSYc1XM4*SUSYc2XM2)/64 + (SUSYc1XM6*SUSYc2XM2)/8","{SUSYc2XM1/256, -3/1024 + SUSYc2XM2/64, (-3*SUSYc2XM1)/256, 1/128 - (3*SUSYc2XM2)/64, SUSYc2XM1/32, -1/64 + SUSYc2XM2/8, -1/16*SUSYc2XM1, 0, 1/4, SUSYc1XM1/256 - (3*SUSYc1XM3)/256 + SUSYc1XM5/32 - SUSYc1XM7/16, -5/1024 + SUSYc1XM2/64 - (3*SUSYc1XM4)/64 + SUSYc1XM6/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM3","-9.441027507716925921435938124197572311082157278347847241996508635387774362745111589235725234938016","(-19*SUSYc1XM1)/2048 + SUSYc1XM3/64 - SUSYc1XM5/128 - SUSYc1XM7/16 + SUSYc1XM9/8 + (35*SUSYc2XM1)/2048 - (5*SUSYc1XM2*SUSYc2XM1)/128 + (9*SUSYc1XM4*SUSYc2XM1)/128 - (SUSYc1XM6*SUSYc2XM1)/16 + (9*SUSYc1XM1*SUSYc2XM2)/128 - (21*SUSYc1XM3*SUSYc2XM2)/128 + (5*SUSYc1XM5*SUSYc2XM2)/16 - (3*SUSYc1XM7*SUSYc2XM2)/8","{-19/2048 + (9*SUSYc2XM2)/128, (-5*SUSYc2XM1)/128, 1/64 - (21*SUSYc2XM2)/128, (9*SUSYc2XM1)/128, -1/128 + (5*SUSYc2XM2)/16, -1/16*SUSYc2XM1, -1/16 - (3*SUSYc2XM2)/8, 1/8, 0, 35/2048 - (5*SUSYc1XM2)/128 + (9*SUSYc1XM4)/128 - SUSYc1XM6/16, (9*SUSYc1XM1)/128 - (21*SUSYc1XM3)/128 + (5*SUSYc1XM5)/16 - (3*SUSYc1XM7)/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM4","16.47113837513217323091841084817932914174493287604650685237918644439151549068252946505515935975534","-5/256 + SUSYc1XM2/64 + SUSYc1XM4/32 - SUSYc1XM6/8 - (3*SUSYc1XM1*SUSYc2XM1)/32 + (7*SUSYc1XM3*SUSYc2XM1)/64 - (SUSYc1XM7*SUSYc2XM1)/4 + (15*SUSYc2XM2)/64 - (7*SUSYc1XM2*SUSYc2XM2)/16 + (5*SUSYc1XM4*SUSYc2XM2)/8 - (SUSYc1XM6*SUSYc2XM2)/2","{(-3*SUSYc2XM1)/32, 1/64 - (7*SUSYc2XM2)/16, (7*SUSYc2XM1)/64, 1/32 + (5*SUSYc2XM2)/8, 0, -1/8 - SUSYc2XM2/2, -1/4*SUSYc2XM1, 0, 0, (-3*SUSYc1XM1)/32 + (7*SUSYc1XM3)/64 - SUSYc1XM7/4, 15/64 - (7*SUSYc1XM2)/16 + (5*SUSYc1XM4)/8 - SUSYc1XM6/2}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM5","-17.445803435894644957661843428102036590689137366421523257760163468240575759681245943424842113524448","(-3*SUSYc1XM1)/256 + (7*SUSYc1XM3)/64 - (5*SUSYc1XM5)/32 - SUSYc1XM7/8 - (45*SUSYc2XM1)/256 + (7*SUSYc1XM2*SUSYc2XM1)/64 + (5*SUSYc1XM4*SUSYc2XM1)/32 - (3*SUSYc1XM6*SUSYc2XM1)/8 - (63*SUSYc1XM1*SUSYc2XM2)/64 + (35*SUSYc1XM3*SUSYc2XM2)/32 - (5*SUSYc1XM5*SUSYc2XM2)/8","{-3/256 - (63*SUSYc2XM2)/64, (7*SUSYc2XM1)/64, 7/64 + (35*SUSYc2XM2)/32, (5*SUSYc2XM1)/32, -5/32 - (5*SUSYc2XM2)/8, (-3*SUSYc2XM1)/8, -1/8, 0, 0, -45/256 + (7*SUSYc1XM2)/64 + (5*SUSYc1XM4)/32 - (3*SUSYc1XM6)/8, (-63*SUSYc1XM1)/64 + (35*SUSYc1XM3)/32 - (5*SUSYc1XM5)/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM6","18.425696861382113683481569362850444008663902763232953221506937976614118513853618080922899630215202","-3/32 + (7*SUSYc1XM2)/32 - SUSYc1XM4/8 - SUSYc1XM6/4 + (7*SUSYc1XM3*SUSYc2XM1)/16 - (SUSYc1XM5*SUSYc2XM1)/2 - (63*SUSYc2XM2)/32 + (7*SUSYc1XM2*SUSYc2XM2)/4 - (3*SUSYc1XM4*SUSYc2XM2)/4","{0, 7/32 + (7*SUSYc2XM2)/4, (7*SUSYc2XM1)/16, -1/8 - (3*SUSYc2XM2)/4, -1/2*SUSYc2XM1, -1/4, 0, 0, 0, (7*SUSYc1XM3)/16 - SUSYc1XM5/2, -63/32 + (7*SUSYc1XM2)/4 - (3*SUSYc1XM4)/4}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM7","-12.771593832959617499745306546987275862594613200455000374257971342642900433039589903204739336604113","(21*SUSYc1XM1)/64 - (3*SUSYc1XM5)/8 - (21*SUSYc2XM1)/64 + (7*SUSYc1XM2*SUSYc2XM1)/8 - (5*SUSYc1XM4*SUSYc2XM1)/8 + (21*SUSYc1XM1*SUSYc2XM2)/8 - (7*SUSYc1XM3*SUSYc2XM2)/8","{21/64 + (21*SUSYc2XM2)/8, (7*SUSYc2XM1)/8, (-7*SUSYc2XM2)/8, (-5*SUSYc2XM1)/8, -3/8, 0, 0, 0, 0, -21/64 + (7*SUSYc1XM2)/8 - (5*SUSYc1XM4)/8, (21*SUSYc1XM1)/8 - (7*SUSYc1XM3)/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM9","3290.03733935144884767858798836599334943949390205031968317302288665388346031399197484190572518705014","3/8 + SUSYc1XM2/4 - SUSYc1XM4/2 + (3*SUSYc1XM1*SUSYc2XM1)/2 - (3*SUSYc1XM3*SUSYc2XM1)/4 + (15*SUSYc2XM2)/4 - SUSYc1XM2*SUSYc2XM2","{(3*SUSYc2XM1)/2, 1/4 - SUSYc2XM2, (-3*SUSYc2XM1)/4, -1/2, 0, 0, 0, 0, 0, (3*SUSYc1XM1)/2 - (3*SUSYc1XM3)/4, 15/4 - SUSYc1XM2}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc1XM10","5082.677645213014289800290415698811511667720758013024658207804360554776378022477095583483189080255336","(21*SUSYc1XM1)/32 - (5*SUSYc1XM3)/8 + (75*SUSYc2XM1)/32 - (7*SUSYc1XM2*SUSYc2XM1)/8 - (9*SUSYc1XM1*SUSYc2XM2)/8","{21/32 - (9*SUSYc2XM2)/8, (-7*SUSYc2XM1)/8, -5/8, 0, 0, 0, 0, 0, 0, 75/32 - (7*SUSYc1XM2)/8, (-9*SUSYc1XM1)/8}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2, 11}}",500,"SUSYc2XM1","-442.950126775526071253083260969103563974972801904212683906490455435669243375758789015939527349634898","5/4 - (3*SUSYc1XM2)/4 - SUSYc1XM1*SUSYc2XM1 - (5*SUSYc2XM2)/4","{-SUSYc2XM1, -3/4, 0, 0, 0, 0, 0, 0, 0, -SUSYc1XM1, -5/4}"
