"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM1","-564.217765595123840558443859525666455626350585380402743289701871323446743763990654586041372042286089","-1/9216 + SUSYc1XM10/9 + SUSYc1XM2/2304 - SUSYc1XM4/576 + SUSYc1XM6/144 - SUSYc1XM8/36 - (SUSYc1XM1*SUSYc2XM1)/2304 + (SUSYc1XM3*SUSYc2XM1)/576 - (SUSYc1XM5*SUSYc2XM1)/144 + (SUSYc1XM7*SUSYc2XM1)/36","{-1/2304*SUSYc2XM1, 1/2304, SUSYc2XM1/576, -1/576, -1/144*SUSYc2XM1, 1/144, SUSYc2XM1/36, -1/36, 1/9, -1/2304*SUSYc1XM1 + SUSYc1XM3/576 - SUSYc1XM5/144 + SUSYc1XM7/36}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM2","999.563690636864375572258851705294196097290979736855685130581679878675338011856580184674629606819237","SUSYc1XM1/288 - SUSYc1XM3/96 + SUSYc1XM5/36 - SUSYc1XM7/18 - (5*SUSYc2XM1)/1152 + (SUSYc1XM2*SUSYc2XM1)/72 - (SUSYc1XM4*SUSYc2XM1)/24 + (SUSYc1XM6*SUSYc2XM1)/9 - (2*SUSYc1XM8*SUSYc2XM1)/9","{1/288, SUSYc2XM1/72, -1/96, -1/24*SUSYc2XM1, 1/36, SUSYc2XM1/9, -1/18, (-2*SUSYc2XM1)/9, 0, -5/1152 + SUSYc1XM2/72 - SUSYc1XM4/24 + SUSYc1XM6/9 - (2*SUSYc1XM8)/9}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM3","-2953.048327914835826816828779225191856402073466473780217826821401819114589609612730843686774170378259","35/2304 - (5*SUSYc1XM2)/144 + SUSYc1XM4/16 - SUSYc1XM6/18 - SUSYc1XM8/9 + (SUSYc1XM1*SUSYc2XM1)/16 - (7*SUSYc1XM3*SUSYc2XM1)/48 + (5*SUSYc1XM5*SUSYc2XM1)/18 - (SUSYc1XM7*SUSYc2XM1)/3","{SUSYc2XM1/16, -5/144, (-7*SUSYc2XM1)/48, 1/16, (5*SUSYc2XM1)/18, -1/18, -1/3*SUSYc2XM1, -1/9, 0, SUSYc1XM1/16 - (7*SUSYc1XM3)/48 + (5*SUSYc1XM5)/18 - SUSYc1XM7/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM4","3823.734974119554220308856549131563150920538939469461789043626739417567031942155304524524155524260415","-1/12*SUSYc1XM1 + (7*SUSYc1XM3)/72 - (2*SUSYc1XM7)/9 + (5*SUSYc2XM1)/24 - (7*SUSYc1XM2*SUSYc2XM1)/18 + (5*SUSYc1XM4*SUSYc2XM1)/9 - (4*SUSYc1XM6*SUSYc2XM1)/9","{-1/12, (-7*SUSYc2XM1)/18, 7/72, (5*SUSYc2XM1)/9, 0, (-4*SUSYc2XM1)/9, -2/9, 0, 0, 5/24 - (7*SUSYc1XM2)/18 + (5*SUSYc1XM4)/9 - (4*SUSYc1XM6)/9}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM5","-5663.619578496460195001681210307861518346262652559079028251823422760419202263127674131121207605965472","-5/32 + (7*SUSYc1XM2)/72 + (5*SUSYc1XM4)/36 - SUSYc1XM6/3 - (7*SUSYc1XM1*SUSYc2XM1)/8 + (35*SUSYc1XM3*SUSYc2XM1)/36 - (5*SUSYc1XM5*SUSYc2XM1)/9","{(-7*SUSYc2XM1)/8, 7/72, (35*SUSYc2XM1)/36, 5/36, (-5*SUSYc2XM1)/9, -1/3, 0, 0, 0, (-7*SUSYc1XM1)/8 + (35*SUSYc1XM3)/36 - (5*SUSYc1XM5)/9}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM6","5055.123915446963222384556712970658518352821410966044899001586027138212889628758952237489394014863928","(7*SUSYc1XM3)/18 - (4*SUSYc1XM5)/9 - (7*SUSYc2XM1)/4 + (14*SUSYc1XM2*SUSYc2XM1)/9 - (2*SUSYc1XM4*SUSYc2XM1)/3","{0, (14*SUSYc2XM1)/9, 7/18, (-2*SUSYc2XM1)/3, -4/9, 0, 0, 0, 0, -7/4 + (14*SUSYc1XM2)/9 - (2*SUSYc1XM4)/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM7","-4239.979161083029138862362601118143245967017616597427656411948236028600876186278439670097628631907238","-7/24 + (7*SUSYc1XM2)/9 - (5*SUSYc1XM4)/9 + (7*SUSYc1XM1*SUSYc2XM1)/3 - (7*SUSYc1XM3*SUSYc2XM1)/9","{(7*SUSYc2XM1)/3, 7/9, (-7*SUSYc2XM1)/9, -5/9, 0, 0, 0, 0, 0, (7*SUSYc1XM1)/3 - (7*SUSYc1XM3)/9}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM8","2223.556923401832440018175401050085713888830841435549182468961271776805460642812527906780180574443857","(4*SUSYc1XM1)/3 - (2*SUSYc1XM3)/3 + (10*SUSYc2XM1)/3 - (8*SUSYc1XM2*SUSYc2XM1)/9","{4/3, (-8*SUSYc2XM1)/9, -2/3, 0, 0, 0, 0, 0, 0, 10/3 - (8*SUSYc1XM2)/9}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc1XM10","1326.385128000582854170267911763261759446310103642969851624351925318040417863747845012524526315034467","25/12 - (7*SUSYc1XM2)/9 - SUSYc1XM1*SUSYc2XM1","{-SUSYc2XM1, -7/9, 0, 0, 0, 0, 0, 0, 0, -SUSYc1XM1}"
"{{1, 3, 4, 5, 6, 7, 8, 9, 10}, {2}}",500,"SUSYc2XM1","1.374212476099072446755087620533164501080468304322194631761497058757395011192523668833097633828872","-h - (8*SUSYc1XM1)/9 - (10*SUSYc2XM1)/9","{-8/9, 0, 0, 0, 0, 0, 0, 0, 0, -10/9}"
