var,b_final_value
SUSYc1XM1,-3.440268067092428736553415250153414062040062806116831975318071963537703612190443870951036604289284773490e+00
SUSYc1XM2,1.138796311933503069261393503485902674235227891472557907654392267761722475645522356868478901672554102350e+01
SUSYc1XM4,6.781642926028090705148461588691662062398350340671927134626898783161610255801039308093341215168754080070e+01
SUSYc1XM5,-2.418788367081299122908093969519770291909115071380620556946724824505530803751452636402929554461029042210e+01
SUSYc1XM6,-9.365443108175962860393969826303609376092529620493987793322951575441814575570692669232754384112064831620e+01
SUSYc1XM7,-9.688669873536496931253465300610739129395053613888363322137121532993293488706206447107469040844926515740e+01
SUSYc1XM8,1.327110144123081196875789404028117631617900503906177717339997866282806559861783841724889253500912764290e+02
SUSYc1XM9,2.690589726273514211258366463100664500338019452020819758613079108262989570994266656264163876481056927900e+02
SUSYc1XM10,1.004718150484572598819012819937984262723101332788764837567376841365258418059925968132408921682694439330e+02
SUSYc2XM1,1.720134033546214368276707625076707031020031403058415987659035981768851806095221935475518302144642386750e+00
SUSYc2XM2,2.730406881697565866824979893666171928534180374238766850494985427056231839350295611503384910211833306810e-01
SUSYc2XM3,-5.330007526578790401350090161831502879241066473434417650978833049746752376762767422118093241295105490200e+00
SUSYc2XM4,-4.642499257388563282551325064442215198845479400983753800908436547803241817953911928257250005300579372890e+00
SUSYc2XM5,6.758571374794178440990339893637512371140349466413677313614112947491327682563591894317499566035812035580e+00
SUSYc2XM6,1.254615704130555996440621538519685646439451347464566992820706464028038453473393430550241792022229157070e+01
SUSYc2XM7,4.888711121606979924279852546415080890996043605413054452873365062651757054282571417319433809825434275230e+00
