var,b_final_value
SUSYc1XM1,-3.379961495876645371395515563441210440260794984040842476824528073055607858137958807447798279919296257220e+00
SUSYc1XM2,3.036228682459030050311382612189130683601770434104420196951864002669255607650902938436508656486027295010e-01
SUSYc1XM3,5.840566235817943324801848183440394263716128960509366305433681395182010411675721050601135921184123742810e+01
SUSYc1XM4,-3.048015712664091643643488082589767657058493341514889744017046039648693082401066925956879545193544838300e+02
SUSYc1XM6,-4.160761896285193269276789293797212115529580017720421692517800809046386041903351615434745064226627551300e+03
SUSYc1XM7,-1.134181824886222431054213255997418529393232330544210396340927126453827426575937167069498513613063098680e+03
SUSYc1XM8,-1.862601100133056573194707098756835543674191053608544995221629211150199013428538100398218724698240574320e+03
SUSYc1XM9,1.411121632347348036669086545392172883802930683682149185828343861872552304488120145363495619581760383400e+04
SUSYc1XM10,1.595294897559098434948701039074574893368355524651038790570482637907415839660972631949625987636864039960e+04
SUSYc1XM11,8.998449685769871282000831757045693715183179369730530731021836050754797160413869558026342583125212637630e+03
SUSYc2XM1,2.253307663917763580930343708960806960173863322693894984549685382037071905425305871631865519946197504850e+00
SUSYc2XM2,4.595656729613036914959103196333905535179824169681995434269032220800794727041135777422750788888279872370e+00
SUSYc2XM3,-1.885319071807010216790742660443939865425147166692526912240277218966001155708916558323156927109920749350e+00
SUSYc2XM4,-1.192074785178543051353155925166935353197935311024634588221681274311931674787524427435948474822435080980e+01
SUSYc2XM5,-1.840346897087366710149301796817450098341986191754285394665706737962816758267042182829233245021141487300e+01
SUSYc2XM6,-9.195676305913183406278733972114790587467404077888458143123065507490033717329188186201703976122206948910e+00
