"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",1000,"SUSYc1XM1","4.12922112963937773287682248169428566827094204652717382662633750828682290311892238999168108109048403949374068887692725120123270035235981350521587093665498356863426064320956822684892871542411526591283386713337109935","SUSYc1XM1/32768 - SUSYc1XM11/32 - SUSYc1XM3/8192 + SUSYc1XM5/2048 - SUSYc1XM7/512 + SUSYc1XM9/128 - SUSYc2XM1/32768 + (SUSYc1XM10*SUSYc2XM1)/32 + (SUSYc1XM2*SUSYc2XM1)/8192 - (SUSYc1XM4*SUSYc2XM1)/2048 + (SUSYc1XM6*SUSYc2XM1)/512 - (SUSYc1XM1*SUSYc2XM2)/8192 + (SUSYc1XM11*SUSYc2XM2)/8 + (SUSYc1XM3*SUSYc2XM2)/2048 - (SUSYc1XM5*SUSYc2XM2)/512 + (SUSYc1XM7*SUSYc2XM2)/128 - (SUSYc1XM9*SUSYc2XM2)/32 + SUSYc2XM3/8192 - (SUSYc1XM10*SUSYc2XM3)/8 - (SUSYc1XM2*SUSYc2XM3)/2048 + (SUSYc1XM4*SUSYc2XM3)/512 - (SUSYc1XM6*SUSYc2XM3)/128","{1/32768 - SUSYc2XM2/8192, SUSYc2XM1/8192 - SUSYc2XM3/2048, -1/8192 + SUSYc2XM2/2048, -1/2048*SUSYc2XM1 + SUSYc2XM3/512, 1/2048 - SUSYc2XM2/512, SUSYc2XM1/512 - SUSYc2XM3/128, -1/512 + SUSYc2XM2/128, 1/128 - SUSYc2XM2/32, SUSYc2XM1/32 - SUSYc2XM3/8, -1/32 + SUSYc2XM2/8, -1/32768 + SUSYc1XM10/32 + SUSYc1XM2/8192 - SUSYc1XM4/2048 + SUSYc1XM6/512, -1/8192*SUSYc1XM1 + SUSYc1XM11/8 + SUSYc1XM3/2048 - SUSYc1XM5/512 + SUSYc1XM7/128 - SUSYc1XM9/32, 1/8192 - SUSYc1XM10/8 - SUSYc1XM2/2048 + SUSYc1XM4/512 - SUSYc1XM6/128}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",1000,"SUSYc1XM2","15.00200731898005097162570718722623618114580684076802058795665624551061547038097973730902460600263620186972197991714697872296520962398651696812488901903997276839578942600496638925320762251878512933317552445110337487","1/4096 + SUSYc1XM10/16 - (3*SUSYc1XM2)/4096 + SUSYc1XM4/512 - SUSYc1XM6/256 + (SUSYc1XM1*SUSYc2XM1)/1024 + (SUSYc1XM11*SUSYc2XM1)/4 - (3*SUSYc1XM3*SUSYc2XM1)/1024 + (SUSYc1XM5*SUSYc2XM1)/128 - (SUSYc1XM7*SUSYc2XM1)/64 - (5*SUSYc2XM2)/4096 + (SUSYc1XM2*SUSYc2XM2)/256 - (3*SUSYc1XM4*SUSYc2XM2)/256 + (SUSYc1XM6*SUSYc2XM2)/32 - (5*SUSYc1XM1*SUSYc2XM3)/1024 + (SUSYc1XM3*SUSYc2XM3)/64 - (3*SUSYc1XM5*SUSYc2XM3)/64 + (SUSYc1XM7*SUSYc2XM3)/8 - (SUSYc1XM9*SUSYc2XM3)/4","{SUSYc2XM1/1024 - (5*SUSYc2XM3)/1024, -3/4096 + SUSYc2XM2/256, (-3*SUSYc2XM1)/1024 + SUSYc2XM3/64, 1/512 - (3*SUSYc2XM2)/256, SUSYc2XM1/128 - (3*SUSYc2XM3)/64, -1/256 + SUSYc2XM2/32, -1/64*SUSYc2XM1 + SUSYc2XM3/8, -1/4*SUSYc2XM3, 1/16, SUSYc2XM1/4, SUSYc1XM1/1024 + SUSYc1XM11/4 - (3*SUSYc1XM3)/1024 + SUSYc1XM5/128 - SUSYc1XM7/64, -5/4096 + SUSYc1XM2/256 - (3*SUSYc1XM4)/256 + SUSYc1XM6/32, (-5*SUSYc1XM1)/1024 + SUSYc1XM3/64 - (3*SUSYc1XM5)/64 + SUSYc1XM7/8 - SUSYc1XM9/4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",1000,"SUSYc1XM3","36.39831205530990369161196837341534463525469081119004149405480338374956464355931874958005206927328769998019067425883910931186638666078274561758106550801143718305248693875094589686899439807768507878865775831451975481","(-9*SUSYc1XM1)/4096 + (3*SUSYc1XM11)/8 + (7*SUSYc1XM3)/2048 - (3*SUSYc1XM7)/128 + SUSYc1XM9/16 + (17*SUSYc2XM1)/4096 + (SUSYc1XM10*SUSYc2XM1)/8 - (19*SUSYc1XM2*SUSYc2XM1)/2048 + (SUSYc1XM4*SUSYc2XM1)/64 - (SUSYc1XM6*SUSYc2XM1)/128 + (35*SUSYc1XM1*SUSYc2XM2)/2048 - (5*SUSYc1XM3*SUSYc2XM2)/128 + (9*SUSYc1XM5*SUSYc2XM2)/128 - (SUSYc1XM7*SUSYc2XM2)/16 - (SUSYc1XM9*SUSYc2XM2)/8 - (55*SUSYc2XM3)/2048 + (9*SUSYc1XM2*SUSYc2XM3)/128 - (21*SUSYc1XM4*SUSYc2XM3)/128 + (5*SUSYc1XM6*SUSYc2XM3)/16","{-9/4096 + (35*SUSYc2XM2)/2048, (-19*SUSYc2XM1)/2048 + (9*SUSYc2XM3)/128, 7/2048 - (5*SUSYc2XM2)/128, SUSYc2XM1/64 - (21*SUSYc2XM3)/128, (9*SUSYc2XM2)/128, -1/128*SUSYc2XM1 + (5*SUSYc2XM3)/16, -3/128 - SUSYc2XM2/16, 1/16 - SUSYc2XM2/8, SUSYc2XM1/8, 3/8, 17/4096 + SUSYc1XM10/8 - (19*SUSYc1XM2)/2048 + SUSYc1XM4/64 - SUSYc1XM6/128, (35*SUSYc1XM1)/2048 - (5*SUSYc1XM3)/128 + (9*SUSYc1XM5)/128 - SUSYc1XM7/16 - SUSYc1XM9/8, -55/2048 + (9*SUSYc1XM2)/128 - (21*SUSYc1XM4)/128 + (5*SUSYc1XM6)/16}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",1000,"SUSYc1XM4","74.97869919664344870816282335760277850524507225466552976086942545214694009540085781413328939488028651395647494440595843794815348842162972917155887576684724421308953862733982916704850885059672521657125266383602560457","-1/256 + SUSYc1XM10/4 + SUSYc1XM2/1024 + SUSYc1XM4/64 - (3*SUSYc1XM6)/64 - (5*SUSYc1XM1*SUSYc2XM1)/256 + (SUSYc1XM3*SUSYc2XM1)/64 + (SUSYc1XM5*SUSYc2XM1)/32 - (SUSYc1XM7*SUSYc2XM1)/8 + (55*SUSYc2XM2)/1024 - (3*SUSYc1XM2*SUSYc2XM2)/32 + (7*SUSYc1XM4*SUSYc2XM2)/64 + (15*SUSYc1XM1*SUSYc2XM3)/64 - (7*SUSYc1XM3*SUSYc2XM3)/16 + (5*SUSYc1XM5*SUSYc2XM3)/8 - (SUSYc1XM7*SUSYc2XM3)/2","{(-5*SUSYc2XM1)/256 + (15*SUSYc2XM3)/64, 1/1024 - (3*SUSYc2XM2)/32, SUSYc2XM1/64 - (7*SUSYc2XM3)/16, 1/64 + (7*SUSYc2XM2)/64, SUSYc2XM1/32 + (5*SUSYc2XM3)/8, -3/64, -1/8*SUSYc2XM1 - SUSYc2XM3/2, 0, 1/4, 0, (-5*SUSYc1XM1)/256 + SUSYc1XM3/64 + SUSYc1XM5/32 - SUSYc1XM7/8, 55/1024 - (3*SUSYc1XM2)/32 + (7*SUSYc1XM4)/64, (15*SUSYc1XM1)/64 - (7*SUSYc1XM3)/16 + (5*SUSYc1XM5)/8 - SUSYc1XM7/2}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",1000,"SUSYc1XM5","120.79769774020991275749616315575920445243721822887451202058353204977110035883427915084171339819920032818392110094421974681166362369396303854226156183939908722147741986549238647162347144561576331879471322750107705325","(-25*SUSYc1XM1)/2048 + (11*SUSYc1XM3)/256 - (3*SUSYc1XM5)/64 - (3*SUSYc1XM7)/32 + SUSYc1XM9/8 - (55*SUSYc2XM1)/2048 - (3*SUSYc1XM2*SUSYc2XM1)/256 + (7*SUSYc1XM4*SUSYc2XM1)/64 - (5*SUSYc1XM6*SUSYc2XM1)/32 - (45*SUSYc1XM1*SUSYc2XM2)/256 + (7*SUSYc1XM3*SUSYc2XM2)/64 + (5*SUSYc1XM5*SUSYc2XM2)/32 - (3*SUSYc1XM7*SUSYc2XM2)/8 + (165*SUSYc2XM3)/256 - (63*SUSYc1XM2*SUSYc2XM3)/64 + (35*SUSYc1XM4*SUSYc2XM3)/32 - (5*SUSYc1XM6*SUSYc2XM3)/8","{-25/2048 - (45*SUSYc2XM2)/256, (-3*SUSYc2XM1)/256 - (63*SUSYc2XM3)/64, 11/256 + (7*SUSYc2XM2)/64, (7*SUSYc2XM1)/64 + (35*SUSYc2XM3)/32, -3/64 + (5*SUSYc2XM2)/32, (-5*SUSYc2XM1)/32 - (5*SUSYc2XM3)/8, -3/32 - (3*SUSYc2XM2)/8, 1/8, 0, 0, -55/2048 - (3*SUSYc1XM2)/256 + (7*SUSYc1XM4)/64 - (5*SUSYc1XM6)/32, (-45*SUSYc1XM1)/256 + (7*SUSYc1XM3)/64 + (5*SUSYc1XM5)/32 - (3*SUSYc1XM7)/8, 165/256 - (63*SUSYc1XM2)/64 + (35*SUSYc1XM4)/32 - (5*SUSYc1XM6)/8}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",1000,"SUSYc1XM6","161.31849641067765182720714473234114518763108746983505243860764538577376430185489339760065627951378017093474330748572733795269614698506667295199764274011340017208037160834384033983796878772096915109466085974385798348","-11/256 + (9*SUSYc1XM2)/128 - (3*SUSYc1XM6)/16 - (3*SUSYc1XM1*SUSYc2XM1)/32 + (7*SUSYc1XM3*SUSYc2XM1)/32 - (SUSYc1XM5*SUSYc2XM1)/8 - (SUSYc1XM7*SUSYc2XM1)/4 - (33*SUSYc2XM2)/128 + (7*SUSYc1XM4*SUSYc2XM2)/16 - (SUSYc1XM6*SUSYc2XM2)/2 - (63*SUSYc1XM1*SUSYc2XM3)/32 + (7*SUSYc1XM3*SUSYc2XM3)/4 - (3*SUSYc1XM5*SUSYc2XM3)/4","{(-3*SUSYc2XM1)/32 - (63*SUSYc2XM3)/32, 9/128, (7*SUSYc2XM1)/32 + (7*SUSYc2XM3)/4, (7*SUSYc2XM2)/16, -1/8*SUSYc2XM1 - (3*SUSYc2XM3)/4, -3/16 - SUSYc2XM2/2, -1/4*SUSYc2XM1, 0, 0, 0, (-3*SUSYc1XM1)/32 + (7*SUSYc1XM3)/32 - SUSYc1XM5/8 - SUSYc1XM7/4, -33/128 + (7*SUSYc1XM4)/16 - SUSYc1XM6/2, (-63*SUSYc1XM1)/32 + (7*SUSYc1XM3)/4 - (3*SUSYc1XM5)/4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",1000,"SUSYc1XM7","169.69401568517526261640266675756728904520146458361845180999225546947614126888227873800018755506911204434429578834417447670309734401578941964467454617260148413844404541746598781051674267789543456083174186007970862443","(9*SUSYc1XM1)/128 + (7*SUSYc1XM3)/64 - SUSYc1XM5/4 - SUSYc1XM7/8 - (33*SUSYc2XM1)/128 + (21*SUSYc1XM2*SUSYc2XM1)/64 - (3*SUSYc1XM6*SUSYc2XM1)/8 - (21*SUSYc1XM1*SUSYc2XM2)/64 + (7*SUSYc1XM3*SUSYc2XM2)/8 - (5*SUSYc1XM5*SUSYc2XM2)/8 - (231*SUSYc2XM3)/64 + (21*SUSYc1XM2*SUSYc2XM3)/8 - (7*SUSYc1XM4*SUSYc2XM3)/8","{9/128 - (21*SUSYc2XM2)/64, (21*SUSYc2XM1)/64 + (21*SUSYc2XM3)/8, 7/64 + (7*SUSYc2XM2)/8, (-7*SUSYc2XM3)/8, -1/4 - (5*SUSYc2XM2)/8, (-3*SUSYc2XM1)/8, -1/8, 0, 0, 0, -33/128 + (21*SUSYc1XM2)/64 - (3*SUSYc1XM6)/8, (-21*SUSYc1XM1)/64 + (7*SUSYc1XM3)/8 - (5*SUSYc1XM5)/8, -231/64 + (21*SUSYc1XM2)/8 - (7*SUSYc1XM4)/8}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",1000,"SUSYc1XM9","124487.96342679355424043749400856290649696110215630023608612552923921860755530297869243884642026790351617803517595272864965408867096159467418657168740422295775128408978821655135137734588386323619617427007648832853260353","(9*SUSYc1XM2)/32 - SUSYc1XM4/4 - SUSYc1XM6/4 + (3*SUSYc1XM1*SUSYc2XM1)/8 + (SUSYc1XM3*SUSYc2XM1)/4 - (SUSYc1XM5*SUSYc2XM1)/2 - (33*SUSYc2XM2)/32 + (3*SUSYc1XM2*SUSYc2XM2)/2 - (3*SUSYc1XM4*SUSYc2XM2)/4 + (15*SUSYc1XM1*SUSYc2XM3)/4 - SUSYc1XM3*SUSYc2XM3","{(3*SUSYc2XM1)/8 + (15*SUSYc2XM3)/4, 9/32 + (3*SUSYc2XM2)/2, SUSYc2XM1/4 - SUSYc2XM3, -1/4 - (3*SUSYc2XM2)/4, -1/2*SUSYc2XM1, -1/4, 0, 0, 0, 0, (3*SUSYc1XM1)/8 + SUSYc1XM3/4 - SUSYc1XM5/2, -33/32 + (3*SUSYc1XM2)/2 - (3*SUSYc1XM4)/4, (15*SUSYc1XM1)/4 - SUSYc1XM3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",1000,"SUSYc1XM10","-409779.74149615831876506418850675837699598613337501163768002233594219410993868245625907339534950633066914372498306669542342203567280538726516524003036083025148384979172947765525683525037960391042468929723125826562846559","(63*SUSYc1XM1)/128 - (5*SUSYc1XM3)/32 - (3*SUSYc1XM5)/8 + (33*SUSYc2XM1)/128 + (21*SUSYc1XM2*SUSYc2XM1)/32 - (5*SUSYc1XM4*SUSYc2XM1)/8 + (75*SUSYc1XM1*SUSYc2XM2)/32 - (7*SUSYc1XM3*SUSYc2XM2)/8 + (165*SUSYc2XM3)/32 - (9*SUSYc1XM2*SUSYc2XM3)/8","{63/128 + (75*SUSYc2XM2)/32, (21*SUSYc2XM1)/32 - (9*SUSYc2XM3)/8, -5/32 - (7*SUSYc2XM2)/8, (-5*SUSYc2XM1)/8, -3/8, 0, 0, 0, 0, 0, 33/128 + (21*SUSYc1XM2)/32 - (5*SUSYc1XM4)/8, (75*SUSYc1XM1)/32 - (7*SUSYc1XM3)/8, 165/32 - (9*SUSYc1XM2)/8}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",1000,"SUSYc1XM11","385609.8494205034661519361712449528496793856176908926801356853490896108962785671569885696500523772525908388623031690393411477469406181819214320087629418088709331859755764838883610046570160578483013083745834503471338576","11/16 + SUSYc1XM2/16 - SUSYc1XM4/2 + (5*SUSYc1XM1*SUSYc2XM1)/4 - (3*SUSYc1XM3*SUSYc2XM1)/4 + (55*SUSYc2XM2)/16 - SUSYc1XM2*SUSYc2XM2 - (5*SUSYc1XM1*SUSYc2XM3)/4","{(5*SUSYc2XM1)/4 - (5*SUSYc2XM3)/4, 1/16 - SUSYc2XM2, (-3*SUSYc2XM1)/4, -1/2, 0, 0, 0, 0, 0, 0, (5*SUSYc1XM1)/4 - (3*SUSYc1XM3)/4, 55/16 - SUSYc1XM2, (-5*SUSYc1XM1)/4}"
