"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",5070,"SUSYc1XM1","-5918.02084802037259597289433874493201625583454880676627923918187662354555508310280132393299803428561582768756076612061523136982892391531500787611996696903860488205747734716735910129148015084229683657923373446505363484","1/7168 - SUSYc1XM2/1792 + SUSYc1XM4/448 - SUSYc1XM6/112 + SUSYc1XM8/28 + (SUSYc1XM1*SUSYc2XM1)/1792 - (SUSYc1XM3*SUSYc2XM1)/448 + (SUSYc1XM5*SUSYc2XM1)/112 + (SUSYc1XM9*SUSYc2XM1)/7 - SUSYc2XM2/1792 + (SUSYc1XM2*SUSYc2XM2)/448 - (SUSYc1XM4*SUSYc2XM2)/112 + (SUSYc1XM6*SUSYc2XM2)/28 - (SUSYc1XM8*SUSYc2XM2)/7","{SUSYc2XM1/1792, -1/1792 + SUSYc2XM2/448, -1/448*SUSYc2XM1, 1/448 - SUSYc2XM2/112, SUSYc2XM1/112, -1/112 + SUSYc2XM2/28, 1/28 - SUSYc2XM2/7, SUSYc2XM1/7, SUSYc1XM1/1792 - SUSYc1XM3/448 + SUSYc1XM5/112 + SUSYc1XM9/7, -1/1792 + SUSYc1XM2/448 - SUSYc1XM4/112 + SUSYc1XM6/28 - SUSYc1XM8/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",5070,"SUSYc1XM2","18769.48346142094345509003951411796942653851020191517760551337812029771233137888465294297099822795983488207414708822602965053618249269784284600807588767918310222324885698529464977954184421085908531789800985005927505879","(-3*SUSYc1XM1)/896 + SUSYc1XM3/112 - SUSYc1XM5/56 + (2*SUSYc1XM9)/7 + SUSYc2XM1/224 - (3*SUSYc1XM2*SUSYc2XM1)/224 + (SUSYc1XM4*SUSYc2XM1)/28 - (SUSYc1XM6*SUSYc2XM1)/14 + (SUSYc1XM1*SUSYc2XM2)/56 - (3*SUSYc1XM3*SUSYc2XM2)/56 + (SUSYc1XM5*SUSYc2XM2)/7","{-3/896 + SUSYc2XM2/56, (-3*SUSYc2XM1)/224, 1/112 - (3*SUSYc2XM2)/56, SUSYc2XM1/28, -1/56 + SUSYc2XM2/7, -1/14*SUSYc2XM1, 0, 2/7, 1/224 - (3*SUSYc1XM2)/224 + SUSYc1XM4/28 - SUSYc1XM6/14, SUSYc1XM1/56 - (3*SUSYc1XM3)/56 + SUSYc1XM5/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",5070,"SUSYc1XM3","-47800.58972011080357571331320086155439149299635803649534856868624971740841458502172091548132853900349060870445465696046963684531474033562414297496499966957504116206368506031824167862243364217831957868448339590749335718","-19/1792 + SUSYc1XM2/56 - SUSYc1XM4/112 - SUSYc1XM6/14 + SUSYc1XM8/7 - (5*SUSYc1XM1*SUSYc2XM1)/112 + (9*SUSYc1XM3*SUSYc2XM1)/112 - (SUSYc1XM5*SUSYc2XM1)/14 + (9*SUSYc2XM2)/112 - (3*SUSYc1XM2*SUSYc2XM2)/16 + (5*SUSYc1XM4*SUSYc2XM2)/14 - (3*SUSYc1XM6*SUSYc2XM2)/7","{(-5*SUSYc2XM1)/112, 1/56 - (3*SUSYc2XM2)/16, (9*SUSYc2XM1)/112, -1/112 + (5*SUSYc2XM2)/14, -1/14*SUSYc2XM1, -1/14 - (3*SUSYc2XM2)/7, 1/7, 0, (-5*SUSYc1XM1)/112 + (9*SUSYc1XM3)/112 - SUSYc1XM5/14, 9/112 - (3*SUSYc1XM2)/16 + (5*SUSYc1XM4)/14 - (3*SUSYc1XM6)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",5070,"SUSYc1XM4","79147.33099227554364777316576519949186277644839357707221126695296123851625307865374650773732708499575517661030661402609371138502629632302369211956874279236450994154909282435163161214857655443937313247753462877600067234","SUSYc1XM1/56 + SUSYc1XM3/28 - SUSYc1XM5/7 - (3*SUSYc2XM1)/28 + (SUSYc1XM2*SUSYc2XM1)/8 - (2*SUSYc1XM6*SUSYc2XM1)/7 - (SUSYc1XM1*SUSYc2XM2)/2 + (5*SUSYc1XM3*SUSYc2XM2)/7 - (4*SUSYc1XM5*SUSYc2XM2)/7","{1/56 - SUSYc2XM2/2, SUSYc2XM1/8, 1/28 + (5*SUSYc2XM2)/7, 0, -1/7 - (4*SUSYc2XM2)/7, (-2*SUSYc2XM1)/7, 0, 0, -3/28 + SUSYc1XM2/8 - (2*SUSYc1XM6)/7, -1/2*SUSYc1XM1 + (5*SUSYc1XM3)/7 - (4*SUSYc1XM5)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",5070,"SUSYc1XM5","-102326.4343934153236430903956350191937824928595727586619931133384350436595012241833518193179663182966823906836859045481355186510441174492550282945033047512072453134053877129963002850892443146622177219021049862300602592","-3/224 + SUSYc1XM2/8 - (5*SUSYc1XM4)/28 - SUSYc1XM6/7 + (SUSYc1XM1*SUSYc2XM1)/8 + (5*SUSYc1XM3*SUSYc2XM1)/28 - (3*SUSYc1XM5*SUSYc2XM1)/7 - (9*SUSYc2XM2)/8 + (5*SUSYc1XM2*SUSYc2XM2)/4 - (5*SUSYc1XM4*SUSYc2XM2)/7","{SUSYc2XM1/8, 1/8 + (5*SUSYc2XM2)/4, (5*SUSYc2XM1)/28, -5/28 - (5*SUSYc2XM2)/7, (-3*SUSYc2XM1)/7, -1/7, 0, 0, SUSYc1XM1/8 + (5*SUSYc1XM3)/28 - (3*SUSYc1XM5)/7, -9/8 + (5*SUSYc1XM2)/4 - (5*SUSYc1XM4)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",5070,"SUSYc1XM6","95445.28099541002963251666577779282307842128120185636236209487797678827369544724720726453890204075953670424307672924051014804311424764180974418894450470212014258968568777087937473988811892815355514313349172719053832895","SUSYc1XM1/4 - SUSYc1XM3/7 - (2*SUSYc1XM5)/7 + (SUSYc1XM2*SUSYc2XM1)/2 - (4*SUSYc1XM4*SUSYc2XM1)/7 + 2*SUSYc1XM1*SUSYc2XM2 - (6*SUSYc1XM3*SUSYc2XM2)/7","{1/4 + 2*SUSYc2XM2, SUSYc2XM1/2, -1/7 - (6*SUSYc2XM2)/7, (-4*SUSYc2XM1)/7, -2/7, 0, 0, 0, SUSYc1XM2/2 - (4*SUSYc1XM4)/7, 2*SUSYc1XM1 - (6*SUSYc1XM3)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",5070,"SUSYc1XM8","172108.37527720967008172052414575401761469479216097693889689818748469675167207926086880577604486770475946870599950439277842940038325848629274888043852040656794667364938469391704547507935833259334864370107780376762002263","3/8 - (3*SUSYc1XM4)/7 + SUSYc1XM1*SUSYc2XM1 - (5*SUSYc1XM3*SUSYc2XM1)/7 + 3*SUSYc2XM2 - SUSYc1XM2*SUSYc2XM2","{SUSYc2XM1, -SUSYc2XM2, (-5*SUSYc2XM1)/7, -3/7, 0, 0, 0, 0, SUSYc1XM1 - (5*SUSYc1XM3)/7, 3 - SUSYc1XM2}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",5070,"SUSYc1XM9","96785.5459108559168859454603292866182772097460395691918749673849843643600609098768099435139608304509768500861825113938853886347414858661691171666951100603004654685366616303393571303263213650180973343168631613587719673","(2*SUSYc1XM1)/7 - (4*SUSYc1XM3)/7 + (12*SUSYc2XM1)/7 - (6*SUSYc1XM2*SUSYc2XM1)/7 - (8*SUSYc1XM1*SUSYc2XM2)/7","{2/7 - (8*SUSYc2XM2)/7, (-6*SUSYc2XM1)/7, -4/7, 0, 0, 0, 0, 0, 12/7 - (6*SUSYc1XM2)/7, (-8*SUSYc1XM1)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",5070,"SUSYc2XM1","2.26563601527944697967075405869901219187591160507470942938640746765916631232710099294974852571421187076567057459046142352737169293648625590708997522677895366154310801037551932596861011313172262743442530084879022612","3/4 - (5*SUSYc1XM2)/7 - SUSYc1XM1*SUSYc2XM1 - (9*SUSYc2XM2)/7","{-SUSYc2XM1, -5/7, 0, 0, 0, 0, 0, 0, -SUSYc1XM1, -9/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",5070,"SUSYc2XM2","1.6001000046974817657078180754869535863757471329950891024465548163606760961595392071580983956210299548988162994456348268361690380741658058004697285305035240243481016704577636496137064527242942644245461480575129148","-h - (6*SUSYc1XM1)/7 - (8*SUSYc2XM1)/7","{-6/7, 0, 0, 0, 0, 0, 0, 0, -8/7, 0}"
