var,b_final_value
SUSYc1XM1,-3.4402680670924287365534152501534140620400628061168319753182067888825657828811924041227015507771293570807528065488046814384781908738273586047626824956429865198877374241129107863430790266089853975020458290e+00
SUSYc1XM2,1.1387963119335030692613935034859026742352278914725579076540579862110297439298219987105398193719634287441440766077910179706793185267374769201279914084648476751471088367051543546984893708132095871249329930e+01
SUSYc1XM4,6.7816429260280907051484615886916620623983503406719271346164927908590483545742857859329238845676555132593562560355824686178057859623110623452909354531950440768757094416902125070586052457943655568709170880e+01
SUSYc1XM5,-2.4187883670812991229080939695197702919091150713806205569296604565518626331443716449277114966767077525375523729763739025201841403658909499435293811968282545056480576658937750327182936665696815454748425280e+01
SUSYc1XM6,-9.3654431081759628603939698263036093760925296204939877933279314409740557727387166898858863374379131475458851674293703474206816049009300737809840112082553281157662082741606676455904881707228054517524840050e+01
SUSYc1XM7,-9.6886698735364969312534653006107391293950536138883633221209251219009667147652037375238190826963898480462883890473310173636151409610767536600606082259283453548130045939893778153505663021155119219598070370e+01
SUSYc1XM8,1.3271101441230811968757894040281176316179005039061777173344189809673545995636940013232171091386526448894905118795062458009412935176010822261362742432257434238520482243744717231561065514675459242228497660e+02
SUSYc1XM9,2.6905897262735142112583664631006645003380194520208197586147035186339380039716819652668740333806926776579327494446546384777050504689155735679409000475879103147613353337996434324674585782898221696407632710e+02
SUSYc1XM10,1.0047181504845725988190128199379842627231013327887648375721742683208751124825801524912652499067427113729841166900157896835692224033727337122296476479829566993483895701984695185441082680505616006383003440e+02
SUSYc2XM1,1.7201340335462143682767076250767070310200314030584159876591033944412828914405962020613507753885646785403764032744023407192390954369136793023813412478214932599438687120564553931715395133044926987510229080e+00
SUSYc2XM2,2.7304068816975658668249798936661719285341803742387668505044523142970089862858328187551649238719816461452447312666477991749948316377805050833243218809670914978058335547054443975036334937921663830770536440e-01
SUSYc2XM3,-5.3300075265787904013500901618315028792410664734344176509749577128516814258427050922294164246792402110672790821076603988803936265698234319364263094551812531051397590826970189324668389164745440130305256940e+00
SUSYc2XM4,-4.6424992573885632825513250644422151988454794009837538009179427036740982744348237444184091321197950419692982058842209551373026541880550925305959892944688282791649924666189077132278354790501149349796939030e+00
SUSYc2XM5,6.7585713747941784409903398936375123711403494664136773136037745749012597148857392036182165923547360051500037767988085714226298749312476158855458929854814995594883275857428452972570100503880123395689582520e+00
SUSYc2XM6,1.2546157041305559964406215385196856464394513474645669928222753236461770821750383989219940745422214635626896975582602472118545221874786632363289746167927371025165711524413604135976229690506526479745563890e+01
SUSYc2XM7,4.8887111216069799242798525464150808909960436054130544529017326847222486914121432277164108047439425943493178754348519361219576715962145036923906352284861843783817579394166714006735579427086190058523706170e+00
