var,b_final_value
SUSYc1XM1,-5.7360793275985599678601688812986666184782684162068624143687324564774785088589657150e+00
SUSYc1XM2,2.2077344371982392720562342513543481516286021783978819998095532511251910888847908780e+01
SUSYc1XM3,-5.5677537644033728720723638210723995251436406568527764686862528202280447586266819220e+01
SUSYc1XM4,1.0173447784817144993651732954082557212255313240866673007352215211914360577388082420e+02
SUSYc1XM6,5.4390695812807093684157334417527434085319679002421037451312576897564115722104360780e+02
SUSYc1XM7,7.3050892647623186681201230148916454101142699455677383915668225509858635730845240860e+02
SUSYc1XM8,-4.6032362877695732418599511057404532898444311668848681637564812960211029816071261530e+02
SUSYc1XM9,-2.0343729749457702046208645514818220973502483978557310163690877381525311441058671600e+03
SUSYc1XM10,-2.8743742071332573195764474896428837766716887498503217703399232271766048654794239260e+03
SUSYc1XM11,-1.1187776490221155807834628653436782105334462150219907173152364347885604841950129230e+03
SUSYc2XM1,3.8240528850657066452401125875324444123188456108045749429124883043183190059059771490e+00
SUSYc2XM2,5.4919029131997116171796019363739513489813257080433663582478281454745014339231800450e+00
SUSYc2XM3,-2.2765556787723254642643241284410860128047457060808416973492889706340061195478847650e+00
SUSYc2XM4,-1.8177443105291262270731642359159084874658717156722653868457903064023119285289076960e+01
SUSYc2XM5,-2.2389502571078017437818149259194713534905085609288664007112685134412668800593018640e+01
SUSYc2XM6,-9.3416257832990045989304639049262700416309598978728266844146524173158046915735418710e+00
