"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14, 15}, {7, 8, 9, 10, 11, 16}}",5070,"SUSYc1XM1","-7.771967686636806526282087798387060528036337813549363859759878893705131941242246938856074575268716","-1/327680 + SUSYc1XM10/320 + SUSYc1XM2/81920 - SUSYc1XM4/20480 + SUSYc1XM6/5120 - SUSYc1XM8/1280 - (SUSYc1XM1*SUSYc2XM1)/81920 + (SUSYc1XM11*SUSYc2XM1)/80 + (SUSYc1XM3*SUSYc2XM1)/20480 + (SUSYc1XM7*SUSYc2XM1)/1280 - (SUSYc1XM9*SUSYc2XM1)/320 + SUSYc2XM2/81920 - (SUSYc1XM10*SUSYc2XM2)/80 - (SUSYc1XM2*SUSYc2XM2)/20480 + (SUSYc1XM4*SUSYc2XM2)/5120 - (SUSYc1XM6*SUSYc2XM2)/1280 + (SUSYc1XM8*SUSYc2XM2)/320 + (SUSYc1XM1*SUSYc2XM3)/20480 - (SUSYc1XM11*SUSYc2XM3)/20 - (SUSYc1XM3*SUSYc2XM3)/5120 - (SUSYc1XM7*SUSYc2XM3)/320 + (SUSYc1XM9*SUSYc2XM3)/80 - SUSYc2XM4/20480 + (SUSYc1XM10*SUSYc2XM4)/20 + (SUSYc1XM2*SUSYc2XM4)/5120 - (SUSYc1XM4*SUSYc2XM4)/1280 + (SUSYc1XM6*SUSYc2XM4)/320 - (SUSYc1XM8*SUSYc2XM4)/80 - (SUSYc1XM1*SUSYc2XM5)/5120 + (SUSYc1XM11*SUSYc2XM5)/5 + (SUSYc1XM3*SUSYc2XM5)/1280 + (SUSYc1XM7*SUSYc2XM5)/80 - (SUSYc1XM9*SUSYc2XM5)/20 + SUSYc2XM6/5120 - (SUSYc1XM10*SUSYc2XM6)/5 - (SUSYc1XM2*SUSYc2XM6)/1280 + (SUSYc1XM4*SUSYc2XM6)/320 - (SUSYc1XM6*SUSYc2XM6)/80 + (SUSYc1XM8*SUSYc2XM6)/20","{-1/81920*SUSYc2XM1 + SUSYc2XM3/20480 - SUSYc2XM5/5120, 1/81920 - SUSYc2XM2/20480 + SUSYc2XM4/5120 - SUSYc2XM6/1280, SUSYc2XM1/20480 - SUSYc2XM3/5120 + SUSYc2XM5/1280, -1/20480 + SUSYc2XM2/5120 - SUSYc2XM4/1280 + SUSYc2XM6/320, 1/5120 - SUSYc2XM2/1280 + SUSYc2XM4/320 - SUSYc2XM6/80, SUSYc2XM1/1280 - SUSYc2XM3/320 + SUSYc2XM5/80, -1/1280 + SUSYc2XM2/320 - SUSYc2XM4/80 + SUSYc2XM6/20, -1/320*SUSYc2XM1 + SUSYc2XM3/80 - SUSYc2XM5/20, 1/320 - SUSYc2XM2/80 + SUSYc2XM4/20 - SUSYc2XM6/5, SUSYc2XM1/80 - SUSYc2XM3/20 + SUSYc2XM5/5, -1/81920*SUSYc1XM1 + SUSYc1XM11/80 + SUSYc1XM3/20480 + SUSYc1XM7/1280 - SUSYc1XM9/320, 1/81920 - SUSYc1XM10/80 - SUSYc1XM2/20480 + SUSYc1XM4/5120 - SUSYc1XM6/1280 + SUSYc1XM8/320, SUSYc1XM1/20480 - SUSYc1XM11/20 - SUSYc1XM3/5120 - SUSYc1XM7/320 + SUSYc1XM9/80, -1/20480 + SUSYc1XM10/20 + SUSYc1XM2/5120 - SUSYc1XM4/1280 + SUSYc1XM6/320 - SUSYc1XM8/80, -1/5120*SUSYc1XM1 + SUSYc1XM11/5 + SUSYc1XM3/1280 + SUSYc1XM7/80 - SUSYc1XM9/20, 1/5120 - SUSYc1XM10/5 - SUSYc1XM2/1280 + SUSYc1XM4/320 - SUSYc1XM6/80 + SUSYc1XM8/20}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14, 15}, {7, 8, 9, 10, 11, 16}}",5070,"SUSYc1XM2","34.324647398558607716269343694574909453727003762764138376575893550131688341808868078261986080838176","SUSYc1XM1/20480 + (3*SUSYc1XM11)/40 - SUSYc1XM3/10240 + SUSYc1XM7/640 - SUSYc1XM9/80 - (3*SUSYc2XM1)/40960 - (SUSYc1XM10*SUSYc2XM1)/20 + (SUSYc1XM2*SUSYc2XM1)/5120 - (SUSYc1XM4*SUSYc2XM1)/2560 + (SUSYc1XM8*SUSYc2XM1)/160 - (3*SUSYc1XM1*SUSYc2XM2)/10240 - (SUSYc1XM11*SUSYc2XM2)/5 + (SUSYc1XM3*SUSYc2XM2)/1280 + (SUSYc1XM9*SUSYc2XM2)/40 + SUSYc2XM3/2560 + (SUSYc1XM10*SUSYc2XM3)/10 - (3*SUSYc1XM2*SUSYc2XM3)/2560 + (SUSYc1XM4*SUSYc2XM3)/320 - (SUSYc1XM6*SUSYc2XM3)/160 + (SUSYc1XM1*SUSYc2XM4)/640 + (2*SUSYc1XM11*SUSYc2XM4)/5 - (3*SUSYc1XM3*SUSYc2XM4)/640 - (SUSYc1XM7*SUSYc2XM4)/40 - SUSYc2XM5/512 + (SUSYc1XM2*SUSYc2XM5)/160 - (3*SUSYc1XM4*SUSYc2XM5)/160 + (SUSYc1XM6*SUSYc2XM5)/20 - (SUSYc1XM8*SUSYc2XM5)/10 - (SUSYc1XM1*SUSYc2XM6)/128 + (SUSYc1XM3*SUSYc2XM6)/40 + (SUSYc1XM7*SUSYc2XM6)/5 - (2*SUSYc1XM9*SUSYc2XM6)/5","{1/20480 - (3*SUSYc2XM2)/10240 + SUSYc2XM4/640 - SUSYc2XM6/128, SUSYc2XM1/5120 - (3*SUSYc2XM3)/2560 + SUSYc2XM5/160, -1/10240 + SUSYc2XM2/1280 - (3*SUSYc2XM4)/640 + SUSYc2XM6/40, -1/2560*SUSYc2XM1 + SUSYc2XM3/320 - (3*SUSYc2XM5)/160, -1/160*SUSYc2XM3 + SUSYc2XM5/20, 1/640 - SUSYc2XM4/40 + SUSYc2XM6/5, SUSYc2XM1/160 - SUSYc2XM5/10, -1/80 + SUSYc2XM2/40 - (2*SUSYc2XM6)/5, -1/20*SUSYc2XM1 + SUSYc2XM3/10, 3/40 - SUSYc2XM2/5 + (2*SUSYc2XM4)/5, -3/40960 - SUSYc1XM10/20 + SUSYc1XM2/5120 - SUSYc1XM4/2560 + SUSYc1XM8/160, (-3*SUSYc1XM1)/10240 - SUSYc1XM11/5 + SUSYc1XM3/1280 + SUSYc1XM9/40, 1/2560 + SUSYc1XM10/10 - (3*SUSYc1XM2)/2560 + SUSYc1XM4/320 - SUSYc1XM6/160, SUSYc1XM1/640 + (2*SUSYc1XM11)/5 - (3*SUSYc1XM3)/640 - SUSYc1XM7/40, -1/512 + SUSYc1XM2/160 - (3*SUSYc1XM4)/160 + SUSYc1XM6/20 - SUSYc1XM8/10, -1/128*SUSYc1XM1 + SUSYc1XM3/40 + SUSYc1XM7/5 - (2*SUSYc1XM9)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14, 15}, {7, 8, 9, 10, 11, 16}}",5070,"SUSYc1XM3","-101.719900975769228530338344222294146844892765295909564334090563694790120289746260400447170118594774","1/20480 - (9*SUSYc1XM10)/80 + (3*SUSYc1XM2)/20480 - (3*SUSYc1XM4)/2560 + SUSYc1XM6/256 + (SUSYc1XM1*SUSYc2XM1)/4096 - (SUSYc1XM11*SUSYc2XM1)/2 + (SUSYc1XM3*SUSYc2XM1)/2560 + (SUSYc1XM7*SUSYc2XM1)/80 + (SUSYc1XM9*SUSYc2XM1)/80 - (17*SUSYc2XM2)/20480 + (SUSYc1XM10*SUSYc2XM2)/10 + (3*SUSYc1XM2*SUSYc2XM2)/2560 + (SUSYc1XM4*SUSYc2XM2)/1280 - (SUSYc1XM6*SUSYc2XM2)/80 + (3*SUSYc1XM8*SUSYc2XM2)/80 - (9*SUSYc1XM1*SUSYc2XM3)/2560 + (3*SUSYc1XM11*SUSYc2XM3)/5 + (7*SUSYc1XM3*SUSYc2XM3)/1280 - (3*SUSYc1XM7*SUSYc2XM3)/80 + (SUSYc1XM9*SUSYc2XM3)/10 + (17*SUSYc2XM4)/2560 + (SUSYc1XM10*SUSYc2XM4)/5 - (19*SUSYc1XM2*SUSYc2XM4)/1280 + (SUSYc1XM4*SUSYc2XM4)/40 - (SUSYc1XM6*SUSYc2XM4)/80 - (SUSYc1XM8*SUSYc2XM4)/10 + (7*SUSYc1XM1*SUSYc2XM5)/256 - (SUSYc1XM3*SUSYc2XM5)/16 - (SUSYc1XM7*SUSYc2XM5)/10 - (SUSYc1XM9*SUSYc2XM5)/5 - (11*SUSYc2XM6)/256 + (9*SUSYc1XM2*SUSYc2XM6)/80 - (21*SUSYc1XM4*SUSYc2XM6)/80 + (SUSYc1XM6*SUSYc2XM6)/2 - (3*SUSYc1XM8*SUSYc2XM6)/5","{SUSYc2XM1/4096 - (9*SUSYc2XM3)/2560 + (7*SUSYc2XM5)/256, 3/20480 + (3*SUSYc2XM2)/2560 - (19*SUSYc2XM4)/1280 + (9*SUSYc2XM6)/80, SUSYc2XM1/2560 + (7*SUSYc2XM3)/1280 - SUSYc2XM5/16, -3/2560 + SUSYc2XM2/1280 + SUSYc2XM4/40 - (21*SUSYc2XM6)/80, 1/256 - SUSYc2XM2/80 - SUSYc2XM4/80 + SUSYc2XM6/2, SUSYc2XM1/80 - (3*SUSYc2XM3)/80 - SUSYc2XM5/10, (3*SUSYc2XM2)/80 - SUSYc2XM4/10 - (3*SUSYc2XM6)/5, SUSYc2XM1/80 + SUSYc2XM3/10 - SUSYc2XM5/5, -9/80 + SUSYc2XM2/10 + SUSYc2XM4/5, -1/2*SUSYc2XM1 + (3*SUSYc2XM3)/5, SUSYc1XM1/4096 - SUSYc1XM11/2 + SUSYc1XM3/2560 + SUSYc1XM7/80 + SUSYc1XM9/80, -17/20480 + SUSYc1XM10/10 + (3*SUSYc1XM2)/2560 + SUSYc1XM4/1280 - SUSYc1XM6/80 + (3*SUSYc1XM8)/80, (-9*SUSYc1XM1)/2560 + (3*SUSYc1XM11)/5 + (7*SUSYc1XM3)/1280 - (3*SUSYc1XM7)/80 + SUSYc1XM9/10, 17/2560 + SUSYc1XM10/5 - (19*SUSYc1XM2)/1280 + SUSYc1XM4/40 - SUSYc1XM6/80 - SUSYc1XM8/10, (7*SUSYc1XM1)/256 - SUSYc1XM3/16 - SUSYc1XM7/10 - SUSYc1XM9/5, -11/256 + (9*SUSYc1XM2)/80 - (21*SUSYc1XM4)/80 + SUSYc1XM6/2 - (3*SUSYc1XM8)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14, 15}, {7, 8, 9, 10, 11, 16}}",5070,"SUSYc1XM4","214.918972078646229861717231097518438731580866586115179863678248739217819823461974706284371395304315","SUSYc1XM1/1024 - SUSYc1XM11 - (3*SUSYc1XM3)/1280 + SUSYc1XM7/40 - SUSYc1XM9/20 - SUSYc2XM1/2048 + (SUSYc1XM2*SUSYc2XM1)/320 - (SUSYc1XM4*SUSYc2XM1)/128 + (3*SUSYc1XM8*SUSYc2XM1)/40 - (SUSYc1XM1*SUSYc2XM2)/1280 + (4*SUSYc1XM11*SUSYc2XM2)/5 + (3*SUSYc1XM3*SUSYc2XM2)/320 + (SUSYc1XM9*SUSYc2XM2)/5 - SUSYc2XM3/160 + (2*SUSYc1XM10*SUSYc2XM3)/5 + (SUSYc1XM2*SUSYc2XM3)/640 + (SUSYc1XM4*SUSYc2XM3)/40 - (3*SUSYc1XM6*SUSYc2XM3)/40 - (SUSYc1XM1*SUSYc2XM4)/32 + (SUSYc1XM3*SUSYc2XM4)/40 - (SUSYc1XM7*SUSYc2XM4)/5 + (11*SUSYc2XM5)/128 - (3*SUSYc1XM2*SUSYc2XM5)/20 + (7*SUSYc1XM4*SUSYc2XM5)/40 - (2*SUSYc1XM8*SUSYc2XM5)/5 + (3*SUSYc1XM1*SUSYc2XM6)/8 - (7*SUSYc1XM3*SUSYc2XM6)/10 - (4*SUSYc1XM7*SUSYc2XM6)/5","{1/1024 - SUSYc2XM2/1280 - SUSYc2XM4/32 + (3*SUSYc2XM6)/8, SUSYc2XM1/320 + SUSYc2XM3/640 - (3*SUSYc2XM5)/20, -3/1280 + (3*SUSYc2XM2)/320 + SUSYc2XM4/40 - (7*SUSYc2XM6)/10, -1/128*SUSYc2XM1 + SUSYc2XM3/40 + (7*SUSYc2XM5)/40, (-3*SUSYc2XM3)/40, 1/40 - SUSYc2XM4/5 - (4*SUSYc2XM6)/5, (3*SUSYc2XM1)/40 - (2*SUSYc2XM5)/5, -1/20 + SUSYc2XM2/5, (2*SUSYc2XM3)/5, -1 + (4*SUSYc2XM2)/5, -1/2048 + SUSYc1XM2/320 - SUSYc1XM4/128 + (3*SUSYc1XM8)/40, -1/1280*SUSYc1XM1 + (4*SUSYc1XM11)/5 + (3*SUSYc1XM3)/320 + SUSYc1XM9/5, -1/160 + (2*SUSYc1XM10)/5 + SUSYc1XM2/640 + SUSYc1XM4/40 - (3*SUSYc1XM6)/40, -1/32*SUSYc1XM1 + SUSYc1XM3/40 - SUSYc1XM7/5, 11/128 - (3*SUSYc1XM2)/20 + (7*SUSYc1XM4)/40 - (2*SUSYc1XM8)/5, (3*SUSYc1XM1)/8 - (7*SUSYc1XM3)/10 - (4*SUSYc1XM7)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14, 15}, {7, 8, 9, 10, 11, 16}}",5070,"SUSYc1XM6","-1.336002404353768790178374970275473822126583109327937198581961530938993831057722346591334639634751495241*10^6","1/512 - SUSYc1XM10/4 - (3*SUSYc1XM2)/5120 - (3*SUSYc1XM4)/256 + SUSYc1XM6/32 + (3*SUSYc1XM8)/40 + (7*SUSYc1XM1*SUSYc2XM1)/1024 + SUSYc1XM11*SUSYc2XM1 - (SUSYc1XM3*SUSYc2XM1)/256 + (3*SUSYc1XM7*SUSYc2XM1)/40 + (SUSYc1XM9*SUSYc2XM1)/4 - (43*SUSYc2XM2)/5120 + (3*SUSYc1XM10*SUSYc2XM2)/5 + (29*SUSYc1XM2*SUSYc2XM2)/1280 - (3*SUSYc1XM4*SUSYc2XM2)/160 - (3*SUSYc1XM6*SUSYc2XM2)/40 + (3*SUSYc1XM8*SUSYc2XM2)/20 - (5*SUSYc1XM1*SUSYc2XM3)/256 + (11*SUSYc1XM3*SUSYc2XM3)/160 - (3*SUSYc1XM7*SUSYc2XM3)/20 + (SUSYc1XM9*SUSYc2XM3)/5 - (11*SUSYc2XM4)/256 - (3*SUSYc1XM2*SUSYc2XM4)/160 + (7*SUSYc1XM4*SUSYc2XM4)/40 - (SUSYc1XM6*SUSYc2XM4)/4 - (SUSYc1XM8*SUSYc2XM4)/5 - (9*SUSYc1XM1*SUSYc2XM5)/32 + (7*SUSYc1XM3*SUSYc2XM5)/40 - (3*SUSYc1XM7*SUSYc2XM5)/5 + (33*SUSYc2XM6)/32 - (63*SUSYc1XM2*SUSYc2XM6)/40 + (7*SUSYc1XM4*SUSYc2XM6)/4 - SUSYc1XM6*SUSYc2XM6","{(7*SUSYc2XM1)/1024 - (5*SUSYc2XM3)/256 - (9*SUSYc2XM5)/32, -3/5120 + (29*SUSYc2XM2)/1280 - (3*SUSYc2XM4)/160 - (63*SUSYc2XM6)/40, -1/256*SUSYc2XM1 + (11*SUSYc2XM3)/160 + (7*SUSYc2XM5)/40, -3/256 - (3*SUSYc2XM2)/160 + (7*SUSYc2XM4)/40 + (7*SUSYc2XM6)/4, 1/32 - (3*SUSYc2XM2)/40 - SUSYc2XM4/4 - SUSYc2XM6, (3*SUSYc2XM1)/40 - (3*SUSYc2XM3)/20 - (3*SUSYc2XM5)/5, 3/40 + (3*SUSYc2XM2)/20 - SUSYc2XM4/5, SUSYc2XM1/4 + SUSYc2XM3/5, -1/4 + (3*SUSYc2XM2)/5, SUSYc2XM1, (7*SUSYc1XM1)/1024 + SUSYc1XM11 - SUSYc1XM3/256 + (3*SUSYc1XM7)/40 + SUSYc1XM9/4, -43/5120 + (3*SUSYc1XM10)/5 + (29*SUSYc1XM2)/1280 - (3*SUSYc1XM4)/160 - (3*SUSYc1XM6)/40 + (3*SUSYc1XM8)/20, (-5*SUSYc1XM1)/256 + (11*SUSYc1XM3)/160 - (3*SUSYc1XM7)/20 + SUSYc1XM9/5, -11/256 - (3*SUSYc1XM2)/160 + (7*SUSYc1XM4)/40 - SUSYc1XM6/4 - SUSYc1XM8/5, (-9*SUSYc1XM1)/32 + (7*SUSYc1XM3)/40 - (3*SUSYc1XM7)/5, 33/32 - (63*SUSYc1XM2)/40 + (7*SUSYc1XM4)/4 - SUSYc1XM6}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14, 15}, {7, 8, 9, 10, 11, 16}}",5070,"SUSYc1XM7","-7.4231614821931397238065357140761797195915485458555477104395837052665212417200402167810969516562986197*10^6","(9*SUSYc1XM1)/1280 + (6*SUSYc1XM11)/5 - (3*SUSYc1XM3)/128 + (3*SUSYc1XM7)/20 + SUSYc1XM9/5 + (17*SUSYc2XM1)/2560 + (4*SUSYc1XM10*SUSYc2XM1)/5 + (SUSYc1XM2*SUSYc2XM1)/64 - (SUSYc1XM4*SUSYc2XM1)/16 + (3*SUSYc1XM8*SUSYc2XM1)/10 + (19*SUSYc1XM1*SUSYc2XM2)/640 + (SUSYc1XM3*SUSYc2XM2)/40 + (2*SUSYc1XM9*SUSYc2XM2)/5 - (11*SUSYc2XM3)/160 + (9*SUSYc1XM2*SUSYc2XM3)/80 - (3*SUSYc1XM6*SUSYc2XM3)/10 - (3*SUSYc1XM1*SUSYc2XM4)/20 + (7*SUSYc1XM3*SUSYc2XM4)/20 - (2*SUSYc1XM7*SUSYc2XM4)/5 - (33*SUSYc2XM5)/80 + (7*SUSYc1XM4*SUSYc2XM5)/10 - (4*SUSYc1XM6*SUSYc2XM5)/5 - (63*SUSYc1XM1*SUSYc2XM6)/20 + (14*SUSYc1XM3*SUSYc2XM6)/5","{9/1280 + (19*SUSYc2XM2)/640 - (3*SUSYc2XM4)/20 - (63*SUSYc2XM6)/20, SUSYc2XM1/64 + (9*SUSYc2XM3)/80, -3/128 + SUSYc2XM2/40 + (7*SUSYc2XM4)/20 + (14*SUSYc2XM6)/5, -1/16*SUSYc2XM1 + (7*SUSYc2XM5)/10, (-3*SUSYc2XM3)/10 - (4*SUSYc2XM5)/5, 3/20 - (2*SUSYc2XM4)/5, (3*SUSYc2XM1)/10, 1/5 + (2*SUSYc2XM2)/5, (4*SUSYc2XM1)/5, 6/5, 17/2560 + (4*SUSYc1XM10)/5 + SUSYc1XM2/64 - SUSYc1XM4/16 + (3*SUSYc1XM8)/10, (19*SUSYc1XM1)/640 + SUSYc1XM3/40 + (2*SUSYc1XM9)/5, -11/160 + (9*SUSYc1XM2)/80 - (3*SUSYc1XM6)/10, (-3*SUSYc1XM1)/20 + (7*SUSYc1XM3)/20 - (2*SUSYc1XM7)/5, -33/80 + (7*SUSYc1XM4)/10 - (4*SUSYc1XM6)/5, (-63*SUSYc1XM1)/20 + (14*SUSYc1XM3)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14, 15}, {7, 8, 9, 10, 11, 16}}",5070,"SUSYc1XM8","-1.9908710186240110302046202794291727118040035826566816351807767783341278379852209102068640023480662869237*10^7","5/256 + SUSYc1XM10 - (5*SUSYc1XM2)/256 - SUSYc1XM4/16 + SUSYc1XM6/8 + (2*SUSYc1XM8)/5 + (13*SUSYc1XM1*SUSYc2XM1)/256 - (SUSYc1XM3*SUSYc2XM1)/16 + (SUSYc1XM7*SUSYc2XM1)/5 + (3*SUSYc1XM9*SUSYc2XM1)/5 + (11*SUSYc2XM2)/1280 + (9*SUSYc1XM2*SUSYc2XM2)/80 - (7*SUSYc1XM4*SUSYc2XM2)/40 - (SUSYc1XM6*SUSYc2XM2)/5 + (SUSYc1XM8*SUSYc2XM2)/5 + (9*SUSYc1XM1*SUSYc2XM3)/80 + (7*SUSYc1XM3*SUSYc2XM3)/40 - (SUSYc1XM7*SUSYc2XM3)/5 - (33*SUSYc2XM4)/80 + (21*SUSYc1XM2*SUSYc2XM4)/40 - (3*SUSYc1XM6*SUSYc2XM4)/5 - (21*SUSYc1XM1*SUSYc2XM5)/40 + (7*SUSYc1XM3*SUSYc2XM5)/5 - (231*SUSYc2XM6)/40 + (21*SUSYc1XM2*SUSYc2XM6)/5 - (7*SUSYc1XM4*SUSYc2XM6)/5","{(13*SUSYc2XM1)/256 + (9*SUSYc2XM3)/80 - (21*SUSYc2XM5)/40, -5/256 + (9*SUSYc2XM2)/80 + (21*SUSYc2XM4)/40 + (21*SUSYc2XM6)/5, -1/16*SUSYc2XM1 + (7*SUSYc2XM3)/40 + (7*SUSYc2XM5)/5, -1/16 - (7*SUSYc2XM2)/40 - (7*SUSYc2XM6)/5, 1/8 - SUSYc2XM2/5 - (3*SUSYc2XM4)/5, SUSYc2XM1/5 - SUSYc2XM3/5, 2/5 + SUSYc2XM2/5, (3*SUSYc2XM1)/5, 1, 0, (13*SUSYc1XM1)/256 - SUSYc1XM3/16 + SUSYc1XM7/5 + (3*SUSYc1XM9)/5, 11/1280 + (9*SUSYc1XM2)/80 - (7*SUSYc1XM4)/40 - SUSYc1XM6/5 + SUSYc1XM8/5, (9*SUSYc1XM1)/80 + (7*SUSYc1XM3)/40 - SUSYc1XM7/5, -33/80 + (21*SUSYc1XM2)/40 - (3*SUSYc1XM6)/5, (-21*SUSYc1XM1)/40 + (7*SUSYc1XM3)/5, -231/40 + (21*SUSYc1XM2)/5 - (7*SUSYc1XM4)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14, 15}, {7, 8, 9, 10, 11, 16}}",5070,"SUSYc1XM9","-2.9881567437142480560013901482685531939597057183785430327643259498748073528593461737455066658748117949778*10^7","SUSYc1XM1/64 - SUSYc1XM3/8 + (2*SUSYc1XM7)/5 + (4*SUSYc1XM9)/5 + (11*SUSYc2XM1)/128 - (SUSYc1XM4*SUSYc2XM1)/4 + (2*SUSYc1XM8*SUSYc2XM1)/5 + (9*SUSYc1XM1*SUSYc2XM2)/40 - (SUSYc1XM3*SUSYc2XM2)/10 + (9*SUSYc1XM2*SUSYc2XM3)/20 - (2*SUSYc1XM4*SUSYc2XM3)/5 - (2*SUSYc1XM6*SUSYc2XM3)/5 + (3*SUSYc1XM1*SUSYc2XM4)/5 + (2*SUSYc1XM3*SUSYc2XM4)/5 - (33*SUSYc2XM5)/20 + (12*SUSYc1XM2*SUSYc2XM5)/5 - (6*SUSYc1XM4*SUSYc2XM5)/5 + 6*SUSYc1XM1*SUSYc2XM6 - (8*SUSYc1XM3*SUSYc2XM6)/5","{1/64 + (9*SUSYc2XM2)/40 + (3*SUSYc2XM4)/5 + 6*SUSYc2XM6, (9*SUSYc2XM3)/20 + (12*SUSYc2XM5)/5, -1/8 - SUSYc2XM2/10 + (2*SUSYc2XM4)/5 - (8*SUSYc2XM6)/5, -1/4*SUSYc2XM1 - (2*SUSYc2XM3)/5 - (6*SUSYc2XM5)/5, (-2*SUSYc2XM3)/5, 2/5, (2*SUSYc2XM1)/5, 4/5, 0, 0, 11/128 - SUSYc1XM4/4 + (2*SUSYc1XM8)/5, (9*SUSYc1XM1)/40 - SUSYc1XM3/10, (9*SUSYc1XM2)/20 - (2*SUSYc1XM4)/5 - (2*SUSYc1XM6)/5, (3*SUSYc1XM1)/5 + (2*SUSYc1XM3)/5, -33/20 + (12*SUSYc1XM2)/5 - (6*SUSYc1XM4)/5, 6*SUSYc1XM1 - (8*SUSYc1XM3)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14, 15}, {7, 8, 9, 10, 11, 16}}",5070,"SUSYc1XM10","-2.4002078864523476172920685603686501168831847395895395647581722823647229672329594638202081274897764181268*10^7","11/128 - (9*SUSYc1XM2)/64 - (3*SUSYc1XM4)/16 + SUSYc1XM6/4 + (3*SUSYc1XM8)/5 + (9*SUSYc1XM1*SUSYc2XM1)/64 - (5*SUSYc1XM3*SUSYc2XM1)/16 + (SUSYc1XM7*SUSYc2XM1)/5 + (99*SUSYc2XM2)/320 + (9*SUSYc1XM2*SUSYc2XM2)/80 - (11*SUSYc1XM4*SUSYc2XM2)/20 - (SUSYc1XM6*SUSYc2XM2)/5 + (63*SUSYc1XM1*SUSYc2XM3)/80 - (SUSYc1XM3*SUSYc2XM3)/4 + (33*SUSYc2XM4)/80 + (21*SUSYc1XM2*SUSYc2XM4)/20 - SUSYc1XM4*SUSYc2XM4 + (15*SUSYc1XM1*SUSYc2XM5)/4 - (7*SUSYc1XM3*SUSYc2XM5)/5 + (33*SUSYc2XM6)/4 - (9*SUSYc1XM2*SUSYc2XM6)/5","{(9*SUSYc2XM1)/64 + (63*SUSYc2XM3)/80 + (15*SUSYc2XM5)/4, -9/64 + (9*SUSYc2XM2)/80 + (21*SUSYc2XM4)/20 - (9*SUSYc2XM6)/5, (-5*SUSYc2XM1)/16 - SUSYc2XM3/4 - (7*SUSYc2XM5)/5, -3/16 - (11*SUSYc2XM2)/20 - SUSYc2XM4, 1/4 - SUSYc2XM2/5, SUSYc2XM1/5, 3/5, 0, 0, 0, (9*SUSYc1XM1)/64 - (5*SUSYc1XM3)/16 + SUSYc1XM7/5, 99/320 + (9*SUSYc1XM2)/80 - (11*SUSYc1XM4)/20 - SUSYc1XM6/5, (63*SUSYc1XM1)/80 - SUSYc1XM3/4, 33/80 + (21*SUSYc1XM2)/20 - SUSYc1XM4, (15*SUSYc1XM1)/4 - (7*SUSYc1XM3)/5, 33/4 - (9*SUSYc1XM2)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14, 15}, {7, 8, 9, 10, 11, 16}}",5070,"SUSYc1XM11","-8.011329711763787657486680229350860497018301479039518214576337520055062907723835876473966116049004570861*10^6","-1/16*SUSYc1XM1 - (3*SUSYc1XM3)/8 + (2*SUSYc1XM7)/5 + (11*SUSYc2XM1)/32 - (SUSYc1XM2*SUSYc2XM1)/4 - (SUSYc1XM4*SUSYc2XM1)/2 + (19*SUSYc1XM1*SUSYc2XM2)/40 - (3*SUSYc1XM3*SUSYc2XM2)/5 + (11*SUSYc2XM3)/10 + (SUSYc1XM2*SUSYc2XM3)/10 - (4*SUSYc1XM4*SUSYc2XM3)/5 + 2*SUSYc1XM1*SUSYc2XM4 - (6*SUSYc1XM3*SUSYc2XM4)/5 + (11*SUSYc2XM5)/2 - (8*SUSYc1XM2*SUSYc2XM5)/5 - 2*SUSYc1XM1*SUSYc2XM6","{-1/16 + (19*SUSYc2XM2)/40 + 2*SUSYc2XM4 - 2*SUSYc2XM6, -1/4*SUSYc2XM1 + SUSYc2XM3/10 - (8*SUSYc2XM5)/5, -3/8 - (3*SUSYc2XM2)/5 - (6*SUSYc2XM4)/5, -1/2*SUSYc2XM1 - (4*SUSYc2XM3)/5, 0, 2/5, 0, 0, 0, 0, 11/32 - SUSYc1XM2/4 - SUSYc1XM4/2, (19*SUSYc1XM1)/40 - (3*SUSYc1XM3)/5, 11/10 + SUSYc1XM2/10 - (4*SUSYc1XM4)/5, 2*SUSYc1XM1 - (6*SUSYc1XM3)/5, 11/2 - (8*SUSYc1XM2)/5, -2*SUSYc1XM1}"
