"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",1000,"SUSYc1XM1","-3.489097260399942830324181388399075776681507651775616131226416046996674052491045872583277473186678569042553506130832602576377390380716352","-1/6144*SUSYc1XM1 + SUSYc1XM3/1536 - SUSYc1XM5/384 + SUSYc1XM7/96 - SUSYc1XM9/24 + SUSYc2XM1/6144 - (SUSYc1XM2*SUSYc2XM1)/1536 + (SUSYc1XM4*SUSYc2XM1)/384 + (SUSYc1XM8*SUSYc2XM1)/24 + (SUSYc1XM1*SUSYc2XM2)/1536 - (SUSYc1XM3*SUSYc2XM2)/384 + (SUSYc1XM5*SUSYc2XM2)/96 - (SUSYc1XM7*SUSYc2XM2)/24 + (SUSYc1XM9*SUSYc2XM2)/6 - SUSYc2XM3/1536 + (SUSYc1XM2*SUSYc2XM3)/384 - (SUSYc1XM4*SUSYc2XM3)/96 - (SUSYc1XM8*SUSYc2XM3)/6","{-1/6144 + SUSYc2XM2/1536, -1/1536*SUSYc2XM1 + SUSYc2XM3/384, 1/1536 - SUSYc2XM2/384, SUSYc2XM1/384 - SUSYc2XM3/96, -1/384 + SUSYc2XM2/96, 1/96 - SUSYc2XM2/24, SUSYc2XM1/24 - SUSYc2XM3/6, -1/24 + SUSYc2XM2/6, 1/6144 - SUSYc1XM2/1536 + SUSYc1XM4/384 + SUSYc1XM8/24, SUSYc1XM1/1536 - SUSYc1XM3/384 + SUSYc1XM5/96 - SUSYc1XM7/24 + SUSYc1XM9/6, -1/1536 + SUSYc1XM2/384 - SUSYc1XM4/96 - SUSYc1XM8/6}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",1000,"SUSYc1XM2","10.14420165403984835953135045313338332694241645390655826014592447306826061061704302554657055297602556563078140095055176434608243176073077","-1/1024 + SUSYc1XM2/384 - SUSYc1XM4/192 + SUSYc1XM8/12 - (SUSYc1XM1*SUSYc2XM1)/256 + (SUSYc1XM3*SUSYc2XM1)/96 - (SUSYc1XM5*SUSYc2XM1)/48 + (SUSYc1XM9*SUSYc2XM1)/3 + SUSYc2XM2/192 - (SUSYc1XM2*SUSYc2XM2)/64 + (SUSYc1XM4*SUSYc2XM2)/24 + (SUSYc1XM1*SUSYc2XM3)/48 - (SUSYc1XM3*SUSYc2XM3)/16 + (SUSYc1XM5*SUSYc2XM3)/6 - (SUSYc1XM7*SUSYc2XM3)/3","{-1/256*SUSYc2XM1 + SUSYc2XM3/48, 1/384 - SUSYc2XM2/64, SUSYc2XM1/96 - SUSYc2XM3/16, -1/192 + SUSYc2XM2/24, -1/48*SUSYc2XM1 + SUSYc2XM3/6, -1/3*SUSYc2XM3, 1/12, SUSYc2XM1/3, -1/256*SUSYc1XM1 + SUSYc1XM3/96 - SUSYc1XM5/48 + SUSYc1XM9/3, 1/192 - SUSYc1XM2/64 + SUSYc1XM4/24, SUSYc1XM1/48 - SUSYc1XM3/16 + SUSYc1XM5/6 - SUSYc1XM7/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",1000,"SUSYc1XM3","-19.408318827379267339420967826550385432101224354368002709516043135984918217843928809741916449098916141415295467009732148252285450324097098","(7*SUSYc1XM1)/1536 - SUSYc1XM5/32 + SUSYc1XM7/12 + SUSYc1XM9/2 - (19*SUSYc2XM1)/1536 + (SUSYc1XM2*SUSYc2XM1)/48 - (SUSYc1XM4*SUSYc2XM1)/96 + (SUSYc1XM8*SUSYc2XM1)/6 - (5*SUSYc1XM1*SUSYc2XM2)/96 + (3*SUSYc1XM3*SUSYc2XM2)/32 - (SUSYc1XM5*SUSYc2XM2)/12 - (SUSYc1XM7*SUSYc2XM2)/6 + (3*SUSYc2XM3)/32 - (7*SUSYc1XM2*SUSYc2XM3)/32 + (5*SUSYc1XM4*SUSYc2XM3)/12","{7/1536 - (5*SUSYc2XM2)/96, SUSYc2XM1/48 - (7*SUSYc2XM3)/32, (3*SUSYc2XM2)/32, -1/96*SUSYc2XM1 + (5*SUSYc2XM3)/12, -1/32 - SUSYc2XM2/12, 1/12 - SUSYc2XM2/6, SUSYc2XM1/6, 1/2, -19/1536 + SUSYc1XM2/48 - SUSYc1XM4/96 + SUSYc1XM8/6, (-5*SUSYc1XM1)/96 + (3*SUSYc1XM3)/32 - SUSYc1XM5/12 - SUSYc1XM7/6, 3/32 - (7*SUSYc1XM2)/32 + (5*SUSYc1XM4)/12}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",1000,"SUSYc1XM4","30.045319370372497109148280752453973985228360738828140644491804082753499344828018430357921300006016796232885200001104851682006795985529603","1/768 + SUSYc1XM2/48 - SUSYc1XM4/16 + SUSYc1XM8/3 + (SUSYc1XM1*SUSYc2XM1)/48 + (SUSYc1XM3*SUSYc2XM1)/24 - (SUSYc1XM5*SUSYc2XM1)/6 - SUSYc2XM2/8 + (7*SUSYc1XM2*SUSYc2XM2)/48 - (7*SUSYc1XM1*SUSYc2XM3)/12 + (5*SUSYc1XM3*SUSYc2XM3)/6 - (2*SUSYc1XM5*SUSYc2XM3)/3","{SUSYc2XM1/48 - (7*SUSYc2XM3)/12, 1/48 + (7*SUSYc2XM2)/48, SUSYc2XM1/24 + (5*SUSYc2XM3)/6, -1/16, -1/6*SUSYc2XM1 - (2*SUSYc2XM3)/3, 0, 1/3, 0, SUSYc1XM1/48 + SUSYc1XM3/24 - SUSYc1XM5/6, -1/8 + (7*SUSYc1XM2)/48, (-7*SUSYc1XM1)/12 + (5*SUSYc1XM3)/6 - (2*SUSYc1XM5)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",1000,"SUSYc1XM5","-34.839624069249973889785766656355963084001932977266886997134556070525202327705862567674725789605768704471542721214804002609181533228522606","(11*SUSYc1XM1)/192 - SUSYc1XM3/16 - SUSYc1XM5/8 + SUSYc1XM7/6 - SUSYc2XM1/64 + (7*SUSYc1XM2*SUSYc2XM1)/48 - (5*SUSYc1XM4*SUSYc2XM1)/24 + (7*SUSYc1XM1*SUSYc2XM2)/48 + (5*SUSYc1XM3*SUSYc2XM2)/24 - (SUSYc1XM5*SUSYc2XM2)/2 - (21*SUSYc2XM3)/16 + (35*SUSYc1XM2*SUSYc2XM3)/24 - (5*SUSYc1XM4*SUSYc2XM3)/6","{11/192 + (7*SUSYc2XM2)/48, (7*SUSYc2XM1)/48 + (35*SUSYc2XM3)/24, -1/16 + (5*SUSYc2XM2)/24, (-5*SUSYc2XM1)/24 - (5*SUSYc2XM3)/6, -1/8 - SUSYc2XM2/2, 1/6, 0, 0, -1/64 + (7*SUSYc1XM2)/48 - (5*SUSYc1XM4)/24, (7*SUSYc1XM1)/48 + (5*SUSYc1XM3)/24 - SUSYc1XM5/2, -21/16 + (35*SUSYc1XM2)/24 - (5*SUSYc1XM4)/6}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",1000,"SUSYc1XM7","26540.587035923929882400083017371628780095380812641089948448494577355485349897054152927747130474328944748607509453381224648217253260201932913","3/32 - SUSYc1XM4/4 + (7*SUSYc1XM1*SUSYc2XM1)/24 - (SUSYc1XM3*SUSYc2XM1)/6 - (SUSYc1XM5*SUSYc2XM1)/3 + (7*SUSYc1XM2*SUSYc2XM2)/12 - (2*SUSYc1XM4*SUSYc2XM2)/3 + (7*SUSYc1XM1*SUSYc2XM3)/3 - SUSYc1XM3*SUSYc2XM3","{(7*SUSYc2XM1)/24 + (7*SUSYc2XM3)/3, (7*SUSYc2XM2)/12, -1/6*SUSYc2XM1 - SUSYc2XM3, -1/4 - (2*SUSYc2XM2)/3, -1/3*SUSYc2XM1, 0, 0, 0, (7*SUSYc1XM1)/24 - SUSYc1XM3/6 - SUSYc1XM5/3, (7*SUSYc1XM2)/12 - (2*SUSYc1XM4)/3, (7*SUSYc1XM1)/3 - SUSYc1XM3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",1000,"SUSYc1XM8","69667.381080863082589588071837469120640428490661148235329054909356181007307287457875234369066726755482652525049564827757377224936785282803705","(7*SUSYc1XM1)/48 - SUSYc1XM3/3 - SUSYc1XM5/6 + (7*SUSYc2XM1)/16 - (SUSYc1XM4*SUSYc2XM1)/2 + (7*SUSYc1XM1*SUSYc2XM2)/6 - (5*SUSYc1XM3*SUSYc2XM2)/6 + (7*SUSYc2XM3)/2 - (7*SUSYc1XM2*SUSYc2XM3)/6","{7/48 + (7*SUSYc2XM2)/6, (-7*SUSYc2XM3)/6, -1/3 - (5*SUSYc2XM2)/6, -1/2*SUSYc2XM1, -1/6, 0, 0, 0, 7/16 - SUSYc1XM4/2, (7*SUSYc1XM1)/6 - (5*SUSYc1XM3)/6, 7/2 - (7*SUSYc1XM2)/6}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",1000,"SUSYc1XM9","54628.099830888615387639973845020838019002083092497441126576245078973907704420618548118424333567939419412319516437467854767885202266357410973","3/8 - SUSYc1XM2/3 - SUSYc1XM4/3 + (SUSYc1XM1*SUSYc2XM1)/3 - (2*SUSYc1XM3*SUSYc2XM1)/3 + 2*SUSYc2XM2 - SUSYc1XM2*SUSYc2XM2 - (4*SUSYc1XM1*SUSYc2XM3)/3","{SUSYc2XM1/3 - (4*SUSYc2XM3)/3, -1/3 - SUSYc2XM2, (-2*SUSYc2XM1)/3, -1/3, 0, 0, 0, 0, SUSYc1XM1/3 - (2*SUSYc1XM3)/3, 2 - SUSYc1XM2, (-4*SUSYc1XM1)/3}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",1000,"SUSYc2XM1","-854.650644814000040835482727579714945873798923105874559906266845680716661391077824376726230376295229593541033209906548141016873292585202606","(-5*SUSYc1XM1)/24 - SUSYc1XM3/2 + (7*SUSYc2XM1)/8 - (5*SUSYc1XM2*SUSYc2XM1)/6 - (7*SUSYc1XM1*SUSYc2XM2)/6 - (3*SUSYc2XM3)/2","{-5/24 - (7*SUSYc2XM2)/6, (-5*SUSYc2XM1)/6, -1/2, 0, 0, 0, 0, 0, 7/8 - (5*SUSYc1XM2)/6, (-7*SUSYc1XM1)/6, -3/2}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4, 11}}",1000,"SUSYc2XM2","-2241.47901839169903663796722134621890215417538876597583195226209634300528720443420213282883369010180636371622039290344973682893869711989927","1/12 - (2*SUSYc1XM2)/3 - SUSYc1XM1*SUSYc2XM1 - (4*SUSYc2XM2)/3","{-SUSYc2XM1, -2/3, 0, 0, 0, 0, 0, 0, -SUSYc1XM1, -4/3, 0}"
