"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",1000,"SUSYc1XM1","-1169.688016252922257957083979332374747528833445439259336503978200332711370904553182601341821181205111549617194100939290232024648378793188146","1/7168 - SUSYc1XM2/1792 + SUSYc1XM4/448 - SUSYc1XM6/112 + SUSYc1XM8/28 + (SUSYc1XM1*SUSYc2XM1)/1792 - (SUSYc1XM3*SUSYc2XM1)/448 + (SUSYc1XM5*SUSYc2XM1)/112 + (SUSYc1XM9*SUSYc2XM1)/7 - SUSYc2XM2/1792 + (SUSYc1XM2*SUSYc2XM2)/448 - (SUSYc1XM4*SUSYc2XM2)/112 + (SUSYc1XM6*SUSYc2XM2)/28 - (SUSYc1XM8*SUSYc2XM2)/7","{SUSYc2XM1/1792, -1/1792 + SUSYc2XM2/448, -1/448*SUSYc2XM1, 1/448 - SUSYc2XM2/112, SUSYc2XM1/112, -1/112 + SUSYc2XM2/28, 1/28 - SUSYc2XM2/7, SUSYc2XM1/7, SUSYc1XM1/1792 - SUSYc1XM3/448 + SUSYc1XM5/112 + SUSYc1XM9/7, -1/1792 + SUSYc1XM2/448 - SUSYc1XM4/112 + SUSYc1XM6/28 - SUSYc1XM8/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",1000,"SUSYc1XM2","3708.907200911245011582213759032708684379945338317654521163143326860718553860340363104519570456045558406564970018263574816393521564597350019","(-3*SUSYc1XM1)/896 + SUSYc1XM3/112 - SUSYc1XM5/56 + (2*SUSYc1XM9)/7 + SUSYc2XM1/224 - (3*SUSYc1XM2*SUSYc2XM1)/224 + (SUSYc1XM4*SUSYc2XM1)/28 - (SUSYc1XM6*SUSYc2XM1)/14 + (SUSYc1XM1*SUSYc2XM2)/56 - (3*SUSYc1XM3*SUSYc2XM2)/56 + (SUSYc1XM5*SUSYc2XM2)/7","{-3/896 + SUSYc2XM2/56, (-3*SUSYc2XM1)/224, 1/112 - (3*SUSYc2XM2)/56, SUSYc2XM1/28, -1/56 + SUSYc2XM2/7, -1/14*SUSYc2XM1, 0, 2/7, 1/224 - (3*SUSYc1XM2)/224 + SUSYc1XM4/28 - SUSYc1XM6/14, SUSYc1XM1/56 - (3*SUSYc1XM3)/56 + SUSYc1XM5/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",1000,"SUSYc1XM3","-9440.3578533618024653638693164843797930848912555329538064383505400086194098497540049123756379557662565804656269118320449050860901604256708","-19/1792 + SUSYc1XM2/56 - SUSYc1XM4/112 - SUSYc1XM6/14 + SUSYc1XM8/7 - (5*SUSYc1XM1*SUSYc2XM1)/112 + (9*SUSYc1XM3*SUSYc2XM1)/112 - (SUSYc1XM5*SUSYc2XM1)/14 + (9*SUSYc2XM2)/112 - (3*SUSYc1XM2*SUSYc2XM2)/16 + (5*SUSYc1XM4*SUSYc2XM2)/14 - (3*SUSYc1XM6*SUSYc2XM2)/7","{(-5*SUSYc2XM1)/112, 1/56 - (3*SUSYc2XM2)/16, (9*SUSYc2XM1)/112, -1/112 + (5*SUSYc2XM2)/14, -1/14*SUSYc2XM1, -1/14 - (3*SUSYc2XM2)/7, 1/7, 0, (-5*SUSYc1XM1)/112 + (9*SUSYc1XM3)/112 - SUSYc1XM5/14, 9/112 - (3*SUSYc1XM2)/16 + (5*SUSYc1XM4)/14 - (3*SUSYc1XM6)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",1000,"SUSYc1XM4","15629.28542833227285327843931415067620119040187846386352988204799481499320148226273176578394005598973533815112511359482154582811659437356591","SUSYc1XM1/56 + SUSYc1XM3/28 - SUSYc1XM5/7 - (3*SUSYc2XM1)/28 + (SUSYc1XM2*SUSYc2XM1)/8 - (2*SUSYc1XM6*SUSYc2XM1)/7 - (SUSYc1XM1*SUSYc2XM2)/2 + (5*SUSYc1XM3*SUSYc2XM2)/7 - (4*SUSYc1XM5*SUSYc2XM2)/7","{1/56 - SUSYc2XM2/2, SUSYc2XM1/8, 1/28 + (5*SUSYc2XM2)/7, 0, -1/7 - (4*SUSYc2XM2)/7, (-2*SUSYc2XM1)/7, 0, 0, -3/28 + SUSYc1XM2/8 - (2*SUSYc1XM6)/7, -1/2*SUSYc1XM1 + (5*SUSYc1XM3)/7 - (4*SUSYc1XM5)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",1000,"SUSYc1XM5","-20203.193053957618227727304016313749616550570403348482464677034612636925685332984629717629226243178372179887186911782560808549919119341213838","-3/224 + SUSYc1XM2/8 - (5*SUSYc1XM4)/28 - SUSYc1XM6/7 + (SUSYc1XM1*SUSYc2XM1)/8 + (5*SUSYc1XM3*SUSYc2XM1)/28 - (3*SUSYc1XM5*SUSYc2XM1)/7 - (9*SUSYc2XM2)/8 + (5*SUSYc1XM2*SUSYc2XM2)/4 - (5*SUSYc1XM4*SUSYc2XM2)/7","{SUSYc2XM1/8, 1/8 + (5*SUSYc2XM2)/4, (5*SUSYc2XM1)/28, -5/28 - (5*SUSYc2XM2)/7, (-3*SUSYc2XM1)/7, -1/7, 0, 0, SUSYc1XM1/8 + (5*SUSYc1XM3)/28 - (3*SUSYc1XM5)/7, -9/8 + (5*SUSYc1XM2)/4 - (5*SUSYc1XM4)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",1000,"SUSYc1XM6","18843.307280061290138459561305292388426386667211519497249532705671296065536607237527724797454015985468274392323844703384913490966070890827688","SUSYc1XM1/4 - SUSYc1XM3/7 - (2*SUSYc1XM5)/7 + (SUSYc1XM2*SUSYc2XM1)/2 - (4*SUSYc1XM4*SUSYc2XM1)/7 + 2*SUSYc1XM1*SUSYc2XM2 - (6*SUSYc1XM3*SUSYc2XM2)/7","{1/4 + 2*SUSYc2XM2, SUSYc2XM1/2, -1/7 - (6*SUSYc2XM2)/7, (-4*SUSYc2XM1)/7, -2/7, 0, 0, 0, SUSYc1XM2/2 - (4*SUSYc1XM4)/7, 2*SUSYc1XM1 - (6*SUSYc1XM3)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",1000,"SUSYc1XM8","33980.523864948927186292636342709617224140197124274600443374719931345944538491606362965712769510301104584227995699656023730965137731309678228","3/8 - (3*SUSYc1XM4)/7 + SUSYc1XM1*SUSYc2XM1 - (5*SUSYc1XM3*SUSYc2XM1)/7 + 3*SUSYc2XM2 - SUSYc1XM2*SUSYc2XM2","{SUSYc2XM1, -SUSYc2XM2, (-5*SUSYc2XM1)/7, -3/7, 0, 0, 0, 0, SUSYc1XM1 - (5*SUSYc1XM3)/7, 3 - SUSYc1XM2}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",1000,"SUSYc1XM9","19112.492265906548736777166098839199385291795219386628026254847177085914910335999916596082077044610675558523000132873166261695667671466442521","(2*SUSYc1XM1)/7 - (4*SUSYc1XM3)/7 + (12*SUSYc2XM1)/7 - (6*SUSYc1XM2*SUSYc2XM1)/7 - (8*SUSYc1XM1*SUSYc2XM2)/7","{2/7 - (8*SUSYc2XM2)/7, (-6*SUSYc2XM1)/7, -4/7, 0, 0, 0, 0, 0, 12/7 - (6*SUSYc1XM2)/7, (-8*SUSYc1XM1)/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",1000,"SUSYc2XM1","2.26601218969169346781298449928106064662508407944450237798365024953352817841488695100636588590383366221289557570446767401848628409489111","3/4 - (5*SUSYc1XM2)/7 - SUSYc1XM1*SUSYc2XM1 - (9*SUSYc2XM2)/7","{-SUSYc2XM1, -5/7, 0, 0, 0, 0, 0, 0, -SUSYc1XM1, -9/7}"
"{{1, 2, 5, 6, 7, 8, 9, 10}, {3, 4}}",1000,"SUSYc2XM2","1.600568466855274159881506572961509924123038169583094961808225253333230369678675615578075234533230770045638669895670851847801896208386625","-h - (6*SUSYc1XM1)/7 - (8*SUSYc2XM1)/7","{-6/7, 0, 0, 0, 0, 0, 0, 0, -8/7, 0}"
