var,b_final_value
SUSYc1XM1,-5.1014171728799978792930e+00
SUSYc1XM2,1.4613896515467894396340e+01
SUSYc1XM3,-2.6681241062733345135250e+01
SUSYc1XM4,3.1194847104242558193280e+01
SUSYc1XM6,4.8771935440525994432100e+01
SUSYc1XM7,1.1879535026691469839530e+02
SUSYc1XM8,2.9247623956664827529610e+01
SUSYc1XM9,1.3880509882882677720700e+01
SUSYc1XM10,-1.0490394788371451568270e+01
SUSYc1XM11,1.7166584927032697751030e-01
SUSYc1XM12,1.8845345759811046005200e-01
SUSYc1XM13,-8.4256718806740286863440e-03
SUSYc2XM1,3.4009447819199985861810e+00
SUSYc2XM2,5.0580715751589739111360e+00
SUSYc2XM3,3.2978731018627705233360e+00
SUSYc2XM4,1.0519512089220649628140e-01
SUSYc2XM5,-5.1058836396155215432510e-01
SUSYc2XM6,1.8848735621261081115780e-02
SUSYc2XM7,8.5244451094983118611890e-03
SUSYc2XM8,-4.0073982477917858721160e-04
