"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 8, 11, 13}, {2, 6, 7, 9, 10, 12, 14}}",70,"SUSYc1XM2","-107.1504088805851499756399788036048166582830849028976954324081707236181814985972978267923526285939204090325177651680425","-1/16384 + SUSYc1XM2/4096 - SUSYc1XM4/1024 + SUSYc1XM6/256 - SUSYc1XM8/64 + (SUSYc1XM3*SUSYc2XM1)/1024 - (SUSYc1XM5*SUSYc2XM1)/256 + (SUSYc1XM7*SUSYc2XM1)/64 + SUSYc2XM2/4096 - (SUSYc1XM2*SUSYc2XM2)/1024 + (SUSYc1XM4*SUSYc2XM2)/256 - (SUSYc1XM6*SUSYc2XM2)/64 + (SUSYc1XM8*SUSYc2XM2)/16 - (SUSYc1XM3*SUSYc2XM3)/256 + (SUSYc1XM5*SUSYc2XM3)/64 - (SUSYc1XM7*SUSYc2XM3)/16 - SUSYc2XM4/1024 + (SUSYc1XM2*SUSYc2XM4)/256 - (SUSYc1XM4*SUSYc2XM4)/64 + (SUSYc1XM6*SUSYc2XM4)/16 - (SUSYc1XM8*SUSYc2XM4)/4 + (SUSYc1XM3*SUSYc2XM5)/64 - (SUSYc1XM5*SUSYc2XM5)/16 + (SUSYc1XM7*SUSYc2XM5)/4 + SUSYc2XM6/256 - (SUSYc1XM2*SUSYc2XM6)/64 + (SUSYc1XM4*SUSYc2XM6)/16 - (SUSYc1XM6*SUSYc2XM6)/4 + SUSYc1XM8*SUSYc2XM6 - (SUSYc1XM3*SUSYc2XM7)/16 + (SUSYc1XM5*SUSYc2XM7)/4 - SUSYc1XM7*SUSYc2XM7","{1/4096 - SUSYc2XM2/1024 + SUSYc2XM4/256 - SUSYc2XM6/64, SUSYc2XM1/1024 - SUSYc2XM3/256 + SUSYc2XM5/64 - SUSYc2XM7/16, -1/1024 + SUSYc2XM2/256 - SUSYc2XM4/64 + SUSYc2XM6/16, -1/256*SUSYc2XM1 + SUSYc2XM3/64 - SUSYc2XM5/16 + SUSYc2XM7/4, 1/256 - SUSYc2XM2/64 + SUSYc2XM4/16 - SUSYc2XM6/4, SUSYc2XM1/64 - SUSYc2XM3/16 + SUSYc2XM5/4 - SUSYc2XM7, -1/64 + SUSYc2XM2/16 - SUSYc2XM4/4 + SUSYc2XM6, SUSYc1XM3/1024 - SUSYc1XM5/256 + SUSYc1XM7/64, 1/4096 - SUSYc1XM2/1024 + SUSYc1XM4/256 - SUSYc1XM6/64 + SUSYc1XM8/16, -1/256*SUSYc1XM3 + SUSYc1XM5/64 - SUSYc1XM7/16, -1/1024 + SUSYc1XM2/256 - SUSYc1XM4/64 + SUSYc1XM6/16 - SUSYc1XM8/4, SUSYc1XM3/64 - SUSYc1XM5/16 + SUSYc1XM7/4, 1/256 - SUSYc1XM2/64 + SUSYc1XM4/16 - SUSYc1XM6/4 + SUSYc1XM8, -1/16*SUSYc1XM3 + SUSYc1XM5/4 - SUSYc1XM7}"
"{{1, 3, 4, 5, 8, 11, 13}, {2, 6, 7, 9, 10, 12, 14}}",70,"SUSYc1XM3","-119.9963388143459174160053463517952896848836194966025670452375540946125178105773246558836637591470650869612232660053291","SUSYc1XM3/512 - SUSYc1XM5/64 + (3*SUSYc1XM7)/32 - SUSYc2XM1/2048 + (SUSYc1XM4*SUSYc2XM1)/128 - (SUSYc1XM6*SUSYc2XM1)/16 + (3*SUSYc1XM8*SUSYc2XM1)/8 + (SUSYc1XM5*SUSYc2XM2)/32 - (SUSYc1XM7*SUSYc2XM2)/4 + SUSYc2XM3/256 - (SUSYc1XM2*SUSYc2XM3)/128 + (SUSYc1XM6*SUSYc2XM3)/8 - SUSYc1XM8*SUSYc2XM3 - (SUSYc1XM3*SUSYc2XM4)/32 + (SUSYc1XM7*SUSYc2XM4)/2 - (3*SUSYc2XM5)/128 + (SUSYc1XM2*SUSYc2XM5)/16 - (SUSYc1XM4*SUSYc2XM5)/8 + 2*SUSYc1XM8*SUSYc2XM5 + (SUSYc1XM3*SUSYc2XM6)/4 - (SUSYc1XM5*SUSYc2XM6)/2 + SUSYc2XM7/8 - (3*SUSYc1XM2*SUSYc2XM7)/8 + SUSYc1XM4*SUSYc2XM7 - 2*SUSYc1XM6*SUSYc2XM7","{-1/128*SUSYc2XM3 + SUSYc2XM5/16 - (3*SUSYc2XM7)/8, 1/512 - SUSYc2XM4/32 + SUSYc2XM6/4, SUSYc2XM1/128 - SUSYc2XM5/8 + SUSYc2XM7, -1/64 + SUSYc2XM2/32 - SUSYc2XM6/2, -1/16*SUSYc2XM1 + SUSYc2XM3/8 - 2*SUSYc2XM7, 3/32 - SUSYc2XM2/4 + SUSYc2XM4/2, (3*SUSYc2XM1)/8 - SUSYc2XM3 + 2*SUSYc2XM5, -1/2048 + SUSYc1XM4/128 - SUSYc1XM6/16 + (3*SUSYc1XM8)/8, SUSYc1XM5/32 - SUSYc1XM7/4, 1/256 - SUSYc1XM2/128 + SUSYc1XM6/8 - SUSYc1XM8, -1/32*SUSYc1XM3 + SUSYc1XM7/2, -3/128 + SUSYc1XM2/16 - SUSYc1XM4/8 + 2*SUSYc1XM8, SUSYc1XM3/4 - SUSYc1XM5/2, 1/8 - (3*SUSYc1XM2)/8 + SUSYc1XM4 - 2*SUSYc1XM6}"
"{{1, 3, 4, 5, 8, 11, 13}, {2, 6, 7, 9, 10, 12, 14}}",70,"SUSYc1XM4","-108.232205261442386813599381737047452848468821286183404570539314616006780580606114006972969329757986326481500935054163","-7/4096 + (3*SUSYc1XM2)/512 - SUSYc1XM4/256 - SUSYc1XM6/8 + (21*SUSYc1XM8)/16 + (5*SUSYc1XM3*SUSYc2XM1)/256 - (9*SUSYc1XM7*SUSYc2XM1)/16 + SUSYc2XM2/512 - (5*SUSYc1XM2*SUSYc2XM2)/256 + (SUSYc1XM4*SUSYc2XM2)/16 + (SUSYc1XM6*SUSYc2XM2)/16 - (5*SUSYc1XM8*SUSYc2XM2)/2 - (SUSYc1XM3*SUSYc2XM3)/16 + (3*SUSYc1XM5*SUSYc2XM3)/16 + (SUSYc1XM7*SUSYc2XM3)/2 + (7*SUSYc2XM4)/256 - (3*SUSYc1XM4*SUSYc2XM4)/16 + (SUSYc1XM6*SUSYc2XM4)/2 + 3*SUSYc1XM8*SUSYc2XM4 - (SUSYc1XM3*SUSYc2XM5)/16 - (SUSYc1XM5*SUSYc2XM5)/2 + SUSYc1XM7*SUSYc2XM5 - (5*SUSYc2XM6)/16 + (9*SUSYc1XM2*SUSYc2XM6)/16 - (SUSYc1XM4*SUSYc2XM6)/2 - SUSYc1XM6*SUSYc2XM6 + (5*SUSYc1XM3*SUSYc2XM7)/2 - 3*SUSYc1XM5*SUSYc2XM7","{3/512 - (5*SUSYc2XM2)/256 + (9*SUSYc2XM6)/16, (5*SUSYc2XM1)/256 - SUSYc2XM3/16 - SUSYc2XM5/16 + (5*SUSYc2XM7)/2, -1/256 + SUSYc2XM2/16 - (3*SUSYc2XM4)/16 - SUSYc2XM6/2, (3*SUSYc2XM3)/16 - SUSYc2XM5/2 - 3*SUSYc2XM7, -1/8 + SUSYc2XM2/16 + SUSYc2XM4/2 - SUSYc2XM6, (-9*SUSYc2XM1)/16 + SUSYc2XM3/2 + SUSYc2XM5, 21/16 - (5*SUSYc2XM2)/2 + 3*SUSYc2XM4, (5*SUSYc1XM3)/256 - (9*SUSYc1XM7)/16, 1/512 - (5*SUSYc1XM2)/256 + SUSYc1XM4/16 + SUSYc1XM6/16 - (5*SUSYc1XM8)/2, -1/16*SUSYc1XM3 + (3*SUSYc1XM5)/16 + SUSYc1XM7/2, 7/256 - (3*SUSYc1XM4)/16 + SUSYc1XM6/2 + 3*SUSYc1XM8, -1/16*SUSYc1XM3 - SUSYc1XM5/2 + SUSYc1XM7, -5/16 + (9*SUSYc1XM2)/16 - SUSYc1XM4/2 - SUSYc1XM6, (5*SUSYc1XM3)/2 - 3*SUSYc1XM5}"
"{{1, 3, 4, 5, 8, 11, 13}, {2, 6, 7, 9, 10, 12, 14}}",70,"SUSYc1XM5","-28.6935091984754463074816047641182926454771257214959224832923183150151213702850934454437114033749507565083111556881996","(5*SUSYc1XM3)/128 - SUSYc1XM5/8 - (7*SUSYc1XM7)/8 - (3*SUSYc2XM1)/256 + (SUSYc1XM4*SUSYc2XM1)/8 - (SUSYc1XM6*SUSYc2XM1)/4 - 5*SUSYc1XM8*SUSYc2XM1 + (3*SUSYc1XM5*SUSYc2XM2)/8 + (3*SUSYc2XM3)/64 - (SUSYc1XM2*SUSYc2XM3)/8 + SUSYc1XM6*SUSYc2XM3 + 4*SUSYc1XM8*SUSYc2XM3 - (3*SUSYc1XM3*SUSYc2XM4)/8 + 2*SUSYc1XM7*SUSYc2XM4 + SUSYc2XM5/8 + (SUSYc1XM2*SUSYc2XM5)/4 - SUSYc1XM4*SUSYc2XM5 - 2*SUSYc1XM5*SUSYc2XM6 - (7*SUSYc2XM7)/2 + 5*SUSYc1XM2*SUSYc2XM7 - 4*SUSYc1XM4*SUSYc2XM7","{-1/8*SUSYc2XM3 + SUSYc2XM5/4 + 5*SUSYc2XM7, 5/128 - (3*SUSYc2XM4)/8, SUSYc2XM1/8 - SUSYc2XM5 - 4*SUSYc2XM7, -1/8 + (3*SUSYc2XM2)/8 - 2*SUSYc2XM6, -1/4*SUSYc2XM1 + SUSYc2XM3, -7/8 + 2*SUSYc2XM4, -5*SUSYc2XM1 + 4*SUSYc2XM3, -3/256 + SUSYc1XM4/8 - SUSYc1XM6/4 - 5*SUSYc1XM8, (3*SUSYc1XM5)/8, 3/64 - SUSYc1XM2/8 + SUSYc1XM6 + 4*SUSYc1XM8, (-3*SUSYc1XM3)/8 + 2*SUSYc1XM7, 1/8 + SUSYc1XM2/4 - SUSYc1XM4, -2*SUSYc1XM5, -7/2 + 5*SUSYc1XM2 - 4*SUSYc1XM4}"
"{{1, 3, 4, 5, 8, 11, 13}, {2, 6, 7, 9, 10, 12, 14}}",70,"SUSYc1XM6","48.9017362839495311320139562112529464438844412082146990717957099495581876776827610383220615076823857055943178908666588","-21/1024 + (15*SUSYc1XM2)/256 + (3*SUSYc1XM4)/32 - (7*SUSYc1XM6)/8 - (35*SUSYc1XM8)/4 + (5*SUSYc1XM3*SUSYc2XM1)/32 + (3*SUSYc1XM5*SUSYc2XM1)/8 - (5*SUSYc1XM7*SUSYc2XM1)/4 - (5*SUSYc2XM2)/256 - (5*SUSYc1XM2*SUSYc2XM2)/32 + (3*SUSYc1XM4*SUSYc2XM2)/8 + (5*SUSYc1XM6*SUSYc2XM2)/4 + 5*SUSYc1XM8*SUSYc2XM2 - (3*SUSYc1XM3*SUSYc2XM3)/8 + (3*SUSYc1XM5*SUSYc2XM3)/4 + 3*SUSYc1XM7*SUSYc2XM3 + (11*SUSYc2XM4)/32 - (3*SUSYc1XM2*SUSYc2XM4)/8 - (3*SUSYc1XM4*SUSYc2XM4)/4 + SUSYc1XM6*SUSYc2XM4 - (5*SUSYc1XM3*SUSYc2XM5)/4 - SUSYc1XM5*SUSYc2XM5 + (7*SUSYc2XM6)/8 + (5*SUSYc1XM2*SUSYc2XM6)/4 - 3*SUSYc1XM4*SUSYc2XM6 - 5*SUSYc1XM3*SUSYc2XM7","{15/256 - (5*SUSYc2XM2)/32 - (3*SUSYc2XM4)/8 + (5*SUSYc2XM6)/4, (5*SUSYc2XM1)/32 - (3*SUSYc2XM3)/8 - (5*SUSYc2XM5)/4 - 5*SUSYc2XM7, 3/32 + (3*SUSYc2XM2)/8 - (3*SUSYc2XM4)/4 - 3*SUSYc2XM6, (3*SUSYc2XM1)/8 + (3*SUSYc2XM3)/4 - SUSYc2XM5, -7/8 + (5*SUSYc2XM2)/4 + SUSYc2XM4, (-5*SUSYc2XM1)/4 + 3*SUSYc2XM3, -35/4 + 5*SUSYc2XM2, (5*SUSYc1XM3)/32 + (3*SUSYc1XM5)/8 - (5*SUSYc1XM7)/4, -5/256 - (5*SUSYc1XM2)/32 + (3*SUSYc1XM4)/8 + (5*SUSYc1XM6)/4 + 5*SUSYc1XM8, (-3*SUSYc1XM3)/8 + (3*SUSYc1XM5)/4 + 3*SUSYc1XM7, 11/32 - (3*SUSYc1XM2)/8 - (3*SUSYc1XM4)/4 + SUSYc1XM6, (-5*SUSYc1XM3)/4 - SUSYc1XM5, 7/8 + (5*SUSYc1XM2)/4 - 3*SUSYc1XM4, -5*SUSYc1XM3}"
"{{1, 3, 4, 5, 8, 11, 13}, {2, 6, 7, 9, 10, 12, 14}}",70,"SUSYc1XM7","9.7056662846893586979149672353481978979904072878584023187510777690847352241267803877010860399453161332746415514572242","(5*SUSYc1XM3)/16 - (7*SUSYc1XM7)/2 - (15*SUSYc2XM1)/128 + (3*SUSYc1XM4*SUSYc2XM1)/4 + SUSYc1XM6*SUSYc2XM1 + 6*SUSYc1XM8*SUSYc2XM1 + (3*SUSYc1XM5*SUSYc2XM2)/2 + 4*SUSYc1XM7*SUSYc2XM2 + SUSYc2XM3/8 - (3*SUSYc1XM2*SUSYc2XM3)/4 + 2*SUSYc1XM6*SUSYc2XM3 - (3*SUSYc1XM3*SUSYc2XM4)/2 + (7*SUSYc2XM5)/4 - SUSYc1XM2*SUSYc2XM5 - 2*SUSYc1XM4*SUSYc2XM5 - 4*SUSYc1XM3*SUSYc2XM6 + 14*SUSYc2XM7 - 6*SUSYc1XM2*SUSYc2XM7","{(-3*SUSYc2XM3)/4 - SUSYc2XM5 - 6*SUSYc2XM7, 5/16 - (3*SUSYc2XM4)/2 - 4*SUSYc2XM6, (3*SUSYc2XM1)/4 - 2*SUSYc2XM5, (3*SUSYc2XM2)/2, SUSYc2XM1 + 2*SUSYc2XM3, -7/2 + 4*SUSYc2XM2, 6*SUSYc2XM1, -15/128 + (3*SUSYc1XM4)/4 + SUSYc1XM6 + 6*SUSYc1XM8, (3*SUSYc1XM5)/2 + 4*SUSYc1XM7, 1/8 - (3*SUSYc1XM2)/4 + 2*SUSYc1XM6, (-3*SUSYc1XM3)/2, 7/4 - SUSYc1XM2 - 2*SUSYc1XM4, -4*SUSYc1XM3, 14 - 6*SUSYc1XM2}"
"{{1, 3, 4, 5, 8, 11, 13}, {2, 6, 7, 9, 10, 12, 14}}",70,"SUSYc1XM8","-1.3591791103751209017531574648514799192557791711106983973758046909263575031859305483445201840760210280413493093604305","-35/256 + (5*SUSYc1XM2)/16 + (7*SUSYc1XM4)/8 + 7*SUSYc1XM8 + (5*SUSYc1XM3*SUSYc2XM1)/8 + 2*SUSYc1XM5*SUSYc2XM1 + 5*SUSYc1XM7*SUSYc2XM1 - (5*SUSYc2XM2)/16 - (5*SUSYc1XM2*SUSYc2XM2)/8 + SUSYc1XM4*SUSYc2XM2 + 3*SUSYc1XM6*SUSYc2XM2 - SUSYc1XM3*SUSYc2XM3 + SUSYc1XM5*SUSYc2XM3 + (7*SUSYc2XM4)/8 - 2*SUSYc1XM2*SUSYc2XM4 - SUSYc1XM4*SUSYc2XM4 - 3*SUSYc1XM3*SUSYc2XM5 + 7*SUSYc2XM6 - 5*SUSYc1XM2*SUSYc2XM6","{5/16 - (5*SUSYc2XM2)/8 - 2*SUSYc2XM4 - 5*SUSYc2XM6, (5*SUSYc2XM1)/8 - SUSYc2XM3 - 3*SUSYc2XM5, 7/8 + SUSYc2XM2 - SUSYc2XM4, 2*SUSYc2XM1 + SUSYc2XM3, 3*SUSYc2XM2, 5*SUSYc2XM1, 7, (5*SUSYc1XM3)/8 + 2*SUSYc1XM5 + 5*SUSYc1XM7, -5/16 - (5*SUSYc1XM2)/8 + SUSYc1XM4 + 3*SUSYc1XM6, -SUSYc1XM3 + SUSYc1XM5, 7/8 - 2*SUSYc1XM2 - SUSYc1XM4, -3*SUSYc1XM3, 7 - 5*SUSYc1XM2, 0}"
"{{1, 3, 4, 5, 8, 11, 13}, {2, 6, 7, 9, 10, 12, 14}}",70,"SUSYc2XM1","-35.","(5*SUSYc1XM3)/4 + 2*SUSYc1XM5 + 6*SUSYc1XM7 - (5*SUSYc2XM1)/8 + 2*SUSYc1XM4*SUSYc2XM1 + 4*SUSYc1XM6*SUSYc2XM1 + 2*SUSYc1XM5*SUSYc2XM2 - SUSYc2XM3/2 - 2*SUSYc1XM2*SUSYc2XM3 - 2*SUSYc1XM3*SUSYc2XM4 + 2*SUSYc2XM5 - 4*SUSYc1XM2*SUSYc2XM5 - 8*SUSYc2XM7","{-2*SUSYc2XM3 - 4*SUSYc2XM5, 5/4 - 2*SUSYc2XM4, 2*SUSYc2XM1, 2 + 2*SUSYc2XM2, 4*SUSYc2XM1, 6, 0, -5/8 + 2*SUSYc1XM4 + 4*SUSYc1XM6, 2*SUSYc1XM5, -1/2 - 2*SUSYc1XM2, -2*SUSYc1XM3, 2 - 4*SUSYc1XM2, 0, -8}"
"{{1, 3, 4, 5, 8, 11, 13}, {2, 6, 7, 9, 10, 12, 14}}",70,"SUSYc2XM2","-36.3001362935283833252133262678682722194276949676325651441360569078727271661990992755974508761979734696775059217226808","-35/64 + (15*SUSYc1XM2)/16 + (11*SUSYc1XM4)/4 + 5*SUSYc1XM6 + (5*SUSYc1XM3*SUSYc2XM1)/4 + 3*SUSYc1XM5*SUSYc2XM1 - (25*SUSYc2XM2)/16 - (5*SUSYc1XM2*SUSYc2XM2)/4 + SUSYc1XM4*SUSYc2XM2 - SUSYc1XM3*SUSYc2XM3 - (5*SUSYc2XM4)/4 - 3*SUSYc1XM2*SUSYc2XM4 - 7*SUSYc2XM6","{15/16 - (5*SUSYc2XM2)/4 - 3*SUSYc2XM4, (5*SUSYc2XM1)/4 - SUSYc2XM3, 11/4 + SUSYc2XM2, 3*SUSYc2XM1, 5, 0, 0, (5*SUSYc1XM3)/4 + 3*SUSYc1XM5, -25/16 - (5*SUSYc1XM2)/4 + SUSYc1XM4, -SUSYc1XM3, -5/4 - 3*SUSYc1XM2, 0, -7, 0}"
"{{1, 3, 4, 5, 8, 11, 13}, {2, 6, 7, 9, 10, 12, 14}}",70,"SUSYc2XM3","-33.7481694071729587080026731758976448424418097483012835226187770473062589052886623279418318795735325434806116330026646","(5*SUSYc1XM3)/2 + 4*SUSYc1XM5 - (15*SUSYc2XM1)/8 + 2*SUSYc1XM4*SUSYc2XM1 - 3*SUSYc2XM3 - 2*SUSYc1XM2*SUSYc2XM3 - 6*SUSYc2XM5","{-2*SUSYc2XM3, 5/2, 2*SUSYc2XM1, 4, 0, 0, 0, -15/8 + 2*SUSYc1XM4, 0, -3 - 2*SUSYc1XM2, 0, -6, 0, 0}"
