"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 8, 11}, {2, 6, 7, 9, 10, 12}}",70,"SUSYc1XM2","-111.2447064718679914604532923905757524476953430937437809129680857076918432861280528167027705093266879705079168548991046","-1/4096 + SUSYc1XM2/1024 - SUSYc1XM4/256 + SUSYc1XM6/64 + (SUSYc1XM3*SUSYc2XM1)/256 - (SUSYc1XM5*SUSYc2XM1)/64 + (SUSYc1XM7*SUSYc2XM1)/16 + SUSYc2XM2/1024 - (SUSYc1XM2*SUSYc2XM2)/256 + (SUSYc1XM4*SUSYc2XM2)/64 - (SUSYc1XM6*SUSYc2XM2)/16 - (SUSYc1XM3*SUSYc2XM3)/64 + (SUSYc1XM5*SUSYc2XM3)/16 - (SUSYc1XM7*SUSYc2XM3)/4 - SUSYc2XM4/256 + (SUSYc1XM2*SUSYc2XM4)/64 - (SUSYc1XM4*SUSYc2XM4)/16 + (SUSYc1XM6*SUSYc2XM4)/4 + (SUSYc1XM3*SUSYc2XM5)/16 - (SUSYc1XM5*SUSYc2XM5)/4 + SUSYc1XM7*SUSYc2XM5 + SUSYc2XM6/64 - (SUSYc1XM2*SUSYc2XM6)/16 + (SUSYc1XM4*SUSYc2XM6)/4 - SUSYc1XM6*SUSYc2XM6","{1/1024 - SUSYc2XM2/256 + SUSYc2XM4/64 - SUSYc2XM6/16, SUSYc2XM1/256 - SUSYc2XM3/64 + SUSYc2XM5/16, -1/256 + SUSYc2XM2/64 - SUSYc2XM4/16 + SUSYc2XM6/4, -1/64*SUSYc2XM1 + SUSYc2XM3/16 - SUSYc2XM5/4, 1/64 - SUSYc2XM2/16 + SUSYc2XM4/4 - SUSYc2XM6, SUSYc2XM1/16 - SUSYc2XM3/4 + SUSYc2XM5, SUSYc1XM3/256 - SUSYc1XM5/64 + SUSYc1XM7/16, 1/1024 - SUSYc1XM2/256 + SUSYc1XM4/64 - SUSYc1XM6/16, -1/64*SUSYc1XM3 + SUSYc1XM5/16 - SUSYc1XM7/4, -1/256 + SUSYc1XM2/64 - SUSYc1XM4/16 + SUSYc1XM6/4, SUSYc1XM3/16 - SUSYc1XM5/4 + SUSYc1XM7, 1/64 - SUSYc1XM2/16 + SUSYc1XM4/4 - SUSYc1XM6}"
"{{1, 3, 4, 5, 8, 11}, {2, 6, 7, 9, 10, 12}}",70,"SUSYc1XM3","-129.0662289814865973370272581885536101431863804897526536921773564535257977249567299134770323038659782538731935682822157","SUSYc1XM3/128 - SUSYc1XM5/16 + (3*SUSYc1XM7)/8 - SUSYc2XM1/512 + (SUSYc1XM4*SUSYc2XM1)/32 - (SUSYc1XM6*SUSYc2XM1)/4 + (SUSYc1XM5*SUSYc2XM2)/8 - SUSYc1XM7*SUSYc2XM2 + SUSYc2XM3/64 - (SUSYc1XM2*SUSYc2XM3)/32 + (SUSYc1XM6*SUSYc2XM3)/2 - (SUSYc1XM3*SUSYc2XM4)/8 + 2*SUSYc1XM7*SUSYc2XM4 - (3*SUSYc2XM5)/32 + (SUSYc1XM2*SUSYc2XM5)/4 - (SUSYc1XM4*SUSYc2XM5)/2 + SUSYc1XM3*SUSYc2XM6 - 2*SUSYc1XM5*SUSYc2XM6","{-1/32*SUSYc2XM3 + SUSYc2XM5/4, 1/128 - SUSYc2XM4/8 + SUSYc2XM6, SUSYc2XM1/32 - SUSYc2XM5/2, -1/16 + SUSYc2XM2/8 - 2*SUSYc2XM6, -1/4*SUSYc2XM1 + SUSYc2XM3/2, 3/8 - SUSYc2XM2 + 2*SUSYc2XM4, -1/512 + SUSYc1XM4/32 - SUSYc1XM6/4, SUSYc1XM5/8 - SUSYc1XM7, 1/64 - SUSYc1XM2/32 + SUSYc1XM6/2, -1/8*SUSYc1XM3 + 2*SUSYc1XM7, -3/32 + SUSYc1XM2/4 - SUSYc1XM4/2, SUSYc1XM3 - 2*SUSYc1XM5}"
"{{1, 3, 4, 5, 8, 11}, {2, 6, 7, 9, 10, 12}}",70,"SUSYc1XM4","-142.3719818585496200862199897684798560283759288516589144071655180028135993210983909923049161141389815899542198278966571","-3/512 + (5*SUSYc1XM2)/256 - (9*SUSYc1XM6)/16 + (SUSYc1XM3*SUSYc2XM1)/16 + (SUSYc1XM5*SUSYc2XM1)/16 - (5*SUSYc1XM7*SUSYc2XM1)/2 + SUSYc2XM2/256 - (SUSYc1XM2*SUSYc2XM2)/16 + (3*SUSYc1XM4*SUSYc2XM2)/16 + (SUSYc1XM6*SUSYc2XM2)/2 - (3*SUSYc1XM3*SUSYc2XM3)/16 + (SUSYc1XM5*SUSYc2XM3)/2 + 3*SUSYc1XM7*SUSYc2XM3 + SUSYc2XM4/8 - (SUSYc1XM2*SUSYc2XM4)/16 - (SUSYc1XM4*SUSYc2XM4)/2 + SUSYc1XM6*SUSYc2XM4 - (SUSYc1XM3*SUSYc2XM5)/2 - SUSYc1XM5*SUSYc2XM5 - (21*SUSYc2XM6)/16 + (5*SUSYc1XM2*SUSYc2XM6)/2 - 3*SUSYc1XM4*SUSYc2XM6","{5/256 - SUSYc2XM2/16 - SUSYc2XM4/16 + (5*SUSYc2XM6)/2, SUSYc2XM1/16 - (3*SUSYc2XM3)/16 - SUSYc2XM5/2, (3*SUSYc2XM2)/16 - SUSYc2XM4/2 - 3*SUSYc2XM6, SUSYc2XM1/16 + SUSYc2XM3/2 - SUSYc2XM5, -9/16 + SUSYc2XM2/2 + SUSYc2XM4, (-5*SUSYc2XM1)/2 + 3*SUSYc2XM3, SUSYc1XM3/16 + SUSYc1XM5/16 - (5*SUSYc1XM7)/2, 1/256 - SUSYc1XM2/16 + (3*SUSYc1XM4)/16 + SUSYc1XM6/2, (-3*SUSYc1XM3)/16 + SUSYc1XM5/2 + 3*SUSYc1XM7, 1/8 - SUSYc1XM2/16 - SUSYc1XM4/2 + SUSYc1XM6, -1/2*SUSYc1XM3 - SUSYc1XM5, -21/16 + (5*SUSYc1XM2)/2 - 3*SUSYc1XM4}"
"{{1, 3, 4, 5, 8, 11}, {2, 6, 7, 9, 10, 12}}",70,"SUSYc1XM5","-81.8582986487572812294047288041873308553200534861819196875922003994187541000602353726810936731498676465920284300872386","SUSYc1XM3/8 - SUSYc1XM5/4 - 5*SUSYc1XM7 - (5*SUSYc2XM1)/128 + (3*SUSYc1XM4*SUSYc2XM1)/8 + SUSYc1XM5*SUSYc2XM2 + 4*SUSYc1XM7*SUSYc2XM2 + SUSYc2XM3/8 - (3*SUSYc1XM2*SUSYc2XM3)/8 + 2*SUSYc1XM6*SUSYc2XM3 - SUSYc1XM3*SUSYc2XM4 + (7*SUSYc2XM5)/8 - 2*SUSYc1XM4*SUSYc2XM5 - 4*SUSYc1XM3*SUSYc2XM6","{(-3*SUSYc2XM3)/8, 1/8 - SUSYc2XM4 - 4*SUSYc2XM6, (3*SUSYc2XM1)/8 - 2*SUSYc2XM5, -1/4 + SUSYc2XM2, 2*SUSYc2XM3, -5 + 4*SUSYc2XM2, -5/128 + (3*SUSYc1XM4)/8, SUSYc1XM5 + 4*SUSYc1XM7, 1/8 - (3*SUSYc1XM2)/8 + 2*SUSYc1XM6, -SUSYc1XM3, 7/8 - 2*SUSYc1XM4, -4*SUSYc1XM3}"
"{{1, 3, 4, 5, 8, 11}, {2, 6, 7, 9, 10, 12}}",70,"SUSYc1XM6","8.4645972113608459861045939191354981268255389260660852053017038622852638195578762773898883993782293804186877251231149","-15/256 + (5*SUSYc1XM2)/32 + (3*SUSYc1XM4)/8 - (5*SUSYc1XM6)/4 + (3*SUSYc1XM3*SUSYc2XM1)/8 + (5*SUSYc1XM5*SUSYc2XM1)/4 + 5*SUSYc1XM7*SUSYc2XM1 - (3*SUSYc2XM2)/32 - (3*SUSYc1XM2*SUSYc2XM2)/8 + (3*SUSYc1XM4*SUSYc2XM2)/4 + 3*SUSYc1XM6*SUSYc2XM2 - (3*SUSYc1XM3*SUSYc2XM3)/4 + SUSYc1XM5*SUSYc2XM3 + (7*SUSYc2XM4)/8 - (5*SUSYc1XM2*SUSYc2XM4)/4 - SUSYc1XM4*SUSYc2XM4 - 3*SUSYc1XM3*SUSYc2XM5 + (35*SUSYc2XM6)/4 - 5*SUSYc1XM2*SUSYc2XM6","{5/32 - (3*SUSYc2XM2)/8 - (5*SUSYc2XM4)/4 - 5*SUSYc2XM6, (3*SUSYc2XM1)/8 - (3*SUSYc2XM3)/4 - 3*SUSYc2XM5, 3/8 + (3*SUSYc2XM2)/4 - SUSYc2XM4, (5*SUSYc2XM1)/4 + SUSYc2XM3, -5/4 + 3*SUSYc2XM2, 5*SUSYc2XM1, (3*SUSYc1XM3)/8 + (5*SUSYc1XM5)/4 + 5*SUSYc1XM7, -3/32 - (3*SUSYc1XM2)/8 + (3*SUSYc1XM4)/4 + 3*SUSYc1XM6, (-3*SUSYc1XM3)/4 + SUSYc1XM5, 7/8 - (5*SUSYc1XM2)/4 - SUSYc1XM4, -3*SUSYc1XM3, 35/4 - 5*SUSYc1XM2}"
"{{1, 3, 4, 5, 8, 11}, {2, 6, 7, 9, 10, 12}}",70,"SUSYc1XM7","3.8202191302835358591538629395085230436535447116609860797506185503898727685532799887740870945980202624210120183453453","(3*SUSYc1XM3)/4 + SUSYc1XM5 + 6*SUSYc1XM7 - (5*SUSYc2XM1)/16 + (3*SUSYc1XM4*SUSYc2XM1)/2 + 4*SUSYc1XM6*SUSYc2XM1 + 2*SUSYc1XM5*SUSYc2XM2 - (3*SUSYc1XM2*SUSYc2XM3)/2 - 2*SUSYc1XM3*SUSYc2XM4 + (7*SUSYc2XM5)/2 - 4*SUSYc1XM2*SUSYc2XM5","{(-3*SUSYc2XM3)/2 - 4*SUSYc2XM5, 3/4 - 2*SUSYc2XM4, (3*SUSYc2XM1)/2, 1 + 2*SUSYc2XM2, 4*SUSYc2XM1, 6, -5/16 + (3*SUSYc1XM4)/2 + 4*SUSYc1XM6, 2*SUSYc1XM5, (-3*SUSYc1XM2)/2, -2*SUSYc1XM3, 7/2 - 4*SUSYc1XM2, 0}"
"{{1, 3, 4, 5, 8, 11}, {2, 6, 7, 9, 10, 12}}",70,"SUSYc2XM1","-35.","-5/16 + (5*SUSYc1XM2)/8 + 2*SUSYc1XM4 + 5*SUSYc1XM6 + SUSYc1XM3*SUSYc2XM1 + 3*SUSYc1XM5*SUSYc2XM1 - (7*SUSYc2XM2)/8 - SUSYc1XM2*SUSYc2XM2 + SUSYc1XM4*SUSYc2XM2 - SUSYc1XM3*SUSYc2XM3 - 3*SUSYc1XM2*SUSYc2XM4 - 7*SUSYc2XM6","{5/8 - SUSYc2XM2 - 3*SUSYc2XM4, SUSYc2XM1 - SUSYc2XM3, 2 + SUSYc2XM2, 3*SUSYc2XM1, 5, 0, SUSYc1XM3 + 3*SUSYc1XM5, -7/8 - SUSYc1XM2 + SUSYc1XM4, -SUSYc1XM3, -3*SUSYc1XM2, 0, -7}"
"{{1, 3, 4, 5, 8, 11}, {2, 6, 7, 9, 10, 12}}",70,"SUSYc2XM2","-37.5815688239559971534844307968585841492317810312479269709893619025639477620426842722342568364422293235026389516330349","2*SUSYc1XM3 + 4*SUSYc1XM5 - (5*SUSYc2XM1)/4 + 2*SUSYc1XM4*SUSYc2XM1 - 2*SUSYc2XM3 - 2*SUSYc1XM2*SUSYc2XM3 - 6*SUSYc2XM5","{-2*SUSYc2XM3, 2, 2*SUSYc2XM1, 4, 0, 0, -5/4 + 2*SUSYc1XM4, 0, -2 - 2*SUSYc1XM2, 0, -6, 0}"
"{{1, 3, 4, 5, 8, 11}, {2, 6, 7, 9, 10, 12}}",70,"SUSYc2XM3","-42.6581144907432986685136290942768050715931902448763268460886782267628988624783649567385161519329891269365967841411078","-15/16 + (5*SUSYc1XM2)/4 + 3*SUSYc1XM4 + SUSYc1XM3*SUSYc2XM1 - (11*SUSYc2XM2)/4 - SUSYc1XM2*SUSYc2XM2 - 5*SUSYc2XM4","{5/4 - SUSYc2XM2, SUSYc2XM1, 3, 0, 0, 0, SUSYc1XM3, -11/4 - SUSYc1XM2, 0, -5, 0, 0}"
"{{1, 3, 4, 5, 8, 11}, {2, 6, 7, 9, 10, 12}}",70,"SUSYc2XM4","-25.4385185241728015570617780973549196837146107317526748025840420058713383087455135800606240029689842702084122460781255","2*SUSYc1XM3 - (5*SUSYc2XM1)/2 - 4*SUSYc2XM3","{0, 2, 0, 0, 0, 0, -5/2, 0, -4, 0, 0, 0}"
