"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 8}, {2, 6, 7, 9, 10}}",70,"SUSYc1XM2","45.8967449867865978659483929747103477630409226182691936978886960067517639710681994679148500186086662807732614848467959","-1/1024 + SUSYc1XM2/256 - SUSYc1XM4/64 + SUSYc1XM6/16 + (SUSYc1XM3*SUSYc2XM1)/64 - (SUSYc1XM5*SUSYc2XM1)/16 + SUSYc2XM2/256 - (SUSYc1XM2*SUSYc2XM2)/64 + (SUSYc1XM4*SUSYc2XM2)/16 - (SUSYc1XM6*SUSYc2XM2)/4 - (SUSYc1XM3*SUSYc2XM3)/16 + (SUSYc1XM5*SUSYc2XM3)/4 - SUSYc2XM4/64 + (SUSYc1XM2*SUSYc2XM4)/16 - (SUSYc1XM4*SUSYc2XM4)/4 + SUSYc1XM6*SUSYc2XM4 + (SUSYc1XM3*SUSYc2XM5)/4 - SUSYc1XM5*SUSYc2XM5","{1/256 - SUSYc2XM2/64 + SUSYc2XM4/16, SUSYc2XM1/64 - SUSYc2XM3/16 + SUSYc2XM5/4, -1/64 + SUSYc2XM2/16 - SUSYc2XM4/4, -1/16*SUSYc2XM1 + SUSYc2XM3/4 - SUSYc2XM5, 1/16 - SUSYc2XM2/4 + SUSYc2XM4, SUSYc1XM3/64 - SUSYc1XM5/16, 1/256 - SUSYc1XM2/64 + SUSYc1XM4/16 - SUSYc1XM6/4, -1/16*SUSYc1XM3 + SUSYc1XM5/4, -1/64 + SUSYc1XM2/16 - SUSYc1XM4/4 + SUSYc1XM6, SUSYc1XM3/4 - SUSYc1XM5}"
"{{1, 3, 4, 5, 8}, {2, 6, 7, 9, 10}}",70,"SUSYc1XM3","-18.3384842850172744774790006187465379628791479241363765757520186850747394505992670460959017236754724957379429201395641","SUSYc1XM3/32 - SUSYc1XM5/4 - SUSYc2XM1/128 + (SUSYc1XM4*SUSYc2XM1)/8 - SUSYc1XM6*SUSYc2XM1 + (SUSYc1XM5*SUSYc2XM2)/2 + SUSYc2XM3/16 - (SUSYc1XM2*SUSYc2XM3)/8 + 2*SUSYc1XM6*SUSYc2XM3 - (SUSYc1XM3*SUSYc2XM4)/2 - (3*SUSYc2XM5)/8 + SUSYc1XM2*SUSYc2XM5 - 2*SUSYc1XM4*SUSYc2XM5","{-1/8*SUSYc2XM3 + SUSYc2XM5, 1/32 - SUSYc2XM4/2, SUSYc2XM1/8 - 2*SUSYc2XM5, -1/4 + SUSYc2XM2/2, -SUSYc2XM1 + 2*SUSYc2XM3, -1/128 + SUSYc1XM4/8 - SUSYc1XM6, SUSYc1XM5/2, 1/16 - SUSYc1XM2/8 + 2*SUSYc1XM6, -1/2*SUSYc1XM3, -3/8 + SUSYc1XM2 - 2*SUSYc1XM4}"
"{{1, 3, 4, 5, 8}, {2, 6, 7, 9, 10}}",70,"SUSYc1XM4","-10.7211301114733805075686627918627018857734994804867465726667850833862210273222734915814557292393464928427575925124907","-5/256 + SUSYc1XM2/16 + SUSYc1XM4/16 - (5*SUSYc1XM6)/2 + (3*SUSYc1XM3*SUSYc2XM1)/16 + (SUSYc1XM5*SUSYc2XM1)/2 - (3*SUSYc1XM2*SUSYc2XM2)/16 + (SUSYc1XM4*SUSYc2XM2)/2 + 3*SUSYc1XM6*SUSYc2XM2 - (SUSYc1XM3*SUSYc2XM3)/2 + SUSYc1XM5*SUSYc2XM3 + (9*SUSYc2XM4)/16 - (SUSYc1XM2*SUSYc2XM4)/2 - SUSYc1XM4*SUSYc2XM4 - 3*SUSYc1XM3*SUSYc2XM5","{1/16 - (3*SUSYc2XM2)/16 - SUSYc2XM4/2, (3*SUSYc2XM1)/16 - SUSYc2XM3/2 - 3*SUSYc2XM5, 1/16 + SUSYc2XM2/2 - SUSYc2XM4, SUSYc2XM1/2 + SUSYc2XM3, -5/2 + 3*SUSYc2XM2, (3*SUSYc1XM3)/16 + SUSYc1XM5/2, (-3*SUSYc1XM2)/16 + SUSYc1XM4/2 + 3*SUSYc1XM6, -1/2*SUSYc1XM3 + SUSYc1XM5, 9/16 - SUSYc1XM2/2 - SUSYc1XM4, -3*SUSYc1XM3}"
"{{1, 3, 4, 5, 8}, {2, 6, 7, 9, 10}}",70,"SUSYc1XM5","14.3180967865820268238039740736083505617298825903587224965053895626407405545869008559819742348199896967762624057240828","(3*SUSYc1XM3)/8 - SUSYc2XM1/8 + SUSYc1XM4*SUSYc2XM1 + 4*SUSYc1XM6*SUSYc2XM1 + 2*SUSYc1XM5*SUSYc2XM2 + SUSYc2XM3/4 - SUSYc1XM2*SUSYc2XM3 - 2*SUSYc1XM3*SUSYc2XM4 + 5*SUSYc2XM5 - 4*SUSYc1XM2*SUSYc2XM5","{-SUSYc2XM3 - 4*SUSYc2XM5, 3/8 - 2*SUSYc2XM4, SUSYc2XM1, 2*SUSYc2XM2, 4*SUSYc2XM1, -1/8 + SUSYc1XM4 + 4*SUSYc1XM6, 2*SUSYc1XM5, 1/4 - SUSYc1XM2, -2*SUSYc1XM3, 5 - 4*SUSYc1XM2}"
"{{1, 3, 4, 5, 8}, {2, 6, 7, 9, 10}}",70,"SUSYc1XM6","-7.1535093270833687466704724954389323901112082363650804075382067861645400872873743714303026714714513941228209001589613","-5/32 + (3*SUSYc1XM2)/8 + (5*SUSYc1XM4)/4 + 5*SUSYc1XM6 + (3*SUSYc1XM3*SUSYc2XM1)/4 + 3*SUSYc1XM5*SUSYc2XM1 - (3*SUSYc2XM2)/8 - (3*SUSYc1XM2*SUSYc2XM2)/4 + SUSYc1XM4*SUSYc2XM2 - SUSYc1XM3*SUSYc2XM3 + (5*SUSYc2XM4)/4 - 3*SUSYc1XM2*SUSYc2XM4","{3/8 - (3*SUSYc2XM2)/4 - 3*SUSYc2XM4, (3*SUSYc2XM1)/4 - SUSYc2XM3, 5/4 + SUSYc2XM2, 3*SUSYc2XM1, 5, (3*SUSYc1XM3)/4 + 3*SUSYc1XM5, -3/8 - (3*SUSYc1XM2)/4 + SUSYc1XM4, -SUSYc1XM3, 5/4 - 3*SUSYc1XM2, 0}"
"{{1, 3, 4, 5, 8}, {2, 6, 7, 9, 10}}",70,"SUSYc2XM1","-35.","(3*SUSYc1XM3)/2 + 4*SUSYc1XM5 - (3*SUSYc2XM1)/4 + 2*SUSYc1XM4*SUSYc2XM1 - SUSYc2XM3 - 2*SUSYc1XM2*SUSYc2XM3 - 6*SUSYc2XM5","{-2*SUSYc2XM3, 3/2, 2*SUSYc2XM1, 4, 0, -3/4 + 2*SUSYc1XM4, 0, -1 - 2*SUSYc1XM2, 0, -6}"
"{{1, 3, 4, 5, 8}, {2, 6, 7, 9, 10}}",70,"SUSYc2XM2","14.8822483289288659553161309915701159210136408727563978992962320022505879903560664893049500062028887602577538282822653","-5/8 + SUSYc1XM2 + 3*SUSYc1XM4 + SUSYc1XM3*SUSYc2XM1 - 2*SUSYc2XM2 - SUSYc1XM2*SUSYc2XM2 - 5*SUSYc2XM4","{1 - SUSYc2XM2, SUSYc2XM1, 3, 0, 0, SUSYc1XM3, -2 - SUSYc1XM2, 0, -5, 0}"
"{{1, 3, 4, 5, 8}, {2, 6, 7, 9, 10}}",70,"SUSYc2XM3","8.330757857491362761260499690626731018560426037931811712123990657462630274700366476952049138162263752131028539930218","2*SUSYc1XM3 - 2*SUSYc2XM1 - 4*SUSYc2XM3","{0, 2, 0, 0, 0, -2, 0, -4, 0, 0}"
"{{1, 3, 4, 5, 8}, {2, 6, 7, 9, 10}}",70,"SUSYc2XM4","-11.5711896825531641833992108641055780932142810871191788128944345001445594919905283254199463428811704920517238186197777","-5/4 + SUSYc1XM2 - 3*SUSYc2XM2","{1, 0, 0, 0, 0, 0, -3, 0, 0, 0}"
"{{1, 3, 4, 5, 8}, {2, 6, 7, 9, 10}}",70,"SUSYc2XM5","5.5756121334246571567153929691350597959864477222626952948934903076956904118378691269501547370026840636618471355109362","-h - 2*SUSYc2XM1","{0, 0, 0, 0, 0, -2, 0, 0, 0, 0}"
