var,b_final_value
SUSYc1XM1,-3.440268067092428736553415250153434341012260e+00
SUSYc1XM2,1.138796311933503069261393503485893509219210e+01
SUSYc1XM4,6.781642926028090705148461588691275964431300e+01
SUSYc1XM5,-2.418788367081299122908093969519022321217280e+01
SUSYc1XM6,-9.365443108175962860393969826303860428937530e+01
SUSYc1XM7,-9.688669873536496931253465300610344199671850e+01
SUSYc1XM8,1.327110144123081196875789404027867455707610e+02
SUSYc1XM9,2.690589726273514211258366463100800263450610e+02
SUSYc1XM10,1.004718150484572598819012819938271720372370e+02
SUSYc2XM1,1.720134033546214368276707625076717170506130e+00
SUSYc2XM2,2.730406881697565866824979893666773700164670e-01
SUSYc2XM3,-5.330007526578790401350090161831344086968010e+00
SUSYc2XM4,-4.642499257388563282551325064442707629208480e+00
SUSYc2XM5,6.758571374794178440990339893636985961873930e+00
SUSYc2XM6,1.254615704130555996440621538519773831841250e+01
SUSYc2XM7,4.888711121606979924279852546416597723294070e+00
