var,b_final_value
SUSYc1XM1,4.500203989670632672100959401658549904451380e+00
SUSYc1XM2,1.323911734216733846978876763695165385538530e+00
SUSYc1XM3,-7.105554192270894778386637030636172178009640e+01
SUSYc1XM4,-3.803692092132848547136431920463006519092280e+02
SUSYc1XM6,-5.728085688689867075688802326662259723706570e+03
SUSYc1XM7,6.488067193991556872700589918517536933283600e+03
SUSYc1XM8,-1.561079935654733722419363950828792591229710e+04
SUSYc1XM9,9.333489690936461496382181866116018850319670e+03
SUSYc1XM10,-4.430817339252203458987244218064741265866550e+03
SUSYc2XM1,-3.000135993113755114733972934437981455093960e+00
SUSYc2XM2,8.540626375167818719739853387471692040009000e+00
SUSYc2XM3,-1.095116255811656127231672531894610709669130e+01
SUSYc2XM4,9.803498282689477045782576066490102608244450e+00
SUSYc2XM5,-3.432539223476623193900779458536629509527320e+00
