var,b_final_value
SUSYc1XM1,-3.37996149587664537139551556348850e+00
SUSYc1XM2,3.03622868245903005031138261170860e-01
SUSYc1XM3,5.84056623581794332480184818350020e+01
SUSYc1XM4,-3.04801571266409164364348808263200e+02
SUSYc1XM6,-4.16076189628519326927678929388330e+03
SUSYc1XM7,-1.13418182488622243105421325616330e+03
SUSYc1XM8,-1.86260110013305657319470709928590e+03
SUSYc1XM9,1.41112163234734803666908654532350e+04
SUSYc1XM10,1.59529489755909843494870103900400e+04
SUSYc1XM11,8.99844968576987128200083175672860e+03
SUSYc2XM1,2.25330766391776358093034370899240e+00
SUSYc2XM2,4.59565672961303691495910319650650e+00
SUSYc2XM3,-1.88531907180701021679074265992140e+00
SUSYc2XM4,-1.19207478517854305135315592507370e+01
SUSYc2XM5,-1.84034689708736671014930179671920e+01
SUSYc2XM6,-9.19567630591318340627873397165640e+00
