"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM1","-627.4930034251982175658859101375109443406077989551160120895948716786101427570516301233734107213863875645486445993575162","-1/81920 + SUSYc1XM10/80 + SUSYc1XM2/20480 - SUSYc1XM4/5120 + SUSYc1XM6/1280 - SUSYc1XM8/320 - (SUSYc1XM1*SUSYc2XM1)/20480 + (SUSYc1XM3*SUSYc2XM1)/5120 + (SUSYc1XM7*SUSYc2XM1)/320 - (SUSYc1XM9*SUSYc2XM1)/80 + SUSYc2XM2/20480 - (SUSYc1XM10*SUSYc2XM2)/20 - (SUSYc1XM2*SUSYc2XM2)/5120 + (SUSYc1XM4*SUSYc2XM2)/1280 - (SUSYc1XM6*SUSYc2XM2)/320 + (SUSYc1XM8*SUSYc2XM2)/80 + (SUSYc1XM1*SUSYc2XM3)/5120 - (SUSYc1XM3*SUSYc2XM3)/1280 - (SUSYc1XM7*SUSYc2XM3)/80 + (SUSYc1XM9*SUSYc2XM3)/20 - SUSYc2XM4/5120 + (SUSYc1XM10*SUSYc2XM4)/5 + (SUSYc1XM2*SUSYc2XM4)/1280 - (SUSYc1XM4*SUSYc2XM4)/320 + (SUSYc1XM6*SUSYc2XM4)/80 - (SUSYc1XM8*SUSYc2XM4)/20 - (SUSYc1XM1*SUSYc2XM5)/1280 + (SUSYc1XM3*SUSYc2XM5)/320 + (SUSYc1XM7*SUSYc2XM5)/20 - (SUSYc1XM9*SUSYc2XM5)/5","{-1/20480*SUSYc2XM1 + SUSYc2XM3/5120 - SUSYc2XM5/1280, 1/20480 - SUSYc2XM2/5120 + SUSYc2XM4/1280, SUSYc2XM1/5120 - SUSYc2XM3/1280 + SUSYc2XM5/320, -1/5120 + SUSYc2XM2/1280 - SUSYc2XM4/320, 1/1280 - SUSYc2XM2/320 + SUSYc2XM4/80, SUSYc2XM1/320 - SUSYc2XM3/80 + SUSYc2XM5/20, -1/320 + SUSYc2XM2/80 - SUSYc2XM4/20, -1/80*SUSYc2XM1 + SUSYc2XM3/20 - SUSYc2XM5/5, 1/80 - SUSYc2XM2/20 + SUSYc2XM4/5, -1/20480*SUSYc1XM1 + SUSYc1XM3/5120 + SUSYc1XM7/320 - SUSYc1XM9/80, 1/20480 - SUSYc1XM10/20 - SUSYc1XM2/5120 + SUSYc1XM4/1280 - SUSYc1XM6/320 + SUSYc1XM8/80, SUSYc1XM1/5120 - SUSYc1XM3/1280 - SUSYc1XM7/80 + SUSYc1XM9/20, -1/5120 + SUSYc1XM10/5 + SUSYc1XM2/1280 - SUSYc1XM4/320 + SUSYc1XM6/80 - SUSYc1XM8/20, -1/1280*SUSYc1XM1 + SUSYc1XM3/320 + SUSYc1XM7/20 - SUSYc1XM9/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM2","1722.5351448015299562848403801078676377552879598762724949404177456191535056879415810244890742507137988314312683383076054","SUSYc1XM1/5120 - SUSYc1XM3/2560 + SUSYc1XM7/160 - SUSYc1XM9/20 - (3*SUSYc2XM1)/10240 - (SUSYc1XM10*SUSYc2XM1)/5 + (SUSYc1XM2*SUSYc2XM1)/1280 - (SUSYc1XM4*SUSYc2XM1)/640 + (SUSYc1XM8*SUSYc2XM1)/40 - (3*SUSYc1XM1*SUSYc2XM2)/2560 + (SUSYc1XM3*SUSYc2XM2)/320 + (SUSYc1XM9*SUSYc2XM2)/10 + SUSYc2XM3/640 + (2*SUSYc1XM10*SUSYc2XM3)/5 - (3*SUSYc1XM2*SUSYc2XM3)/640 + (SUSYc1XM4*SUSYc2XM3)/80 - (SUSYc1XM6*SUSYc2XM3)/40 + (SUSYc1XM1*SUSYc2XM4)/160 - (3*SUSYc1XM3*SUSYc2XM4)/160 - (SUSYc1XM7*SUSYc2XM4)/10 - SUSYc2XM5/128 + (SUSYc1XM2*SUSYc2XM5)/40 - (3*SUSYc1XM4*SUSYc2XM5)/40 + (SUSYc1XM6*SUSYc2XM5)/5 - (2*SUSYc1XM8*SUSYc2XM5)/5","{1/5120 - (3*SUSYc2XM2)/2560 + SUSYc2XM4/160, SUSYc2XM1/1280 - (3*SUSYc2XM3)/640 + SUSYc2XM5/40, -1/2560 + SUSYc2XM2/320 - (3*SUSYc2XM4)/160, -1/640*SUSYc2XM1 + SUSYc2XM3/80 - (3*SUSYc2XM5)/40, -1/40*SUSYc2XM3 + SUSYc2XM5/5, 1/160 - SUSYc2XM4/10, SUSYc2XM1/40 - (2*SUSYc2XM5)/5, -1/20 + SUSYc2XM2/10, -1/5*SUSYc2XM1 + (2*SUSYc2XM3)/5, -3/10240 - SUSYc1XM10/5 + SUSYc1XM2/1280 - SUSYc1XM4/640 + SUSYc1XM8/40, (-3*SUSYc1XM1)/2560 + SUSYc1XM3/320 + SUSYc1XM9/10, 1/640 + (2*SUSYc1XM10)/5 - (3*SUSYc1XM2)/640 + SUSYc1XM4/80 - SUSYc1XM6/40, SUSYc1XM1/160 - (3*SUSYc1XM3)/160 - SUSYc1XM7/10, -1/128 + SUSYc1XM2/40 - (3*SUSYc1XM4)/40 + SUSYc1XM6/5 - (2*SUSYc1XM8)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM3","7102.9979071517507239987267820083476461129535319252704557341688827454937003968376556132207337558478569661938639887800347","1/4096 - SUSYc1XM10/2 + SUSYc1XM2/2560 - SUSYc1XM4/256 + SUSYc1XM6/80 + SUSYc1XM8/80 + (3*SUSYc1XM1*SUSYc2XM1)/2560 + (SUSYc1XM3*SUSYc2XM1)/1280 + (3*SUSYc1XM7*SUSYc2XM1)/80 + (SUSYc1XM9*SUSYc2XM1)/10 - (9*SUSYc2XM2)/2560 + (3*SUSYc1XM10*SUSYc2XM2)/5 + (7*SUSYc1XM2*SUSYc2XM2)/1280 - (3*SUSYc1XM6*SUSYc2XM2)/80 + (SUSYc1XM8*SUSYc2XM2)/10 - (19*SUSYc1XM1*SUSYc2XM3)/1280 + (SUSYc1XM3*SUSYc2XM3)/40 - (SUSYc1XM7*SUSYc2XM3)/10 + (SUSYc1XM9*SUSYc2XM3)/5 + (7*SUSYc2XM4)/256 - (SUSYc1XM2*SUSYc2XM4)/16 + (9*SUSYc1XM4*SUSYc2XM4)/80 - (SUSYc1XM6*SUSYc2XM4)/10 - (SUSYc1XM8*SUSYc2XM4)/5 + (9*SUSYc1XM1*SUSYc2XM5)/80 - (21*SUSYc1XM3*SUSYc2XM5)/80 - (3*SUSYc1XM7*SUSYc2XM5)/5","{(3*SUSYc2XM1)/2560 - (19*SUSYc2XM3)/1280 + (9*SUSYc2XM5)/80, 1/2560 + (7*SUSYc2XM2)/1280 - SUSYc2XM4/16, SUSYc2XM1/1280 + SUSYc2XM3/40 - (21*SUSYc2XM5)/80, -1/256 + (9*SUSYc2XM4)/80, 1/80 - (3*SUSYc2XM2)/80 - SUSYc2XM4/10, (3*SUSYc2XM1)/80 - SUSYc2XM3/10 - (3*SUSYc2XM5)/5, 1/80 + SUSYc2XM2/10 - SUSYc2XM4/5, SUSYc2XM1/10 + SUSYc2XM3/5, -1/2 + (3*SUSYc2XM2)/5, (3*SUSYc1XM1)/2560 + SUSYc1XM3/1280 + (3*SUSYc1XM7)/80 + SUSYc1XM9/10, -9/2560 + (3*SUSYc1XM10)/5 + (7*SUSYc1XM2)/1280 - (3*SUSYc1XM6)/80 + SUSYc1XM8/10, (-19*SUSYc1XM1)/1280 + SUSYc1XM3/40 - SUSYc1XM7/10 + SUSYc1XM9/5, 7/256 - SUSYc1XM2/16 + (9*SUSYc1XM4)/80 - SUSYc1XM6/10 - SUSYc1XM8/5, (9*SUSYc1XM1)/80 - (21*SUSYc1XM3)/80 - (3*SUSYc1XM7)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM4","-68712.5290912858232403086355097867169911049579695648455507890425381600975565658557867345247358120514855266357771708079909","SUSYc1XM1/320 - SUSYc1XM3/128 + (3*SUSYc1XM7)/40 - SUSYc2XM1/1280 + (4*SUSYc1XM10*SUSYc2XM1)/5 + (3*SUSYc1XM2*SUSYc2XM1)/320 - (SUSYc1XM4*SUSYc2XM1)/40 + (SUSYc1XM8*SUSYc2XM1)/5 + (SUSYc1XM1*SUSYc2XM2)/640 + (SUSYc1XM3*SUSYc2XM2)/40 + (2*SUSYc1XM9*SUSYc2XM2)/5 - SUSYc2XM3/32 + (SUSYc1XM2*SUSYc2XM3)/40 + (SUSYc1XM4*SUSYc2XM3)/20 - (SUSYc1XM6*SUSYc2XM3)/5 - (3*SUSYc1XM1*SUSYc2XM4)/20 + (7*SUSYc1XM3*SUSYc2XM4)/40 - (2*SUSYc1XM7*SUSYc2XM4)/5 + (3*SUSYc2XM5)/8 - (7*SUSYc1XM2*SUSYc2XM5)/10 + SUSYc1XM4*SUSYc2XM5 - (4*SUSYc1XM6*SUSYc2XM5)/5","{1/320 + SUSYc2XM2/640 - (3*SUSYc2XM4)/20, (3*SUSYc2XM1)/320 + SUSYc2XM3/40 - (7*SUSYc2XM5)/10, -1/128 + SUSYc2XM2/40 + (7*SUSYc2XM4)/40, -1/40*SUSYc2XM1 + SUSYc2XM3/20 + SUSYc2XM5, -1/5*SUSYc2XM3 - (4*SUSYc2XM5)/5, 3/40 - (2*SUSYc2XM4)/5, SUSYc2XM1/5, (2*SUSYc2XM2)/5, (4*SUSYc2XM1)/5, -1/1280 + (4*SUSYc1XM10)/5 + (3*SUSYc1XM2)/320 - SUSYc1XM4/40 + SUSYc1XM8/5, SUSYc1XM1/640 + SUSYc1XM3/40 + (2*SUSYc1XM9)/5, -1/32 + SUSYc1XM2/40 + SUSYc1XM4/20 - SUSYc1XM6/5, (-3*SUSYc1XM1)/20 + (7*SUSYc1XM3)/40 - (2*SUSYc1XM7)/5, 3/8 - (7*SUSYc1XM2)/10 + SUSYc1XM4 - (4*SUSYc1XM6)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM6","-1.0412073701772077953303261518127594758492686788532917412669107700838535393910322640475509515360546947837049677038286019388*10^6","7/1024 + SUSYc1XM10 - SUSYc1XM2/256 - SUSYc1XM4/32 + (3*SUSYc1XM6)/40 + SUSYc1XM8/4 + (29*SUSYc1XM1*SUSYc2XM1)/1280 - (3*SUSYc1XM3*SUSYc2XM1)/160 + (3*SUSYc1XM7*SUSYc2XM1)/20 + (3*SUSYc1XM9*SUSYc2XM1)/5 - (5*SUSYc2XM2)/256 + (11*SUSYc1XM2*SUSYc2XM2)/160 - (3*SUSYc1XM4*SUSYc2XM2)/40 - (3*SUSYc1XM6*SUSYc2XM2)/20 + (SUSYc1XM8*SUSYc2XM2)/5 - (3*SUSYc1XM1*SUSYc2XM3)/160 + (7*SUSYc1XM3*SUSYc2XM3)/40 - (SUSYc1XM7*SUSYc2XM3)/5 - (9*SUSYc2XM4)/32 + (7*SUSYc1XM2*SUSYc2XM4)/40 + (SUSYc1XM4*SUSYc2XM4)/4 - (3*SUSYc1XM6*SUSYc2XM4)/5 - (63*SUSYc1XM1*SUSYc2XM5)/40 + (7*SUSYc1XM3*SUSYc2XM5)/4","{(29*SUSYc2XM1)/1280 - (3*SUSYc2XM3)/160 - (63*SUSYc2XM5)/40, -1/256 + (11*SUSYc2XM2)/160 + (7*SUSYc2XM4)/40, (-3*SUSYc2XM1)/160 + (7*SUSYc2XM3)/40 + (7*SUSYc2XM5)/4, -1/32 - (3*SUSYc2XM2)/40 + SUSYc2XM4/4, 3/40 - (3*SUSYc2XM2)/20 - (3*SUSYc2XM4)/5, (3*SUSYc2XM1)/20 - SUSYc2XM3/5, 1/4 + SUSYc2XM2/5, (3*SUSYc2XM1)/5, 1, (29*SUSYc1XM1)/1280 - (3*SUSYc1XM3)/160 + (3*SUSYc1XM7)/20 + (3*SUSYc1XM9)/5, -5/256 + (11*SUSYc1XM2)/160 - (3*SUSYc1XM4)/40 - (3*SUSYc1XM6)/20 + SUSYc1XM8/5, (-3*SUSYc1XM1)/160 + (7*SUSYc1XM3)/40 - SUSYc1XM7/5, -9/32 + (7*SUSYc1XM2)/40 + SUSYc1XM4/4 - (3*SUSYc1XM6)/5, (-63*SUSYc1XM1)/40 + (7*SUSYc1XM3)/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM7","-642786.6851657719658373097463025134276311193223020729835631837192868119561420822090007575753990626816923920950369307403109","SUSYc1XM1/64 - SUSYc1XM3/16 + (3*SUSYc1XM7)/10 + (4*SUSYc1XM9)/5 + (19*SUSYc2XM1)/640 + (SUSYc1XM2*SUSYc2XM1)/40 - (3*SUSYc1XM4*SUSYc2XM1)/20 + (2*SUSYc1XM8*SUSYc2XM1)/5 + (9*SUSYc1XM1*SUSYc2XM2)/80 - (3*SUSYc2XM3)/20 + (7*SUSYc1XM2*SUSYc2XM3)/20 - (SUSYc1XM4*SUSYc2XM3)/5 - (2*SUSYc1XM6*SUSYc2XM3)/5 + (7*SUSYc1XM3*SUSYc2XM4)/10 - (63*SUSYc2XM5)/20 + (14*SUSYc1XM2*SUSYc2XM5)/5 - (6*SUSYc1XM4*SUSYc2XM5)/5","{1/64 + (9*SUSYc2XM2)/80, SUSYc2XM1/40 + (7*SUSYc2XM3)/20 + (14*SUSYc2XM5)/5, -1/16 + (7*SUSYc2XM4)/10, (-3*SUSYc2XM1)/20 - SUSYc2XM3/5 - (6*SUSYc2XM5)/5, (-2*SUSYc2XM3)/5, 3/10, (2*SUSYc2XM1)/5, 4/5, 0, 19/640 + SUSYc1XM2/40 - (3*SUSYc1XM4)/20 + (2*SUSYc1XM8)/5, (9*SUSYc1XM1)/80, -3/20 + (7*SUSYc1XM2)/20 - SUSYc1XM4/5 - (2*SUSYc1XM6)/5, (7*SUSYc1XM3)/10, -63/20 + (14*SUSYc1XM2)/5 - (6*SUSYc1XM4)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM8","-2.3736098983313191619942343728819203122507394564729134755081947957098010887505143895950286729729540749335454256616478907232*10^6","13/256 - SUSYc1XM2/16 - SUSYc1XM4/8 + SUSYc1XM6/5 + (3*SUSYc1XM8)/5 + (9*SUSYc1XM1*SUSYc2XM1)/80 - (7*SUSYc1XM3*SUSYc2XM1)/40 + (SUSYc1XM7*SUSYc2XM1)/5 + (9*SUSYc2XM2)/80 + (7*SUSYc1XM2*SUSYc2XM2)/40 - (2*SUSYc1XM4*SUSYc2XM2)/5 - (SUSYc1XM6*SUSYc2XM2)/5 + (21*SUSYc1XM1*SUSYc2XM3)/40 - (21*SUSYc2XM4)/40 + (7*SUSYc1XM2*SUSYc2XM4)/5 - SUSYc1XM4*SUSYc2XM4 + (21*SUSYc1XM1*SUSYc2XM5)/5 - (7*SUSYc1XM3*SUSYc2XM5)/5","{(9*SUSYc2XM1)/80 + (21*SUSYc2XM3)/40 + (21*SUSYc2XM5)/5, -1/16 + (7*SUSYc2XM2)/40 + (7*SUSYc2XM4)/5, (-7*SUSYc2XM1)/40 - (7*SUSYc2XM5)/5, -1/8 - (2*SUSYc2XM2)/5 - SUSYc2XM4, 1/5 - SUSYc2XM2/5, SUSYc2XM1/5, 3/5, 0, 0, (9*SUSYc1XM1)/80 - (7*SUSYc1XM3)/40 + SUSYc1XM7/5, 9/80 + (7*SUSYc1XM2)/40 - (2*SUSYc1XM4)/5 - SUSYc1XM6/5, (21*SUSYc1XM1)/40, -21/40 + (7*SUSYc1XM2)/5 - SUSYc1XM4, (21*SUSYc1XM1)/5 - (7*SUSYc1XM3)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM9","-848542.0549510445416916652390519965188938695849577020971402066720462704797655863174290962466861245396332264766688282099494","-1/4*SUSYc1XM3 + (2*SUSYc1XM7)/5 + (9*SUSYc2XM1)/40 - (SUSYc1XM2*SUSYc2XM1)/10 - (2*SUSYc1XM4*SUSYc2XM1)/5 + (9*SUSYc1XM1*SUSYc2XM2)/20 - (2*SUSYc1XM3*SUSYc2XM2)/5 + (3*SUSYc2XM3)/5 + (2*SUSYc1XM2*SUSYc2XM3)/5 - (4*SUSYc1XM4*SUSYc2XM3)/5 + (12*SUSYc1XM1*SUSYc2XM4)/5 - (6*SUSYc1XM3*SUSYc2XM4)/5 + 6*SUSYc2XM5 - (8*SUSYc1XM2*SUSYc2XM5)/5","{(9*SUSYc2XM2)/20 + (12*SUSYc2XM4)/5, -1/10*SUSYc2XM1 + (2*SUSYc2XM3)/5 - (8*SUSYc2XM5)/5, -1/4 - (2*SUSYc2XM2)/5 - (6*SUSYc2XM4)/5, (-2*SUSYc2XM1)/5 - (4*SUSYc2XM3)/5, 0, 2/5, 0, 0, 0, 9/40 - SUSYc1XM2/10 - (2*SUSYc1XM4)/5, (9*SUSYc1XM1)/20 - (2*SUSYc1XM3)/5, 3/5 + (2*SUSYc1XM2)/5 - (4*SUSYc1XM4)/5, (12*SUSYc1XM1)/5 - (6*SUSYc1XM3)/5, 6 - (8*SUSYc1XM2)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM10","-571308.2032454758888123150735499999627346158104030785176800018849346381574794077402687402931198107799798259117192856782417","9/64 - (5*SUSYc1XM2)/16 - SUSYc1XM4/4 + SUSYc1XM6/5 + (9*SUSYc1XM1*SUSYc2XM1)/80 - (11*SUSYc1XM3*SUSYc2XM1)/20 + (63*SUSYc2XM2)/80 - (SUSYc1XM2*SUSYc2XM2)/4 - (3*SUSYc1XM4*SUSYc2XM2)/5 + (21*SUSYc1XM1*SUSYc2XM3)/20 - SUSYc1XM3*SUSYc2XM3 + (15*SUSYc2XM4)/4 - (7*SUSYc1XM2*SUSYc2XM4)/5 - (9*SUSYc1XM1*SUSYc2XM5)/5","{(9*SUSYc2XM1)/80 + (21*SUSYc2XM3)/20 - (9*SUSYc2XM5)/5, -5/16 - SUSYc2XM2/4 - (7*SUSYc2XM4)/5, (-11*SUSYc2XM1)/20 - SUSYc2XM3, -1/4 - (3*SUSYc2XM2)/5, 1/5, 0, 0, 0, 0, (9*SUSYc1XM1)/80 - (11*SUSYc1XM3)/20, 63/80 - SUSYc1XM2/4 - (3*SUSYc1XM4)/5, (21*SUSYc1XM1)/20 - SUSYc1XM3, 15/4 - (7*SUSYc1XM2)/5, (-9*SUSYc1XM1)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM1","1.6620022834654783772572734250072962270718659700773413930632477857400951713677534155822738142575917096990963995716775","-1/4*SUSYc1XM1 - SUSYc1XM3/2 + (19*SUSYc2XM1)/40 - (3*SUSYc1XM2*SUSYc2XM1)/5 - (2*SUSYc1XM4*SUSYc2XM1)/5 + (SUSYc1XM1*SUSYc2XM2)/10 - (4*SUSYc1XM3*SUSYc2XM2)/5 + 2*SUSYc2XM3 - (6*SUSYc1XM2*SUSYc2XM3)/5 - (8*SUSYc1XM1*SUSYc2XM4)/5 - 2*SUSYc2XM5","{-1/4 + SUSYc2XM2/10 - (8*SUSYc2XM4)/5, (-3*SUSYc2XM1)/5 - (6*SUSYc2XM3)/5, -1/2 - (4*SUSYc2XM2)/5, (-2*SUSYc2XM1)/5, 0, 0, 0, 0, 0, 19/40 - (3*SUSYc1XM2)/5 - (2*SUSYc1XM4)/5, SUSYc1XM1/10 - (4*SUSYc1XM3)/5, 2 - (6*SUSYc1XM2)/5, (-8*SUSYc1XM1)/5, -2}"
