var,b_final_value
SUSYc1XM1,-1.2619166382054752690970e+00
SUSYc1XM2,-1.9152815140375537477880e+01
SUSYc1XM4,-2.3877844889600882755540e+02
SUSYc1XM5,-2.9583439753165242929940e+02
SUSYc1XM6,-2.2746317015083736519810e+02
SUSYc1XM7,-7.7430848210158699599510e+02
SUSYc1XM8,-5.9083352989420615675870e+02
SUSYc1XM9,5.8892809415255148927300e+02
SUSYc1XM10,-5.1915237309165823554460e+02
SUSYc2XM1,6.3095831910273763454830e-01
SUSYc2XM2,3.3082931086090500052410e+00
SUSYc2XM3,7.0217222005960326747070e+00
SUSYc2XM4,2.3729027475990573313290e+00
SUSYc2XM5,1.5081030193017760497070e+00
SUSYc2XM6,9.0090034849109888254120e+00
SUSYc2XM7,-4.3554337176254728136100e+00
