var,b_final_value
SUSYc1XM1,-3.4402680670924287365534152501540166664315285605421806252029286885353829296114088380e+00
SUSYc1XM2,1.1387963119335030692613935034858692721483528903036487724282742396801350154862977730e+01
SUSYc1XM4,6.7816429260280907051484615886869295001383071561746467592654113321906455100907329460e+01
SUSYc1XM5,-2.4187883670812991229080939695080064406987288899553847376624176395283819688604445790e+01
SUSYc1XM6,-9.3654431081759628603939698263082033799331954567260331331412509819511822762492597160e+01
SUSYc1XM7,-9.6886698735364969312534653006109321634191086294092571271989399851196244411075774630e+01
SUSYc1XM8,1.3271101441230811968757894040240409347868598591710478068426005399459794179482769670e+02
SUSYc1XM9,2.6905897262735142112583664631041594342831330188914072206969400962600395144722073020e+02
SUSYc1XM10,1.0047181504845725988190128199441765360615225591744446624152088566873953977986947520e+02
SUSYc2XM1,1.7201340335462143682767076250770083332157642802710903126014643442676914648057044190e+00
SUSYc2XM2,2.7304068816975658668249798936792776694848887238573854782579528013888327152957187650e-01
SUSYc2XM3,-5.3300075265787904013500901618292447277903530913646918237225802891124422323109284590e+00
SUSYc2XM4,-4.6424992573885632825513250644515393006767910647595139474699700042892671682361129140e+00
SUSYc2XM5,6.7585713747941784409903398936276826904337396198199743862923832124852169102898520480e+00
SUSYc2XM6,1.2546157041305559964406215385214949957523984968779982221349488485564235359101704760e+01
SUSYc2XM7,4.8887111216069799242798525464448983355575532666730346962911946555437779775736894650e+00
