"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM1","-627.493003425198217565885910137510944340607798955116012089594871678610142757051630123373410721386388","-1/81920 + SUSYc1XM10/80 + SUSYc1XM2/20480 - SUSYc1XM4/5120 + SUSYc1XM6/1280 - SUSYc1XM8/320 - (SUSYc1XM1*SUSYc2XM1)/20480 + (SUSYc1XM3*SUSYc2XM1)/5120 + (SUSYc1XM7*SUSYc2XM1)/320 - (SUSYc1XM9*SUSYc2XM1)/80 + SUSYc2XM2/20480 - (SUSYc1XM10*SUSYc2XM2)/20 - (SUSYc1XM2*SUSYc2XM2)/5120 + (SUSYc1XM4*SUSYc2XM2)/1280 - (SUSYc1XM6*SUSYc2XM2)/320 + (SUSYc1XM8*SUSYc2XM2)/80 + (SUSYc1XM1*SUSYc2XM3)/5120 - (SUSYc1XM3*SUSYc2XM3)/1280 - (SUSYc1XM7*SUSYc2XM3)/80 + (SUSYc1XM9*SUSYc2XM3)/20 - SUSYc2XM4/5120 + (SUSYc1XM10*SUSYc2XM4)/5 + (SUSYc1XM2*SUSYc2XM4)/1280 - (SUSYc1XM4*SUSYc2XM4)/320 + (SUSYc1XM6*SUSYc2XM4)/80 - (SUSYc1XM8*SUSYc2XM4)/20 - (SUSYc1XM1*SUSYc2XM5)/1280 + (SUSYc1XM3*SUSYc2XM5)/320 + (SUSYc1XM7*SUSYc2XM5)/20 - (SUSYc1XM9*SUSYc2XM5)/5","{-1/20480*SUSYc2XM1 + SUSYc2XM3/5120 - SUSYc2XM5/1280, 1/20480 - SUSYc2XM2/5120 + SUSYc2XM4/1280, SUSYc2XM1/5120 - SUSYc2XM3/1280 + SUSYc2XM5/320, -1/5120 + SUSYc2XM2/1280 - SUSYc2XM4/320, 1/1280 - SUSYc2XM2/320 + SUSYc2XM4/80, SUSYc2XM1/320 - SUSYc2XM3/80 + SUSYc2XM5/20, -1/320 + SUSYc2XM2/80 - SUSYc2XM4/20, -1/80*SUSYc2XM1 + SUSYc2XM3/20 - SUSYc2XM5/5, 1/80 - SUSYc2XM2/20 + SUSYc2XM4/5, -1/20480*SUSYc1XM1 + SUSYc1XM3/5120 + SUSYc1XM7/320 - SUSYc1XM9/80, 1/20480 - SUSYc1XM10/20 - SUSYc1XM2/5120 + SUSYc1XM4/1280 - SUSYc1XM6/320 + SUSYc1XM8/80, SUSYc1XM1/5120 - SUSYc1XM3/1280 - SUSYc1XM7/80 + SUSYc1XM9/20, -1/5120 + SUSYc1XM10/5 + SUSYc1XM2/1280 - SUSYc1XM4/320 + SUSYc1XM6/80 - SUSYc1XM8/20, -1/1280*SUSYc1XM1 + SUSYc1XM3/320 + SUSYc1XM7/20 - SUSYc1XM9/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM2","1722.535144801529956284840380107867637755287959876272494940417745619153505687941581024489074250713799","SUSYc1XM1/5120 - SUSYc1XM3/2560 + SUSYc1XM7/160 - SUSYc1XM9/20 - (3*SUSYc2XM1)/10240 - (SUSYc1XM10*SUSYc2XM1)/5 + (SUSYc1XM2*SUSYc2XM1)/1280 - (SUSYc1XM4*SUSYc2XM1)/640 + (SUSYc1XM8*SUSYc2XM1)/40 - (3*SUSYc1XM1*SUSYc2XM2)/2560 + (SUSYc1XM3*SUSYc2XM2)/320 + (SUSYc1XM9*SUSYc2XM2)/10 + SUSYc2XM3/640 + (2*SUSYc1XM10*SUSYc2XM3)/5 - (3*SUSYc1XM2*SUSYc2XM3)/640 + (SUSYc1XM4*SUSYc2XM3)/80 - (SUSYc1XM6*SUSYc2XM3)/40 + (SUSYc1XM1*SUSYc2XM4)/160 - (3*SUSYc1XM3*SUSYc2XM4)/160 - (SUSYc1XM7*SUSYc2XM4)/10 - SUSYc2XM5/128 + (SUSYc1XM2*SUSYc2XM5)/40 - (3*SUSYc1XM4*SUSYc2XM5)/40 + (SUSYc1XM6*SUSYc2XM5)/5 - (2*SUSYc1XM8*SUSYc2XM5)/5","{1/5120 - (3*SUSYc2XM2)/2560 + SUSYc2XM4/160, SUSYc2XM1/1280 - (3*SUSYc2XM3)/640 + SUSYc2XM5/40, -1/2560 + SUSYc2XM2/320 - (3*SUSYc2XM4)/160, -1/640*SUSYc2XM1 + SUSYc2XM3/80 - (3*SUSYc2XM5)/40, -1/40*SUSYc2XM3 + SUSYc2XM5/5, 1/160 - SUSYc2XM4/10, SUSYc2XM1/40 - (2*SUSYc2XM5)/5, -1/20 + SUSYc2XM2/10, -1/5*SUSYc2XM1 + (2*SUSYc2XM3)/5, -3/10240 - SUSYc1XM10/5 + SUSYc1XM2/1280 - SUSYc1XM4/640 + SUSYc1XM8/40, (-3*SUSYc1XM1)/2560 + SUSYc1XM3/320 + SUSYc1XM9/10, 1/640 + (2*SUSYc1XM10)/5 - (3*SUSYc1XM2)/640 + SUSYc1XM4/80 - SUSYc1XM6/40, SUSYc1XM1/160 - (3*SUSYc1XM3)/160 - SUSYc1XM7/10, -1/128 + SUSYc1XM2/40 - (3*SUSYc1XM4)/40 + SUSYc1XM6/5 - (2*SUSYc1XM8)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM3","7102.99790715175072399872678200834764611295353192527045573416888274549370039683765561322073375584786","1/4096 - SUSYc1XM10/2 + SUSYc1XM2/2560 - SUSYc1XM4/256 + SUSYc1XM6/80 + SUSYc1XM8/80 + (3*SUSYc1XM1*SUSYc2XM1)/2560 + (SUSYc1XM3*SUSYc2XM1)/1280 + (3*SUSYc1XM7*SUSYc2XM1)/80 + (SUSYc1XM9*SUSYc2XM1)/10 - (9*SUSYc2XM2)/2560 + (3*SUSYc1XM10*SUSYc2XM2)/5 + (7*SUSYc1XM2*SUSYc2XM2)/1280 - (3*SUSYc1XM6*SUSYc2XM2)/80 + (SUSYc1XM8*SUSYc2XM2)/10 - (19*SUSYc1XM1*SUSYc2XM3)/1280 + (SUSYc1XM3*SUSYc2XM3)/40 - (SUSYc1XM7*SUSYc2XM3)/10 + (SUSYc1XM9*SUSYc2XM3)/5 + (7*SUSYc2XM4)/256 - (SUSYc1XM2*SUSYc2XM4)/16 + (9*SUSYc1XM4*SUSYc2XM4)/80 - (SUSYc1XM6*SUSYc2XM4)/10 - (SUSYc1XM8*SUSYc2XM4)/5 + (9*SUSYc1XM1*SUSYc2XM5)/80 - (21*SUSYc1XM3*SUSYc2XM5)/80 - (3*SUSYc1XM7*SUSYc2XM5)/5","{(3*SUSYc2XM1)/2560 - (19*SUSYc2XM3)/1280 + (9*SUSYc2XM5)/80, 1/2560 + (7*SUSYc2XM2)/1280 - SUSYc2XM4/16, SUSYc2XM1/1280 + SUSYc2XM3/40 - (21*SUSYc2XM5)/80, -1/256 + (9*SUSYc2XM4)/80, 1/80 - (3*SUSYc2XM2)/80 - SUSYc2XM4/10, (3*SUSYc2XM1)/80 - SUSYc2XM3/10 - (3*SUSYc2XM5)/5, 1/80 + SUSYc2XM2/10 - SUSYc2XM4/5, SUSYc2XM1/10 + SUSYc2XM3/5, -1/2 + (3*SUSYc2XM2)/5, (3*SUSYc1XM1)/2560 + SUSYc1XM3/1280 + (3*SUSYc1XM7)/80 + SUSYc1XM9/10, -9/2560 + (3*SUSYc1XM10)/5 + (7*SUSYc1XM2)/1280 - (3*SUSYc1XM6)/80 + SUSYc1XM8/10, (-19*SUSYc1XM1)/1280 + SUSYc1XM3/40 - SUSYc1XM7/10 + SUSYc1XM9/5, 7/256 - SUSYc1XM2/16 + (9*SUSYc1XM4)/80 - SUSYc1XM6/10 - SUSYc1XM8/5, (9*SUSYc1XM1)/80 - (21*SUSYc1XM3)/80 - (3*SUSYc1XM7)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM4","-68712.529091285823240308635509786716991104957969564845550789042538160097556565855786734524735812051503","SUSYc1XM1/320 - SUSYc1XM3/128 + (3*SUSYc1XM7)/40 - SUSYc2XM1/1280 + (4*SUSYc1XM10*SUSYc2XM1)/5 + (3*SUSYc1XM2*SUSYc2XM1)/320 - (SUSYc1XM4*SUSYc2XM1)/40 + (SUSYc1XM8*SUSYc2XM1)/5 + (SUSYc1XM1*SUSYc2XM2)/640 + (SUSYc1XM3*SUSYc2XM2)/40 + (2*SUSYc1XM9*SUSYc2XM2)/5 - SUSYc2XM3/32 + (SUSYc1XM2*SUSYc2XM3)/40 + (SUSYc1XM4*SUSYc2XM3)/20 - (SUSYc1XM6*SUSYc2XM3)/5 - (3*SUSYc1XM1*SUSYc2XM4)/20 + (7*SUSYc1XM3*SUSYc2XM4)/40 - (2*SUSYc1XM7*SUSYc2XM4)/5 + (3*SUSYc2XM5)/8 - (7*SUSYc1XM2*SUSYc2XM5)/10 + SUSYc1XM4*SUSYc2XM5 - (4*SUSYc1XM6*SUSYc2XM5)/5","{1/320 + SUSYc2XM2/640 - (3*SUSYc2XM4)/20, (3*SUSYc2XM1)/320 + SUSYc2XM3/40 - (7*SUSYc2XM5)/10, -1/128 + SUSYc2XM2/40 + (7*SUSYc2XM4)/40, -1/40*SUSYc2XM1 + SUSYc2XM3/20 + SUSYc2XM5, -1/5*SUSYc2XM3 - (4*SUSYc2XM5)/5, 3/40 - (2*SUSYc2XM4)/5, SUSYc2XM1/5, (2*SUSYc2XM2)/5, (4*SUSYc2XM1)/5, -1/1280 + (4*SUSYc1XM10)/5 + (3*SUSYc1XM2)/320 - SUSYc1XM4/40 + SUSYc1XM8/5, SUSYc1XM1/640 + SUSYc1XM3/40 + (2*SUSYc1XM9)/5, -1/32 + SUSYc1XM2/40 + SUSYc1XM4/20 - SUSYc1XM6/5, (-3*SUSYc1XM1)/20 + (7*SUSYc1XM3)/40 - (2*SUSYc1XM7)/5, 3/8 - (7*SUSYc1XM2)/10 + SUSYc1XM4 - (4*SUSYc1XM6)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM6","-1.041207370177207795330326151812759475849268678853291741266910770083853539391032264047550951536054695018*10^6","7/1024 + SUSYc1XM10 - SUSYc1XM2/256 - SUSYc1XM4/32 + (3*SUSYc1XM6)/40 + SUSYc1XM8/4 + (29*SUSYc1XM1*SUSYc2XM1)/1280 - (3*SUSYc1XM3*SUSYc2XM1)/160 + (3*SUSYc1XM7*SUSYc2XM1)/20 + (3*SUSYc1XM9*SUSYc2XM1)/5 - (5*SUSYc2XM2)/256 + (11*SUSYc1XM2*SUSYc2XM2)/160 - (3*SUSYc1XM4*SUSYc2XM2)/40 - (3*SUSYc1XM6*SUSYc2XM2)/20 + (SUSYc1XM8*SUSYc2XM2)/5 - (3*SUSYc1XM1*SUSYc2XM3)/160 + (7*SUSYc1XM3*SUSYc2XM3)/40 - (SUSYc1XM7*SUSYc2XM3)/5 - (9*SUSYc2XM4)/32 + (7*SUSYc1XM2*SUSYc2XM4)/40 + (SUSYc1XM4*SUSYc2XM4)/4 - (3*SUSYc1XM6*SUSYc2XM4)/5 - (63*SUSYc1XM1*SUSYc2XM5)/40 + (7*SUSYc1XM3*SUSYc2XM5)/4","{(29*SUSYc2XM1)/1280 - (3*SUSYc2XM3)/160 - (63*SUSYc2XM5)/40, -1/256 + (11*SUSYc2XM2)/160 + (7*SUSYc2XM4)/40, (-3*SUSYc2XM1)/160 + (7*SUSYc2XM3)/40 + (7*SUSYc2XM5)/4, -1/32 - (3*SUSYc2XM2)/40 + SUSYc2XM4/4, 3/40 - (3*SUSYc2XM2)/20 - (3*SUSYc2XM4)/5, (3*SUSYc2XM1)/20 - SUSYc2XM3/5, 1/4 + SUSYc2XM2/5, (3*SUSYc2XM1)/5, 1, (29*SUSYc1XM1)/1280 - (3*SUSYc1XM3)/160 + (3*SUSYc1XM7)/20 + (3*SUSYc1XM9)/5, -5/256 + (11*SUSYc1XM2)/160 - (3*SUSYc1XM4)/40 - (3*SUSYc1XM6)/20 + SUSYc1XM8/5, (-3*SUSYc1XM1)/160 + (7*SUSYc1XM3)/40 - SUSYc1XM7/5, -9/32 + (7*SUSYc1XM2)/40 + SUSYc1XM4/4 - (3*SUSYc1XM6)/5, (-63*SUSYc1XM1)/40 + (7*SUSYc1XM3)/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM7","-642786.685165771965837309746302513427631119322302072983563183719286811956142082209000757575399062681827","SUSYc1XM1/64 - SUSYc1XM3/16 + (3*SUSYc1XM7)/10 + (4*SUSYc1XM9)/5 + (19*SUSYc2XM1)/640 + (SUSYc1XM2*SUSYc2XM1)/40 - (3*SUSYc1XM4*SUSYc2XM1)/20 + (2*SUSYc1XM8*SUSYc2XM1)/5 + (9*SUSYc1XM1*SUSYc2XM2)/80 - (3*SUSYc2XM3)/20 + (7*SUSYc1XM2*SUSYc2XM3)/20 - (SUSYc1XM4*SUSYc2XM3)/5 - (2*SUSYc1XM6*SUSYc2XM3)/5 + (7*SUSYc1XM3*SUSYc2XM4)/10 - (63*SUSYc2XM5)/20 + (14*SUSYc1XM2*SUSYc2XM5)/5 - (6*SUSYc1XM4*SUSYc2XM5)/5","{1/64 + (9*SUSYc2XM2)/80, SUSYc2XM1/40 + (7*SUSYc2XM3)/20 + (14*SUSYc2XM5)/5, -1/16 + (7*SUSYc2XM4)/10, (-3*SUSYc2XM1)/20 - SUSYc2XM3/5 - (6*SUSYc2XM5)/5, (-2*SUSYc2XM3)/5, 3/10, (2*SUSYc2XM1)/5, 4/5, 0, 19/640 + SUSYc1XM2/40 - (3*SUSYc1XM4)/20 + (2*SUSYc1XM8)/5, (9*SUSYc1XM1)/80, -3/20 + (7*SUSYc1XM2)/20 - SUSYc1XM4/5 - (2*SUSYc1XM6)/5, (7*SUSYc1XM3)/10, -63/20 + (14*SUSYc1XM2)/5 - (6*SUSYc1XM4)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM8","-2.373609898331319161994234372881920312250739456472913475508194795709801088750514389595028672972954075442*10^6","13/256 - SUSYc1XM2/16 - SUSYc1XM4/8 + SUSYc1XM6/5 + (3*SUSYc1XM8)/5 + (9*SUSYc1XM1*SUSYc2XM1)/80 - (7*SUSYc1XM3*SUSYc2XM1)/40 + (SUSYc1XM7*SUSYc2XM1)/5 + (9*SUSYc2XM2)/80 + (7*SUSYc1XM2*SUSYc2XM2)/40 - (2*SUSYc1XM4*SUSYc2XM2)/5 - (SUSYc1XM6*SUSYc2XM2)/5 + (21*SUSYc1XM1*SUSYc2XM3)/40 - (21*SUSYc2XM4)/40 + (7*SUSYc1XM2*SUSYc2XM4)/5 - SUSYc1XM4*SUSYc2XM4 + (21*SUSYc1XM1*SUSYc2XM5)/5 - (7*SUSYc1XM3*SUSYc2XM5)/5","{(9*SUSYc2XM1)/80 + (21*SUSYc2XM3)/40 + (21*SUSYc2XM5)/5, -1/16 + (7*SUSYc2XM2)/40 + (7*SUSYc2XM4)/5, (-7*SUSYc2XM1)/40 - (7*SUSYc2XM5)/5, -1/8 - (2*SUSYc2XM2)/5 - SUSYc2XM4, 1/5 - SUSYc2XM2/5, SUSYc2XM1/5, 3/5, 0, 0, (9*SUSYc1XM1)/80 - (7*SUSYc1XM3)/40 + SUSYc1XM7/5, 9/80 + (7*SUSYc1XM2)/40 - (2*SUSYc1XM4)/5 - SUSYc1XM6/5, (21*SUSYc1XM1)/40, -21/40 + (7*SUSYc1XM2)/5 - SUSYc1XM4, (21*SUSYc1XM1)/5 - (7*SUSYc1XM3)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM9","-848542.054951044541691665239051996518893869584957702097140206672046270479765586317429096246686124539807","-1/4*SUSYc1XM3 + (2*SUSYc1XM7)/5 + (9*SUSYc2XM1)/40 - (SUSYc1XM2*SUSYc2XM1)/10 - (2*SUSYc1XM4*SUSYc2XM1)/5 + (9*SUSYc1XM1*SUSYc2XM2)/20 - (2*SUSYc1XM3*SUSYc2XM2)/5 + (3*SUSYc2XM3)/5 + (2*SUSYc1XM2*SUSYc2XM3)/5 - (4*SUSYc1XM4*SUSYc2XM3)/5 + (12*SUSYc1XM1*SUSYc2XM4)/5 - (6*SUSYc1XM3*SUSYc2XM4)/5 + 6*SUSYc2XM5 - (8*SUSYc1XM2*SUSYc2XM5)/5","{(9*SUSYc2XM2)/20 + (12*SUSYc2XM4)/5, -1/10*SUSYc2XM1 + (2*SUSYc2XM3)/5 - (8*SUSYc2XM5)/5, -1/4 - (2*SUSYc2XM2)/5 - (6*SUSYc2XM4)/5, (-2*SUSYc2XM1)/5 - (4*SUSYc2XM3)/5, 0, 2/5, 0, 0, 0, 9/40 - SUSYc1XM2/10 - (2*SUSYc1XM4)/5, (9*SUSYc1XM1)/20 - (2*SUSYc1XM3)/5, 3/5 + (2*SUSYc1XM2)/5 - (4*SUSYc1XM4)/5, (12*SUSYc1XM1)/5 - (6*SUSYc1XM3)/5, 6 - (8*SUSYc1XM2)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc1XM10","-571308.203245475888812315073549999962734615810403078517680001884934638157479407740268740293119810780102","9/64 - (5*SUSYc1XM2)/16 - SUSYc1XM4/4 + SUSYc1XM6/5 + (9*SUSYc1XM1*SUSYc2XM1)/80 - (11*SUSYc1XM3*SUSYc2XM1)/20 + (63*SUSYc2XM2)/80 - (SUSYc1XM2*SUSYc2XM2)/4 - (3*SUSYc1XM4*SUSYc2XM2)/5 + (21*SUSYc1XM1*SUSYc2XM3)/20 - SUSYc1XM3*SUSYc2XM3 + (15*SUSYc2XM4)/4 - (7*SUSYc1XM2*SUSYc2XM4)/5 - (9*SUSYc1XM1*SUSYc2XM5)/5","{(9*SUSYc2XM1)/80 + (21*SUSYc2XM3)/20 - (9*SUSYc2XM5)/5, -5/16 - SUSYc2XM2/4 - (7*SUSYc2XM4)/5, (-11*SUSYc2XM1)/20 - SUSYc2XM3, -1/4 - (3*SUSYc2XM2)/5, 1/5, 0, 0, 0, 0, (9*SUSYc1XM1)/80 - (11*SUSYc1XM3)/20, 63/80 - SUSYc1XM2/4 - (3*SUSYc1XM4)/5, (21*SUSYc1XM1)/20 - SUSYc1XM3, 15/4 - (7*SUSYc1XM2)/5, (-9*SUSYc1XM1)/5}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11}}",500,"SUSYc2XM1","1.662002283465478377257273425007296227071865970077341393063247785740095171367753415582273814257592","-1/4*SUSYc1XM1 - SUSYc1XM3/2 + (19*SUSYc2XM1)/40 - (3*SUSYc1XM2*SUSYc2XM1)/5 - (2*SUSYc1XM4*SUSYc2XM1)/5 + (SUSYc1XM1*SUSYc2XM2)/10 - (4*SUSYc1XM3*SUSYc2XM2)/5 + 2*SUSYc2XM3 - (6*SUSYc1XM2*SUSYc2XM3)/5 - (8*SUSYc1XM1*SUSYc2XM4)/5 - 2*SUSYc2XM5","{-1/4 + SUSYc2XM2/10 - (8*SUSYc2XM4)/5, (-3*SUSYc2XM1)/5 - (6*SUSYc2XM3)/5, -1/2 - (4*SUSYc2XM2)/5, (-2*SUSYc2XM1)/5, 0, 0, 0, 0, 0, 19/40 - (3*SUSYc1XM2)/5 - (2*SUSYc1XM4)/5, SUSYc1XM1/10 - (4*SUSYc1XM3)/5, 2 - (6*SUSYc1XM2)/5, (-8*SUSYc1XM1)/5, -2}"
