var,b_final_value
SUSYc1XM1,4.50020398967063267210095940166170e+00
SUSYc1XM2,1.32391173421673384697887676368020e+00
SUSYc1XM3,-7.10555419227089477838663703066650e+01
SUSYc1XM4,-3.80369209213284854713643192047920e+02
SUSYc1XM6,-5.72808568868986707568880232669460e+03
SUSYc1XM7,6.48806719399155687270058991857570e+03
SUSYc1XM8,-1.56107993565473372241936395084110e+04
SUSYc1XM9,9.33348969093646149638218186627760e+03
SUSYc1XM10,-4.43081733925220345898724421814230e+03
SUSYc2XM1,-3.00013599311375511473397293444110e+00
SUSYc2XM2,8.54062637516781871973985338749690e+00
SUSYc2XM3,-1.09511625581165612723167253190030e+01
SUSYc2XM4,9.80349828268947704578257606657850e+00
SUSYc2XM5,-3.43253922347662319390077945859340e+00
