var,b_final_value
SUSYc1XM1,1.881429914623306155954585819158829816380830e+00
SUSYc1XM2,-9.936651374765042525765754250629724925499800e+00
SUSYc1XM3,-8.963144266520509832750581968973209824889370e+01
SUSYc1XM5,-1.219301299057799977549586748384643490150280e+03
SUSYc1XM6,-1.192203038253712341361948968939729920169160e+02
SUSYc1XM7,-1.003661255347812474102140291364827209364750e+03
SUSYc1XM8,-3.181448086278023866520548117635294688388610e+03
SUSYc1XM9,2.475910328490444787953842386272720191958210e+03
SUSYc1XM10,-1.553445255957923795386148854320989689688340e+03
SUSYc2XM1,-1.128857948773983693572751491495297889828500e+00
SUSYc2XM2,3.894795201044131945058634564344954551637140e+00
SUSYc2XM3,2.225494022468787778712414377306310162125150e+00
SUSYc2XM4,-5.064935432750240801065084464950857371443660e+00
SUSYc2XM5,9.489315648165173689630800596718311531528590e+00
SUSYc2XM6,-4.052384757311734664893969020642384629482750e+00
