"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 5, 6, 7, 8, 9}, {2, 10, 11, 12, 13, 14}}",500,"SUSYc1XM1","5.02135296460706308308700755238934274841337398289694420461841120468599908606806222034054015288870950512064135398400383947804933401825489562696145686378163320208786443754512481","1/49152 - SUSYc1XM2/12288 + SUSYc1XM4/3072 - SUSYc1XM6/768 + SUSYc1XM8/192 + (SUSYc1XM1*SUSYc2XM1)/12288 + (SUSYc1XM5*SUSYc2XM1)/768 - (SUSYc1XM7*SUSYc2XM1)/192 + (SUSYc1XM9*SUSYc2XM1)/48 - SUSYc2XM2/12288 + (SUSYc1XM2*SUSYc2XM2)/3072 - (SUSYc1XM4*SUSYc2XM2)/768 + (SUSYc1XM6*SUSYc2XM2)/192 - (SUSYc1XM8*SUSYc2XM2)/48 - (SUSYc1XM1*SUSYc2XM3)/3072 - (SUSYc1XM5*SUSYc2XM3)/192 + (SUSYc1XM7*SUSYc2XM3)/48 - (SUSYc1XM9*SUSYc2XM3)/12 + SUSYc2XM4/3072 - (SUSYc1XM2*SUSYc2XM4)/768 + (SUSYc1XM4*SUSYc2XM4)/192 - (SUSYc1XM6*SUSYc2XM4)/48 + (SUSYc1XM8*SUSYc2XM4)/12 + (SUSYc1XM1*SUSYc2XM5)/768 + (SUSYc1XM5*SUSYc2XM5)/48 - (SUSYc1XM7*SUSYc2XM5)/12 + (SUSYc1XM9*SUSYc2XM5)/3 - SUSYc2XM6/768 + (SUSYc1XM2*SUSYc2XM6)/192 - (SUSYc1XM4*SUSYc2XM6)/48 + (SUSYc1XM6*SUSYc2XM6)/12 - (SUSYc1XM8*SUSYc2XM6)/3","{SUSYc2XM1/12288 - SUSYc2XM3/3072 + SUSYc2XM5/768, -1/12288 + SUSYc2XM2/3072 - SUSYc2XM4/768 + SUSYc2XM6/192, 1/3072 - SUSYc2XM2/768 + SUSYc2XM4/192 - SUSYc2XM6/48, SUSYc2XM1/768 - SUSYc2XM3/192 + SUSYc2XM5/48, -1/768 + SUSYc2XM2/192 - SUSYc2XM4/48 + SUSYc2XM6/12, -1/192*SUSYc2XM1 + SUSYc2XM3/48 - SUSYc2XM5/12, 1/192 - SUSYc2XM2/48 + SUSYc2XM4/12 - SUSYc2XM6/3, SUSYc2XM1/48 - SUSYc2XM3/12 + SUSYc2XM5/3, SUSYc1XM1/12288 + SUSYc1XM5/768 - SUSYc1XM7/192 + SUSYc1XM9/48, -1/12288 + SUSYc1XM2/3072 - SUSYc1XM4/768 + SUSYc1XM6/192 - SUSYc1XM8/48, -1/3072*SUSYc1XM1 - SUSYc1XM5/192 + SUSYc1XM7/48 - SUSYc1XM9/12, 1/3072 - SUSYc1XM2/768 + SUSYc1XM4/192 - SUSYc1XM6/48 + SUSYc1XM8/12, SUSYc1XM1/768 + SUSYc1XM5/48 - SUSYc1XM7/12 + SUSYc1XM9/3, -1/768 + SUSYc1XM2/192 - SUSYc1XM4/48 + SUSYc1XM6/12 - SUSYc1XM8/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9}, {2, 10, 11, 12, 13, 14}}",500,"SUSYc1XM2","17.70371286747636630017534051050383755871733440823189899680026269526756691592434842226886219748785885051275117473825405380674880323396564134560170841954368472671608722814932714","-1/6144*SUSYc1XM1 + SUSYc1XM5/384 - SUSYc1XM7/48 + SUSYc1XM9/8 + SUSYc2XM1/3072 - (SUSYc1XM2*SUSYc2XM1)/1536 + (SUSYc1XM6*SUSYc2XM1)/96 - (SUSYc1XM8*SUSYc2XM1)/12 + (SUSYc1XM1*SUSYc2XM2)/768 + (SUSYc1XM7*SUSYc2XM2)/24 - (SUSYc1XM9*SUSYc2XM2)/3 - SUSYc2XM3/512 + (SUSYc1XM2*SUSYc2XM3)/192 - (SUSYc1XM4*SUSYc2XM3)/96 + (SUSYc1XM8*SUSYc2XM3)/6 - (SUSYc1XM1*SUSYc2XM4)/128 - (SUSYc1XM5*SUSYc2XM4)/24 + (2*SUSYc1XM9*SUSYc2XM4)/3 + SUSYc2XM5/96 - (SUSYc1XM2*SUSYc2XM5)/32 + (SUSYc1XM4*SUSYc2XM5)/12 - (SUSYc1XM6*SUSYc2XM5)/6 + (SUSYc1XM1*SUSYc2XM6)/24 + (SUSYc1XM5*SUSYc2XM6)/3 - (2*SUSYc1XM7*SUSYc2XM6)/3","{-1/6144 + SUSYc2XM2/768 - SUSYc2XM4/128 + SUSYc2XM6/24, -1/1536*SUSYc2XM1 + SUSYc2XM3/192 - SUSYc2XM5/32, -1/96*SUSYc2XM3 + SUSYc2XM5/12, 1/384 - SUSYc2XM4/24 + SUSYc2XM6/3, SUSYc2XM1/96 - SUSYc2XM5/6, -1/48 + SUSYc2XM2/24 - (2*SUSYc2XM6)/3, -1/12*SUSYc2XM1 + SUSYc2XM3/6, 1/8 - SUSYc2XM2/3 + (2*SUSYc2XM4)/3, 1/3072 - SUSYc1XM2/1536 + SUSYc1XM6/96 - SUSYc1XM8/12, SUSYc1XM1/768 + SUSYc1XM7/24 - SUSYc1XM9/3, -1/512 + SUSYc1XM2/192 - SUSYc1XM4/96 + SUSYc1XM8/6, -1/128*SUSYc1XM1 - SUSYc1XM5/24 + (2*SUSYc1XM9)/3, 1/96 - SUSYc1XM2/32 + SUSYc1XM4/12 - SUSYc1XM6/6, SUSYc1XM1/24 + SUSYc1XM5/3 - (2*SUSYc1XM7)/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9}, {2, 10, 11, 12, 13, 14}}",500,"SUSYc1XM4","15923.93172434046583421546015064178589592535075660847178517016874601512614190119588433291029666435474073173139157085290883866359904266108739462068068612884018345319569544137836151","1/4096 - SUSYc1XM2/512 + (5*SUSYc1XM4)/768 - (3*SUSYc1XM8)/16 + (SUSYc1XM1*SUSYc2XM1)/1536 + (SUSYc1XM5*SUSYc2XM1)/48 + (SUSYc1XM7*SUSYc2XM1)/48 - (5*SUSYc1XM9*SUSYc2XM1)/6 + SUSYc2XM2/512 + (SUSYc1XM2*SUSYc2XM2)/768 - (SUSYc1XM4*SUSYc2XM2)/48 + (SUSYc1XM6*SUSYc2XM2)/16 + (SUSYc1XM8*SUSYc2XM2)/6 + (7*SUSYc1XM1*SUSYc2XM3)/768 - (SUSYc1XM5*SUSYc2XM3)/16 + (SUSYc1XM7*SUSYc2XM3)/6 + SUSYc1XM9*SUSYc2XM3 - (19*SUSYc2XM4)/768 + (SUSYc1XM2*SUSYc2XM4)/24 - (SUSYc1XM4*SUSYc2XM4)/48 - (SUSYc1XM6*SUSYc2XM4)/6 + (SUSYc1XM8*SUSYc2XM4)/3 - (5*SUSYc1XM1*SUSYc2XM5)/48 - (SUSYc1XM5*SUSYc2XM5)/6 - (SUSYc1XM7*SUSYc2XM5)/3 + (3*SUSYc2XM6)/16 - (7*SUSYc1XM2*SUSYc2XM6)/16 + (5*SUSYc1XM4*SUSYc2XM6)/6 - SUSYc1XM6*SUSYc2XM6","{SUSYc2XM1/1536 + (7*SUSYc2XM3)/768 - (5*SUSYc2XM5)/48, -1/512 + SUSYc2XM2/768 + SUSYc2XM4/24 - (7*SUSYc2XM6)/16, 5/768 - SUSYc2XM2/48 - SUSYc2XM4/48 + (5*SUSYc2XM6)/6, SUSYc2XM1/48 - SUSYc2XM3/16 - SUSYc2XM5/6, SUSYc2XM2/16 - SUSYc2XM4/6 - SUSYc2XM6, SUSYc2XM1/48 + SUSYc2XM3/6 - SUSYc2XM5/3, -3/16 + SUSYc2XM2/6 + SUSYc2XM4/3, (-5*SUSYc2XM1)/6 + SUSYc2XM3, SUSYc1XM1/1536 + SUSYc1XM5/48 + SUSYc1XM7/48 - (5*SUSYc1XM9)/6, 1/512 + SUSYc1XM2/768 - SUSYc1XM4/48 + SUSYc1XM6/16 + SUSYc1XM8/6, (7*SUSYc1XM1)/768 - SUSYc1XM5/16 + SUSYc1XM7/6 + SUSYc1XM9, -19/768 + SUSYc1XM2/24 - SUSYc1XM4/48 - SUSYc1XM6/6 + SUSYc1XM8/3, (-5*SUSYc1XM1)/48 - SUSYc1XM5/6 - SUSYc1XM7/3, 3/16 - (7*SUSYc1XM2)/16 + (5*SUSYc1XM4)/6 - SUSYc1XM6}"
"{{1, 3, 4, 5, 6, 7, 8, 9}, {2, 10, 11, 12, 13, 14}}",500,"SUSYc1XM5","-47462.2947798401587640986379496579306912460921792123004186056191243447398694477251103175046520371963241858661536848802337020423241244237110864759022462803496838932675219802159736","-1/256*SUSYc1XM1 + SUSYc1XM5/24 - SUSYc1XM7/12 - (5*SUSYc1XM9)/3 + SUSYc2XM1/192 - (5*SUSYc1XM2*SUSYc2XM1)/384 + (SUSYc1XM6*SUSYc2XM1)/8 + (SUSYc1XM1*SUSYc2XM2)/64 + (SUSYc1XM7*SUSYc2XM2)/3 + (4*SUSYc1XM9*SUSYc2XM2)/3 + SUSYc2XM3/384 + (SUSYc1XM2*SUSYc2XM3)/24 - (SUSYc1XM4*SUSYc2XM3)/8 + (2*SUSYc1XM8*SUSYc2XM3)/3 + (SUSYc1XM1*SUSYc2XM4)/24 - (SUSYc1XM5*SUSYc2XM4)/3 - SUSYc2XM5/4 + (7*SUSYc1XM2*SUSYc2XM5)/24 - (2*SUSYc1XM6*SUSYc2XM5)/3 - (7*SUSYc1XM1*SUSYc2XM6)/6 - (4*SUSYc1XM5*SUSYc2XM6)/3","{-1/256 + SUSYc2XM2/64 + SUSYc2XM4/24 - (7*SUSYc2XM6)/6, (-5*SUSYc2XM1)/384 + SUSYc2XM3/24 + (7*SUSYc2XM5)/24, -1/8*SUSYc2XM3, 1/24 - SUSYc2XM4/3 - (4*SUSYc2XM6)/3, SUSYc2XM1/8 - (2*SUSYc2XM5)/3, -1/12 + SUSYc2XM2/3, (2*SUSYc2XM3)/3, -5/3 + (4*SUSYc2XM2)/3, 1/192 - (5*SUSYc1XM2)/384 + SUSYc1XM6/8, SUSYc1XM1/64 + SUSYc1XM7/3 + (4*SUSYc1XM9)/3, 1/384 + SUSYc1XM2/24 - SUSYc1XM4/8 + (2*SUSYc1XM8)/3, SUSYc1XM1/24 - SUSYc1XM5/3, -1/4 + (7*SUSYc1XM2)/24 - (2*SUSYc1XM6)/3, (-7*SUSYc1XM1)/6 - (4*SUSYc1XM5)/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9}, {2, 10, 11, 12, 13, 14}}",500,"SUSYc1XM6","55338.15730670957720377615946644362883018156662985413108805074576536761082665824929558927968809377435681627479872698113747239021738466997767548372716208575800257013295918582503142","-1/1024 - (5*SUSYc1XM2)/256 + (5*SUSYc1XM4)/96 + SUSYc1XM6/8 - (5*SUSYc1XM8)/12 - (5*SUSYc1XM1*SUSYc2XM1)/768 + (SUSYc1XM5*SUSYc2XM1)/8 + (5*SUSYc1XM7*SUSYc2XM1)/12 + (5*SUSYc1XM9*SUSYc2XM1)/3 + (29*SUSYc2XM2)/768 - (SUSYc1XM2*SUSYc2XM2)/32 - (SUSYc1XM4*SUSYc2XM2)/8 + (SUSYc1XM6*SUSYc2XM2)/4 + SUSYc1XM8*SUSYc2XM2 + (11*SUSYc1XM1*SUSYc2XM3)/96 - (SUSYc1XM5*SUSYc2XM3)/4 + (SUSYc1XM7*SUSYc2XM3)/3 - SUSYc2XM4/32 + (7*SUSYc1XM2*SUSYc2XM4)/24 - (5*SUSYc1XM4*SUSYc2XM4)/12 - (SUSYc1XM6*SUSYc2XM4)/3 + (7*SUSYc1XM1*SUSYc2XM5)/24 - SUSYc1XM5*SUSYc2XM5 - (21*SUSYc2XM6)/8 + (35*SUSYc1XM2*SUSYc2XM6)/12 - (5*SUSYc1XM4*SUSYc2XM6)/3","{(-5*SUSYc2XM1)/768 + (11*SUSYc2XM3)/96 + (7*SUSYc2XM5)/24, -5/256 - SUSYc2XM2/32 + (7*SUSYc2XM4)/24 + (35*SUSYc2XM6)/12, 5/96 - SUSYc2XM2/8 - (5*SUSYc2XM4)/12 - (5*SUSYc2XM6)/3, SUSYc2XM1/8 - SUSYc2XM3/4 - SUSYc2XM5, 1/8 + SUSYc2XM2/4 - SUSYc2XM4/3, (5*SUSYc2XM1)/12 + SUSYc2XM3/3, -5/12 + SUSYc2XM2, (5*SUSYc2XM1)/3, (-5*SUSYc1XM1)/768 + SUSYc1XM5/8 + (5*SUSYc1XM7)/12 + (5*SUSYc1XM9)/3, 29/768 - SUSYc1XM2/32 - SUSYc1XM4/8 + SUSYc1XM6/4 + SUSYc1XM8, (11*SUSYc1XM1)/96 - SUSYc1XM5/4 + SUSYc1XM7/3, -1/32 + (7*SUSYc1XM2)/24 - (5*SUSYc1XM4)/12 - SUSYc1XM6/3, (7*SUSYc1XM1)/24 - SUSYc1XM5, -21/8 + (35*SUSYc1XM2)/12 - (5*SUSYc1XM4)/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9}, {2, 10, 11, 12, 13, 14}}",500,"SUSYc1XM7","44699.46624902348963913538153516369223959913129430782783477993203360055469656324459419367774284140190430272152164386365006484446335114195767930617152296596946846089175054076250203","(-5*SUSYc1XM1)/128 + SUSYc1XM5/4 + SUSYc1XM7/3 + 2*SUSYc1XM9 + (5*SUSYc2XM1)/192 - (5*SUSYc1XM2*SUSYc2XM1)/48 + (SUSYc1XM6*SUSYc2XM1)/2 + (4*SUSYc1XM8*SUSYc2XM1)/3 + (SUSYc1XM1*SUSYc2XM2)/24 + (2*SUSYc1XM7*SUSYc2XM2)/3 + (3*SUSYc2XM3)/16 - (SUSYc1XM4*SUSYc2XM3)/2 + (7*SUSYc1XM1*SUSYc2XM4)/12 - (2*SUSYc1XM5*SUSYc2XM4)/3 + (7*SUSYc1XM2*SUSYc2XM5)/6 - (4*SUSYc1XM4*SUSYc2XM5)/3 + (14*SUSYc1XM1*SUSYc2XM6)/3","{-5/128 + SUSYc2XM2/24 + (7*SUSYc2XM4)/12 + (14*SUSYc2XM6)/3, (-5*SUSYc2XM1)/48 + (7*SUSYc2XM5)/6, -1/2*SUSYc2XM3 - (4*SUSYc2XM5)/3, 1/4 - (2*SUSYc2XM4)/3, SUSYc2XM1/2, 1/3 + (2*SUSYc2XM2)/3, (4*SUSYc2XM1)/3, 2, 5/192 - (5*SUSYc1XM2)/48 + SUSYc1XM6/2 + (4*SUSYc1XM8)/3, SUSYc1XM1/24 + (2*SUSYc1XM7)/3, 3/16 - SUSYc1XM4/2, (7*SUSYc1XM1)/12 - (2*SUSYc1XM5)/3, (7*SUSYc1XM2)/6 - (4*SUSYc1XM4)/3, (14*SUSYc1XM1)/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9}, {2, 10, 11, 12, 13, 14}}",500,"SUSYc1XM8","-155964.90809701349769105690512482021498889856063654011019865551134822564366111355414120095827243118446382438096165130136261137940419583606920692384354981953230337561232531046251942","-25/768 - (5*SUSYc1XM2)/48 + (5*SUSYc1XM4)/24 + (2*SUSYc1XM6)/3 + (5*SUSYc1XM8)/3 - (5*SUSYc1XM1*SUSYc2XM1)/48 + (SUSYc1XM5*SUSYc2XM1)/3 + SUSYc1XM7*SUSYc2XM1 + (3*SUSYc2XM2)/16 - (7*SUSYc1XM2*SUSYc2XM2)/24 - (SUSYc1XM4*SUSYc2XM2)/3 + (SUSYc1XM6*SUSYc2XM2)/3 + (7*SUSYc1XM1*SUSYc2XM3)/24 - (SUSYc1XM5*SUSYc2XM3)/3 + (7*SUSYc2XM4)/8 - SUSYc1XM4*SUSYc2XM4 + (7*SUSYc1XM1*SUSYc2XM5)/3 + 7*SUSYc2XM6 - (7*SUSYc1XM2*SUSYc2XM6)/3","{(-5*SUSYc2XM1)/48 + (7*SUSYc2XM3)/24 + (7*SUSYc2XM5)/3, -5/48 - (7*SUSYc2XM2)/24 - (7*SUSYc2XM6)/3, 5/24 - SUSYc2XM2/3 - SUSYc2XM4, SUSYc2XM1/3 - SUSYc2XM3/3, 2/3 + SUSYc2XM2/3, SUSYc2XM1, 5/3, 0, (-5*SUSYc1XM1)/48 + SUSYc1XM5/3 + SUSYc1XM7, 3/16 - (7*SUSYc1XM2)/24 - SUSYc1XM4/3 + SUSYc1XM6/3, (7*SUSYc1XM1)/24 - SUSYc1XM5/3, 7/8 - SUSYc1XM4, (7*SUSYc1XM1)/3, 7 - (7*SUSYc1XM2)/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9}, {2, 10, 11, 12, 13, 14}}",500,"SUSYc1XM9","109279.04242761883827317284460267276815899685661971670118745086792636055184125715734405627939054266190504604623932883749454339524109905931842804611796528814281628774831609583172857","(-5*SUSYc1XM1)/24 + (2*SUSYc1XM5)/3 + (4*SUSYc1XM7)/3 - (5*SUSYc1XM2*SUSYc2XM1)/12 + (2*SUSYc1XM6*SUSYc2XM1)/3 - (SUSYc1XM1*SUSYc2XM2)/6 + (3*SUSYc2XM3)/4 - (2*SUSYc1XM2*SUSYc2XM3)/3 - (2*SUSYc1XM4*SUSYc2XM3)/3 + (2*SUSYc1XM1*SUSYc2XM4)/3 + 4*SUSYc2XM5 - 2*SUSYc1XM2*SUSYc2XM5 - (8*SUSYc1XM1*SUSYc2XM6)/3","{-5/24 - SUSYc2XM2/6 + (2*SUSYc2XM4)/3 - (8*SUSYc2XM6)/3, (-5*SUSYc2XM1)/12 - (2*SUSYc2XM3)/3 - 2*SUSYc2XM5, (-2*SUSYc2XM3)/3, 2/3, (2*SUSYc2XM1)/3, 4/3, 0, 0, (-5*SUSYc1XM2)/12 + (2*SUSYc1XM6)/3, -1/6*SUSYc1XM1, 3/4 - (2*SUSYc1XM2)/3 - (2*SUSYc1XM4)/3, (2*SUSYc1XM1)/3, 4 - 2*SUSYc1XM2, (-8*SUSYc1XM1)/3}"
"{{1, 3, 4, 5, 6, 7, 8, 9}, {2, 10, 11, 12, 13, 14}}",500,"SUSYc2XM1","-377.51067648230353154154350377619467137420668699144847210230920560234299954303403111017027007644435475256032067699200191973902466700912744781348072843189081656375222856277152869","-15/64 - (5*SUSYc1XM2)/16 + (5*SUSYc1XM4)/12 + SUSYc1XM6 - (25*SUSYc1XM1*SUSYc2XM1)/48 + (SUSYc1XM5*SUSYc2XM1)/3 + (3*SUSYc2XM2)/16 - (11*SUSYc1XM2*SUSYc2XM2)/12 - (SUSYc1XM4*SUSYc2XM2)/3 - (5*SUSYc1XM1*SUSYc2XM3)/12 + (7*SUSYc2XM4)/4 - (5*SUSYc1XM2*SUSYc2XM4)/3 - (7*SUSYc1XM1*SUSYc2XM5)/3 - 3*SUSYc2XM6","{(-25*SUSYc2XM1)/48 - (5*SUSYc2XM3)/12 - (7*SUSYc2XM5)/3, -5/16 - (11*SUSYc2XM2)/12 - (5*SUSYc2XM4)/3, 5/12 - SUSYc2XM2/3, SUSYc2XM1/3, 1, 0, 0, 0, (-25*SUSYc1XM1)/48 + SUSYc1XM5/3, 3/16 - (11*SUSYc1XM2)/12 - SUSYc1XM4/3, (-5*SUSYc1XM1)/12, 7/4 - (5*SUSYc1XM2)/3, (-7*SUSYc1XM1)/3, -3}"
"{{1, 3, 4, 5, 6, 7, 8, 9}, {2, 10, 11, 12, 13, 14}}",500,"SUSYc2XM2","1132.97787014164436283040854304740384868682104646729124486082059846765960936773128428615556217901874781876269771698563774515870203644188034258915751922825647790151930970935002493","(-5*SUSYc1XM1)/8 + (2*SUSYc1XM5)/3 - (5*SUSYc2XM1)/12 - (5*SUSYc1XM2*SUSYc2XM1)/6 - SUSYc1XM1*SUSYc2XM2 + SUSYc2XM3/6 - (4*SUSYc1XM2*SUSYc2XM3)/3 - 2*SUSYc1XM1*SUSYc2XM4 - (8*SUSYc2XM5)/3","{-5/8 - SUSYc2XM2 - 2*SUSYc2XM4, (-5*SUSYc2XM1)/6 - (4*SUSYc2XM3)/3, 0, 2/3, 0, 0, 0, 0, -5/12 - (5*SUSYc1XM2)/6, -SUSYc1XM1, 1/6 - (4*SUSYc1XM2)/3, -2*SUSYc1XM1, -8/3, 0}"
